month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,4.3,1
1,3,32.1,1
1,4,37.5,1
1,5,46.5,1
1,6,52.5,1
1,7,52.5,1
1,8,52.5,1
1,9,52.6,1
1,10,52.6,1
1,11,52.6,1
1,12,52.6,1
1,13,52.9,1
1,14,53.8,1
1,15,54.0,1
1,16,66.2,1
1,17,72.9,1
1,18,88.9,1
1,19,90.3,1
1,20,93.6,1
1,21,96.5,1
1,22,100.4,1
1,23,122.4,1
1,24,140.2,1
1,25,141.6,1
1,26,141.8,1
1,27,148.6,1
1,28,148.6,1
1,29,150.2,1
1,30,151.7,1
1,31,154.0,1
2,1,154.0,1
2,2,166.6,1
2,3,170.8,1
2,4,172.5,1
2,5,177.9,1
2,6,180.1,1
2,7,189.1,1
2,8,194.0,1
2,9,204.8,1
2,10,205.4,1
2,11,205.4,1
2,12,205.4,1
2,13,214.6,1
2,14,215.1,1
2,15,215.1,1
2,16,215.1,1
2,17,215.1,1
2,18,215.6,1
2,19,215.6,1
2,20,215.6,1
2,21,215.6,1
2,22,215.6,1
2,23,215.6,1
2,24,215.6,1
2,25,215.6,1
2,26,215.6,1
2,27,215.6,1
2,28,216.1,1
3,1,216.1,1
3,2,217.6,1
3,3,229.3,1
3,4,240.3,1
3,5,243.1,1
3,6,245.6,1
3,7,246.2,1
3,8,247.0,1
3,9,249.0,1
3,10,254.4,1
3,11,254.6,1
3,12,254.6,1
3,13,254.6,1
3,14,255.4,1
3,15,255.4,1
3,16,255.4,1
3,17,261.5,1
3,18,270.3,1
3,19,280.4,1
3,20,292.4,1
3,21,295.6,1
3,22,296.1,1
3,23,296.1,1
3,24,296.1,1
3,25,296.1,1
3,26,296.1,1
3,27,296.1,1
3,28,296.1,1
3,29,296.1,1
3,30,296.1,1
3,31,296.1,1
4,1,296.1,1
4,2,296.1,1
4,3,296.1,1
4,4,296.1,1
4,5,296.1,1
4,6,296.5,1
4,7,301.2,1
4,8,306.1,1
4,9,316.4,1
4,10,318.5,1
4,11,321.8,1
4,12,323.1,1
4,13,323.7,1
4,14,323.7,1
4,15,323.7,1
4,16,323.7,1
4,17,323.7,1
4,18,323.7,1
4,19,323.7,1
4,20,323.7,1
4,21,323.7,1
4,22,324.5,1
4,23,325.5,1
4,24,326.9,1
4,25,326.9,1
4,26,326.9,1
4,27,327.3,1
4,28,327.7,1
4,29,331.0,1
4,30,331.0,1
5,1,331.0,1
5,2,331.0,1
5,3,331.7,1
5,4,331.7,1
5,5,331.8,1
5,6,332.6,1
5,7,332.9,1
5,8,332.9,1
5,9,333.7,1
5,10,333.7,1
5,11,334.1,1
5,12,334.1,1
5,13,334.1,1
5,14,334.4,1
5,15,335.5,1
5,16,337.0,1
5,17,338.1,1
5,18,338.4,1
5,19,338.4,1
5,20,338.4,1
5,21,338.4,1
5,22,338.4,1
5,23,338.4,1
5,24,338.4,1
5,25,338.4,1
5,26,338.4,1
5,27,338.4,1
5,28,338.4,1
5,29,338.4,1
5,30,338.4,1
5,31,338.4,1
6,1,338.4,1
6,2,338.4,1
6,3,338.4,1
6,4,338.4,1
6,5,338.8,1
6,6,338.8,1
6,7,338.8,1
6,8,338.9,1
6,9,338.9,1
6,10,338.9,1
6,11,338.9,1
6,12,338.9,1
6,13,338.9,1
6,14,338.9,1
6,15,339.3,1
6,16,340.3,1
6,17,340.3,1
6,18,340.3,1
6,19,340.3,1
6,20,340.6,1
6,21,340.6,1
6,22,340.6,1
6,23,340.7,1
6,24,341.1,1
6,25,341.1,1
6,26,341.1,1
6,27,341.6,1
6,28,341.6,1
6,29,341.6,1
6,30,341.6,1
7,1,341.6,1
7,2,341.6,1
7,3,341.6,1
7,4,341.6,1
7,5,341.6,1
7,6,341.6,1
7,7,341.6,1
7,8,341.6,1
7,9,341.6,1
7,10,342.1,1
7,11,342.1,1
7,12,342.1,1
7,13,342.1,1
7,14,342.1,1
7,15,342.1,1
7,16,342.1,1
7,17,342.1,1
7,18,342.1,1
7,19,342.1,1
7,20,342.1,1
7,21,342.1,1
7,22,342.2,1
7,23,342.2,1
7,24,342.2,1
7,25,342.2,1
7,26,342.2,1
7,27,342.2,1
7,28,342.2,1
7,29,342.2,1
7,30,342.2,1
7,31,342.2,1
8,1,342.2,1
8,2,342.2,1
8,3,342.2,1
8,4,342.2,1
8,5,342.2,1
8,6,342.2,1
8,7,342.2,1
8,8,342.2,1
8,9,342.2,1
8,10,342.2,1
8,11,342.2,1
8,12,342.2,1
8,13,342.2,1
8,14,342.2,1
8,15,342.3,1
8,16,342.4,1
8,17,342.4,1
8,18,342.4,1
8,19,342.4,1
8,20,343.5,1
8,21,345.0,1
8,22,345.0,1
8,23,345.0,1
8,24,345.0,1
8,25,345.0,1
8,26,345.0,1
8,27,345.1,1
8,28,345.2,1
8,29,345.2,1
8,30,345.2,1
8,31,345.2,1
9,1,345.3,1
9,2,345.3,1
9,3,345.3,1
9,4,345.3,1
9,5,345.4,1
9,6,345.4,1
9,7,345.6,1
9,8,345.6,1
9,9,345.9,1
9,10,345.9,1
9,11,345.9,1
9,12,345.9,1
9,13,345.9,1
9,14,345.9,1
9,15,345.9,1
9,16,345.9,1
9,17,345.9,1
9,18,345.9,1
