month,day,avg_daytime_temperature,years_sampled
1,1,-9.36,1
1,2,-7.09,1
1,3,-5.34,1
1,4,-2.51,1
1,5,3.62,1
1,6,5.44,1
1,7,3.18,1
1,8,9.8,1
1,9,6.24,1
1,10,1.83,1
1,11,-0.54,1
1,12,1.6,1
1,13,7.06,1
1,14,-5.03,1
1,15,-7.54,1
1,16,0.18,1
1,17,-9.98,1
1,18,-10.29,1
1,19,-16.2,1
1,20,-10.68,1
1,21,-2.29,1
1,22,-6.66,1
1,23,-21.34,1
1,24,-17.28,1
1,25,-7.83,1
1,26,-16.11,1
1,27,-10.82,1
1,28,-12.51,1
1,29,-12.71,1
1,30,-8.38,1
1,31,-5.41,1
2,1,-6.82,1
2,2,-3.26,1
2,3,-4.33,1
2,4,-4.48,1
2,5,-4.55,1
2,6,0.85,1
2,7,-7.39,1
2,8,-3.95,1
2,9,-2.35,1
2,10,5.12,1
2,11,1.65,1
2,12,0.33,1
2,13,5.99,1
2,14,4.92,1
2,15,8.93,1
2,16,11.0,1
2,17,8.58,1
2,18,13.99,1
2,19,10.06,1
2,20,0.55,1
2,21,-1.57,1
2,22,-3.72,1
2,23,-4.35,1
2,24,-0.39,1
2,25,0.44,1
2,26,1.27,1
2,27,9.3,1
2,28,0.68,1
3,1,-2.32,1
3,2,0.66,1
3,3,1.84,1
3,4,3.04,1
3,5,6.3,1
3,6,14.43,1
3,7,12.37,1
3,8,10.47,1
3,9,16.5,1
3,10,6.38,1
3,11,2.73,1
3,12,4.39,1
3,13,6.09,1
3,14,1.01,1
3,15,12.81,1
3,16,-3.76,1
3,17,-6.8,1
3,18,1.62,1
3,19,7.06,1
3,20,12.24,1
3,21,13.79,1
3,22,3.15,1
3,23,1.48,1
3,24,5.0,1
3,25,14.15,1
3,26,11.46,1
3,27,1.48,1
3,28,3.95,1
3,29,12.36,1
3,30,20.75,1
3,31,16.27,1
4,1,3.51,1
4,2,13.78,1
4,3,8.36,1
4,4,10.43,1
4,5,7.54,1
4,6,8.09,1
4,7,0.94,1
4,8,12.18,1
4,9,17.15,1
4,10,7.32,1
4,11,8.27,1
4,12,21.65,1
4,13,21.15,1
4,14,21.76,1
4,15,19.78,1
4,16,17.68,1
4,17,20.08,1
4,18,9.2,1
4,19,6.89,1
4,20,8.45,1
4,21,18.18,1
4,22,14.3,1
4,23,21.04,1
4,24,19.31,1
4,25,8.78,1
4,26,11.02,1
4,27,15.54,1
4,28,13.92,1
4,29,9.2,1
4,30,8.03,1
5,1,6.56,1
5,2,8.61,1
5,3,12.86,1
5,4,18.89,1
5,5,11.98,1
5,6,11.86,1
5,7,11.58,1
5,8,13.96,1
5,9,18.96,1
5,10,13.2,1
5,11,9.41,1
5,12,17.7,1
5,13,11.18,1
5,14,14.09,1
5,15,18.83,1
5,16,24.36,1
5,17,26.39,1
5,18,23.96,1
5,19,23.63,1
5,20,12.69,1
5,21,12.07,1
5,22,14.78,1
5,23,15.38,1
5,24,17.85,1
5,25,22.43,1
5,26,23.73,1
5,27,21.05,1
5,28,16.21,1
5,29,22.07,1
5,30,18.59,1
5,31,17.63,1
6,1,16.83,1
6,2,18.7,1
6,3,21.55,1
6,4,26.53,1
6,5,22.23,1
6,6,23.17,1
6,7,21.25,1
6,8,23.43,1
6,9,26.77,1
6,10,25.93,1
6,11,24.26,1
6,12,22.73,1
6,13,24.53,1
6,14,18.51,1
6,15,20.47,1
6,16,20.17,1
6,17,17.18,1
6,18,19.61,1
6,19,21.47,1
6,20,21.93,1
6,21,19.05,1
6,22,17.75,1
6,23,18.04,1
6,24,18.57,1
6,25,22.12,1
6,26,17.47,1
6,27,20.55,1
6,28,23.61,1
6,29,29.93,1
6,30,31.49,1
7,1,32.74,1
7,2,29.89,1
7,3,27.36,1
7,4,24.61,1
7,5,21.57,1
7,6,22.35,1
7,7,24.65,1
7,8,28.29,1
7,9,27.11,1
7,10,23.62,1
7,11,23.69,1
7,12,25.67,1
7,13,28.19,1
7,14,29.91,1
7,15,30.03,1
7,16,26.58,1
7,17,27.96,1
7,18,26.91,1
7,19,22.72,1
7,20,24.61,1
7,21,26.21,1
7,22,19.57,1
7,23,21.34,1
7,24,22.49,1
7,25,23.35,1
7,26,27.81,1
7,27,24.9,1
7,28,22.01,1
7,29,22.46,1
7,30,25.69,1
7,31,23.81,1
8,1,21.12,1
8,2,21.19,1
8,3,23.65,1
8,4,25.62,1
8,5,24.5,1
8,6,23.56,1
8,7,25.59,1
8,8,24.72,1
8,9,22.94,1
8,10,23.79,1
8,11,23.95,1
8,12,24.81,1
8,13,24.02,1
8,14,24.09,1
8,15,24.94,1
8,16,26.63,1
8,17,23.16,1
8,18,23.29,1
8,19,23.03,1
8,20,22.73,1
8,21,23.4,1
8,22,23.65,1
8,23,21.69,1
8,24,21.02,1
8,25,22.19,1
8,26,25.18,1
8,27,23.42,1
8,28,23.99,1
8,29,23.98,1
8,30,23.54,1
8,31,26.36,1
9,1,28.42,1
9,2,30.44,1
9,3,27.15,1
9,4,27.29,1
9,5,24.5,1
9,6,22.65,1
9,7,22.95,1
9,8,23.64,1
9,9,23.41,1
9,10,22.25,1
9,11,22.41,1
9,12,25.65,1
9,13,19.16,1
9,14,19.22,1
9,15,23.48,1
9,16,21.68,1
9,17,22.41,1
9,18,20.5,1
9,19,24.26,1
