month,day,avg_daytime_temperature,years_sampled
1,1,3.71,1
1,2,1.74,1
1,3,-1.76,1
1,4,-1.83,1
1,5,-1.33,1
1,6,-2.29,1
1,7,0.39,1
1,8,-1.37,1
1,9,-0.26,1
1,10,-3.44,1
1,11,-3.01,1
1,12,-1.06,1
1,13,2.11,1
1,14,4.2,1
1,15,3.2,1
1,16,4.88,1
1,17,1.88,1
1,18,2.72,1
1,19,1.85,1
1,20,1.56,1
1,21,0.1,1
1,22,-0.2,1
1,23,-1.01,1
1,24,0.76,1
1,25,0.74,1
1,26,-0.49,1
1,27,-0.57,1
1,28,-1.31,1
1,29,-1.48,1
1,30,-0.71,1
1,31,-2.81,1
2,1,-3.26,1
2,2,-4.22,1
2,3,-1.37,1
2,4,-1.92,1
2,5,-1.4,1
2,6,0.66,1
2,7,0.11,1
2,8,-0.5,1
2,9,-0.87,1
2,10,0.07,1
2,11,0.68,1
2,12,-0.03,1
2,13,-2.21,1
2,14,-3.11,1
2,15,-2.97,1
2,16,-2.45,1
2,17,-2.21,1
2,18,-3.43,1
2,19,-3.15,1
2,20,-1.96,1
2,21,2.72,1
2,22,1.08,1
2,23,4.26,1
2,24,2.72,1
2,25,1.04,1
2,26,6.76,1
2,27,9.01,1
2,28,7.73,1
3,1,5.68,1
3,2,7.19,1
3,3,8.25,1
3,4,5.84,1
3,5,2.3,1
3,6,4.35,1
3,7,4.48,1
3,8,5.95,1
3,9,5.68,1
3,10,6.36,1
3,11,7.66,1
3,12,7.15,1
3,13,7.03,1
3,14,3.59,1
3,15,5.79,1
3,16,3.81,1
3,17,3.81,1
3,18,5.31,1
3,19,8.0,1
3,20,4.3,1
3,21,3.48,1
3,22,5.1,1
3,23,6.48,1
3,24,7.62,1
3,25,7.12,1
3,26,5.84,1
3,27,5.44,1
3,28,5.08,1
3,29,5.76,1
3,30,6.13,1
3,31,7.56,1
4,1,6.51,1
4,2,6.92,1
4,3,5.68,1
4,4,8.12,1
4,5,9.77,1
4,6,7.77,1
4,7,7.72,1
4,8,7.57,1
4,9,5.31,1
4,10,4.61,1
4,11,6.66,1
4,12,6.93,1
4,13,9.06,1
4,14,7.46,1
4,15,7.43,1
4,16,6.28,1
4,17,8.81,1
4,18,7.64,1
4,19,7.59,1
4,20,7.99,1
4,21,8.49,1
4,22,12.68,1
4,23,12.45,1
4,24,12.92,1
4,25,9.39,1
4,26,9.01,1
4,27,9.21,1
4,28,9.85,1
4,29,10.57,1
4,30,14.32,1
5,1,15.29,1
5,2,16.81,1
5,3,14.49,1
5,4,14.02,1
5,5,11.45,1
5,6,10.69,1
5,7,11.36,1
5,8,11.38,1
5,9,10.95,1
5,10,11.51,1
5,11,8.57,1
5,12,10.54,1
5,13,8.23,1
5,14,10.06,1
5,15,10.4,1
5,16,10.17,1
5,17,11.22,1
5,18,13.51,1
5,19,12.66,1
5,20,12.6,1
5,21,15.03,1
5,22,15.82,1
5,23,18.17,1
5,24,16.89,1
5,25,19.49,1
5,26,19.78,1
5,27,15.48,1
5,28,16.44,1
5,29,17.48,1
5,30,17.16,1
5,31,15.2,1
6,1,16.34,1
6,2,17.91,1
6,3,17.27,1
6,4,16.55,1
6,5,16.69,1
6,6,15.81,1
6,7,17.0,1
6,8,16.22,1
6,9,15.76,1
6,10,15.49,1
6,11,14.85,1
6,12,14.86,1
6,13,14.26,1
6,14,14.51,1
6,15,15.22,1
6,16,13.47,1
6,17,14.73,1
6,18,19.78,1
6,19,20.47,1
6,20,21.9,1
6,21,20.61,1
6,22,18.46,1
6,23,18.96,1
6,24,22.77,1
6,25,22.62,1
6,26,21.98,1
6,27,24.26,1
6,28,26.74,1
6,29,22.09,1
6,30,19.25,1
7,1,20.24,1
7,2,18.04,1
7,3,15.82,1
7,4,17.47,1
7,5,17.35,1
7,6,14.66,1
7,7,15.99,1
7,8,17.81,1
7,9,20.0,1
7,10,21.58,1
7,11,22.08,1
7,12,24.43,1
7,13,20.39,1
7,14,21.47,1
7,15,21.32,1
7,16,21.48,1
7,17,22.01,1
7,18,19.25,1
7,19,16.75,1
7,20,16.95,1
7,21,19.59,1
7,22,17.61,1
7,23,19.06,1
7,24,18.16,1
7,25,19.69,1
7,26,17.39,1
7,27,16.67,1
7,28,18.38,1
7,29,21.95,1
7,30,23.17,1
7,31,19.54,1
8,1,18.49,1
8,2,18.92,1
8,3,20.04,1
8,4,19.94,1
8,5,22.58,1
8,6,20.65,1
8,7,17.15,1
8,8,19.08,1
8,9,20.18,1
8,10,18.39,1
8,11,17.46,1
8,12,16.84,1
8,13,18.83,1
8,14,21.42,1
8,15,22.13,1
8,16,18.27,1
8,17,17.89,1
8,18,16.81,1
8,19,17.11,1
8,20,17.47,1
8,21,17.93,1
8,22,16.7,1
8,23,15.82,1
8,24,18.47,1
8,25,17.8,1
8,26,19.2,1
8,27,18.93,1
8,28,19.38,1
8,29,18.32,1
8,30,18.83,1
8,31,17.81,1
9,1,17.65,1
9,2,17.27,1
9,3,17.39,1
9,4,16.26,1
9,5,16.02,1
9,6,16.45,1
9,7,18.01,1
9,8,17.88,1
9,9,16.27,1
9,10,15.45,1
9,11,16.24,1
9,12,17.13,1
9,13,17.69,1
9,14,14.8,1
9,15,17.17,1
9,16,16.26,1
9,17,14.85,1
9,18,15.59,1
9,19,16.67,1
9,20,15.06,1
9,21,14.47,1
9,22,15.03,1
9,23,14.37,1
9,24,15.01,1
