month,day,avg_daytime_temperature,years_sampled
1,1,25.66,1
1,2,23.95,1
1,3,22.15,1
1,4,21.47,1
1,5,21.65,1
1,6,21.15,1
1,7,22.07,1
1,8,21.74,1
1,9,20.45,1
1,10,21.58,1
1,11,21.25,1
1,12,22.3,1
1,13,23.08,1
1,14,22.81,1
1,15,22.54,1
1,16,22.88,1
1,17,22.48,1
1,18,21.29,1
1,19,20.96,1
1,20,21.07,1
1,21,21.24,1
1,22,20.93,1
1,23,21.55,1
1,24,22.68,1
1,25,25.17,1
1,26,25.09,1
1,27,25.38,1
1,28,25.38,1
1,29,24.58,1
1,30,24.81,1
1,31,23.19,1
2,1,23.41,1
2,2,21.95,1
2,3,21.58,1
2,4,23.1,1
2,5,21.9,1
2,6,21.26,1
2,7,22.83,1
2,8,24.78,1
2,9,25.42,1
2,10,23.39,1
2,11,23.48,1
2,12,24.09,1
2,13,25.02,1
2,14,24.89,1
2,15,24.17,1
2,16,28.26,1
2,17,28.77,1
2,18,27.09,1
2,19,26.21,1
2,20,27.85,1
2,21,28.53,1
2,22,30.48,1
2,23,29.8,1
2,24,26.62,1
2,25,24.79,1
2,26,22.68,1
2,27,21.01,1
2,28,21.08,1
3,1,21.66,1
3,2,20.98,1
3,3,20.98,1
3,4,20.11,1
3,5,21.7,1
3,6,23.02,1
3,7,22.34,1
3,8,21.62,1
3,9,22.59,1
3,10,22.86,1
3,11,23.14,1
3,12,21.51,1
3,13,21.02,1
3,14,21.16,1
3,15,21.96,1
3,16,22.89,1
3,17,22.04,1
3,18,21.5,1
3,19,21.75,1
3,20,22.65,1
3,21,22.3,1
3,22,22.3,1
3,23,22.0,1
3,24,21.93,1
3,25,21.57,1
3,26,21.47,1
3,27,21.72,1
3,28,23.09,1
3,29,24.42,1
3,30,25.07,1
3,31,25.77,1
4,1,31.93,1
4,2,30.02,1
4,3,32.03,1
4,4,28.52,1
4,5,28.73,1
4,6,25.96,1
4,7,26.38,1
4,8,24.16,1
4,9,23.32,1
4,10,22.53,1
4,11,22.54,1
4,12,22.28,1
4,13,22.17,1
4,14,22.96,1
4,15,22.29,1
4,16,22.65,1
4,17,23.05,1
4,18,23.5,1
4,19,23.16,1
4,20,22.44,1
4,21,21.72,1
4,22,22.22,1
4,23,22.05,1
4,24,22.17,1
4,25,22.31,1
4,26,22.42,1
4,27,22.06,1
4,28,21.69,1
4,29,22.03,1
4,30,22.08,1
5,1,23.2,1
5,2,24.5,1
5,3,25.12,1
5,4,26.46,1
5,5,25.92,1
5,6,23.54,1
5,7,23.06,1
5,8,23.34,1
5,9,23.08,1
5,10,23.26,1
5,11,23.51,1
5,12,23.73,1
5,13,23.86,1
5,14,22.4,1
5,15,22.14,1
5,16,22.42,1
5,17,22.75,1
5,18,23.15,1
5,19,23.79,1
5,20,24.0,1
5,21,24.44,1
5,22,24.22,1
5,23,25.39,1
5,24,25.65,1
5,25,26.8,1
5,26,27.22,1
5,27,26.25,1
5,28,27.96,1
5,29,27.7,1
5,30,26.87,1
5,31,26.9,1
6,1,25.97,1
6,2,26.51,1
6,3,26.49,1
6,4,25.72,1
6,5,25.32,1
6,6,25.62,1
6,7,26.68,1
6,8,25.55,1
6,9,25.0,1
6,10,25.35,1
6,11,26.39,1
6,12,27.93,1
6,13,25.55,1
6,14,26.72,1
6,15,27.59,1
6,16,27.57,1
6,17,26.51,1
6,18,28.52,1
6,19,26.97,1
6,20,26.58,1
6,21,26.44,1
6,22,28.34,1
6,23,28.78,1
6,24,27.27,1
6,25,27.62,1
6,26,28.73,1
6,27,27.82,1
6,28,27.56,1
6,29,26.96,1
6,30,27.57,1
7,1,28.63,1
7,2,28.42,1
7,3,27.94,1
7,4,27.75,1
7,5,27.36,1
7,6,27.59,1
7,7,28.8,1
7,8,28.78,1
7,9,27.89,1
7,10,27.77,1
7,11,28.96,1
7,12,28.63,1
7,13,27.73,1
7,14,28.29,1
7,15,29.95,1
7,16,29.92,1
7,17,29.72,1
7,18,29.76,1
7,19,29.06,1
7,20,29.89,1
7,21,28.49,1
7,22,29.05,1
7,23,29.93,1
7,24,29.66,1
7,25,29.05,1
7,26,28.67,1
7,27,28.18,1
7,28,28.0,1
7,29,28.4,1
7,30,29.21,1
7,31,30.51,1
8,1,29.36,1
8,2,29.1,1
8,3,29.12,1
8,4,30.65,1
8,5,30.35,1
8,6,28.08,1
8,7,28.75,1
8,8,30.97,1
8,9,29.36,1
8,10,31.14,1
8,11,29.92,1
8,12,30.79,1
8,13,29.79,1
8,14,28.84,1
8,15,30.32,1
8,16,29.63,1
8,17,28.12,1
8,18,28.98,1
8,19,30.91,1
8,20,27.7,1
8,21,30.0,1
8,22,30.02,1
8,23,29.75,1
8,24,28.66,1
8,25,30.73,1
8,26,27.8,1
8,27,29.18,1
8,28,30.18,1
8,29,29.6,1
8,30,30.42,1
8,31,30.18,1
9,1,29.62,1
9,2,30.83,1
9,3,28.72,1
9,4,29.63,1
9,5,31.61,1
9,6,32.0,1
9,7,31.37,1
9,8,29.78,1
9,9,28.46,1
9,10,30.52,1
9,11,29.92,1
9,12,29.48,1
9,13,29.15,1
9,14,29.66,1
9,15,29.36,1
9,16,30.63,1
9,17,30.36,1
9,18,29.89,1
9,19,29.25,1
9,20,29.35,1
9,21,29.72,1
9,22,29.88,1
9,23,30.42,1
