month,day,avg_accumulated_precipitation,years_sampled
1,1,1.2,1
1,2,1.2,1
1,3,1.2,1
1,4,1.2,1
1,5,1.2,1
1,6,1.2,1
1,7,1.2,1
1,8,1.2,1
1,9,1.2,1
1,10,1.2,1
1,11,1.2,1
1,12,1.2,1
1,13,1.2,1
1,14,1.2,1
1,15,1.2,1
1,16,1.2,1
1,17,1.2,1
1,18,1.2,1
1,19,1.2,1
1,20,1.2,1
1,21,1.2,1
1,22,1.2,1
1,23,26.2,1
1,24,26.2,1
1,25,26.2,1
1,26,26.2,1
1,27,35.0,1
1,28,38.8,1
1,29,38.8,1
1,30,38.8,1
1,31,39.5,1
2,1,47.7,1
2,2,47.7,1
2,3,47.7,1
2,4,47.7,1
2,5,47.7,1
2,6,47.7,1
2,7,47.7,1
2,8,47.7,1
2,9,47.7,1
2,10,47.7,1
2,11,47.7,1
2,12,47.7,1
2,13,47.7,1
2,14,47.7,1
2,15,47.7,1
2,16,47.7,1
2,17,47.7,1
2,18,48.0,1
2,19,48.0,1
2,20,48.0,1
2,21,48.0,1
2,22,48.0,1
2,23,48.0,1
2,24,48.0,1
2,25,48.0,1
2,26,48.0,1
2,27,48.0,1
2,28,48.0,1
3,1,48.0,1
3,2,48.0,1
3,3,48.0,1
3,4,48.0,1
3,5,48.0,1
3,6,48.0,1
3,7,48.0,1
3,8,48.0,1
3,9,48.0,1
3,10,48.0,1
3,11,48.0,1
3,12,48.0,1
3,13,48.0,1
3,14,48.0,1
3,15,52.0,1
3,16,52.0,1
3,17,52.0,1
3,18,57.2,1
3,19,60.4,1
3,20,64.7,1
3,21,64.7,1
3,22,64.7,1
3,23,71.7,1
3,24,71.7,1
3,25,71.7,1
3,26,71.7,1
3,27,72.4,1
3,28,72.4,1
3,29,72.6,1
3,30,72.6,1
3,31,74.2,1
4,1,74.2,1
4,2,74.2,1
4,3,74.8,1
4,4,76.1,1
4,5,77.1,1
4,6,77.1,1
4,7,88.2,1
4,8,91.7,1
4,9,91.7,1
4,10,91.7,1
4,11,91.7,1
4,12,91.7,1
4,13,91.7,1
4,14,91.7,1
4,15,91.7,1
4,16,91.7,1
4,17,91.7,1
4,18,91.7,1
4,19,91.7,1
4,20,91.7,1
4,21,91.7,1
4,22,91.7,1
4,23,91.7,1
4,24,91.7,1
4,25,91.7,1
4,26,91.7,1
4,27,91.7,1
4,28,91.7,1
4,29,91.7,1
4,30,91.8,1
5,1,91.8,1
5,2,92.0,1
5,3,93.3,1
5,4,97.9,1
5,5,101.8,1
5,6,101.8,1
5,7,101.8,1
5,8,101.9,1
5,9,101.9,1
5,10,101.9,1
5,11,101.9,1
5,12,111.9,1
5,13,112.0,1
5,14,112.3,1
5,15,112.4,1
5,16,112.4,1
5,17,112.4,1
5,18,112.4,1
5,19,112.4,1
5,20,112.4,1
5,21,112.4,1
5,22,112.4,1
5,23,112.4,1
5,24,112.4,1
5,25,112.9,1
5,26,112.9,1
5,27,112.9,1
5,28,113.7,1
5,29,114.4,1
5,30,123.0,1
5,31,123.4,1
6,1,124.2,1
6,2,124.9,1
6,3,124.9,1
6,4,126.2,1
6,5,130.6,1
6,6,130.7,1
6,7,131.5,1
6,8,131.5,1
6,9,131.5,1
6,10,132.3,1
6,11,132.4,1
6,12,141.6,1
6,13,141.7,1
6,14,142.5,1
6,15,143.5,1
6,16,143.6,1
6,17,143.6,1
6,18,143.6,1
6,19,143.6,1
6,20,143.7,1
6,21,143.7,1
6,22,144.7,1
6,23,145.6,1
6,24,145.9,1
6,25,148.0,1
6,26,149.0,1
6,27,149.4,1
6,28,149.9,1
6,29,151.8,1
6,30,156.1,1
7,1,158.0,1
7,2,162.0,1
7,3,162.1,1
7,4,163.7,1
7,5,165.3,1
7,6,165.6,1
7,7,173.4,1
7,8,186.9,1
7,9,339.7,1
7,10,341.3,1
7,11,342.8,1
7,12,343.6,1
7,13,343.8,1
7,14,345.0,1
7,15,359.6,1
7,16,359.6,1
7,17,359.8,1
7,18,359.8,1
7,19,361.9,1
7,20,393.9,1
7,21,406.0,1
7,22,413.5,1
7,23,420.9,1
7,24,426.9,1
7,25,431.3,1
7,26,432.9,1
7,27,433.8,1
7,28,449.3,1
7,29,456.1,1
7,30,460.6,1
7,31,464.0,1
8,1,467.7,1
8,2,476.8,1
8,3,491.0,1
8,4,503.5,1
8,5,509.9,1
8,6,525.7,1
8,7,593.2,1
8,8,620.1,1
8,9,622.6,1
8,10,630.4,1
8,11,640.9,1
8,12,642.4,1
8,13,644.6,1
8,14,651.5,1
8,15,658.4,1
8,16,662.9,1
8,17,669.3,1
8,18,671.6,1
8,19,675.9,1
8,20,682.9,1
8,21,684.3,1
8,22,696.4,1
8,23,700.3,1
8,24,704.2,1
8,25,707.8,1
8,26,719.2,1
8,27,719.4,1
8,28,719.9,1
8,29,719.9,1
8,30,720.6,1
8,31,722.8,1
9,1,726.3,1
9,2,736.6,1
9,3,739.6,1
9,4,752.8,1
9,5,774.4,1
9,6,785.2,1
9,7,786.2,1
9,8,786.4,1
9,9,786.4,1
9,10,786.4,1
9,11,792.1,1
9,12,800.2,1
9,13,801.2,1
9,14,805.9,1
9,15,807.4,1
9,16,807.5,1
9,17,812.6,1
9,18,813.8,1
9,19,813.8,1
9,20,814.3,1
9,21,814.3,1
9,22,814.3,1
9,23,814.3,1
9,24,814.3,1
9,25,814.4,1
