month,day,avg_daytime_temperature,years_sampled
1,1,19.04,1
1,2,21.44,1
1,3,23.14,1
1,4,21.63,1
1,5,19.32,1
1,6,19.62,1
1,7,19.35,1
1,8,20.34,1
1,9,20.48,1
1,10,21.1,1
1,11,20.75,1
1,12,20.37,1
1,13,20.91,1
1,14,23.41,1
1,15,20.92,1
1,16,18.16,1
1,17,17.09,1
1,18,18.92,1
1,19,20.7,1
1,20,20.76,1
1,21,17.71,1
1,22,17.32,1
1,23,17.62,1
1,24,19.08,1
1,25,21.35,1
1,26,19.32,1
1,27,19.35,1
1,28,20.23,1
1,29,23.27,1
1,30,20.94,1
1,31,20.22,1
2,1,23.19,1
2,2,24.3,1
2,3,22.35,1
2,4,24.52,1
2,5,21.2,1
2,6,20.57,1
2,7,20.85,1
2,8,24.87,1
2,9,24.52,1
2,10,25.53,1
2,11,25.35,1
2,12,24.55,1
2,13,25.83,1
2,14,26.95,1
2,15,27.3,1
2,16,23.14,1
2,17,24.2,1
2,18,23.53,1
2,19,25.6,1
2,20,26.08,1
2,21,25.56,1
2,22,25.46,1
2,23,25.65,1
2,24,25.71,1
2,25,24.97,1
2,26,23.2,1
2,27,22.87,1
2,28,24.42,1
3,1,24.12,1
3,2,23.83,1
3,3,22.78,1
3,4,19.75,1
3,5,21.28,1
3,6,22.06,1
3,7,24.04,1
3,8,21.63,1
3,9,23.98,1
3,10,22.12,1
3,11,22.88,1
3,12,23.04,1
3,13,25.58,1
3,14,25.96,1
3,15,26.99,1
3,16,28.85,1
3,17,28.71,1
3,18,24.78,1
3,19,24.22,1
3,20,25.81,1
3,21,25.63,1
3,22,27.45,1
3,23,23.09,1
3,24,22.58,1
3,25,24.14,1
3,26,25.8,1
3,27,23.94,1
3,28,22.36,1
3,29,24.52,1
3,30,25.09,1
3,31,22.39,1
4,1,24.23,1
4,2,24.0,1
4,3,26.58,1
4,4,27.02,1
4,5,26.47,1
4,6,26.35,1
4,7,26.08,1
4,8,27.58,1
4,9,24.92,1
4,10,24.18,1
4,11,24.43,1
4,12,24.7,1
4,13,28.58,1
4,14,28.11,1
4,15,26.26,1
4,16,28.23,1
4,17,28.06,1
4,18,30.1,1
4,19,30.22,1
4,20,30.68,1
4,21,28.4,1
4,22,29.2,1
4,23,28.83,1
4,24,28.93,1
4,25,30.72,1
4,26,31.27,1
4,27,33.15,1
4,28,32.38,1
4,29,32.06,1
4,30,30.55,1
5,1,31.34,1
5,2,32.1,1
5,3,34.49,1
5,4,35.6,1
5,5,35.86,1
5,6,33.24,1
5,7,34.16,1
5,8,35.76,1
5,9,34.26,1
5,10,34.46,1
5,11,36.01,1
5,12,35.01,1
5,13,35.37,1
5,14,37.74,1
5,15,35.11,1
5,16,35.04,1
5,17,32.46,1
5,18,32.62,1
5,19,34.99,1
5,20,36.0,1
5,21,34.28,1
5,22,34.93,1
5,23,34.21,1
5,24,35.56,1
5,25,35.17,1
5,26,37.15,1
5,27,38.49,1
5,28,39.94,1
5,29,39.72,1
5,30,37.81,1
5,31,37.66,1
6,1,39.01,1
6,2,40.43,1
6,3,41.19,1
6,4,40.48,1
6,5,39.31,1
6,6,39.31,1
6,7,37.54,1
6,8,38.34,1
6,9,39.99,1
6,10,40.51,1
6,11,40.73,1
6,12,40.5,1
6,13,38.3,1
6,14,38.6,1
6,15,39.4,1
6,16,37.86,1
6,17,37.58,1
6,18,34.56,1
6,19,34.44,1
6,20,36.16,1
6,21,39.69,1
6,22,41.51,1
6,23,36.35,1
6,24,36.89,1
6,25,39.29,1
6,26,39.26,1
6,27,37.57,1
6,28,35.99,1
6,29,38.72,1
6,30,39.96,1
7,1,40.54,1
7,2,38.84,1
7,3,35.34,1
7,4,36.42,1
7,5,40.24,1
7,6,41.3,1
7,7,41.09,1
7,8,41.01,1
7,9,40.37,1
7,10,39.46,1
7,11,39.79,1
7,12,41.36,1
7,13,41.91,1
7,14,39.16,1
7,15,38.11,1
7,16,38.3,1
7,17,35.41,1
7,18,35.81,1
7,19,37.41,1
7,20,40.21,1
7,21,41.28,1
7,22,42.29,1
7,23,43.08,1
7,24,38.66,1
7,25,37.66,1
7,26,36.86,1
7,27,37.33,1
7,28,37.27,1
7,29,37.28,1
7,30,39.41,1
7,31,40.64,1
8,1,41.32,1
8,2,40.47,1
8,3,39.48,1
8,4,38.48,1
8,5,39.98,1
8,6,40.85,1
8,7,41.78,1
8,8,38.56,1
8,9,38.28,1
8,10,41.1,1
8,11,40.48,1
8,12,40.99,1
8,13,38.56,1
8,14,38.83,1
8,15,41.79,1
8,16,41.11,1
8,17,38.57,1
8,18,38.41,1
8,19,39.56,1
8,20,40.27,1
8,21,36.27,1
8,22,37.4,1
8,23,38.35,1
8,24,39.65,1
8,25,38.32,1
8,26,38.91,1
8,27,39.52,1
8,28,38.62,1
8,29,39.59,1
8,30,41.28,1
8,31,40.38,1
9,1,39.92,1
9,2,39.65,1
9,3,37.69,1
9,4,36.75,1
9,5,37.44,1
9,6,38.22,1
9,7,39.62,1
9,8,40.77,1
9,9,40.89,1
9,10,42.29,1
9,11,40.59,1
9,12,38.88,1
9,13,36.22,1
9,14,36.09,1
9,15,37.26,1
9,16,37.75,1
9,17,39.39,1
9,18,38.22,1
9,19,36.62,1
9,20,36.6,1
9,21,36.28,1
9,22,36.01,1
9,23,35.45,1
9,24,36.45,1
9,25,38.84,1
9,26,38.92,1
