month,day,avg_daytime_temperature,years_sampled
1,1,20.49,1
1,2,21.35,1
1,3,21.02,1
1,4,22.8,1
1,5,22.83,1
1,6,23.27,1
1,7,22.48,1
1,8,21.71,1
1,9,21.34,1
1,10,21.82,1
1,11,22.82,1
1,12,21.79,1
1,13,21.94,1
1,14,23.07,1
1,15,23.97,1
1,16,21.11,1
1,17,21.12,1
1,18,20.92,1
1,19,21.08,1
1,20,23.25,1
1,21,21.78,1
1,22,19.46,1
1,23,19.96,1
1,24,20.54,1
1,25,22.36,1
1,26,20.59,1
1,27,21.66,1
1,28,22.53,1
1,29,24.09,1
1,30,21.68,1
1,31,21.01,1
2,1,21.94,1
2,2,23.44,1
2,3,23.0,1
2,4,26.64,1
2,5,22.76,1
2,6,22.52,1
2,7,23.8,1
2,8,24.88,1
2,9,24.32,1
2,10,23.54,1
2,11,24.31,1
2,12,26.66,1
2,13,26.18,1
2,14,25.88,1
2,15,25.96,1
2,16,23.98,1
2,17,25.1,1
2,18,24.96,1
2,19,25.62,1
2,20,25.34,1
2,21,25.62,1
2,22,24.62,1
2,23,23.89,1
2,24,25.83,1
2,25,26.59,1
2,26,23.57,1
2,27,22.61,1
2,28,24.03,1
3,1,28.56,1
3,2,30.42,1
3,3,29.63,1
3,4,26.69,1
3,5,24.86,1
3,6,23.78,1
3,7,24.25,1
3,8,24.22,1
3,9,26.84,1
3,10,25.99,1
3,11,25.71,1
3,12,24.5,1
3,13,27.0,1
3,14,26.93,1
3,15,28.22,1
3,16,31.58,1
3,17,30.93,1
3,18,27.24,1
3,19,27.6,1
3,20,29.41,1
3,21,25.84,1
3,22,27.75,1
3,23,22.45,1
3,24,22.49,1
3,25,22.76,1
3,26,25.14,1
3,27,24.4,1
3,28,22.38,1
3,29,22.79,1
3,30,23.22,1
3,31,21.74,1
4,1,23.92,1
4,2,23.67,1
4,3,23.2,1
4,4,24.11,1
4,5,25.78,1
4,6,24.73,1
4,7,23.94,1
4,8,24.28,1
4,9,24.92,1
4,10,26.01,1
4,11,23.27,1
4,12,23.82,1
4,13,26.51,1
4,14,25.44,1
4,15,24.42,1
4,16,24.45,1
4,17,24.54,1
4,18,25.97,1
4,19,26.52,1
4,20,27.48,1
4,21,28.43,1
4,22,31.4,1
4,23,32.62,1
4,24,32.82,1
4,25,31.44,1
4,26,32.1,1
4,27,32.96,1
4,28,34.55,1
4,29,35.68,1
4,30,33.85,1
5,1,33.22,1
5,2,33.72,1
5,3,35.5,1
5,4,32.75,1
5,5,33.84,1
5,6,35.16,1
5,7,36.51,1
5,8,33.56,1
5,9,33.5,1
5,10,32.35,1
5,11,31.42,1
5,12,31.99,1
5,13,34.08,1
5,14,33.55,1
5,15,33.09,1
5,16,32.64,1
5,17,34.57,1
5,18,31.25,1
5,19,31.3,1
5,20,35.35,1
5,21,32.47,1
5,22,35.3,1
5,23,33.81,1
5,24,33.84,1
5,25,35.46,1
5,26,34.87,1
5,27,35.31,1
5,28,35.96,1
5,29,35.39,1
5,30,36.18,1
5,31,35.34,1
6,1,35.21,1
6,2,35.44,1
6,3,37.01,1
6,4,35.98,1
6,5,35.65,1
6,6,35.16,1
6,7,35.82,1
6,8,37.7,1
6,9,35.36,1
6,10,35.76,1
6,11,37.07,1
6,12,35.86,1
6,13,35.41,1
6,14,36.86,1
6,15,36.12,1
6,16,35.46,1
6,17,35.66,1
6,18,37.71,1
6,19,39.92,1
6,20,38.75,1
6,21,36.03,1
6,22,36.11,1
6,23,38.11,1
6,24,39.1,1
6,25,37.12,1
6,26,35.98,1
6,27,34.41,1
6,28,36.84,1
6,29,36.19,1
6,30,36.04,1
7,1,35.94,1
7,2,36.66,1
7,3,37.76,1
7,4,37.16,1
7,5,35.83,1
7,6,37.22,1
7,7,37.32,1
7,8,36.81,1
7,9,37.5,1
7,10,36.98,1
7,11,37.19,1
7,12,37.24,1
7,13,36.05,1
7,14,37.84,1
7,15,41.74,1
7,16,40.34,1
7,17,38.42,1
7,18,37.74,1
7,19,38.36,1
7,20,39.55,1
7,21,38.93,1
7,22,36.89,1
7,23,37.87,1
7,24,38.09,1
7,25,37.51,1
7,26,37.9,1
7,27,36.86,1
7,28,37.49,1
7,29,40.21,1
7,30,40.8,1
7,31,41.27,1
8,1,39.87,1
8,2,39.2,1
8,3,40.85,1
8,4,42.51,1
8,5,41.78,1
8,6,40.51,1
8,7,39.73,1
8,8,41.52,1
8,9,42.16,1
8,10,40.94,1
8,11,40.03,1
8,12,38.39,1
8,13,41.24,1
8,14,39.02,1
8,15,37.89,1
8,16,37.97,1
8,17,39.66,1
8,18,40.38,1
8,19,39.98,1
8,20,36.98,1
8,21,38.31,1
8,22,39.85,1
8,23,39.82,1
8,24,39.09,1
8,25,38.59,1
8,26,39.64,1
8,27,39.31,1
8,28,37.98,1
8,29,37.84,1
8,30,38.52,1
8,31,38.1,1
9,1,36.53,1
9,2,37.48,1
9,3,38.53,1
9,4,37.86,1
9,5,38.72,1
9,6,38.28,1
9,7,38.37,1
9,8,39.21,1
9,9,39.42,1
9,10,39.18,1
9,11,37.39,1
9,12,39.47,1
9,13,37.28,1
9,14,37.03,1
9,15,36.62,1
9,16,36.33,1
9,17,35.85,1
9,18,35.99,1
9,19,37.32,1
9,20,38.43,1
9,21,36.92,1
9,22,36.18,1
9,23,36.77,1
9,24,36.29,1
