month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.0,1
1,3,0.0,1
1,4,0.0,1
1,5,0.0,1
1,6,0.0,1
1,7,0.0,1
1,8,0.0,1
1,9,0.0,1
1,10,0.0,1
1,11,0.0,1
1,12,0.0,1
1,13,0.0,1
1,14,0.0,1
1,15,0.0,1
1,16,0.0,1
1,17,0.0,1
1,18,0.0,1
1,19,0.0,1
1,20,0.0,1
1,21,0.0,1
1,22,0.0,1
1,23,0.0,1
1,24,0.0,1
1,25,2.7,1
1,26,3.4,1
1,27,3.4,1
1,28,3.4,1
1,29,3.4,1
1,30,3.4,1
1,31,3.4,1
2,1,3.4,1
2,2,3.4,1
2,3,3.4,1
2,4,3.4,1
2,5,3.4,1
2,6,3.4,1
2,7,3.4,1
2,8,3.6,1
2,9,3.6,1
2,10,3.6,1
2,11,3.6,1
2,12,3.6,1
2,13,3.6,1
2,14,3.6,1
2,15,3.6,1
2,16,3.6,1
2,17,3.6,1
2,18,3.6,1
2,19,3.6,1
2,20,3.6,1
2,21,3.6,1
2,22,3.6,1
2,23,3.6,1
2,24,3.6,1
2,25,3.6,1
2,26,3.6,1
2,27,3.6,1
2,28,3.6,1
3,1,3.6,1
3,2,3.6,1
3,3,3.6,1
3,4,3.6,1
3,5,3.6,1
3,6,3.6,1
3,7,3.6,1
3,8,3.8,1
3,9,3.8,1
3,10,4.8,1
3,11,9.8,1
3,12,9.9,1
3,13,11.0,1
3,14,11.0,1
3,15,11.0,1
3,16,11.0,1
3,17,11.0,1
3,18,11.2,1
3,19,11.2,1
3,20,11.2,1
3,21,35.9,1
3,22,40.3,1
3,23,72.0,1
3,24,99.6,1
3,25,143.8,1
3,26,212.8,1
3,27,308.1,1
3,28,308.1,1
3,29,308.1,1
3,30,308.1,1
3,31,311.8,1
4,1,311.8,1
4,2,311.8,1
4,3,311.8,1
4,4,311.8,1
4,5,311.8,1
4,6,312.2,1
4,7,312.2,1
4,8,312.2,1
4,9,312.2,1
4,10,314.1,1
4,11,325.6,1
4,12,326.7,1
4,13,326.7,1
4,14,326.7,1
4,15,326.7,1
4,16,326.7,1
4,17,326.7,1
4,18,326.7,1
4,19,326.7,1
4,20,326.7,1
4,21,326.7,1
4,22,326.7,1
4,23,326.7,1
4,24,326.7,1
4,25,326.7,1
4,26,326.7,1
4,27,326.7,1
4,28,326.7,1
4,29,326.7,1
4,30,326.7,1
5,1,326.7,1
5,2,326.7,1
5,3,326.7,1
5,4,326.7,1
5,5,326.7,1
5,6,326.7,1
5,7,326.7,1
5,8,326.7,1
5,9,326.7,1
5,10,326.7,1
5,11,326.7,1
5,12,326.7,1
5,13,326.7,1
5,14,326.7,1
5,15,326.7,1
5,16,326.7,1
5,17,326.7,1
5,18,326.7,1
5,19,326.7,1
5,20,326.7,1
5,21,326.7,1
5,22,326.7,1
5,23,326.7,1
5,24,326.7,1
5,25,326.7,1
5,26,326.7,1
5,27,326.7,1
5,28,326.7,1
5,29,326.7,1
5,30,326.7,1
5,31,326.7,1
6,1,326.7,1
6,2,326.7,1
6,3,326.7,1
6,4,326.7,1
6,5,326.7,1
6,6,326.7,1
6,7,326.7,1
6,8,326.7,1
6,9,326.7,1
6,10,326.7,1
6,11,326.7,1
6,12,326.7,1
6,13,326.7,1
6,14,326.7,1
6,15,326.7,1
6,16,326.7,1
6,17,326.7,1
6,18,326.7,1
6,19,326.7,1
6,20,326.7,1
6,21,326.7,1
6,22,326.7,1
6,23,326.7,1
6,24,326.7,1
6,25,326.7,1
6,26,326.7,1
6,27,326.7,1
6,28,326.7,1
6,29,326.7,1
6,30,326.7,1
7,1,326.7,1
7,2,326.7,1
7,3,326.7,1
7,4,326.7,1
7,5,326.7,1
7,6,326.7,1
7,7,326.7,1
7,8,326.7,1
7,9,326.7,1
7,10,326.7,1
7,11,326.7,1
7,12,326.7,1
7,13,326.7,1
7,14,326.7,1
7,15,326.7,1
7,16,326.7,1
7,17,326.7,1
7,18,326.7,1
7,19,326.7,1
7,20,326.7,1
7,21,326.7,1
7,22,326.7,1
7,23,326.7,1
7,24,326.7,1
7,25,326.7,1
7,26,326.7,1
7,27,326.7,1
7,28,326.7,1
7,29,326.7,1
7,30,326.7,1
7,31,326.7,1
8,1,326.7,1
8,2,326.7,1
8,3,326.7,1
8,4,328.4,1
8,5,328.4,1
8,6,328.4,1
8,7,328.4,1
8,8,328.4,1
8,9,328.7,1
8,10,328.7,1
8,11,328.7,1
8,12,328.7,1
8,13,328.7,1
8,14,328.7,1
8,15,328.7,1
8,16,328.7,1
8,17,328.7,1
8,18,328.7,1
8,19,328.7,1
8,20,328.7,1
8,21,328.8,1
8,22,328.8,1
8,23,328.8,1
8,24,328.8,1
8,25,328.8,1
8,26,328.8,1
8,27,328.8,1
8,28,328.8,1
8,29,328.8,1
8,30,328.8,1
8,31,328.8,1
9,1,328.8,1
9,2,328.8,1
9,3,328.8,1
9,4,328.8,1
9,5,328.8,1
9,6,328.8,1
9,7,328.8,1
9,8,328.8,1
9,9,328.8,1
9,10,328.8,1
9,11,328.8,1
9,12,328.8,1
9,13,328.8,1
9,14,328.8,1
9,15,328.8,1
9,16,328.8,1
9,17,328.8,1
9,18,328.8,1
9,19,328.8,1
9,20,328.8,1
9,21,328.8,1
9,22,328.8,1
9,23,328.8,1
9,24,328.8,1
9,25,328.8,1
