month,day,avg_daytime_temperature,years_sampled
1,1,5.66,1
1,2,2.66,1
1,3,1.79,1
1,4,1.06,1
1,5,1.26,1
1,6,4.32,1
1,7,4.84,1
1,8,3.88,1
1,9,2.94,1
1,10,4.55,1
1,11,11.15,1
1,12,9.89,1
1,13,5.88,1
1,14,6.02,1
1,15,6.68,1
1,16,6.99,1
1,17,7.1,1
1,18,8.1,1
1,19,7.68,1
1,20,7.85,1
1,21,7.64,1
1,22,8.07,1
1,23,7.57,1
1,24,7.99,1
1,25,8.08,1
1,26,7.21,1
1,27,8.81,1
1,28,7.91,1
1,29,7.22,1
1,30,8.61,1
1,31,7.51,1
2,1,7.26,1
2,2,8.01,1
2,3,5.87,1
2,4,7.7,1
2,5,6.4,1
2,6,7.04,1
2,7,8.21,1
2,8,7.55,1
2,9,8.17,1
2,10,8.63,1
2,11,9.13,1
2,12,6.83,1
2,13,4.61,1
2,14,3.39,1
2,15,8.59,1
2,16,6.99,1
2,17,4.14,1
2,18,5.99,1
2,19,7.07,1
2,20,10.09,1
2,21,11.86,1
2,22,10.87,1
2,23,10.33,1
2,24,11.35,1
2,25,12.76,1
2,26,11.47,1
2,27,8.99,1
2,28,7.06,1
3,1,11.5,1
3,2,9.87,1
3,3,7.21,1
3,4,11.28,1
3,5,6.51,1
3,6,6.68,1
3,7,8.32,1
3,8,8.47,1
3,9,9.39,1
3,10,10.59,1
3,11,9.12,1
3,12,10.04,1
3,13,5.58,1
3,14,7.33,1
3,15,8.75,1
3,16,10.01,1
3,17,12.03,1
3,18,10.68,1
3,19,10.62,1
3,20,9.79,1
3,21,10.01,1
3,22,10.7,1
3,23,10.32,1
3,24,11.46,1
3,25,6.23,1
3,26,7.34,1
3,27,9.11,1
3,28,7.58,1
3,29,10.72,1
3,30,10.29,1
3,31,12.75,1
4,1,11.71,1
4,2,7.34,1
4,3,11.34,1
4,4,10.24,1
4,5,7.24,1
4,6,10.45,1
4,7,13.39,1
4,8,13.5,1
4,9,8.94,1
4,10,7.24,1
4,11,8.07,1
4,12,9.33,1
4,13,8.94,1
4,14,11.29,1
4,15,12.99,1
4,16,12.1,1
4,17,13.09,1
4,18,10.7,1
4,19,8.97,1
4,20,9.66,1
4,21,9.76,1
4,22,10.3,1
4,23,11.58,1
4,24,12.34,1
4,25,13.68,1
4,26,13.51,1
4,27,12.58,1
4,28,10.87,1
4,29,11.73,1
4,30,13.54,1
5,1,16.43,1
5,2,13.53,1
5,3,12.05,1
5,4,12.11,1
5,5,10.72,1
5,6,10.28,1
5,7,13.19,1
5,8,11.82,1
5,9,11.62,1
5,10,10.82,1
5,11,11.42,1
5,12,12.66,1
5,13,11.37,1
5,14,11.14,1
5,15,11.13,1
5,16,11.79,1
5,17,10.58,1
5,18,10.48,1
5,19,14.16,1
5,20,15.25,1
5,21,16.32,1
5,22,17.03,1
5,23,16.98,1
5,24,18.94,1
5,25,19.18,1
5,26,18.94,1
5,27,17.88,1
5,28,18.96,1
5,29,19.42,1
5,30,18.52,1
5,31,17.61,1
6,1,18.18,1
6,2,15.61,1
6,3,15.25,1
6,4,14.13,1
6,5,13.26,1
6,6,13.96,1
6,7,15.13,1
6,8,12.86,1
6,9,11.73,1
6,10,12.84,1
6,11,15.13,1
6,12,15.99,1
6,13,15.11,1
6,14,13.78,1
6,15,15.35,1
6,16,17.64,1
6,17,18.47,1
6,18,18.48,1
6,19,17.74,1
6,20,16.25,1
6,21,16.51,1
6,22,18.2,1
6,23,22.49,1
6,24,18.83,1
6,25,22.45,1
6,26,22.27,1
6,27,20.31,1
6,28,17.11,1
6,29,17.37,1
6,30,18.46,1
7,1,17.48,1
7,2,16.59,1
7,3,18.59,1
7,4,19.38,1
7,5,20.56,1
7,6,21.21,1
7,7,22.16,1
7,8,22.14,1
7,9,20.04,1
7,10,21.01,1
7,11,20.23,1
7,12,20.52,1
7,13,18.62,1
7,14,19.02,1
7,15,19.56,1
7,16,20.16,1
7,17,21.02,1
7,18,18.46,1
7,19,18.29,1
7,20,18.44,1
7,21,17.8,1
7,22,18.96,1
7,23,19.11,1
7,24,20.19,1
7,25,19.58,1
7,26,17.34,1
7,27,19.2,1
7,28,23.37,1
7,29,20.12,1
7,30,17.42,1
7,31,17.08,1
8,1,17.53,1
8,2,17.27,1
8,3,19.27,1
8,4,20.11,1
8,5,15.55,1
8,6,16.19,1
8,7,18.53,1
8,8,19.8,1
8,9,18.79,1
8,10,15.75,1
8,11,19.91,1
8,12,22.47,1
8,13,23.3,1
8,14,21.14,1
8,15,17.99,1
8,16,17.89,1
8,17,19.44,1
8,18,17.08,1
8,19,17.04,1
8,20,14.96,1
8,21,14.59,1
8,22,15.25,1
8,23,15.69,1
8,24,17.67,1
8,25,17.66,1
8,26,18.24,1
8,27,16.91,1
8,28,19.14,1
8,29,16.89,1
8,30,16.91,1
8,31,16.27,1
9,1,17.98,1
9,2,19.77,1
9,3,17.96,1
9,4,16.56,1
9,5,16.06,1
9,6,20.0,1
9,7,16.29,1
9,8,14.89,1
9,9,14.43,1
9,10,17.81,1
9,11,16.41,1
9,12,19.84,1
9,13,17.81,1
9,14,20.84,1
9,15,16.52,1
9,16,14.93,1
9,17,14.97,1
9,18,15.02,1
9,19,16.43,1
9,20,15.32,1
9,21,20.08,1
9,22,18.32,1
