month,day,avg_accumulated_precipitation,years_sampled
1,1,0.2,1
1,2,1.2,1
1,3,1.2,1
1,4,1.2,1
1,5,1.2,1
1,6,3.8,1
1,7,4.0,1
1,8,8.2,1
1,9,22.7,1
1,10,24.9,1
1,11,42.1,1
1,12,42.1,1
1,13,44.8,1
1,14,48.4,1
1,15,48.4,1
1,16,49.3,1
1,17,49.3,1
1,18,49.6,1
1,19,57.0,1
1,20,62.7,1
1,21,73.4,1
1,22,79.0,1
1,23,80.3,1
1,24,85.4,1
1,25,89.1,1
1,26,102.1,1
1,27,125.9,1
1,28,125.9,1
1,29,135.0,1
1,30,144.1,1
1,31,151.0,1
2,1,154.8,1
2,2,156.1,1
2,3,164.2,1
2,4,166.3,1
2,5,171.0,1
2,6,182.0,1
2,7,183.1,1
2,8,184.1,1
2,9,184.6,1
2,10,188.6,1
2,11,193.9,1
2,12,212.0,1
2,13,220.7,1
2,14,223.3,1
2,15,226.6,1
2,16,227.9,1
2,17,227.9,1
2,18,237.2,1
2,19,237.8,1
2,20,242.9,1
2,21,252.3,1
2,22,252.5,1
2,23,253.1,1
2,24,253.6,1
2,25,254.4,1
2,26,257.5,1
2,27,257.9,1
2,28,257.9,1
3,1,265.0,1
3,2,269.1,1
3,3,269.1,1
3,4,270.3,1
3,5,287.8,1
3,6,287.8,1
3,7,287.8,1
3,8,299.3,1
3,9,302.8,1
3,10,309.3,1
3,11,309.3,1
3,12,327.4,1
3,13,329.4,1
3,14,329.6,1
3,15,332.3,1
3,16,334.9,1
3,17,335.0,1
3,18,335.2,1
3,19,335.2,1
3,20,335.2,1
3,21,335.2,1
3,22,335.6,1
3,23,335.6,1
3,24,343.7,1
3,25,345.6,1
3,26,345.8,1
3,27,348.2,1
3,28,349.5,1
3,29,351.2,1
3,30,351.3,1
3,31,351.4,1
4,1,351.8,1
4,2,354.6,1
4,3,355.5,1
4,4,358.8,1
4,5,360.3,1
4,6,360.3,1
4,7,363.3,1
4,8,363.5,1
4,9,365.0,1
4,10,374.8,1
4,11,377.6,1
4,12,378.7,1
4,13,380.8,1
4,14,386.0,1
4,15,392.6,1
4,16,393.0,1
4,17,400.5,1
4,18,403.1,1
4,19,403.1,1
4,20,403.1,1
4,21,404.6,1
4,22,404.6,1
4,23,404.6,1
4,24,404.6,1
4,25,404.6,1
4,26,405.2,1
4,27,405.4,1
4,28,405.7,1
4,29,405.7,1
4,30,405.7,1
5,1,405.7,1
5,2,411.1,1
5,3,412.4,1
5,4,413.4,1
5,5,414.1,1
5,6,414.1,1
5,7,415.1,1
5,8,415.4,1
5,9,415.4,1
5,10,416.0,1
5,11,417.2,1
5,12,417.4,1
5,13,419.6,1
5,14,420.9,1
5,15,421.3,1
5,16,424.1,1
5,17,429.3,1
5,18,435.8,1
5,19,442.3,1
5,20,442.4,1
5,21,450.3,1
5,22,450.3,1
5,23,450.3,1
5,24,450.3,1
5,25,450.5,1
5,26,450.5,1
5,27,450.5,1
5,28,450.5,1
5,29,450.5,1
5,30,452.5,1
5,31,453.2,1
6,1,464.3,1
6,2,469.6,1
6,3,476.5,1
6,4,482.0,1
6,5,483.0,1
6,6,494.2,1
6,7,505.4,1
6,8,509.0,1
6,9,515.1,1
6,10,516.3,1
6,11,526.1,1
6,12,526.2,1
6,13,526.3,1
6,14,526.3,1
6,15,528.2,1
6,16,529.5,1
6,17,531.0,1
6,18,537.7,1
6,19,553.1,1
6,20,553.1,1
6,21,553.1,1
6,22,553.5,1
6,23,553.5,1
6,24,553.5,1
6,25,554.2,1
6,26,554.9,1
6,27,556.5,1
6,28,556.8,1
6,29,558.3,1
6,30,563.4,1
7,1,566.1,1
7,2,566.1,1
7,3,566.1,1
7,4,566.2,1
7,5,566.2,1
7,6,566.2,1
7,7,566.2,1
7,8,566.2,1
7,9,566.2,1
7,10,566.2,1
7,11,566.2,1
7,12,566.2,1
7,13,566.2,1
7,14,566.2,1
7,15,566.2,1
7,16,566.2,1
7,17,566.2,1
7,18,566.2,1
7,19,566.2,1
7,20,566.5,1
7,21,566.5,1
7,22,566.6,1
7,23,566.6,1
7,24,566.6,1
7,25,566.7,1
7,26,566.7,1
7,27,567.6,1
7,28,567.7,1
7,29,570.0,1
7,30,570.9,1
7,31,571.7,1
8,1,571.7,1
8,2,571.7,1
8,3,582.4,1
8,4,602.8,1
8,5,604.1,1
8,6,604.3,1
8,7,604.3,1
8,8,604.3,1
8,9,606.6,1
8,10,606.6,1
8,11,606.6,1
8,12,607.0,1
8,13,607.4,1
8,14,607.9,1
8,15,607.9,1
8,16,609.8,1
8,17,610.6,1
8,18,613.4,1
8,19,616.4,1
8,20,620.9,1
8,21,623.7,1
8,22,624.2,1
8,23,624.2,1
8,24,624.2,1
8,25,625.4,1
8,26,627.6,1
8,27,647.1,1
8,28,654.5,1
8,29,665.9,1
8,30,669.8,1
8,31,671.8,1
9,1,672.5,1
9,2,677.2,1
9,3,688.5,1
9,4,689.8,1
9,5,689.8,1
9,6,693.7,1
9,7,698.3,1
9,8,698.6,1
9,9,698.8,1
9,10,699.9,1
9,11,699.9,1
9,12,702.7,1
9,13,703.0,1
9,14,705.3,1
9,15,707.4,1
9,16,707.7,1
9,17,708.8,1
9,18,713.8,1
9,19,714.9,1
9,20,714.9,1
9,21,715.0,1
9,22,718.8,1
