month,day,avg_accumulated_precipitation,years_sampled
1,1,4.6,1
1,2,5.6,1
1,3,5.6,1
1,4,5.9,1
1,5,7.2,1
1,6,7.2,1
1,7,7.2,1
1,8,7.2,1
1,9,7.2,1
1,10,7.2,1
1,11,7.2,1
1,12,7.2,1
1,13,7.2,1
1,14,7.2,1
1,15,7.2,1
1,16,7.2,1
1,17,10.7,1
1,18,11.4,1
1,19,11.8,1
1,20,14.4,1
1,21,20.0,1
1,22,21.7,1
1,23,21.7,1
1,24,21.7,1
1,25,21.7,1
1,26,25.2,1
1,27,25.4,1
1,28,25.4,1
1,29,25.4,1
1,30,26.5,1
1,31,26.9,1
2,1,26.9,1
2,2,27.2,1
2,3,27.2,1
2,4,27.4,1
2,5,27.7,1
2,6,28.1,1
2,7,30.0,1
2,8,46.0,1
2,9,51.2,1
2,10,51.3,1
2,11,55.4,1
2,12,55.8,1
2,13,56.8,1
2,14,57.0,1
2,15,57.0,1
2,16,57.1,1
2,17,58.5,1
2,18,59.8,1
2,19,61.3,1
2,20,62.0,1
2,21,62.1,1
2,22,64.2,1
2,23,64.6,1
2,24,65.3,1
2,25,88.3,1
2,26,91.5,1
2,27,91.6,1
2,28,92.7,1
3,1,93.2,1
3,2,94.8,1
3,3,101.8,1
3,4,101.9,1
3,5,101.9,1
3,6,101.9,1
3,7,101.9,1
3,8,103.7,1
3,9,108.7,1
3,10,108.7,1
3,11,108.8,1
3,12,108.9,1
3,13,109.0,1
3,14,109.3,1
3,15,109.7,1
3,16,110.7,1
3,17,110.7,1
3,18,110.7,1
3,19,110.7,1
3,20,111.1,1
3,21,111.4,1
3,22,112.0,1
3,23,112.5,1
3,24,113.1,1
3,25,113.3,1
3,26,113.5,1
3,27,114.8,1
3,28,115.2,1
3,29,119.0,1
3,30,119.0,1
3,31,119.0,1
4,1,119.2,1
4,2,119.5,1
4,3,119.6,1
4,4,119.6,1
4,5,119.7,1
4,6,119.7,1
4,7,119.7,1
4,8,119.7,1
4,9,119.8,1
4,10,119.8,1
4,11,119.8,1
4,12,119.8,1
4,13,119.8,1
4,14,119.8,1
4,15,120.0,1
4,16,120.3,1
4,17,165.9,1
4,18,174.3,1
4,19,176.6,1
4,20,176.8,1
4,21,176.9,1
4,22,177.5,1
4,23,206.5,1
4,24,215.7,1
4,25,216.1,1
4,26,217.2,1
4,27,217.4,1
4,28,217.4,1
4,29,236.5,1
4,30,236.5,1
5,1,236.5,1
5,2,241.8,1
5,3,267.3,1
5,4,279.4,1
5,5,279.4,1
5,6,279.7,1
5,7,296.3,1
5,8,323.5,1
5,9,329.1,1
5,10,329.3,1
5,11,330.0,1
5,12,332.0,1
5,13,332.9,1
5,14,332.9,1
5,15,332.9,1
5,16,374.9,1
5,17,398.4,1
5,18,412.3,1
5,19,437.2,1
5,20,456.5,1
5,21,487.1,1
5,22,488.5,1
5,23,488.5,1
5,24,488.5,1
5,25,488.5,1
5,26,488.5,1
5,27,488.6,1
5,28,519.9,1
5,29,524.8,1
5,30,531.8,1
5,31,532.4,1
6,1,533.0,1
6,2,533.3,1
6,3,534.2,1
6,4,538.8,1
6,5,541.4,1
6,6,543.0,1
6,7,543.1,1
6,8,547.4,1
6,9,556.6,1
6,10,556.6,1
6,11,559.8,1
6,12,571.9,1
6,13,571.9,1
6,14,571.9,1
6,15,577.5,1
6,16,584.8,1
6,17,592.4,1
6,18,593.1,1
6,19,593.7,1
6,20,596.0,1
6,21,596.3,1
6,22,597.0,1
6,23,597.7,1
6,24,597.7,1
6,25,597.8,1
6,26,598.2,1
6,27,608.5,1
6,28,638.9,1
6,29,679.3,1
6,30,706.2,1
7,1,724.8,1
7,2,736.9,1
7,3,752.1,1
7,4,762.1,1
7,5,806.5,1
7,6,811.8,1
7,7,814.6,1
7,8,828.2,1
7,9,867.9,1
7,10,878.4,1
7,11,884.5,1
7,12,892.0,1
7,13,893.1,1
7,14,893.6,1
7,15,894.0,1
7,16,900.0,1
7,17,901.1,1
7,18,902.4,1
7,19,904.7,1
7,20,905.7,1
7,21,907.5,1
7,22,908.8,1
7,23,921.0,1
7,24,935.9,1
7,25,943.5,1
7,26,943.5,1
7,27,955.9,1
7,28,1026.6,1
7,29,1038.3,1
7,30,1053.3,1
7,31,1084.6,1
8,1,1105.6,1
8,2,1117.3,1
8,3,1143.1,1
8,4,1168.2,1
8,5,1203.0,1
8,6,1227.4,1
8,7,1233.8,1
8,8,1234.8,1
8,9,1235.8,1
8,10,1236.2,1
8,11,1236.5,1
8,12,1236.7,1
8,13,1237.7,1
8,14,1243.2,1
8,15,1243.2,1
8,16,1248.4,1
8,17,1250.6,1
8,18,1263.0,1
8,19,1290.1,1
8,20,1298.0,1
8,21,1349.0,1
8,22,1433.6,1
8,23,1549.6,1
8,24,1627.8,1
8,25,1634.8,1
8,26,1665.2,1
8,27,1692.7,1
8,28,1696.6,1
8,29,1701.2,1
8,30,1702.8,1
8,31,1709.4,1
9,1,1709.4,1
9,2,1709.4,1
9,3,1709.4,1
9,4,1709.9,1
9,5,1711.5,1
9,6,1711.6,1
9,7,1713.1,1
9,8,1713.2,1
9,9,1726.8,1
9,10,1738.1,1
9,11,1743.6,1
9,12,1743.6,1
9,13,1750.7,1
9,14,1786.9,1
9,15,1849.6,1
