month,day,avg_accumulated_precipitation,years_sampled
1,1,0.1,1
1,2,0.3,1
1,3,0.3,1
1,4,0.5,1
1,5,0.6,1
1,6,0.6,1
1,7,0.6,1
1,8,1.0,1
1,9,1.0,1
1,10,1.0,1
1,11,1.1,1
1,12,2.2,1
1,13,2.3,1
1,14,3.2,1
1,15,5.4,1
1,16,5.4,1
1,17,5.4,1
1,18,6.5,1
1,19,6.8,1
1,20,11.0,1
1,21,11.1,1
1,22,12.2,1
1,23,12.7,1
1,24,13.1,1
1,25,13.1,1
1,26,16.6,1
1,27,18.8,1
1,28,20.4,1
1,29,20.6,1
1,30,21.8,1
1,31,23.4,1
2,1,23.8,1
2,2,24.2,1
2,3,24.2,1
2,4,24.2,1
2,5,27.2,1
2,6,27.2,1
2,7,27.2,1
2,8,27.2,1
2,9,27.2,1
2,10,27.2,1
2,11,27.2,1
2,12,27.2,1
2,13,27.2,1
2,14,27.2,1
2,15,27.2,1
2,16,27.2,1
2,17,27.3,1
2,18,27.4,1
2,19,27.4,1
2,20,27.4,1
2,21,27.4,1
2,22,28.1,1
2,23,28.1,1
2,24,28.1,1
2,25,28.1,1
2,26,28.5,1
2,27,28.5,1
2,28,28.6,1
3,1,45.5,1
3,2,46.5,1
3,3,49.9,1
3,4,52.1,1
3,5,54.9,1
3,6,56.8,1
3,7,57.3,1
3,8,59.2,1
3,9,60.3,1
3,10,61.0,1
3,11,62.6,1
3,12,64.1,1
3,13,66.3,1
3,14,69.8,1
3,15,74.3,1
3,16,75.2,1
3,17,90.6,1
3,18,98.7,1
3,19,110.0,1
3,20,110.5,1
3,21,110.6,1
3,22,110.6,1
3,23,110.6,1
3,24,110.6,1
3,25,110.6,1
3,26,110.6,1
3,27,113.3,1
3,28,113.4,1
3,29,113.4,1
3,30,113.5,1
3,31,115.0,1
4,1,116.0,1
4,2,116.0,1
4,3,116.5,1
4,4,117.3,1
4,5,118.9,1
4,6,118.9,1
4,7,124.2,1
4,8,133.4,1
4,9,133.7,1
4,10,134.4,1
4,11,134.4,1
4,12,134.6,1
4,13,134.6,1
4,14,134.6,1
4,15,134.6,1
4,16,134.6,1
4,17,135.3,1
4,18,137.1,1
4,19,139.8,1
4,20,139.9,1
4,21,143.5,1
4,22,143.9,1
4,23,147.4,1
4,24,150.4,1
4,25,152.1,1
4,26,152.1,1
4,27,152.7,1
4,28,154.2,1
4,29,154.2,1
4,30,154.2,1
5,1,154.2,1
5,2,154.2,1
5,3,162.5,1
5,4,164.0,1
5,5,165.9,1
5,6,168.2,1
5,7,170.6,1
5,8,173.0,1
5,9,175.0,1
5,10,176.7,1
5,11,176.7,1
5,12,178.4,1
5,13,181.2,1
5,14,184.1,1
5,15,186.0,1
5,16,190.1,1
5,17,194.0,1
5,18,199.8,1
5,19,218.8,1
5,20,224.4,1
5,21,226.8,1
5,22,238.1,1
5,23,242.8,1
5,24,247.7,1
5,25,251.0,1
5,26,258.6,1
5,27,264.5,1
5,28,276.6,1
5,29,279.0,1
5,30,285.3,1
5,31,287.6,1
6,1,289.4,1
6,2,290.8,1
6,3,310.6,1
6,4,313.3,1
6,5,314.1,1
6,6,315.8,1
6,7,319.6,1
6,8,325.4,1
6,9,330.7,1
6,10,343.8,1
6,11,345.9,1
6,12,349.2,1
6,13,353.9,1
6,14,356.2,1
6,15,360.5,1
6,16,362.2,1
6,17,363.2,1
6,18,366.8,1
6,19,369.0,1
6,20,372.2,1
6,21,372.9,1
6,22,374.7,1
6,23,374.9,1
6,24,376.6,1
6,25,377.6,1
6,26,380.1,1
6,27,381.7,1
6,28,384.8,1
6,29,387.4,1
6,30,391.5,1
7,1,392.1,1
7,2,392.7,1
7,3,394.6,1
7,4,398.1,1
7,5,400.8,1
7,6,419.1,1
7,7,421.4,1
7,8,424.1,1
7,9,429.2,1
7,10,434.4,1
7,11,438.6,1
7,12,438.6,1
7,13,438.6,1
7,14,438.6,1
7,15,438.8,1
7,16,439.6,1
7,17,440.1,1
7,18,440.3,1
7,19,446.0,1
7,20,446.0,1
7,21,447.9,1
7,22,451.2,1
7,23,454.4,1
7,24,457.4,1
7,25,460.1,1
7,26,460.1,1
7,27,461.8,1
7,28,463.9,1
7,29,464.9,1
7,30,466.4,1
7,31,469.9,1
8,1,471.6,1
8,2,473.5,1
8,3,480.2,1
8,4,480.7,1
8,5,483.4,1
8,6,487.4,1
8,7,490.6,1
8,8,495.6,1
8,9,497.5,1
8,10,497.8,1
8,11,497.8,1
8,12,498.4,1
8,13,499.1,1
8,14,502.4,1
8,15,503.2,1
8,16,503.2,1
8,17,503.2,1
8,18,503.2,1
8,19,503.2,1
8,20,503.3,1
8,21,503.4,1
8,22,504.8,1
8,23,504.8,1
8,24,505.4,1
8,25,508.8,1
8,26,509.1,1
8,27,512.1,1
8,28,513.2,1
8,29,518.9,1
8,30,522.6,1
8,31,524.0,1
9,1,525.5,1
9,2,527.6,1
9,3,531.2,1
9,4,535.4,1
9,5,538.0,1
9,6,541.8,1
9,7,549.1,1
9,8,554.8,1
9,9,557.2,1
9,10,558.7,1
9,11,560.5,1
