month,day,avg_daytime_temperature,years_sampled
1,1,20.44,1
1,2,20.5,1
1,3,21.83,1
1,4,23.22,1
1,5,24.58,1
1,6,24.88,1
1,7,24.91,1
1,8,26.23,1
1,9,25.67,1
1,10,26.14,1
1,11,25.11,1
1,12,24.65,1
1,13,24.87,1
1,14,24.63,1
1,15,23.23,1
1,16,19.38,1
1,17,23.5,1
1,18,25.48,1
1,19,19.77,1
1,20,21.48,1
1,21,24.24,1
1,22,24.98,1
1,23,25.86,1
1,24,26.83,1
1,25,26.95,1
1,26,26.59,1
1,27,18.95,1
1,28,18.73,1
1,29,19.6,1
1,30,21.12,1
1,31,21.2,1
2,1,15.46,1
2,2,17.25,1
2,3,17.83,1
2,4,21.61,1
2,5,21.45,1
2,6,20.04,1
2,7,22.87,1
2,8,22.28,1
2,9,21.98,1
2,10,23.37,1
2,11,23.68,1
2,12,23.48,1
2,13,23.49,1
2,14,24.86,1
2,15,25.63,1
2,16,26.2,1
2,17,25.33,1
2,18,27.07,1
2,19,27.51,1
2,20,27.52,1
2,21,27.72,1
2,22,26.92,1
2,23,18.87,1
2,24,17.44,1
2,25,21.32,1
2,26,25.85,1
2,27,27.72,1
2,28,28.06,1
3,1,26.7,1
3,2,25.62,1
3,3,25.96,1
3,4,25.7,1
3,5,27.1,1
3,6,26.34,1
3,7,27.05,1
3,8,26.96,1
3,9,26.84,1
3,10,26.83,1
3,11,27.2,1
3,12,27.18,1
3,13,25.78,1
3,14,26.46,1
3,15,27.12,1
3,16,27.48,1
3,17,23.26,1
3,18,21.66,1
3,19,21.98,1
3,20,22.95,1
3,21,23.41,1
3,22,23.48,1
3,23,24.44,1
3,24,24.21,1
3,25,25.27,1
3,26,25.59,1
3,27,25.48,1
3,28,25.63,1
3,29,25.82,1
3,30,26.38,1
3,31,26.13,1
4,1,26.32,1
4,2,26.44,1
4,3,26.92,1
4,4,26.61,1
4,5,26.59,1
4,6,26.49,1
4,7,26.27,1
4,8,25.48,1
4,9,26.16,1
4,10,26.3,1
4,11,26.08,1
4,12,25.52,1
4,13,25.78,1
4,14,26.62,1
4,15,26.23,1
4,16,26.84,1
4,17,26.79,1
4,18,28.02,1
4,19,27.92,1
4,20,27.28,1
4,21,26.38,1
4,22,26.38,1
4,23,27.39,1
4,24,26.84,1
4,25,26.83,1
4,26,27.65,1
4,27,27.42,1
4,28,28.21,1
4,29,28.15,1
4,30,28.17,1
5,1,28.88,1
5,2,30.24,1
5,3,28.45,1
5,4,27.29,1
5,5,27.98,1
5,6,28.51,1
5,7,29.23,1
5,8,29.27,1
5,9,29.44,1
5,10,29.17,1
5,11,29.81,1
5,12,29.48,1
5,13,28.75,1
5,14,27.86,1
5,15,28.23,1
5,16,28.98,1
5,17,28.9,1
5,18,29.79,1
5,19,27.99,1
5,20,28.36,1
5,21,28.92,1
5,22,27.79,1
5,23,29.07,1
5,24,29.45,1
5,25,28.93,1
5,26,28.79,1
5,27,28.25,1
5,28,28.8,1
5,29,29.07,1
5,30,28.68,1
5,31,29.31,1
6,1,29.45,1
6,2,29.34,1
6,3,28.16,1
6,4,28.1,1
6,5,28.01,1
6,6,27.89,1
6,7,28.91,1
6,8,28.56,1
6,9,28.85,1
6,10,26.59,1
6,11,28.45,1
6,12,28.49,1
6,13,28.36,1
6,14,28.4,1
6,15,28.78,1
6,16,29.99,1
6,17,30.06,1
6,18,30.41,1
6,19,29.59,1
6,20,28.65,1
6,21,30.11,1
6,22,30.17,1
6,23,30.02,1
6,24,29.85,1
6,25,30.46,1
6,26,30.54,1
6,27,30.02,1
6,28,30.41,1
6,29,29.64,1
6,30,29.76,1
7,1,30.29,1
7,2,30.72,1
7,3,30.79,1
7,4,30.3,1
7,5,30.24,1
7,6,29.56,1
7,7,30.32,1
7,8,30.78,1
7,9,29.51,1
7,10,29.93,1
7,11,28.95,1
7,12,29.39,1
7,13,30.34,1
7,14,31.26,1
7,15,31.18,1
7,16,30.57,1
7,17,30.34,1
7,18,31.02,1
7,19,29.68,1
7,20,31.43,1
7,21,30.66,1
7,22,30.41,1
7,23,30.13,1
7,24,29.78,1
7,25,30.13,1
7,26,30.36,1
7,27,29.89,1
7,28,30.66,1
7,29,31.19,1
7,30,31.26,1
7,31,31.24,1
8,1,31.28,1
8,2,31.65,1
8,3,30.05,1
8,4,29.74,1
8,5,30.42,1
8,6,29.48,1
8,7,30.56,1
8,8,30.55,1
8,9,30.8,1
8,10,31.38,1
8,11,31.55,1
8,12,31.04,1
8,13,30.89,1
8,14,30.88,1
8,15,31.06,1
8,16,30.39,1
8,17,31.27,1
8,18,31.37,1
8,19,30.47,1
8,20,31.19,1
8,21,31.7,1
8,22,31.75,1
8,23,31.7,1
8,24,31.84,1
8,25,31.18,1
8,26,31.77,1
8,27,31.4,1
8,28,30.85,1
8,29,29.85,1
8,30,30.16,1
8,31,31.26,1
9,1,31.03,1
9,2,31.3,1
9,3,30.33,1
9,4,29.73,1
9,5,30.18,1
9,6,29.98,1
9,7,28.07,1
9,8,29.71,1
9,9,30.42,1
9,10,30.34,1
9,11,31.41,1
9,12,30.27,1
9,13,31.24,1
9,14,30.44,1
9,15,30.86,1
9,16,29.85,1
9,17,30.61,1
9,18,30.0,1
9,19,28.82,1
9,20,28.12,1
9,21,27.73,1
9,22,27.15,1
9,23,27.88,1
9,24,28.5,1
