month,day,avg_daytime_temperature,years_sampled
1,1,23.48,1
1,2,23.49,1
1,3,22.02,1
1,4,20.08,1
1,5,20.39,1
1,6,19.68,1
1,7,14.0,1
1,8,15.85,1
1,9,16.37,1
1,10,17.83,1
1,11,22.09,1
1,12,23.29,1
1,13,21.6,1
1,14,22.77,1
1,15,25.41,1
1,16,24.17,1
1,17,22.78,1
1,18,24.2,1
1,19,23.67,1
1,20,22.36,1
1,21,22.17,1
1,22,23.56,1
1,23,22.65,1
1,24,14.93,1
1,25,17.4,1
1,26,19.24,1
1,27,19.47,1
1,28,21.52,1
1,29,20.31,1
1,30,23.5,1
1,31,26.58,1
2,1,26.02,1
2,2,23.86,1
2,3,23.15,1
2,4,24.97,1
2,5,25.44,1
2,6,26.26,1
2,7,27.71,1
2,8,28.48,1
2,9,27.31,1
2,10,23.53,1
2,11,25.39,1
2,12,24.56,1
2,13,21.64,1
2,14,21.72,1
2,15,23.79,1
2,16,22.65,1
2,17,20.73,1
2,18,19.57,1
2,19,18.68,1
2,20,19.42,1
2,21,22.19,1
2,22,25.41,1
2,23,27.71,1
2,24,27.28,1
2,25,30.96,1
2,26,32.91,1
2,27,30.33,1
2,28,29.43,1
3,1,30.78,1
3,2,31.65,1
3,3,28.32,1
3,4,26.78,1
3,5,24.32,1
3,6,22.69,1
3,7,22.15,1
3,8,23.61,1
3,9,20.82,1
3,10,17.69,1
3,11,23.32,1
3,12,29.8,1
3,13,29.38,1
3,14,28.7,1
3,15,27.65,1
3,16,29.56,1
3,17,30.32,1
3,18,29.82,1
3,19,32.94,1
3,20,34.11,1
3,21,33.32,1
3,22,30.81,1
3,23,29.02,1
3,24,30.24,1
3,25,32.22,1
3,26,35.82,1
3,27,31.19,1
3,28,32.62,1
3,29,29.72,1
3,30,29.38,1
3,31,30.51,1
4,1,25.64,1
4,2,27.34,1
4,3,27.85,1
4,4,28.88,1
4,5,31.0,1
4,6,31.77,1
4,7,31.0,1
4,8,30.8,1
4,9,31.1,1
4,10,30.73,1
4,11,30.91,1
4,12,29.94,1
4,13,28.47,1
4,14,25.37,1
4,15,26.1,1
4,16,27.62,1
4,17,25.82,1
4,18,27.88,1
4,19,28.27,1
4,20,28.64,1
4,21,28.94,1
4,22,28.85,1
4,23,28.3,1
4,24,27.85,1
4,25,27.87,1
4,26,26.38,1
4,27,26.65,1
4,28,28.14,1
4,29,29.33,1
4,30,26.46,1
5,1,27.21,1
5,2,30.49,1
5,3,28.75,1
5,4,27.51,1
5,5,24.86,1
5,6,25.38,1
5,7,26.19,1
5,8,30.01,1
5,9,34.59,1
5,10,33.31,1
5,11,34.26,1
5,12,34.65,1
5,13,34.98,1
5,14,35.21,1
5,15,32.65,1
5,16,31.19,1
5,17,28.1,1
5,18,26.99,1
5,19,29.29,1
5,20,30.4,1
5,21,30.44,1
5,22,28.77,1
5,23,29.55,1
5,24,30.78,1
5,25,30.54,1
5,26,29.01,1
5,27,28.22,1
5,28,27.23,1
5,29,28.16,1
5,30,30.19,1
5,31,32.64,1
6,1,33.11,1
6,2,33.66,1
6,3,34.3,1
6,4,33.78,1
6,5,33.93,1
6,6,32.99,1
6,7,32.79,1
6,8,33.02,1
6,9,34.09,1
6,10,35.49,1
6,11,34.45,1
6,12,34.55,1
6,13,35.24,1
6,14,36.15,1
6,15,35.39,1
6,16,35.33,1
6,17,34.69,1
6,18,34.46,1
6,19,35.04,1
6,20,36.67,1
6,21,36.58,1
6,22,34.84,1
6,23,36.1,1
6,24,37.46,1
6,25,38.74,1
6,26,36.66,1
6,27,37.25,1
6,28,36.66,1
6,29,34.69,1
6,30,34.79,1
7,1,34.34,1
7,2,34.99,1
7,3,35.96,1
7,4,36.3,1
7,5,36.84,1
7,6,37.1,1
7,7,37.06,1
7,8,36.99,1
7,9,35.89,1
7,10,34.71,1
7,11,33.26,1
7,12,32.58,1
7,13,35.35,1
7,14,33.9,1
7,15,30.84,1
7,16,31.72,1
7,17,34.65,1
7,18,35.66,1
7,19,35.84,1
7,20,32.89,1
7,21,31.19,1
7,22,37.17,1
7,23,39.69,1
7,24,38.99,1
7,25,33.81,1
7,26,34.38,1
7,27,33.21,1
7,28,32.89,1
7,29,36.66,1
7,30,36.57,1
7,31,36.54,1
8,1,36.15,1
8,2,35.84,1
8,3,35.38,1
8,4,33.84,1
8,5,34.19,1
8,6,35.29,1
8,7,36.44,1
8,8,34.7,1
8,9,34.04,1
8,10,33.77,1
8,11,28.87,1
8,12,31.84,1
8,13,33.49,1
8,14,35.97,1
8,15,37.28,1
8,16,39.31,1
8,17,39.76,1
8,18,34.12,1
8,19,35.64,1
8,20,36.62,1
8,21,39.34,1
8,22,37.58,1
8,23,34.58,1
8,24,35.82,1
8,25,36.9,1
8,26,36.85,1
8,27,38.12,1
8,28,37.78,1
8,29,37.56,1
8,30,33.43,1
8,31,33.22,1
9,1,33.1,1
9,2,33.62,1
9,3,33.2,1
9,4,33.53,1
9,5,36.07,1
9,6,34.06,1
9,7,32.42,1
9,8,33.0,1
9,9,34.15,1
9,10,34.12,1
9,11,32.49,1
