month,day,avg_daytime_temperature,years_sampled
1,1,19.75,1
1,2,15.45,1
1,3,14.14,1
1,4,18.76,1
1,5,20.39,1
1,6,14.36,1
1,7,14.3,1
1,8,15.91,1
1,9,17.18,1
1,10,19.24,1
1,11,18.53,1
1,12,18.45,1
1,13,21.25,1
1,14,19.29,1
1,15,21.17,1
1,16,21.92,1
1,17,22.69,1
1,18,21.25,1
1,19,20.17,1
1,20,19.03,1
1,21,15.8,1
1,22,14.45,1
1,23,15.36,1
1,24,17.54,1
1,25,18.8,1
1,26,21.09,1
1,27,23.51,1
1,28,19.46,1
1,29,18.08,1
1,30,20.45,1
1,31,17.0,1
2,1,14.86,1
2,2,18.37,1
2,3,17.23,1
2,4,19.6,1
2,5,22.75,1
2,6,23.76,1
2,7,19.88,1
2,8,16.49,1
2,9,14.98,1
2,10,18.75,1
2,11,22.29,1
2,12,18.35,1
2,13,21.07,1
2,14,22.3,1
2,15,22.93,1
2,16,23.96,1
2,17,20.51,1
2,18,19.93,1
2,19,20.51,1
2,20,21.86,1
2,21,21.11,1
2,22,23.3,1
2,23,21.89,1
2,24,23.77,1
2,25,23.16,1
2,26,20.9,1
2,27,22.69,1
2,28,20.24,1
3,1,21.66,1
3,2,23.93,1
3,3,19.41,1
3,4,16.18,1
3,5,20.27,1
3,6,20.22,1
3,7,18.91,1
3,8,19.04,1
3,9,19.82,1
3,10,17.32,1
3,11,18.25,1
3,12,20.48,1
3,13,17.62,1
3,14,19.34,1
3,15,20.55,1
3,16,21.2,1
3,17,21.37,1
3,18,24.02,1
3,19,24.19,1
3,20,22.41,1
3,21,22.08,1
3,22,22.92,1
3,23,24.22,1
3,24,24.83,1
3,25,26.53,1
3,26,24.71,1
3,27,24.82,1
3,28,24.4,1
3,29,24.32,1
3,30,25.3,1
3,31,25.06,1
4,1,24.69,1
4,2,22.87,1
4,3,25.08,1
4,4,24.04,1
4,5,24.09,1
4,6,26.17,1
4,7,27.41,1
4,8,23.03,1
4,9,25.6,1
4,10,26.39,1
4,11,26.09,1
4,12,26.59,1
4,13,26.82,1
4,14,27.01,1
4,15,26.74,1
4,16,26.85,1
4,17,25.8,1
4,18,26.88,1
4,19,26.48,1
4,20,25.82,1
4,21,25.85,1
4,22,27.01,1
4,23,26.99,1
4,24,19.62,1
4,25,23.45,1
4,26,24.65,1
4,27,25.08,1
4,28,25.7,1
4,29,25.83,1
4,30,22.08,1
5,1,23.19,1
5,2,25.87,1
5,3,25.35,1
5,4,23.96,1
5,5,20.81,1
5,6,24.06,1
5,7,26.15,1
5,8,27.29,1
5,9,23.32,1
5,10,24.54,1
5,11,26.12,1
5,12,27.74,1
5,13,28.11,1
5,14,27.22,1
5,15,26.36,1
5,16,24.94,1
5,17,24.24,1
5,18,25.77,1
5,19,25.89,1
5,20,27.22,1
5,21,26.76,1
5,22,29.02,1
5,23,28.58,1
5,24,29.47,1
5,25,29.6,1
5,26,29.72,1
5,27,30.14,1
5,28,30.77,1
5,29,32.27,1
5,30,29.42,1
5,31,28.59,1
6,1,29.02,1
6,2,30.18,1
6,3,30.07,1
6,4,31.93,1
6,5,31.83,1
6,6,29.89,1
6,7,28.25,1
6,8,27.02,1
6,9,25.83,1
6,10,25.84,1
6,11,27.05,1
6,12,27.71,1
6,13,27.57,1
6,14,25.77,1
6,15,26.38,1
6,16,25.9,1
6,17,25.74,1
6,18,26.07,1
6,19,29.27,1
6,20,29.53,1
6,21,29.95,1
6,22,30.14,1
6,23,29.9,1
6,24,30.84,1
6,25,30.31,1
6,26,28.48,1
6,27,27.77,1
6,28,27.65,1
6,29,28.62,1
6,30,29.13,1
7,1,30.04,1
7,2,29.88,1
7,3,28.28,1
7,4,27.29,1
7,5,28.41,1
7,6,27.97,1
7,7,26.67,1
7,8,28.73,1
7,9,29.34,1
7,10,30.25,1
7,11,31.35,1
7,12,31.15,1
7,13,30.06,1
7,14,27.16,1
7,15,26.88,1
7,16,26.66,1
7,17,27.62,1
7,18,27.91,1
7,19,28.56,1
7,20,27.89,1
7,21,28.34,1
7,22,29.13,1
7,23,29.84,1
7,24,30.96,1
7,25,29.59,1
7,26,26.31,1
7,27,26.58,1
7,28,26.54,1
7,29,26.1,1
7,30,26.79,1
7,31,25.74,1
8,1,26.15,1
8,2,25.63,1
8,3,26.62,1
8,4,28.94,1
8,5,29.18,1
8,6,29.76,1
8,7,30.77,1
8,8,33.17,1
8,9,33.68,1
8,10,33.64,1
8,11,33.54,1
8,12,32.6,1
8,13,31.28,1
8,14,27.72,1
8,15,29.16,1
8,16,31.52,1
8,17,31.03,1
8,18,29.89,1
8,19,29.87,1
8,20,28.38,1
8,21,29.21,1
8,22,29.58,1
8,23,30.08,1
8,24,29.71,1
8,25,29.69,1
8,26,28.88,1
8,27,27.25,1
8,28,29.58,1
8,29,30.47,1
8,30,28.42,1
8,31,28.18,1
9,1,26.65,1
9,2,28.48,1
9,3,28.18,1
9,4,28.93,1
9,5,28.8,1
9,6,28.53,1
9,7,28.95,1
9,8,29.87,1
9,9,28.65,1
9,10,28.35,1
9,11,28.78,1
9,12,29.24,1
9,13,27.26,1
9,14,27.93,1
9,15,29.05,1
9,16,28.32,1
9,17,28.36,1
