month,day,avg_daytime_temperature,years_sampled
1,1,27.83,1
1,2,27.12,1
1,3,25.48,1
1,4,27.27,1
1,5,28.34,1
1,6,29.38,1
1,7,28.18,1
1,8,27.82,1
1,9,28.28,1
1,10,25.95,1
1,11,25.9,1
1,12,24.98,1
1,13,26.62,1
1,14,26.37,1
1,15,26.8,1
1,16,27.15,1
1,17,26.26,1
1,18,25.72,1
1,19,27.22,1
1,20,26.59,1
1,21,25.9,1
1,22,25.18,1
1,23,25.92,1
1,24,27.74,1
1,25,27.63,1
1,26,27.58,1
1,27,27.48,1
1,28,26.81,1
1,29,26.12,1
1,30,26.39,1
1,31,26.87,1
2,1,26.44,1
2,2,26.51,1
2,3,27.29,1
2,4,27.29,1
2,5,27.33,1
2,6,26.97,1
2,7,26.94,1
2,8,26.25,1
2,9,26.9,1
2,10,27.46,1
2,11,27.78,1
2,12,26.89,1
2,13,27.37,1
2,14,27.6,1
2,15,27.39,1
2,16,26.67,1
2,17,27.1,1
2,18,27.27,1
2,19,25.88,1
2,20,26.85,1
2,21,27.75,1
2,22,26.43,1
2,23,26.35,1
2,24,27.89,1
2,25,29.87,1
2,26,29.65,1
2,27,26.65,1
2,28,28.28,1
3,1,28.88,1
3,2,27.46,1
3,3,26.81,1
3,4,27.71,1
3,5,27.32,1
3,6,26.33,1
3,7,26.63,1
3,8,25.35,1
3,9,28.36,1
3,10,28.91,1
3,11,28.92,1
3,12,29.16,1
3,13,30.3,1
3,14,30.88,1
3,15,31.12,1
3,16,30.88,1
3,17,30.29,1
3,18,31.61,1
3,19,31.45,1
3,20,31.48,1
3,21,29.56,1
3,22,29.78,1
3,23,30.1,1
3,24,28.98,1
3,25,29.98,1
3,26,28.08,1
3,27,27.91,1
3,28,26.72,1
3,29,28.98,1
3,30,28.66,1
3,31,28.32,1
4,1,29.27,1
4,2,28.7,1
4,3,30.12,1
4,4,28.49,1
4,5,29.6,1
4,6,28.79,1
4,7,29.39,1
4,8,28.68,1
4,9,28.18,1
4,10,28.72,1
4,11,28.94,1
4,12,29.55,1
4,13,30.23,1
4,14,29.32,1
4,15,28.88,1
4,16,29.89,1
4,17,28.58,1
4,18,29.49,1
4,19,30.2,1
4,20,30.15,1
4,21,29.67,1
4,22,29.74,1
4,23,29.78,1
4,24,30.78,1
4,25,30.81,1
4,26,29.54,1
4,27,30.58,1
4,28,28.08,1
4,29,29.64,1
4,30,28.82,1
5,1,29.22,1
5,2,28.43,1
5,3,29.54,1
5,4,27.68,1
5,5,27.32,1
5,6,30.05,1
5,7,30.42,1
5,8,30.18,1
5,9,30.01,1
5,10,30.73,1
5,11,31.01,1
5,12,31.62,1
5,13,32.38,1
5,14,31.29,1
5,15,30.32,1
5,16,28.71,1
5,17,29.75,1
5,18,29.93,1
5,19,29.7,1
5,20,28.97,1
5,21,31.81,1
5,22,31.4,1
5,23,28.83,1
5,24,27.9,1
5,25,28.9,1
5,26,29.83,1
5,27,29.31,1
5,28,30.08,1
5,29,31.06,1
5,30,31.14,1
5,31,28.68,1
6,1,30.59,1
6,2,30.61,1
6,3,30.82,1
6,4,31.52,1
6,5,32.1,1
6,6,32.62,1
6,7,32.62,1
6,8,32.02,1
6,9,31.71,1
6,10,31.76,1
6,11,31.02,1
6,12,31.02,1
6,13,29.67,1
6,14,28.7,1
6,15,30.05,1
6,16,30.43,1
6,17,31.18,1
6,18,31.64,1
6,19,32.09,1
6,20,31.85,1
6,21,30.09,1
6,22,29.72,1
6,23,28.63,1
6,24,30.38,1
6,25,29.48,1
6,26,30.61,1
6,27,31.36,1
6,28,30.86,1
6,29,30.92,1
6,30,30.89,1
7,1,30.98,1
7,2,31.03,1
7,3,31.39,1
7,4,31.78,1
7,5,32.27,1
7,6,32.17,1
7,7,31.03,1
7,8,31.41,1
7,9,31.39,1
7,10,31.95,1
7,11,31.66,1
7,12,31.51,1
7,13,31.7,1
7,14,31.8,1
7,15,31.63,1
7,16,32.26,1
7,17,31.99,1
7,18,31.21,1
7,19,30.7,1
7,20,31.61,1
7,21,30.86,1
7,22,30.39,1
7,23,31.35,1
7,24,31.05,1
7,25,31.54,1
7,26,32.36,1
7,27,31.88,1
7,28,31.74,1
7,29,32.0,1
7,30,31.56,1
7,31,31.43,1
8,1,31.74,1
8,2,32.07,1
8,3,31.36,1
8,4,30.56,1
8,5,30.08,1
8,6,32.13,1
8,7,31.38,1
8,8,31.45,1
8,9,31.32,1
8,10,31.21,1
8,11,31.49,1
8,12,31.89,1
8,13,31.19,1
8,14,31.62,1
8,15,31.34,1
8,16,30.77,1
8,17,30.5,1
8,18,31.79,1
8,19,30.14,1
8,20,30.81,1
8,21,30.78,1
8,22,30.79,1
8,23,30.64,1
8,24,30.98,1
8,25,30.98,1
8,26,31.28,1
8,27,30.33,1
8,28,30.23,1
8,29,30.62,1
8,30,31.25,1
8,31,30.82,1
9,1,31.84,1
9,2,31.1,1
9,3,31.28,1
9,4,31.2,1
9,5,31.53,1
9,6,31.24,1
9,7,31.34,1
9,8,31.51,1
9,9,30.58,1
9,10,30.76,1
9,11,31.83,1
9,12,31.96,1
9,13,32.08,1
9,14,32.65,1
9,15,32.27,1
9,16,31.49,1
9,17,31.1,1
9,18,31.09,1
9,19,29.78,1
9,20,30.34,1
9,21,31.17,1
9,22,31.77,1
9,23,31.12,1
9,24,31.62,1
9,25,31.94,1
9,26,31.21,1
