month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.3,1
1,3,0.4,1
1,4,0.4,1
1,5,0.4,1
1,6,0.4,1
1,7,0.4,1
1,8,0.4,1
1,9,0.4,1
1,10,0.4,1
1,11,0.4,1
1,12,0.4,1
1,13,0.4,1
1,14,0.4,1
1,15,0.4,1
1,16,0.4,1
1,17,0.4,1
1,18,0.4,1
1,19,0.4,1
1,20,0.4,1
1,21,0.4,1
1,22,0.4,1
1,23,0.4,1
1,24,0.4,1
1,25,0.4,1
1,26,0.4,1
1,27,0.4,1
1,28,3.4,1
1,29,3.4,1
1,30,3.4,1
1,31,3.4,1
2,1,3.4,1
2,2,3.4,1
2,3,3.7,1
2,4,3.7,1
2,5,3.7,1
2,6,3.7,1
2,7,3.7,1
2,8,4.0,1
2,9,4.0,1
2,10,4.1,1
2,11,4.2,1
2,12,4.2,1
2,13,4.2,1
2,14,4.5,1
2,15,5.0,1
2,16,5.0,1
2,17,5.0,1
2,18,5.0,1
2,19,5.4,1
2,20,5.6,1
2,21,5.6,1
2,22,7.0,1
2,23,7.0,1
2,24,19.2,1
2,25,19.6,1
2,26,19.9,1
2,27,20.9,1
2,28,21.0,1
3,1,21.0,1
3,2,21.0,1
3,3,21.2,1
3,4,21.3,1
3,5,21.3,1
3,6,21.4,1
3,7,22.9,1
3,8,25.0,1
3,9,34.6,1
3,10,36.6,1
3,11,41.3,1
3,12,45.9,1
3,13,50.5,1
3,14,50.6,1
3,15,50.8,1
3,16,50.8,1
3,17,50.8,1
3,18,50.8,1
3,19,50.8,1
3,20,53.4,1
3,21,74.2,1
3,22,80.2,1
3,23,86.3,1
3,24,91.4,1
3,25,91.4,1
3,26,97.3,1
3,27,111.6,1
3,28,114.8,1
3,29,116.5,1
3,30,117.2,1
3,31,125.7,1
4,1,125.8,1
4,2,125.8,1
4,3,125.8,1
4,4,126.2,1
4,5,133.6,1
4,6,143.2,1
4,7,143.3,1
4,8,158.6,1
4,9,160.6,1
4,10,160.6,1
4,11,160.6,1
4,12,161.1,1
4,13,161.1,1
4,14,161.2,1
4,15,161.3,1
4,16,161.4,1
4,17,163.3,1
4,18,164.6,1
4,19,165.9,1
4,20,165.9,1
4,21,165.9,1
4,22,165.9,1
4,23,165.9,1
4,24,165.9,1
4,25,168.7,1
4,26,175.8,1
4,27,177.8,1
4,28,191.2,1
4,29,232.4,1
4,30,255.4,1
5,1,265.3,1
5,2,270.7,1
5,3,277.9,1
5,4,300.1,1
5,5,301.2,1
5,6,313.7,1
5,7,320.5,1
5,8,330.6,1
5,9,336.3,1
5,10,339.9,1
5,11,341.1,1
5,12,347.4,1
5,13,355.2,1
5,14,360.9,1
5,15,367.0,1
5,16,372.5,1
5,17,374.6,1
5,18,381.5,1
5,19,384.7,1
5,20,388.0,1
5,21,395.5,1
5,22,400.9,1
5,23,407.0,1
5,24,414.1,1
5,25,426.7,1
5,26,435.0,1
5,27,440.8,1
5,28,450.4,1
5,29,463.8,1
5,30,469.3,1
5,31,477.3,1
6,1,488.7,1
6,2,494.6,1
6,3,495.7,1
6,4,501.4,1
6,5,503.3,1
6,6,506.6,1
6,7,509.4,1
6,8,518.0,1
6,9,523.4,1
6,10,539.0,1
6,11,547.6,1
6,12,584.2,1
6,13,590.9,1
6,14,605.2,1
6,15,613.8,1
6,16,618.9,1
6,17,620.0,1
6,18,621.7,1
6,19,625.1,1
6,20,635.5,1
6,21,649.9,1
6,22,659.4,1
6,23,664.4,1
6,24,666.2,1
6,25,666.9,1
6,26,669.3,1
6,27,680.8,1
6,28,688.7,1
6,29,697.7,1
6,30,725.9,1
7,1,742.3,1
7,2,767.3,1
7,3,779.6,1
7,4,798.4,1
7,5,804.1,1
7,6,809.1,1
7,7,835.7,1
7,8,866.2,1
7,9,893.5,1
7,10,910.1,1
7,11,923.9,1
7,12,979.9,1
7,13,1071.8,1
7,14,1083.1,1
7,15,1105.3,1
7,16,1121.6,1
7,17,1150.5,1
7,18,1190.3,1
7,19,1235.9,1
7,20,1275.3,1
7,21,1300.9,1
7,22,1334.4,1
7,23,1357.0,1
7,24,1379.7,1
7,25,1391.4,1
7,26,1392.6,1
7,27,1406.4,1
7,28,1414.5,1
7,29,1426.4,1
7,30,1453.1,1
7,31,1470.9,1
8,1,1483.7,1
8,2,1492.4,1
8,3,1506.1,1
8,4,1537.1,1
8,5,1582.5,1
8,6,1617.5,1
8,7,1624.9,1
8,8,1651.5,1
8,9,1684.9,1
8,10,1726.8,1
8,11,1730.1,1
8,12,1736.3,1
8,13,1766.9,1
8,14,1771.1,1
8,15,1781.4,1
8,16,1791.8,1
8,17,1793.6,1
8,18,1811.6,1
8,19,1837.4,1
8,20,1864.5,1
8,21,1887.9,1
8,22,1909.4,1
8,23,1925.8,1
8,24,1940.4,1
8,25,1955.0,1
8,26,1963.8,1
8,27,1971.8,1
8,28,1986.0,1
8,29,2015.3,1
8,30,2040.8,1
8,31,2066.0,1
9,1,2099.4,1
9,2,2141.8,1
9,3,2176.4,1
9,4,2212.6,1
9,5,2244.1,1
9,6,2276.5,1
9,7,2287.6,1
9,8,2299.9,1
9,9,2319.7,1
9,10,2339.5,1
9,11,2347.5,1
9,12,2357.0,1
