month,day,avg_daytime_temperature,years_sampled
1,1,14.32,1
1,2,13.15,1
1,3,12.36,1
1,4,12.58,1
1,5,12.57,1
1,6,12.54,1
1,7,12.85,1
1,8,13.16,1
1,9,13.2,1
1,10,13.52,1
1,11,13.47,1
1,12,13.98,1
1,13,15.84,1
1,14,14.96,1
1,15,14.39,1
1,16,14.7,1
1,17,15.33,1
1,18,15.88,1
1,19,15.67,1
1,20,15.42,1
1,21,14.66,1
1,22,15.19,1
1,23,15.77,1
1,24,14.36,1
1,25,15.54,1
1,26,15.53,1
1,27,16.37,1
1,28,12.33,1
1,29,15.5,1
1,30,16.11,1
1,31,15.44,1
2,1,16.94,1
2,2,17.12,1
2,3,16.25,1
2,4,16.13,1
2,5,16.67,1
2,6,15.85,1
2,7,15.97,1
2,8,16.01,1
2,9,16.02,1
2,10,17.03,1
2,11,16.72,1
2,12,16.79,1
2,13,16.7,1
2,14,16.25,1
2,15,16.47,1
2,16,17.12,1
2,17,17.73,1
2,18,18.87,1
2,19,17.89,1
2,20,19.09,1
2,21,18.82,1
2,22,17.83,1
2,23,17.43,1
2,24,14.72,1
2,25,15.52,1
2,26,16.22,1
2,27,16.17,1
2,28,17.38,1
3,1,18.36,1
3,2,18.55,1
3,3,18.18,1
3,4,19.28,1
3,5,20.96,1
3,6,20.01,1
3,7,19.42,1
3,8,19.58,1
3,9,18.58,1
3,10,20.12,1
3,11,20.25,1
3,12,19.09,1
3,13,19.42,1
3,14,19.96,1
3,15,18.69,1
3,16,18.55,1
3,17,19.32,1
3,18,20.13,1
3,19,20.58,1
3,20,19.82,1
3,21,13.33,1
3,22,16.05,1
3,23,17.16,1
3,24,17.28,1
3,25,18.88,1
3,26,18.31,1
3,27,17.56,1
3,28,17.41,1
3,29,18.48,1
3,30,19.24,1
3,31,18.77,1
4,1,20.98,1
4,2,22.88,1
4,3,24.08,1
4,4,23.53,1
4,5,20.68,1
4,6,17.82,1
4,7,19.18,1
4,8,15.72,1
4,9,16.87,1
4,10,18.01,1
4,11,19.75,1
4,12,19.15,1
4,13,21.33,1
4,14,21.45,1
4,15,21.94,1
4,16,22.85,1
4,17,22.31,1
4,18,22.22,1
4,19,23.32,1
4,20,24.1,1
4,21,25.23,1
4,22,25.37,1
4,23,25.7,1
4,24,25.15,1
4,25,23.33,1
4,26,20.91,1
4,27,21.69,1
4,28,21.32,1
4,29,20.1,1
4,30,18.12,1
5,1,18.53,1
5,2,19.35,1
5,3,19.72,1
5,4,19.64,1
5,5,20.44,1
5,6,19.18,1
5,7,18.22,1
5,8,18.53,1
5,9,19.38,1
5,10,20.75,1
5,11,21.42,1
5,12,20.83,1
5,13,21.31,1
5,14,21.39,1
5,15,22.89,1
5,16,22.47,1
5,17,22.99,1
5,18,24.15,1
5,19,24.29,1
5,20,23.54,1
5,21,24.1,1
5,22,23.98,1
5,23,24.51,1
5,24,24.13,1
5,25,22.9,1
5,26,23.64,1
5,27,21.86,1
5,28,22.38,1
5,29,21.31,1
5,30,21.11,1
5,31,22.69,1
6,1,23.64,1
6,2,24.21,1
6,3,24.81,1
6,4,24.81,1
6,5,24.8,1
6,6,24.05,1
6,7,23.89,1
6,8,24.66,1
6,9,24.16,1
6,10,22.89,1
6,11,22.89,1
6,12,22.05,1
6,13,23.8,1
6,14,23.49,1
6,15,23.81,1
6,16,24.49,1
6,17,24.84,1
6,18,25.32,1
6,19,25.42,1
6,20,24.44,1
6,21,25.34,1
6,22,25.22,1
6,23,24.89,1
6,24,24.81,1
6,25,25.58,1
6,26,25.43,1
6,27,25.41,1
6,28,24.86,1
6,29,24.36,1
6,30,23.67,1
7,1,24.44,1
7,2,24.44,1
7,3,25.55,1
7,4,25.75,1
7,5,25.72,1
7,6,25.58,1
7,7,24.81,1
7,8,24.46,1
7,9,24.8,1
7,10,24.61,1
7,11,24.04,1
7,12,24.21,1
7,13,23.12,1
7,14,24.77,1
7,15,24.46,1
7,16,24.45,1
7,17,24.14,1
7,18,23.89,1
7,19,23.46,1
7,20,24.39,1
7,21,23.66,1
7,22,23.89,1
7,23,24.0,1
7,24,23.6,1
7,25,24.23,1
7,26,25.74,1
7,27,25.45,1
7,28,24.63,1
7,29,24.21,1
7,30,24.35,1
7,31,24.16,1
8,1,23.89,1
8,2,23.38,1
8,3,23.31,1
8,4,23.14,1
8,5,24.0,1
8,6,24.26,1
8,7,24.71,1
8,8,23.92,1
8,9,23.77,1
8,10,23.28,1
8,11,25.63,1
8,12,25.69,1
8,13,25.4,1
8,14,25.15,1
8,15,24.52,1
8,16,24.36,1
8,17,24.11,1
8,18,24.44,1
8,19,24.01,1
8,20,24.85,1
8,21,24.58,1
8,22,23.82,1
8,23,24.31,1
8,24,24.86,1
8,25,24.67,1
8,26,24.48,1
8,27,24.9,1
8,28,24.37,1
8,29,24.42,1
8,30,24.47,1
8,31,24.78,1
9,1,24.12,1
9,2,23.26,1
9,3,23.1,1
9,4,23.35,1
9,5,23.33,1
9,6,22.98,1
9,7,23.16,1
9,8,24.01,1
9,9,23.49,1
9,10,23.86,1
9,11,24.03,1
9,12,24.14,1
9,13,23.18,1
