month,day,avg_daytime_temperature,years_sampled
1,1,25.79,1
1,2,25.8,1
1,3,25.74,1
1,4,24.07,1
1,5,24.58,1
1,6,25.97,1
1,7,25.49,1
1,8,25.69,1
1,9,25.85,1
1,10,25.91,1
1,11,26.24,1
1,12,26.41,1
1,13,26.52,1
1,14,26.05,1
1,15,26.1,1
1,16,25.6,1
1,17,26.6,1
1,18,27.25,1
1,19,26.89,1
1,20,27.38,1
1,21,27.19,1
1,22,26.31,1
1,23,27.42,1
1,24,27.49,1
1,25,27.17,1
1,26,26.52,1
1,27,27.45,1
1,28,26.37,1
1,29,26.07,1
1,30,26.15,1
1,31,27.02,1
2,1,23.53,1
2,2,20.36,1
2,3,24.12,1
2,4,26.79,1
2,5,24.71,1
2,6,24.06,1
2,7,23.17,1
2,8,25.31,1
2,9,25.88,1
2,10,26.08,1
2,11,26.53,1
2,12,26.61,1
2,13,26.87,1
2,14,26.92,1
2,15,26.66,1
2,16,27.3,1
2,17,28.0,1
2,18,27.79,1
2,19,26.7,1
2,20,27.47,1
2,21,27.36,1
2,22,26.59,1
2,23,26.12,1
2,24,25.45,1
2,25,26.85,1
2,26,27.71,1
2,27,27.8,1
2,28,27.19,1
3,1,27.22,1
3,2,26.84,1
3,3,27.72,1
3,4,26.39,1
3,5,28.15,1
3,6,27.4,1
3,7,27.49,1
3,8,26.78,1
3,9,26.24,1
3,10,26.18,1
3,11,26.32,1
3,12,25.98,1
3,13,25.67,1
3,14,26.36,1
3,15,26.29,1
3,16,27.12,1
3,17,26.23,1
3,18,26.66,1
3,19,25.61,1
3,20,24.85,1
3,21,25.84,1
3,22,26.7,1
3,23,25.3,1
3,24,27.34,1
3,25,27.39,1
3,26,27.08,1
3,27,26.9,1
3,28,26.64,1
3,29,26.72,1
3,30,26.78,1
3,31,25.94,1
4,1,25.86,1
4,2,26.36,1
4,3,25.79,1
4,4,26.01,1
4,5,26.07,1
4,6,26.48,1
4,7,26.38,1
4,8,26.55,1
4,9,26.75,1
4,10,27.85,1
4,11,28.38,1
4,12,28.09,1
4,13,27.9,1
4,14,27.69,1
4,15,27.4,1
4,16,27.58,1
4,17,26.21,1
4,18,26.28,1
4,19,26.77,1
4,20,26.43,1
4,21,27.82,1
4,22,26.59,1
4,23,26.34,1
4,24,27.16,1
4,25,27.13,1
4,26,27.06,1
4,27,27.48,1
4,28,28.29,1
4,29,27.82,1
4,30,28.13,1
5,1,27.61,1
5,2,28.48,1
5,3,28.36,1
5,4,27.85,1
5,5,28.2,1
5,6,28.02,1
5,7,28.35,1
5,8,27.98,1
5,9,27.7,1
5,10,29.06,1
5,11,28.18,1
5,12,27.8,1
5,13,28.23,1
5,14,28.85,1
5,15,29.68,1
5,16,28.43,1
5,17,28.98,1
5,18,28.75,1
5,19,27.75,1
5,20,27.78,1
5,21,28.12,1
5,22,28.71,1
5,23,27.98,1
5,24,28.25,1
5,25,28.37,1
5,26,29.55,1
5,27,29.97,1
5,28,29.37,1
5,29,28.37,1
5,30,29.05,1
5,31,29.27,1
6,1,29.54,1
6,2,29.84,1
6,3,29.48,1
6,4,28.02,1
6,5,29.07,1
6,6,27.28,1
6,7,29.1,1
6,8,25.78,1
6,9,26.88,1
6,10,28.65,1
6,11,27.7,1
6,12,27.89,1
6,13,29.45,1
6,14,30.03,1
6,15,29.4,1
6,16,29.73,1
6,17,29.85,1
6,18,29.72,1
6,19,30.44,1
6,20,30.84,1
6,21,30.04,1
6,22,30.87,1
6,23,30.42,1
6,24,28.61,1
6,25,30.81,1
6,26,31.54,1
6,27,30.18,1
6,28,29.64,1
6,29,30.69,1
6,30,30.05,1
7,1,29.3,1
7,2,29.24,1
7,3,29.14,1
7,4,29.38,1
7,5,30.32,1
7,6,30.65,1
7,7,31.42,1
7,8,31.82,1
7,9,31.91,1
7,10,31.42,1
7,11,31.54,1
7,12,30.45,1
7,13,30.55,1
7,14,30.28,1
7,15,31.56,1
7,16,29.39,1
7,17,30.29,1
7,18,30.7,1
7,19,29.05,1
7,20,29.55,1
7,21,29.24,1
7,22,28.53,1
7,23,29.53,1
7,24,29.49,1
7,25,29.35,1
7,26,29.93,1
7,27,29.68,1
7,28,29.82,1
7,29,30.18,1
7,30,31.89,1
7,31,29.76,1
8,1,29.18,1
8,2,30.78,1
8,3,30.51,1
8,4,30.25,1
8,5,30.25,1
8,6,29.63,1
8,7,30.68,1
8,8,29.36,1
8,9,30.76,1
8,10,31.52,1
8,11,31.41,1
8,12,29.12,1
8,13,30.79,1
8,14,31.75,1
8,15,30.82,1
8,16,31.36,1
8,17,30.19,1
8,18,29.66,1
8,19,30.05,1
8,20,29.68,1
8,21,30.81,1
8,22,29.77,1
8,23,29.66,1
8,24,29.63,1
8,25,30.93,1
8,26,31.04,1
8,27,30.72,1
8,28,30.0,1
8,29,29.67,1
8,30,29.74,1
8,31,30.68,1
9,1,29.46,1
9,2,28.84,1
9,3,29.03,1
9,4,29.2,1
9,5,29.7,1
9,6,30.22,1
9,7,29.25,1
9,8,29.94,1
9,9,30.98,1
9,10,31.02,1
9,11,30.08,1
9,12,31.62,1
9,13,30.54,1
9,14,29.79,1
9,15,28.58,1
