month,day,avg_daytime_temperature,years_sampled
1,1,27.49,1
1,2,27.18,1
1,3,28.01,1
1,4,29.03,1
1,5,29.32,1
1,6,29.11,1
1,7,28.92,1
1,8,29.19,1
1,9,28.86,1
1,10,28.58,1
1,11,29.02,1
1,12,29.32,1
1,13,29.25,1
1,14,29.97,1
1,15,29.39,1
1,16,30.66,1
1,17,30.43,1
1,18,31.11,1
1,19,29.67,1
1,20,28.02,1
1,21,29.76,1
1,22,31.12,1
1,23,31.82,1
1,24,32.3,1
1,25,32.04,1
1,26,31.74,1
1,27,32.49,1
1,28,30.27,1
1,29,30.42,1
1,30,32.26,1
1,31,30.57,1
2,1,32.68,1
2,2,31.93,1
2,3,32.45,1
2,4,32.82,1
2,5,31.27,1
2,6,27.38,1
2,7,30.91,1
2,8,30.54,1
2,9,31.18,1
2,10,32.18,1
2,11,31.88,1
2,12,29.94,1
2,13,31.59,1
2,14,30.62,1
2,15,28.32,1
2,16,27.51,1
2,17,25.82,1
2,18,27.76,1
2,19,27.68,1
2,20,29.89,1
2,21,30.2,1
2,22,28.97,1
2,23,30.86,1
2,24,30.48,1
2,25,29.02,1
2,26,27.79,1
2,27,29.35,1
2,28,30.85,1
3,1,30.98,1
3,2,29.35,1
3,3,30.39,1
3,4,29.77,1
3,5,30.1,1
3,6,28.88,1
3,7,30.18,1
3,8,31.48,1
3,9,30.47,1
3,10,31.69,1
3,11,32.2,1
3,12,31.56,1
3,13,32.32,1
3,14,28.77,1
3,15,29.14,1
3,16,29.6,1
3,17,30.92,1
3,18,30.65,1
3,19,31.07,1
3,20,31.43,1
3,21,30.47,1
3,22,31.31,1
3,23,31.05,1
3,24,31.91,1
3,25,32.3,1
3,26,33.14,1
3,27,33.55,1
3,28,31.92,1
3,29,29.08,1
3,30,31.18,1
3,31,31.28,1
4,1,27.5,1
4,2,31.98,1
4,3,32.07,1
4,4,31.38,1
4,5,30.21,1
4,6,30.2,1
4,7,30.58,1
4,8,30.29,1
4,9,30.39,1
4,10,29.52,1
4,11,30.52,1
4,12,29.53,1
4,13,31.16,1
4,14,27.08,1
4,15,27.78,1
4,16,31.53,1
4,17,29.95,1
4,18,29.12,1
4,19,27.72,1
4,20,29.46,1
4,21,27.4,1
4,22,30.66,1
4,23,31.63,1
4,24,32.03,1
4,25,30.33,1
4,26,31.8,1
4,27,33.16,1
4,28,33.64,1
4,29,32.52,1
4,30,31.89,1
5,1,30.82,1
5,2,29.86,1
5,3,28.56,1
5,4,28.18,1
5,5,30.17,1
5,6,28.6,1
5,7,30.45,1
5,8,27.23,1
5,9,29.67,1
5,10,30.52,1
5,11,29.71,1
5,12,30.42,1
5,13,30.46,1
5,14,31.1,1
5,15,28.98,1
5,16,28.64,1
5,17,31.19,1
5,18,31.02,1
5,19,31.78,1
5,20,31.38,1
5,21,31.4,1
5,22,32.38,1
5,23,30.97,1
5,24,29.98,1
5,25,29.51,1
5,26,31.74,1
5,27,31.41,1
5,28,30.91,1
5,29,31.56,1
5,30,31.22,1
5,31,30.98,1
6,1,32.57,1
6,2,30.69,1
6,3,32.28,1
6,4,30.47,1
6,5,31.07,1
6,6,32.0,1
6,7,30.33,1
6,8,31.22,1
6,9,30.25,1
6,10,30.5,1
6,11,30.75,1
6,12,30.59,1
6,13,30.87,1
6,14,29.15,1
6,15,29.18,1
6,16,30.39,1
6,17,26.92,1
6,18,30.26,1
6,19,28.36,1
6,20,29.48,1
6,21,29.5,1
6,22,28.85,1
6,23,29.82,1
6,24,27.27,1
6,25,28.54,1
6,26,30.29,1
6,27,30.95,1
6,28,29.9,1
6,29,27.82,1
6,30,29.2,1
7,1,27.98,1
7,2,30.78,1
7,3,30.13,1
7,4,30.88,1
7,5,28.34,1
7,6,30.44,1
7,7,29.36,1
7,8,30.18,1
7,9,31.07,1
7,10,30.74,1
7,11,28.4,1
7,12,30.25,1
7,13,30.7,1
7,14,31.18,1
7,15,31.86,1
7,16,31.43,1
7,17,29.72,1
7,18,28.28,1
7,19,28.73,1
7,20,27.41,1
7,21,29.07,1
7,22,27.58,1
7,23,29.29,1
7,24,28.69,1
7,25,28.56,1
7,26,29.85,1
7,27,30.46,1
7,28,28.82,1
7,29,28.66,1
7,30,29.62,1
7,31,29.53,1
8,1,29.92,1
8,2,31.92,1
8,3,31.99,1
8,4,31.82,1
8,5,32.12,1
8,6,33.5,1
8,7,34.0,1
8,8,31.85,1
8,9,32.18,1
8,10,32.38,1
8,11,30.23,1
8,12,32.24,1
8,13,31.36,1
8,14,29.08,1
8,15,32.18,1
8,16,31.05,1
8,17,32.77,1
8,18,31.39,1
8,19,30.62,1
8,20,30.94,1
8,21,32.55,1
8,22,32.92,1
8,23,33.27,1
8,24,33.79,1
8,25,30.89,1
8,26,29.78,1
8,27,31.85,1
8,28,30.7,1
8,29,32.23,1
8,30,32.18,1
8,31,32.92,1
9,1,31.18,1
9,2,32.09,1
9,3,31.02,1
9,4,31.69,1
9,5,32.03,1
9,6,33.23,1
9,7,33.22,1
9,8,33.22,1
9,9,31.3,1
9,10,29.62,1
9,11,29.12,1
9,12,29.41,1
9,13,31.03,1
9,14,31.25,1
9,15,32.12,1
9,16,31.28,1
