month,day,avg_accumulated_precipitation,years_sampled
1,1,8.1,1
1,2,30.8,1
1,3,40.1,1
1,4,40.2,1
1,5,41.1,1
1,6,41.1,1
1,7,45.7,1
1,8,46.2,1
1,9,55.3,1
1,10,56.5,1
1,11,58.6,1
1,12,59.2,1
1,13,59.3,1
1,14,59.6,1
1,15,61.5,1
1,16,62.2,1
1,17,63.0,1
1,18,63.7,1
1,19,66.9,1
1,20,66.9,1
1,21,67.6,1
1,22,67.6,1
1,23,67.9,1
1,24,68.0,1
1,25,68.2,1
1,26,68.8,1
1,27,69.5,1
1,28,71.6,1
1,29,74.3,1
1,30,76.3,1
1,31,79.0,1
2,1,81.8,1
2,2,82.0,1
2,3,82.0,1
2,4,83.1,1
2,5,84.5,1
2,6,95.0,1
2,7,99.8,1
2,8,106.6,1
2,9,106.7,1
2,10,106.7,1
2,11,112.2,1
2,12,113.2,1
2,13,114.4,1
2,14,123.6,1
2,15,151.1,1
2,16,178.8,1
2,17,197.5,1
2,18,210.1,1
2,19,212.4,1
2,20,212.6,1
2,21,214.3,1
2,22,221.3,1
2,23,221.3,1
2,24,221.6,1
2,25,236.4,1
2,26,246.6,1
2,27,254.8,1
2,28,254.8,1
3,1,255.7,1
3,2,267.4,1
3,3,268.2,1
3,4,271.3,1
3,5,271.4,1
3,6,272.0,1
3,7,272.9,1
3,8,273.8,1
3,9,275.3,1
3,10,275.4,1
3,11,276.0,1
3,12,279.8,1
3,13,281.6,1
3,14,292.8,1
3,15,296.0,1
3,16,299.8,1
3,17,302.6,1
3,18,303.9,1
3,19,305.9,1
3,20,310.8,1
3,21,312.0,1
3,22,312.1,1
3,23,313.7,1
3,24,314.5,1
3,25,314.9,1
3,26,315.5,1
3,27,317.7,1
3,28,321.1,1
3,29,323.2,1
3,30,330.8,1
3,31,333.0,1
4,1,343.3,1
4,2,343.5,1
4,3,343.7,1
4,4,350.9,1
4,5,356.0,1
4,6,363.6,1
4,7,365.8,1
4,8,373.6,1
4,9,389.4,1
4,10,396.2,1
4,11,398.4,1
4,12,398.7,1
4,13,404.5,1
4,14,428.9,1
4,15,435.2,1
4,16,439.7,1
4,17,441.8,1
4,18,446.3,1
4,19,450.5,1
4,20,452.3,1
4,21,458.5,1
4,22,459.9,1
4,23,460.3,1
4,24,465.6,1
4,25,473.6,1
4,26,474.4,1
4,27,475.4,1
4,28,475.7,1
4,29,478.6,1
4,30,487.0,1
5,1,497.8,1
5,2,503.3,1
5,3,516.7,1
5,4,522.7,1
5,5,528.3,1
5,6,540.9,1
5,7,545.4,1
5,8,567.8,1
5,9,569.5,1
5,10,576.4,1
5,11,577.6,1
5,12,581.6,1
5,13,585.5,1
5,14,586.8,1
5,15,595.5,1
5,16,600.1,1
5,17,601.0,1
5,18,601.4,1
5,19,602.1,1
5,20,602.6,1
5,21,602.7,1
5,22,602.7,1
5,23,605.3,1
5,24,608.3,1
5,25,620.4,1
5,26,621.1,1
5,27,623.1,1
5,28,630.4,1
5,29,637.2,1
5,30,640.9,1
5,31,651.3,1
6,1,653.1,1
6,2,658.8,1
6,3,661.2,1
6,4,668.3,1
6,5,671.9,1
6,6,673.2,1
6,7,679.7,1
6,8,688.3,1
6,9,694.4,1
6,10,695.6,1
6,11,699.4,1
6,12,705.8,1
6,13,709.7,1
6,14,727.7,1
6,15,731.8,1
6,16,734.9,1
6,17,759.1,1
6,18,773.9,1
6,19,790.2,1
6,20,796.8,1
6,21,814.6,1
6,22,820.4,1
6,23,830.1,1
6,24,851.4,1
6,25,859.5,1
6,26,864.0,1
6,27,867.1,1
6,28,869.4,1
6,29,889.5,1
6,30,891.0,1
7,1,900.7,1
7,2,901.9,1
7,3,923.7,1
7,4,925.2,1
7,5,936.9,1
7,6,942.1,1
7,7,951.1,1
7,8,952.1,1
7,9,953.0,1
7,10,953.5,1
7,11,957.1,1
7,12,959.1,1
7,13,961.1,1
7,14,962.4,1
7,15,963.4,1
7,16,964.8,1
7,17,977.2,1
7,18,991.2,1
7,19,999.6,1
7,20,1010.7,1
7,21,1018.2,1
7,22,1031.6,1
7,23,1034.1,1
7,24,1045.0,1
7,25,1049.8,1
7,26,1058.1,1
7,27,1059.7,1
7,28,1067.4,1
7,29,1069.5,1
7,30,1071.2,1
7,31,1078.2,1
8,1,1085.9,1
8,2,1087.0,1
8,3,1089.9,1
8,4,1097.0,1
8,5,1097.2,1
8,6,1097.4,1
8,7,1098.0,1
8,8,1104.0,1
8,9,1109.1,1
8,10,1111.5,1
8,11,1118.6,1
8,12,1118.6,1
8,13,1123.1,1
8,14,1136.6,1
8,15,1139.6,1
8,16,1142.1,1
8,17,1142.1,1
8,18,1147.1,1
8,19,1165.1,1
8,20,1165.6,1
8,21,1166.0,1
8,22,1166.6,1
8,23,1166.6,1
8,24,1166.8,1
8,25,1169.7,1
8,26,1173.1,1
8,27,1174.7,1
8,28,1179.9,1
8,29,1183.3,1
8,30,1184.1,1
8,31,1186.0,1
9,1,1194.2,1
9,2,1199.2,1
9,3,1205.3,1
9,4,1210.7,1
9,5,1213.3,1
9,6,1213.5,1
9,7,1213.7,1
9,8,1213.9,1
9,9,1225.6,1
9,10,1232.4,1
9,11,1255.5,1
9,12,1261.1,1
9,13,1261.5,1
9,14,1262.4,1
9,15,1262.9,1
9,16,1263.4,1
9,17,1267.5,1
9,18,1278.3,1
9,19,1288.8,1
9,20,1310.1,1
9,21,1318.8,1
9,22,1331.3,1
9,23,1336.6,1
9,24,1352.2,1
9,25,1366.0,1
9,26,1378.8,1
