month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.5,1
1,3,3.8,1
1,4,3.8,1
1,5,4.1,1
1,6,4.1,1
1,7,7.1,1
1,8,17.1,1
1,9,41.5,1
1,10,48.8,1
1,11,48.9,1
1,12,54.7,1
1,13,55.4,1
1,14,55.6,1
1,15,56.8,1
1,16,57.8,1
1,17,59.3,1
1,18,59.3,1
1,19,60.7,1
1,20,61.5,1
1,21,62.6,1
1,22,63.1,1
1,23,63.4,1
1,24,63.4,1
1,25,65.0,1
1,26,65.0,1
1,27,80.1,1
1,28,80.1,1
1,29,80.1,1
1,30,82.3,1
1,31,84.5,1
2,1,85.0,1
2,2,86.5,1
2,3,90.7,1
2,4,90.9,1
2,5,92.5,1
2,6,96.4,1
2,7,96.5,1
2,8,96.5,1
2,9,96.5,1
2,10,102.7,1
2,11,106.3,1
2,12,117.4,1
2,13,131.9,1
2,14,131.9,1
2,15,138.4,1
2,16,144.1,1
2,17,144.9,1
2,18,148.1,1
2,19,156.0,1
2,20,158.4,1
2,21,164.2,1
2,22,175.5,1
2,23,178.9,1
2,24,179.7,1
2,25,179.7,1
2,26,179.7,1
2,27,182.4,1
2,28,183.0,1
3,1,183.0,1
3,2,183.0,1
3,3,183.0,1
3,4,183.0,1
3,5,183.0,1
3,6,186.3,1
3,7,186.3,1
3,8,186.3,1
3,9,186.3,1
3,10,193.4,1
3,11,196.9,1
3,12,196.9,1
3,13,208.3,1
3,14,214.9,1
3,15,215.4,1
3,16,216.4,1
3,17,216.4,1
3,18,216.4,1
3,19,216.4,1
3,20,216.4,1
3,21,216.4,1
3,22,216.4,1
3,23,216.4,1
3,24,216.4,1
3,25,219.8,1
3,26,224.0,1
3,27,225.1,1
3,28,229.6,1
3,29,230.2,1
3,30,231.6,1
3,31,231.6,1
4,1,231.6,1
4,2,233.7,1
4,3,233.7,1
4,4,234.2,1
4,5,234.6,1
4,6,234.6,1
4,7,234.6,1
4,8,234.6,1
4,9,234.6,1
4,10,234.6,1
4,11,235.2,1
4,12,235.3,1
4,13,237.7,1
4,14,237.7,1
4,15,237.9,1
4,16,238.2,1
4,17,238.2,1
4,18,244.0,1
4,19,244.9,1
4,20,245.0,1
4,21,245.0,1
4,22,245.0,1
4,23,245.0,1
4,24,245.0,1
4,25,245.0,1
4,26,245.0,1
4,27,245.0,1
4,28,245.5,1
4,29,245.5,1
4,30,245.5,1
5,1,245.5,1
5,2,251.1,1
5,3,259.1,1
5,4,260.8,1
5,5,260.9,1
5,6,261.0,1
5,7,261.1,1
5,8,261.3,1
5,9,261.3,1
5,10,264.6,1
5,11,272.0,1
5,12,272.3,1
5,13,277.8,1
5,14,282.0,1
5,15,283.7,1
5,16,285.0,1
5,17,294.8,1
5,18,296.9,1
5,19,300.8,1
5,20,302.4,1
5,21,302.4,1
5,22,302.4,1
5,23,302.4,1
5,24,302.4,1
5,25,302.4,1
5,26,302.4,1
5,27,302.4,1
5,28,302.4,1
5,29,304.1,1
5,30,313.8,1
5,31,313.9,1
6,1,313.9,1
6,2,319.6,1
6,3,329.7,1
6,4,338.0,1
6,5,339.3,1
6,6,344.0,1
6,7,344.1,1
6,8,347.1,1
6,9,348.8,1
6,10,349.1,1
6,11,357.5,1
6,12,361.8,1
6,13,361.8,1
6,14,361.8,1
6,15,362.3,1
6,16,362.5,1
6,17,363.2,1
6,18,363.8,1
6,19,370.0,1
6,20,371.2,1
6,21,371.4,1
6,22,371.4,1
6,23,373.5,1
6,24,373.5,1
6,25,373.5,1
6,26,373.5,1
6,27,376.2,1
6,28,377.5,1
6,29,377.5,1
6,30,377.7,1
7,1,379.7,1
7,2,381.3,1
7,3,381.3,1
7,4,381.3,1
7,5,381.9,1
7,6,381.9,1
7,7,381.9,1
7,8,381.9,1
7,9,381.9,1
7,10,381.9,1
7,11,381.9,1
7,12,381.9,1
7,13,381.9,1
7,14,381.9,1
7,15,381.9,1
7,16,381.9,1
7,17,381.9,1
7,18,382.0,1
7,19,382.0,1
7,20,382.0,1
7,21,382.0,1
7,22,382.1,1
7,23,382.9,1
7,24,382.9,1
7,25,382.9,1
7,26,385.2,1
7,27,385.4,1
7,28,385.4,1
7,29,385.4,1
7,30,385.4,1
7,31,387.0,1
8,1,387.0,1
8,2,387.0,1
8,3,387.0,1
8,4,387.7,1
8,5,388.5,1
8,6,388.5,1
8,7,388.5,1
8,8,388.5,1
8,9,388.6,1
8,10,388.6,1
8,11,388.6,1
8,12,388.6,1
8,13,388.6,1
8,14,388.6,1
8,15,388.7,1
8,16,388.8,1
8,17,392.0,1
8,18,402.9,1
8,19,422.7,1
8,20,425.7,1
8,21,430.9,1
8,22,431.7,1
8,23,431.7,1
8,24,431.7,1
8,25,431.7,1
8,26,434.2,1
8,27,442.4,1
8,28,450.1,1
8,29,455.9,1
8,30,456.6,1
8,31,460.9,1
9,1,461.2,1
9,2,461.2,1
9,3,461.7,1
9,4,464.4,1
9,5,464.4,1
9,6,464.4,1
9,7,464.4,1
9,8,469.6,1
9,9,469.6,1
9,10,469.6,1
9,11,471.7,1
9,12,471.7,1
9,13,473.6,1
9,14,473.7,1
9,15,473.7,1
9,16,473.9,1
9,17,474.7,1
9,18,474.7,1
9,19,474.7,1
9,20,477.6,1
9,21,477.6,1
