month,day,avg_daytime_temperature,years_sampled
1,1,4.59,1
1,2,2.41,1
1,3,1.21,1
1,4,-0.0,1
1,5,-0.35,1
1,6,-0.22,1
1,7,4.18,1
1,8,4.01,1
1,9,3.82,1
1,10,2.39,1
1,11,5.78,1
1,12,10.34,1
1,13,10.05,1
1,14,4.39,1
1,15,8.53,1
1,16,8.01,1
1,17,8.52,1
1,18,9.2,1
1,19,9.29,1
1,20,9.19,1
1,21,8.9,1
1,22,8.76,1
1,23,7.83,1
1,24,7.76,1
1,25,7.01,1
1,26,5.12,1
1,27,7.68,1
1,28,6.19,1
1,29,5.59,1
1,30,8.98,1
1,31,8.28,1
2,1,7.9,1
2,2,7.68,1
2,3,4.64,1
2,4,8.04,1
2,5,7.16,1
2,6,9.39,1
2,7,9.43,1
2,8,9.46,1
2,9,9.1,1
2,10,9.91,1
2,11,10.97,1
2,12,8.92,1
2,13,7.65,1
2,14,4.12,1
2,15,5.61,1
2,16,7.58,1
2,17,4.83,1
2,18,4.8,1
2,19,6.2,1
2,20,9.26,1
2,21,11.85,1
2,22,12.62,1
2,23,10.95,1
2,24,12.83,1
2,25,13.91,1
2,26,11.68,1
2,27,12.01,1
2,28,8.77,1
3,1,10.63,1
3,2,12.49,1
3,3,11.23,1
3,4,9.84,1
3,5,13.29,1
3,6,9.46,1
3,7,8.74,1
3,8,9.8,1
3,9,11.18,1
3,10,10.87,1
3,11,10.93,1
3,12,10.75,1
3,13,7.4,1
3,14,7.87,1
3,15,8.92,1
3,16,9.49,1
3,17,11.86,1
3,18,14.03,1
3,19,12.43,1
3,20,10.19,1
3,21,9.28,1
3,22,7.88,1
3,23,10.58,1
3,24,11.39,1
3,25,7.36,1
3,26,6.97,1
3,27,10.03,1
3,28,7.75,1
3,29,7.75,1
3,30,9.84,1
3,31,13.05,1
4,1,12.15,1
4,2,8.49,1
4,3,12.84,1
4,4,12.13,1
4,5,11.22,1
4,6,11.28,1
4,7,15.63,1
4,8,20.38,1
4,9,16.95,1
4,10,10.39,1
4,11,11.22,1
4,12,12.49,1
4,13,10.72,1
4,14,13.35,1
4,15,15.29,1
4,16,15.24,1
4,17,15.25,1
4,18,14.04,1
4,19,12.36,1
4,20,11.08,1
4,21,11.55,1
4,22,13.3,1
4,23,14.09,1
4,24,13.63,1
4,25,15.02,1
4,26,14.91,1
4,27,16.61,1
4,28,13.44,1
4,29,14.93,1
4,30,17.17,1
5,1,19.51,1
5,2,17.53,1
5,3,16.25,1
5,4,14.38,1
5,5,14.37,1
5,6,11.51,1
5,7,12.55,1
5,8,14.74,1
5,9,17.25,1
5,10,12.11,1
5,11,9.83,1
5,12,12.33,1
5,13,11.09,1
5,14,9.75,1
5,15,11.56,1
5,16,12.03,1
5,17,13.57,1
5,18,12.45,1
5,19,15.17,1
5,20,16.58,1
5,21,19.01,1
5,22,23.59,1
5,23,25.97,1
5,24,26.2,1
5,25,28.76,1
5,26,29.87,1
5,27,23.06,1
5,28,25.74,1
5,29,22.96,1
5,30,24.95,1
5,31,20.25,1
6,1,18.76,1
6,2,16.56,1
6,3,15.64,1
6,4,15.26,1
6,5,15.45,1
6,6,14.78,1
6,7,16.04,1
6,8,14.58,1
6,9,14.24,1
6,10,13.34,1
6,11,13.25,1
6,12,17.99,1
6,13,17.32,1
6,14,17.34,1
6,15,18.36,1
6,16,20.94,1
6,17,21.36,1
6,18,22.03,1
6,19,25.16,1
6,20,22.94,1
6,21,25.51,1
6,22,24.36,1
6,23,27.68,1
6,24,30.05,1
6,25,27.33,1
6,26,32.15,1
6,27,27.61,1
6,28,23.15,1
6,29,20.66,1
6,30,21.47,1
7,1,22.03,1
7,2,22.66,1
7,3,21.32,1
7,4,23.24,1
7,5,23.34,1
7,6,26.49,1
7,7,26.34,1
7,8,28.09,1
7,9,29.7,1
7,10,26.92,1
7,11,25.25,1
7,12,24.18,1
7,13,22.36,1
7,14,23.74,1
7,15,24.49,1
7,16,24.14,1
7,17,23.72,1
7,18,20.24,1
7,19,19.39,1
7,20,21.14,1
7,21,20.36,1
7,22,23.31,1
7,23,23.28,1
7,24,24.77,1
7,25,24.1,1
7,26,22.95,1
7,27,22.59,1
7,28,25.22,1
7,29,28.59,1
7,30,24.37,1
7,31,21.94,1
8,1,22.57,1
8,2,23.61,1
8,3,26.53,1
8,4,25.43,1
8,5,22.65,1
8,6,19.56,1
8,7,21.91,1
8,8,23.51,1
8,9,26.89,1
8,10,23.34,1
8,11,22.29,1
8,12,26.96,1
8,13,30.47,1
8,14,29.59,1
8,15,24.51,1
8,16,21.87,1
8,17,23.01,1
8,18,21.95,1
8,19,20.51,1
8,20,19.19,1
8,21,18.18,1
8,22,18.29,1
8,23,20.56,1
8,24,19.34,1
8,25,22.46,1
8,26,23.1,1
8,27,20.66,1
8,28,20.05,1
8,29,18.6,1
8,30,19.66,1
8,31,19.15,1
9,1,18.38,1
9,2,18.35,1
9,3,22.51,1
9,4,19.54,1
9,5,18.82,1
9,6,22.31,1
9,7,22.2,1
9,8,15.23,1
9,9,16.45,1
9,10,17.0,1
9,11,19.12,1
9,12,19.01,1
9,13,20.62,1
9,14,21.41,1
9,15,19.52,1
9,16,16.78,1
9,17,17.85,1
9,18,16.75,1
9,19,20.13,1
9,20,18.26,1
9,21,18.34,1
9,22,21.69,1
9,23,20.68,1
9,24,16.91,1
9,25,20.03,1
