month,day,avg_daytime_temperature,years_sampled
1,1,-1.2,1
1,2,-0.47,1
1,3,0.63,1
1,4,-0.71,1
1,5,-1.87,1
1,6,-2.2,1
1,7,-0.87,1
1,8,1.49,1
1,9,6.96,1
1,10,4.63,1
1,11,2.84,1
1,12,6.04,1
1,13,11.32,1
1,14,11.72,1
1,15,11.14,1
1,16,11.6,1
1,17,8.19,1
1,18,5.73,1
1,19,5.18,1
1,20,4.18,1
1,21,7.6,1
1,22,7.69,1
1,23,7.4,1
1,24,2.59,1
1,25,6.02,1
1,26,6.34,1
1,27,6.87,1
1,28,6.14,1
1,29,6.47,1
1,30,8.32,1
1,31,7.81,1
2,1,7.21,1
2,2,9.99,1
2,3,9.68,1
2,4,9.28,1
2,5,9.87,1
2,6,11.2,1
2,7,7.35,1
2,8,6.84,1
2,9,6.35,1
2,10,9.4,1
2,11,12.0,1
2,12,10.11,1
2,13,8.83,1
2,14,6.77,1
2,15,3.27,1
2,16,8.05,1
2,17,8.05,1
2,18,9.47,1
2,19,9.31,1
2,20,8.2,1
2,21,10.3,1
2,22,9.77,1
2,23,11.48,1
2,24,12.09,1
2,25,13.29,1
2,26,12.85,1
2,27,12.35,1
2,28,9.5,1
3,1,10.03,1
3,2,12.66,1
3,3,12.77,1
3,4,12.87,1
3,5,13.86,1
3,6,14.56,1
3,7,14.45,1
3,8,14.19,1
3,9,13.39,1
3,10,11.86,1
3,11,11.95,1
3,12,10.08,1
3,13,10.88,1
3,14,6.06,1
3,15,6.72,1
3,16,7.39,1
3,17,10.73,1
3,18,10.44,1
3,19,11.16,1
3,20,11.17,1
3,21,11.73,1
3,22,9.37,1
3,23,9.85,1
3,24,12.2,1
3,25,10.75,1
3,26,5.69,1
3,27,5.67,1
3,28,5.86,1
3,29,7.28,1
3,30,8.32,1
3,31,7.59,1
4,1,9.29,1
4,2,10.25,1
4,3,12.97,1
4,4,15.62,1
4,5,20.18,1
4,6,19.64,1
4,7,20.43,1
4,8,21.09,1
4,9,21.94,1
4,10,18.78,1
4,11,20.33,1
4,12,8.7,1
4,13,7.29,1
4,14,11.14,1
4,15,13.4,1
4,16,15.88,1
4,17,16.7,1
4,18,18.18,1
4,19,17.18,1
4,20,15.21,1
4,21,14.99,1
4,22,15.06,1
4,23,17.42,1
4,24,19.17,1
4,25,20.17,1
4,26,20.11,1
4,27,19.98,1
4,28,17.17,1
4,29,18.83,1
4,30,20.36,1
5,1,20.23,1
5,2,19.92,1
5,3,16.91,1
5,4,12.71,1
5,5,14.96,1
5,6,12.61,1
5,7,15.09,1
5,8,17.16,1
5,9,18.92,1
5,10,15.76,1
5,11,15.81,1
5,12,12.36,1
5,13,14.57,1
5,14,11.48,1
5,15,10.18,1
5,16,11.71,1
5,17,14.59,1
5,18,15.47,1
5,19,16.8,1
5,20,19.03,1
5,21,21.05,1
5,22,24.03,1
5,23,25.95,1
5,24,27.6,1
5,25,28.14,1
5,26,28.91,1
5,27,28.52,1
5,28,27.18,1
5,29,27.34,1
5,30,27.47,1
5,31,25.4,1
6,1,23.27,1
6,2,21.4,1
6,3,19.34,1
6,4,16.61,1
6,5,16.39,1
6,6,19.84,1
6,7,20.16,1
6,8,22.12,1
6,9,18.08,1
6,10,17.23,1
6,11,18.71,1
6,12,22.4,1
6,13,25.51,1
6,14,25.6,1
6,15,24.81,1
6,16,27.94,1
6,17,28.84,1
6,18,30.99,1
6,19,30.06,1
6,20,31.04,1
6,21,32.38,1
6,22,32.89,1
6,23,33.38,1
6,24,31.75,1
6,25,31.62,1
6,26,33.45,1
6,27,33.09,1
6,28,31.49,1
6,29,26.41,1
6,30,28.26,1
7,1,25.85,1
7,2,25.25,1
7,3,26.24,1
7,4,26.69,1
7,5,28.46,1
7,6,28.79,1
7,7,30.84,1
7,8,30.59,1
7,9,30.77,1
7,10,32.22,1
7,11,30.81,1
7,12,32.32,1
7,13,32.31,1
7,14,32.91,1
7,15,29.83,1
7,16,28.33,1
7,17,26.42,1
7,18,27.87,1
7,19,26.63,1
7,20,24.93,1
7,21,23.93,1
7,22,25.51,1
7,23,24.7,1
7,24,26.79,1
7,25,26.99,1
7,26,23.41,1
7,27,24.15,1
7,28,27.47,1
7,29,31.89,1
7,30,29.84,1
7,31,29.31,1
8,1,27.83,1
8,2,30.53,1
8,3,31.87,1
8,4,29.97,1
8,5,28.29,1
8,6,28.37,1
8,7,26.69,1
8,8,28.52,1
8,9,29.89,1
8,10,28.86,1
8,11,29.05,1
8,12,30.69,1
8,13,32.66,1
8,14,32.24,1
8,15,31.1,1
8,16,29.62,1
8,17,27.41,1
8,18,27.56,1
8,19,30.52,1
8,20,26.88,1
8,21,20.11,1
8,22,21.9,1
8,23,24.23,1
8,24,25.38,1
8,25,23.54,1
8,26,25.82,1
8,27,29.44,1
8,28,24.43,1
8,29,22.56,1
8,30,25.72,1
8,31,24.32,1
9,1,24.38,1
9,2,24.53,1
9,3,24.62,1
9,4,27.29,1
9,5,26.56,1
9,6,26.45,1
9,7,29.67,1
9,8,29.76,1
9,9,17.36,1
9,10,18.46,1
9,11,19.92,1
9,12,21.93,1
