month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.0,1
1,3,0.0,1
1,4,0.0,1
1,5,0.0,1
1,6,0.0,1
1,7,1.0,1
1,8,7.3,1
1,9,9.6,1
1,10,10.2,1
1,11,10.2,1
1,12,10.2,1
1,13,10.2,1
1,14,10.2,1
1,15,13.2,1
1,16,13.2,1
1,17,21.9,1
1,18,21.9,1
1,19,21.9,1
1,20,21.9,1
1,21,21.9,1
1,22,24.2,1
1,23,35.4,1
1,24,35.5,1
1,25,37.8,1
1,26,37.8,1
1,27,51.3,1
1,28,69.3,1
1,29,69.5,1
1,30,80.5,1
1,31,81.8,1
2,1,83.1,1
2,2,83.7,1
2,3,97.9,1
2,4,99.8,1
2,5,106.2,1
2,6,110.1,1
2,7,110.1,1
2,8,110.1,1
2,9,110.1,1
2,10,119.3,1
2,11,134.3,1
2,12,147.5,1
2,13,150.1,1
2,14,153.0,1
2,15,155.1,1
2,16,159.5,1
2,17,161.5,1
2,18,162.6,1
2,19,174.4,1
2,20,174.5,1
2,21,174.5,1
2,22,174.5,1
2,23,174.5,1
2,24,174.5,1
2,25,174.5,1
2,26,174.5,1
2,27,174.5,1
2,28,175.8,1
3,1,175.8,1
3,2,175.8,1
3,3,175.8,1
3,4,175.8,1
3,5,175.9,1
3,6,175.9,1
3,7,175.9,1
3,8,175.9,1
3,9,176.8,1
3,10,180.4,1
3,11,188.7,1
3,12,188.7,1
3,13,188.7,1
3,14,201.8,1
3,15,201.8,1
3,16,201.8,1
3,17,201.8,1
3,18,201.8,1
3,19,201.8,1
3,20,201.8,1
3,21,201.8,1
3,22,206.7,1
3,23,206.7,1
3,24,206.7,1
3,25,207.5,1
3,26,209.6,1
3,27,209.6,1
3,28,210.9,1
3,29,210.9,1
3,30,212.3,1
3,31,212.7,1
4,1,213.6,1
4,2,213.6,1
4,3,213.6,1
4,4,214.1,1
4,5,214.1,1
4,6,214.1,1
4,7,214.1,1
4,8,214.1,1
4,9,214.1,1
4,10,214.1,1
4,11,215.7,1
4,12,230.6,1
4,13,243.6,1
4,14,243.8,1
4,15,243.8,1
4,16,243.8,1
4,17,243.8,1
4,18,243.8,1
4,19,243.8,1
4,20,243.8,1
4,21,243.8,1
4,22,243.8,1
4,23,243.8,1
4,24,243.8,1
4,25,243.8,1
4,26,243.8,1
4,27,243.8,1
4,28,254.9,1
4,29,254.9,1
4,30,254.9,1
5,1,254.9,1
5,2,254.9,1
5,3,256.3,1
5,4,273.5,1
5,5,302.6,1
5,6,329.1,1
5,7,329.5,1
5,8,329.5,1
5,9,329.5,1
5,10,346.1,1
5,11,356.5,1
5,12,359.1,1
5,13,360.3,1
5,14,367.2,1
5,15,375.7,1
5,16,376.8,1
5,17,377.4,1
5,18,378.2,1
5,19,378.2,1
5,20,378.3,1
5,21,378.3,1
5,22,378.3,1
5,23,378.3,1
5,24,378.3,1
5,25,378.3,1
5,26,378.3,1
5,27,378.3,1
5,28,378.3,1
5,29,378.3,1
5,30,378.3,1
5,31,378.7,1
6,1,378.7,1
6,2,381.8,1
6,3,381.8,1
6,4,399.4,1
6,5,400.2,1
6,6,401.0,1
6,7,401.0,1
6,8,405.4,1
6,9,406.6,1
6,10,406.9,1
6,11,406.9,1
6,12,406.9,1
6,13,406.9,1
6,14,406.9,1
6,15,406.9,1
6,16,406.9,1
6,17,406.9,1
6,18,406.9,1
6,19,406.9,1
6,20,406.9,1
6,21,406.9,1
6,22,406.9,1
6,23,406.9,1
6,24,409.0,1
6,25,409.0,1
6,26,409.0,1
6,27,409.0,1
6,28,409.4,1
6,29,415.6,1
6,30,416.1,1
7,1,417.4,1
7,2,417.4,1
7,3,417.4,1
7,4,417.4,1
7,5,417.4,1
7,6,417.4,1
7,7,417.4,1
7,8,417.4,1
7,9,417.4,1
7,10,417.5,1
7,11,417.6,1
7,12,417.6,1
7,13,417.6,1
7,14,418.2,1
7,15,419.0,1
7,16,423.5,1
7,17,432.8,1
7,18,432.9,1
7,19,432.9,1
7,20,432.9,1
7,21,432.9,1
7,22,432.9,1
7,23,432.9,1
7,24,432.9,1
7,25,437.7,1
7,26,443.8,1
7,27,444.1,1
7,28,444.1,1
7,29,444.1,1
7,30,444.7,1
7,31,446.0,1
8,1,446.3,1
8,2,446.3,1
8,3,446.3,1
8,4,447.8,1
8,5,447.8,1
8,6,447.8,1
8,7,447.8,1
8,8,447.8,1
8,9,449.8,1
8,10,450.5,1
8,11,452.7,1
8,12,452.7,1
8,13,452.7,1
8,14,452.7,1
8,15,452.8,1
8,16,452.8,1
8,17,455.7,1
8,18,455.7,1
8,19,455.7,1
8,20,467.7,1
8,21,482.2,1
8,22,482.2,1
8,23,482.2,1
8,24,495.2,1
8,25,501.9,1
8,26,501.9,1
8,27,501.9,1
8,28,521.8,1
8,29,521.8,1
8,30,521.8,1
8,31,523.7,1
9,1,523.7,1
9,2,523.7,1
9,3,523.7,1
9,4,523.7,1
9,5,523.7,1
9,6,523.7,1
9,7,523.7,1
9,8,523.7,1
9,9,535.3,1
9,10,535.3,1
9,11,535.3,1
9,12,535.3,1
9,13,535.3,1
9,14,535.3,1
9,15,535.3,1
9,16,535.3,1
9,17,535.3,1
9,18,535.3,1
9,19,535.3,1
9,20,535.3,1
9,21,535.3,1
9,22,535.3,1
9,23,535.3,1
