month,day,avg_accumulated_precipitation,years_sampled
1,1,0.1,1
1,2,0.8,1
1,3,1.0,1
1,4,6.8,1
1,5,11.9,1
1,6,11.9,1
1,7,11.9,1
1,8,11.9,1
1,9,12.0,1
1,10,12.0,1
1,11,12.0,1
1,12,12.0,1
1,13,13.6,1
1,14,19.1,1
1,15,22.2,1
1,16,24.1,1
1,17,38.6,1
1,18,38.7,1
1,19,38.7,1
1,20,38.7,1
1,21,46.9,1
1,22,48.9,1
1,23,52.2,1
1,24,53.3,1
1,25,55.1,1
1,26,62.1,1
1,27,74.6,1
1,28,90.3,1
1,29,106.8,1
1,30,111.5,1
1,31,112.8,1
2,1,113.3,1
2,2,123.0,1
2,3,125.0,1
2,4,137.9,1
2,5,158.0,1
2,6,161.9,1
2,7,173.6,1
2,8,175.9,1
2,9,181.2,1
2,10,187.0,1
2,11,190.7,1
2,12,191.2,1
2,13,212.9,1
2,14,212.9,1
2,15,212.9,1
2,16,212.9,1
2,17,212.9,1
2,18,216.6,1
2,19,216.8,1
2,20,216.8,1
2,21,216.8,1
2,22,216.8,1
2,23,216.8,1
2,24,216.8,1
2,25,216.8,1
2,26,216.8,1
2,27,216.8,1
2,28,216.8,1
3,1,216.8,1
3,2,217.1,1
3,3,219.1,1
3,4,219.1,1
3,5,228.9,1
3,6,239.9,1
3,7,242.7,1
3,8,243.8,1
3,9,251.9,1
3,10,257.0,1
3,11,257.0,1
3,12,257.0,1
3,13,257.0,1
3,14,257.0,1
3,15,257.2,1
3,16,257.2,1
3,17,257.2,1
3,18,257.2,1
3,19,257.2,1
3,20,259.8,1
3,21,267.3,1
3,22,267.3,1
3,23,267.3,1
3,24,267.3,1
3,25,267.3,1
3,26,267.3,1
3,27,267.3,1
3,28,267.3,1
3,29,267.3,1
3,30,267.3,1
3,31,267.3,1
4,1,267.3,1
4,2,267.3,1
4,3,267.3,1
4,4,267.3,1
4,5,267.3,1
4,6,267.3,1
4,7,269.1,1
4,8,272.6,1
4,9,272.6,1
4,10,272.6,1
4,11,272.8,1
4,12,278.8,1
4,13,278.8,1
4,14,278.8,1
4,15,278.8,1
4,16,278.8,1
4,17,278.8,1
4,18,278.8,1
4,19,278.8,1
4,20,278.8,1
4,21,279.4,1
4,22,279.4,1
4,23,280.1,1
4,24,292.1,1
4,25,299.2,1
4,26,299.2,1
4,27,299.2,1
4,28,299.2,1
4,29,310.4,1
4,30,311.4,1
5,1,311.4,1
5,2,327.2,1
5,3,330.9,1
5,4,333.3,1
5,5,333.5,1
5,6,333.5,1
5,7,338.2,1
5,8,345.2,1
5,9,362.1,1
5,10,373.4,1
5,11,374.1,1
5,12,377.8,1
5,13,379.2,1
5,14,379.2,1
5,15,381.4,1
5,16,381.4,1
5,17,382.2,1
5,18,382.2,1
5,19,382.2,1
5,20,382.2,1
5,21,382.2,1
5,22,382.2,1
5,23,382.2,1
5,24,382.2,1
5,25,382.2,1
5,26,382.2,1
5,27,382.2,1
5,28,382.2,1
5,29,382.2,1
5,30,382.2,1
5,31,382.2,1
6,1,382.2,1
6,2,382.2,1
6,3,382.2,1
6,4,382.2,1
6,5,382.2,1
6,6,382.2,1
6,7,382.2,1
6,8,382.2,1
6,9,382.2,1
6,10,382.2,1
6,11,382.2,1
6,12,382.2,1
6,13,382.2,1
6,14,388.5,1
6,15,388.6,1
6,16,388.6,1
6,17,388.6,1
6,18,388.7,1
6,19,388.7,1
6,20,389.1,1
6,21,389.1,1
6,22,389.1,1
6,23,389.1,1
6,24,389.1,1
6,25,389.2,1
6,26,389.2,1
6,27,389.2,1
6,28,390.0,1
6,29,390.0,1
6,30,390.0,1
7,1,390.0,1
7,2,390.0,1
7,3,390.0,1
7,4,390.0,1
7,5,390.0,1
7,6,390.0,1
7,7,393.3,1
7,8,393.3,1
7,9,393.3,1
7,10,393.8,1
7,11,393.8,1
7,12,398.1,1
7,13,398.1,1
7,14,398.1,1
7,15,398.1,1
7,16,398.1,1
7,17,398.1,1
7,18,398.1,1
7,19,398.1,1
7,20,398.1,1
7,21,398.1,1
7,22,398.1,1
7,23,398.1,1
7,24,398.1,1
7,25,398.1,1
7,26,398.1,1
7,27,398.1,1
7,28,398.1,1
7,29,398.1,1
7,30,398.1,1
7,31,398.3,1
8,1,398.3,1
8,2,398.3,1
8,3,398.3,1
8,4,398.3,1
8,5,398.3,1
8,6,398.3,1
8,7,398.3,1
8,8,398.3,1
8,9,398.3,1
8,10,398.3,1
8,11,398.3,1
8,12,398.3,1
8,13,398.3,1
8,14,399.6,1
8,15,399.8,1
8,16,399.8,1
8,17,399.8,1
8,18,399.8,1
8,19,399.8,1
8,20,400.0,1
8,21,400.0,1
8,22,400.0,1
8,23,400.0,1
8,24,400.4,1
8,25,400.4,1
8,26,400.4,1
8,27,404.0,1
8,28,404.0,1
8,29,404.0,1
8,30,404.0,1
8,31,404.0,1
9,1,404.0,1
9,2,404.0,1
9,3,404.0,1
9,4,404.0,1
9,5,404.0,1
9,6,404.9,1
9,7,404.9,1
9,8,404.9,1
9,9,407.0,1
9,10,407.0,1
9,11,407.0,1
9,12,407.0,1
9,13,407.0,1
9,14,407.0,1
9,15,407.0,1
9,16,407.5,1
9,17,408.1,1
9,18,408.1,1
9,19,408.1,1
9,20,408.1,1
9,21,408.1,1
