month,day,avg_accumulated_precipitation,years_sampled
1,1,14.7,1
1,2,30.9,1
1,3,30.9,1
1,4,30.9,1
1,5,32.7,1
1,6,34.6,1
1,7,34.6,1
1,8,36.7,1
1,9,37.7,1
1,10,40.2,1
1,11,49.4,1
1,12,49.5,1
1,13,50.3,1
1,14,52.1,1
1,15,53.5,1
1,16,53.5,1
1,17,53.5,1
1,18,53.5,1
1,19,54.5,1
1,20,55.6,1
1,21,57.4,1
1,22,57.6,1
1,23,57.6,1
1,24,57.7,1
1,25,57.7,1
1,26,60.4,1
1,27,63.9,1
1,28,64.6,1
1,29,64.8,1
1,30,71.5,1
1,31,71.9,1
2,1,71.9,1
2,2,71.9,1
2,3,71.9,1
2,4,71.9,1
2,5,71.9,1
2,6,72.3,1
2,7,78.3,1
2,8,82.1,1
2,9,82.1,1
2,10,82.1,1
2,11,82.3,1
2,12,83.7,1
2,13,83.7,1
2,14,112.9,1
2,15,113.2,1
2,16,113.9,1
2,17,115.1,1
2,18,115.1,1
2,19,115.1,1
2,20,115.9,1
2,21,115.9,1
2,22,115.9,1
2,23,115.9,1
2,24,118.1,1
2,25,118.1,1
2,26,118.1,1
2,27,118.1,1
2,28,118.1,1
3,1,118.7,1
3,2,120.0,1
3,3,120.0,1
3,4,120.0,1
3,5,120.5,1
3,6,121.2,1
3,7,121.6,1
3,8,124.6,1
3,9,124.6,1
3,10,124.6,1
3,11,125.6,1
3,12,126.4,1
3,13,128.0,1
3,14,128.0,1
3,15,128.0,1
3,16,128.0,1
3,17,130.2,1
3,18,133.8,1
3,19,135.2,1
3,20,135.2,1
3,21,135.3,1
3,22,136.2,1
3,23,136.2,1
3,24,136.2,1
3,25,136.8,1
3,26,138.2,1
3,27,138.2,1
3,28,138.5,1
3,29,139.6,1
3,30,139.6,1
3,31,140.0,1
4,1,140.0,1
4,2,140.0,1
4,3,140.0,1
4,4,140.0,1
4,5,140.0,1
4,6,140.0,1
4,7,140.0,1
4,8,140.1,1
4,9,140.7,1
4,10,140.8,1
4,11,140.9,1
4,12,140.9,1
4,13,140.9,1
4,14,140.9,1
4,15,140.9,1
4,16,141.1,1
4,17,141.4,1
4,18,141.7,1
4,19,144.2,1
4,20,144.5,1
4,21,144.5,1
4,22,144.5,1
4,23,144.5,1
4,24,144.5,1
4,25,145.2,1
4,26,145.5,1
4,27,146.0,1
4,28,147.9,1
4,29,148.2,1
4,30,148.2,1
5,1,148.2,1
5,2,148.6,1
5,3,148.6,1
5,4,148.6,1
5,5,149.6,1
5,6,149.6,1
5,7,149.7,1
5,8,149.8,1
5,9,150.7,1
5,10,150.7,1
5,11,150.8,1
5,12,151.2,1
5,13,151.2,1
5,14,154.5,1
5,15,163.1,1
5,16,175.6,1
5,17,179.9,1
5,18,187.2,1
5,19,193.1,1
5,20,194.5,1
5,21,195.7,1
5,22,196.6,1
5,23,198.2,1
5,24,202.4,1
5,25,205.4,1
5,26,208.0,1
5,27,208.0,1
5,28,211.8,1
5,29,214.9,1
5,30,217.8,1
5,31,221.3,1
6,1,248.7,1
6,2,262.7,1
6,3,282.5,1
6,4,284.7,1
6,5,300.0,1
6,6,308.7,1
6,7,310.5,1
6,8,314.3,1
6,9,314.4,1
6,10,315.6,1
6,11,320.6,1
6,12,323.5,1
6,13,328.6,1
6,14,329.2,1
6,15,336.4,1
6,16,337.6,1
6,17,338.5,1
6,18,341.2,1
6,19,352.2,1
6,20,354.4,1
6,21,358.4,1
6,22,359.1,1
6,23,361.4,1
6,24,368.2,1
6,25,376.3,1
6,26,386.6,1
6,27,389.5,1
6,28,391.6,1
6,29,413.1,1
6,30,430.8,1
7,1,438.3,1
7,2,444.9,1
7,3,446.8,1
7,4,452.4,1
7,5,454.9,1
7,6,458.3,1
7,7,466.0,1
7,8,469.6,1
7,9,470.6,1
7,10,488.8,1
7,11,513.0,1
7,12,556.9,1
7,13,567.9,1
7,14,567.9,1
7,15,567.9,1
7,16,568.1,1
7,17,568.1,1
7,18,569.9,1
7,19,572.9,1
7,20,577.0,1
7,21,581.8,1
7,22,583.6,1
7,23,592.9,1
7,24,603.5,1
7,25,618.4,1
7,26,620.1,1
7,27,628.0,1
7,28,643.2,1
7,29,708.8,1
7,30,709.0,1
7,31,713.2,1
8,1,718.1,1
8,2,735.7,1
8,3,769.2,1
8,4,786.6,1
8,5,801.4,1
8,6,821.2,1
8,7,859.6,1
8,8,893.2,1
8,9,929.7,1
8,10,954.0,1
8,11,962.1,1
8,12,1006.3,1
8,13,1030.2,1
8,14,1061.3,1
8,15,1067.5,1
8,16,1086.3,1
8,17,1115.9,1
8,18,1165.2,1
8,19,1180.9,1
8,20,1185.5,1
8,21,1187.0,1
8,22,1190.3,1
8,23,1195.8,1
8,24,1201.8,1
8,25,1207.5,1
8,26,1211.9,1
8,27,1223.2,1
8,28,1276.4,1
8,29,1320.5,1
8,30,1336.7,1
8,31,1346.1,1
9,1,1352.4,1
9,2,1364.5,1
9,3,1390.1,1
9,4,1415.4,1
9,5,1442.6,1
9,6,1455.1,1
9,7,1474.7,1
9,8,1497.6,1
9,9,1527.1,1
9,10,1557.6,1
9,11,1559.7,1
9,12,1565.1,1
9,13,1571.2,1
9,14,1572.6,1
9,15,1577.0,1
9,16,1595.6,1
9,17,1612.9,1
9,18,1618.8,1
9,19,1629.8,1
9,20,1630.2,1
9,21,1642.8,1
9,22,1663.1,1
9,23,1689.8,1
9,24,1692.5,1
9,25,1695.5,1
9,26,1696.0,1
