month,day,avg_daytime_temperature,years_sampled
1,1,18.67,1
1,2,18.71,1
1,3,16.62,1
1,4,15.03,1
1,5,13.7,1
1,6,10.4,1
1,7,10.57,1
1,8,12.61,1
1,9,12.17,1
1,10,13.49,1
1,11,13.33,1
1,12,15.12,1
1,13,15.24,1
1,14,12.95,1
1,15,12.94,1
1,16,13.84,1
1,17,11.5,1
1,18,9.76,1
1,19,10.63,1
1,20,11.69,1
1,21,12.43,1
1,22,15.97,1
1,23,15.59,1
1,24,11.24,1
1,25,12.63,1
1,26,13.76,1
1,27,15.91,1
1,28,17.05,1
1,29,16.68,1
1,30,16.4,1
1,31,18.6,1
2,1,18.48,1
2,2,12.9,1
2,3,13.58,1
2,4,17.55,1
2,5,17.73,1
2,6,15.51,1
2,7,15.59,1
2,8,16.79,1
2,9,18.17,1
2,10,20.3,1
2,11,20.54,1
2,12,20.44,1
2,13,15.56,1
2,14,13.53,1
2,15,14.67,1
2,16,18.38,1
2,17,19.5,1
2,18,19.36,1
2,19,16.26,1
2,20,18.06,1
2,21,22.91,1
2,22,23.13,1
2,23,23.13,1
2,24,22.14,1
2,25,21.53,1
2,26,20.79,1
2,27,21.75,1
2,28,17.37,1
3,1,16.52,1
3,2,16.4,1
3,3,9.97,1
3,4,10.0,1
3,5,14.77,1
3,6,13.64,1
3,7,13.67,1
3,8,14.23,1
3,9,14.84,1
3,10,13.21,1
3,11,13.46,1
3,12,16.86,1
3,13,18.68,1
3,14,16.62,1
3,15,17.38,1
3,16,19.91,1
3,17,21.18,1
3,18,20.43,1
3,19,18.35,1
3,20,19.08,1
3,21,17.59,1
3,22,19.44,1
3,23,19.42,1
3,24,21.09,1
3,25,23.23,1
3,26,18.87,1
3,27,18.6,1
3,28,19.66,1
3,29,20.12,1
3,30,18.27,1
3,31,20.11,1
4,1,20.78,1
4,2,22.03,1
4,3,23.08,1
4,4,25.22,1
4,5,27.07,1
4,6,25.22,1
4,7,20.43,1
4,8,13.45,1
4,9,15.21,1
4,10,14.54,1
4,11,15.54,1
4,12,15.11,1
4,13,17.03,1
4,14,19.41,1
4,15,23.86,1
4,16,27.78,1
4,17,27.77,1
4,18,28.48,1
4,19,27.85,1
4,20,29.69,1
4,21,24.4,1
4,22,24.42,1
4,23,22.26,1
4,24,18.86,1
4,25,22.6,1
4,26,25.24,1
4,27,23.16,1
4,28,19.53,1
4,29,19.8,1
4,30,21.04,1
5,1,23.79,1
5,2,23.23,1
5,3,23.19,1
5,4,23.69,1
5,5,22.96,1
5,6,21.19,1
5,7,20.06,1
5,8,20.66,1
5,9,21.91,1
5,10,21.94,1
5,11,23.26,1
5,12,22.74,1
5,13,24.06,1
5,14,19.89,1
5,15,19.29,1
5,16,20.61,1
5,17,21.13,1
5,18,23.23,1
5,19,27.65,1
5,20,32.56,1
5,21,34.33,1
5,22,34.47,1
5,23,34.79,1
5,24,34.62,1
5,25,34.61,1
5,26,35.02,1
5,27,33.18,1
5,28,27.76,1
5,29,26.99,1
5,30,28.4,1
5,31,31.88,1
6,1,32.08,1
6,2,30.09,1
6,3,29.09,1
6,4,28.86,1
6,5,25.94,1
6,6,27.77,1
6,7,29.86,1
6,8,30.01,1
6,9,28.81,1
6,10,28.86,1
6,11,31.14,1
6,12,31.27,1
6,13,30.89,1
6,14,28.49,1
6,15,27.96,1
6,16,27.25,1
6,17,27.16,1
6,18,27.0,1
6,19,26.93,1
6,20,27.87,1
6,21,29.54,1
6,22,30.79,1
6,23,27.98,1
6,24,26.67,1
6,25,27.91,1
6,26,29.71,1
6,27,29.49,1
6,28,31.54,1
6,29,35.66,1
6,30,34.47,1
7,1,36.65,1
7,2,37.69,1
7,3,38.27,1
7,4,38.44,1
7,5,38.63,1
7,6,38.52,1
7,7,37.84,1
7,8,36.22,1
7,9,34.16,1
7,10,28.16,1
7,11,27.55,1
7,12,28.3,1
7,13,29.46,1
7,14,30.96,1
7,15,33.78,1
7,16,34.3,1
7,17,33.92,1
7,18,33.67,1
7,19,30.36,1
7,20,32.64,1
7,21,33.02,1
7,22,36.25,1
7,23,37.29,1
7,24,32.44,1
7,25,31.01,1
7,26,31.61,1
7,27,32.39,1
7,28,31.71,1
7,29,34.19,1
7,30,36.99,1
7,31,40.66,1
8,1,40.36,1
8,2,39.16,1
8,3,38.28,1
8,4,35.73,1
8,5,34.26,1
8,6,33.74,1
8,7,35.04,1
8,8,34.91,1
8,9,32.57,1
8,10,31.81,1
8,11,33.09,1
8,12,36.12,1
8,13,37.23,1
8,14,34.04,1
8,15,30.93,1
8,16,28.64,1
8,17,28.41,1
8,18,30.33,1
8,19,29.64,1
8,20,28.82,1
8,21,29.47,1
8,22,29.12,1
8,23,29.86,1
8,24,30.17,1
8,25,30.67,1
8,26,28.78,1
8,27,28.3,1
8,28,29.32,1
8,29,31.65,1
8,30,33.72,1
8,31,31.09,1
9,1,29.22,1
9,2,35.7,1
9,3,34.52,1
9,4,35.99,1
9,5,37.12,1
9,6,35.18,1
9,7,35.14,1
9,8,34.81,1
9,9,32.72,1
9,10,28.22,1
9,11,32.07,1
