month,day,avg_accumulated_precipitation,years_sampled
1,1,3.0,1
1,2,8.5,1
1,3,14.9,1
1,4,24.9,1
1,5,27.8,1
1,6,43.5,1
1,7,45.7,1
1,8,52.5,1
1,9,57.2,1
1,10,60.4,1
1,11,74.7,1
1,12,88.3,1
1,13,94.0,1
1,14,98.4,1
1,15,104.2,1
1,16,104.9,1
1,17,104.9,1
1,18,107.0,1
1,19,111.0,1
1,20,116.4,1
1,21,119.1,1
1,22,127.4,1
1,23,133.3,1
1,24,133.9,1
1,25,140.6,1
1,26,151.7,1
1,27,162.2,1
1,28,167.7,1
1,29,177.6,1
1,30,195.9,1
1,31,203.3,1
2,1,227.4,1
2,2,248.0,1
2,3,250.0,1
2,4,251.5,1
2,5,266.1,1
2,6,281.4,1
2,7,293.4,1
2,8,300.2,1
2,9,300.9,1
2,10,310.9,1
2,11,313.2,1
2,12,321.5,1
2,13,324.7,1
2,14,328.4,1
2,15,338.9,1
2,16,351.1,1
2,17,358.6,1
2,18,372.4,1
2,19,382.2,1
2,20,384.0,1
2,21,386.0,1
2,22,396.1,1
2,23,405.4,1
2,24,408.3,1
2,25,414.3,1
2,26,421.2,1
2,27,425.5,1
2,28,427.7,1
3,1,428.2,1
3,2,432.8,1
3,3,440.5,1
3,4,447.2,1
3,5,450.8,1
3,6,460.1,1
3,7,465.1,1
3,8,469.2,1
3,9,471.4,1
3,10,474.4,1
3,11,478.1,1
3,12,479.8,1
3,13,480.7,1
3,14,481.5,1
3,15,482.7,1
3,16,483.7,1
3,17,489.9,1
3,18,491.4,1
3,19,491.5,1
3,20,491.5,1
3,21,492.0,1
3,22,494.4,1
3,23,497.5,1
3,24,509.1,1
3,25,513.8,1
3,26,519.4,1
3,27,527.6,1
3,28,529.9,1
3,29,531.3,1
3,30,540.8,1
3,31,541.0,1
4,1,543.2,1
4,2,543.7,1
4,3,545.7,1
4,4,547.3,1
4,5,556.2,1
4,6,562.8,1
4,7,566.6,1
4,8,568.9,1
4,9,568.9,1
4,10,569.9,1
4,11,571.5,1
4,12,573.4,1
4,13,580.6,1
4,14,584.5,1
4,15,589.8,1
4,16,593.7,1
4,17,594.4,1
4,18,595.3,1
4,19,596.2,1
4,20,597.5,1
4,21,598.4,1
4,22,600.9,1
4,23,601.4,1
4,24,607.1,1
4,25,608.2,1
4,26,618.5,1
4,27,625.1,1
4,28,634.0,1
4,29,636.0,1
4,30,643.8,1
5,1,644.2,1
5,2,665.6,1
5,3,672.4,1
5,4,677.6,1
5,5,683.8,1
5,6,683.9,1
5,7,683.9,1
5,8,688.5,1
5,9,688.5,1
5,10,690.5,1
5,11,693.3,1
5,12,698.5,1
5,13,703.7,1
5,14,711.3,1
5,15,711.9,1
5,16,712.4,1
5,17,714.1,1
5,18,717.0,1
5,19,717.1,1
5,20,721.5,1
5,21,726.1,1
5,22,727.7,1
5,23,729.0,1
5,24,731.3,1
5,25,735.9,1
5,26,737.5,1
5,27,739.5,1
5,28,744.6,1
5,29,761.0,1
5,30,768.3,1
5,31,773.5,1
6,1,774.4,1
6,2,777.6,1
6,3,793.3,1
6,4,801.0,1
6,5,808.0,1
6,6,816.3,1
6,7,832.1,1
6,8,865.2,1
6,9,882.9,1
6,10,891.5,1
6,11,892.5,1
6,12,892.9,1
6,13,893.2,1
6,14,894.2,1
6,15,896.9,1
6,16,899.1,1
6,17,912.0,1
6,18,922.1,1
6,19,931.8,1
6,20,934.0,1
6,21,936.1,1
6,22,940.4,1
6,23,942.4,1
6,24,942.6,1
6,25,942.9,1
6,26,943.0,1
6,27,943.2,1
6,28,944.3,1
6,29,944.6,1
6,30,946.4,1
7,1,947.3,1
7,2,948.2,1
7,3,950.2,1
7,4,956.8,1
7,5,957.2,1
7,6,958.3,1
7,7,958.3,1
7,8,958.5,1
7,9,960.0,1
7,10,960.0,1
7,11,960.6,1
7,12,967.6,1
7,13,968.3,1
7,14,968.4,1
7,15,968.7,1
7,16,968.7,1
7,17,968.7,1
7,18,969.2,1
7,19,975.7,1
7,20,994.6,1
7,21,998.7,1
7,22,1002.1,1
7,23,1015.8,1
7,24,1016.2,1
7,25,1017.0,1
7,26,1021.5,1
7,27,1024.9,1
7,28,1025.1,1
7,29,1025.5,1
7,30,1025.7,1
7,31,1025.7,1
8,1,1025.8,1
8,2,1025.8,1
8,3,1025.8,1
8,4,1025.8,1
8,5,1026.8,1
8,6,1028.9,1
8,7,1030.3,1
8,8,1032.5,1
8,9,1033.9,1
8,10,1033.9,1
8,11,1033.9,1
8,12,1033.9,1
8,13,1033.9,1
8,14,1034.6,1
8,15,1036.1,1
8,16,1043.7,1
8,17,1061.1,1
8,18,1067.7,1
8,19,1067.7,1
8,20,1067.7,1
8,21,1068.1,1
8,22,1070.3,1
8,23,1073.5,1
8,24,1073.7,1
8,25,1074.4,1
8,26,1075.0,1
8,27,1075.2,1
8,28,1075.8,1
8,29,1079.2,1
8,30,1086.3,1
8,31,1096.7,1
9,1,1098.4,1
9,2,1101.0,1
9,3,1101.1,1
9,4,1102.4,1
9,5,1102.6,1
9,6,1102.6,1
9,7,1103.2,1
9,8,1103.2,1
9,9,1103.5,1
9,10,1105.3,1
