month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.0,1
1,3,1.0,1
1,4,2.2,1
1,5,2.2,1
1,6,2.2,1
1,7,2.2,1
1,8,2.2,1
1,9,2.2,1
1,10,2.4,1
1,11,4.3,1
1,12,4.3,1
1,13,5.6,1
1,14,5.9,1
1,15,8.0,1
1,16,8.3,1
1,17,8.4,1
1,18,8.4,1
1,19,8.6,1
1,20,8.6,1
1,21,10.1,1
1,22,10.4,1
1,23,10.4,1
1,24,10.4,1
1,25,10.4,1
1,26,10.4,1
1,27,10.4,1
1,28,10.4,1
1,29,10.4,1
1,30,10.4,1
1,31,12.6,1
2,1,13.2,1
2,2,13.2,1
2,3,13.2,1
2,4,13.3,1
2,5,13.3,1
2,6,13.3,1
2,7,13.3,1
2,8,17.5,1
2,9,18.1,1
2,10,18.7,1
2,11,27.4,1
2,12,27.8,1
2,13,27.8,1
2,14,27.8,1
2,15,27.8,1
2,16,27.8,1
2,17,32.1,1
2,18,32.1,1
2,19,32.1,1
2,20,32.1,1
2,21,32.1,1
2,22,42.6,1
2,23,42.6,1
2,24,93.6,1
2,25,93.8,1
2,26,93.8,1
2,27,94.0,1
2,28,94.1,1
3,1,100.2,1
3,2,116.4,1
3,3,117.4,1
3,4,118.2,1
3,5,118.2,1
3,6,118.2,1
3,7,118.5,1
3,8,118.5,1
3,9,118.5,1
3,10,118.5,1
3,11,118.7,1
3,12,118.7,1
3,13,119.6,1
3,14,119.6,1
3,15,119.6,1
3,16,129.5,1
3,17,131.0,1
3,18,131.0,1
3,19,132.6,1
3,20,132.6,1
3,21,132.8,1
3,22,132.8,1
3,23,132.8,1
3,24,136.7,1
3,25,145.4,1
3,26,157.1,1
3,27,164.5,1
3,28,176.5,1
3,29,178.7,1
3,30,178.7,1
3,31,178.7,1
4,1,178.7,1
4,2,178.7,1
4,3,180.4,1
4,4,180.4,1
4,5,180.4,1
4,6,194.8,1
4,7,197.7,1
4,8,199.2,1
4,9,201.7,1
4,10,205.9,1
4,11,206.5,1
4,12,206.7,1
4,13,207.6,1
4,14,207.6,1
4,15,208.5,1
4,16,212.4,1
4,17,212.8,1
4,18,212.9,1
4,19,212.9,1
4,20,212.9,1
4,21,212.9,1
4,22,212.9,1
4,23,212.9,1
4,24,212.9,1
4,25,212.9,1
4,26,212.9,1
4,27,212.9,1
4,28,212.9,1
4,29,212.9,1
4,30,212.9,1
5,1,212.9,1
5,2,214.1,1
5,3,225.7,1
5,4,228.6,1
5,5,228.6,1
5,6,232.5,1
5,7,237.2,1
5,8,238.2,1
5,9,239.2,1
5,10,240.1,1
5,11,240.1,1
5,12,240.1,1
5,13,240.1,1
5,14,240.2,1
5,15,240.2,1
5,16,240.2,1
5,17,260.7,1
5,18,261.6,1
5,19,262.7,1
5,20,263.7,1
5,21,263.7,1
5,22,263.7,1
5,23,263.7,1
5,24,265.0,1
5,25,272.8,1
5,26,272.8,1
5,27,278.3,1
5,28,278.3,1
5,29,278.4,1
5,30,278.8,1
5,31,278.8,1
6,1,289.4,1
6,2,290.1,1
6,3,291.2,1
6,4,321.0,1
6,5,323.1,1
6,6,323.3,1
6,7,323.4,1
6,8,323.4,1
6,9,323.4,1
6,10,327.5,1
6,11,327.5,1
6,12,327.5,1
6,13,335.5,1
6,14,335.5,1
6,15,335.5,1
6,16,344.4,1
6,17,345.4,1
6,18,347.9,1
6,19,349.2,1
6,20,359.2,1
6,21,359.4,1
6,22,359.4,1
6,23,359.5,1
6,24,360.1,1
6,25,360.1,1
6,26,360.1,1
6,27,360.1,1
6,28,360.1,1
6,29,360.4,1
6,30,377.5,1
7,1,381.7,1
7,2,391.5,1
7,3,392.1,1
7,4,392.3,1
7,5,393.6,1
7,6,393.6,1
7,7,393.6,1
7,8,393.6,1
7,9,393.6,1
7,10,393.6,1
7,11,407.4,1
7,12,412.6,1
7,13,413.9,1
7,14,414.8,1
7,15,414.8,1
7,16,414.8,1
7,17,414.8,1
7,18,414.8,1
7,19,414.8,1
7,20,414.8,1
7,21,414.8,1
7,22,420.3,1
7,23,420.4,1
7,24,420.4,1
7,25,421.4,1
7,26,421.6,1
7,27,421.6,1
7,28,427.4,1
7,29,428.5,1
7,30,428.5,1
7,31,428.5,1
8,1,428.5,1
8,2,428.5,1
8,3,429.3,1
8,4,435.4,1
8,5,440.2,1
8,6,440.7,1
8,7,441.0,1
8,8,441.4,1
8,9,448.3,1
8,10,476.0,1
8,11,476.0,1
8,12,479.1,1
8,13,480.0,1
8,14,480.5,1
8,15,480.5,1
8,16,480.5,1
8,17,480.5,1
8,18,482.4,1
8,19,495.5,1
8,20,498.8,1
8,21,498.8,1
8,22,499.1,1
8,23,499.1,1
8,24,499.6,1
8,25,514.2,1
8,26,515.8,1
8,27,515.8,1
8,28,517.3,1
8,29,517.3,1
8,30,517.3,1
8,31,517.3,1
9,1,522.4,1
9,2,523.9,1
9,3,524.5,1
9,4,524.7,1
9,5,540.8,1
9,6,540.8,1
9,7,541.5,1
9,8,541.5,1
9,9,542.3,1
9,10,542.3,1
9,11,542.3,1
9,12,542.3,1
9,13,542.3,1
9,14,542.6,1
