month,day,avg_daytime_temperature,years_sampled
1,1,17.94,1
1,2,20.66,1
1,3,24.86,1
1,4,18.59,1
1,5,18.71,1
1,6,23.95,1
1,7,35.27,1
1,8,25.74,1
1,9,34.3,1
1,10,21.43,1
1,11,16.83,1
1,12,18.23,1
1,13,18.94,1
1,14,21.74,1
1,15,20.54,1
1,16,21.92,1
1,17,24.14,1
1,18,23.75,1
1,19,27.23,1
1,20,23.61,1
1,21,19.96,1
1,22,17.29,1
1,23,20.08,1
1,24,31.29,1
1,25,21.2,1
1,26,25.11,1
1,27,34.84,1
1,28,21.81,1
1,29,20.97,1
1,30,24.84,1
1,31,22.17,1
2,1,17.56,1
2,2,17.44,1
2,3,24.84,1
2,4,25.41,1
2,5,19.83,1
2,6,19.74,1
2,7,20.86,1
2,8,25.56,1
2,9,19.63,1
2,10,20.15,1
2,11,25.21,1
2,12,15.59,1
2,13,16.96,1
2,14,18.88,1
2,15,23.44,1
2,16,29.46,1
2,17,29.19,1
2,18,19.91,1
2,19,20.16,1
2,20,23.56,1
2,21,23.01,1
2,22,25.01,1
2,23,18.39,1
2,24,19.64,1
2,25,18.36,1
2,26,20.72,1
2,27,24.23,1
2,28,26.43,1
3,1,24.54,1
3,2,21.12,1
3,3,17.86,1
3,4,18.97,1
3,5,20.24,1
3,6,20.2,1
3,7,19.53,1
3,8,20.98,1
3,9,23.97,1
3,10,24.31,1
3,11,23.2,1
3,12,16.22,1
3,13,17.43,1
3,14,18.22,1
3,15,21.28,1
3,16,17.99,1
3,17,18.13,1
3,18,18.22,1
3,19,18.32,1
3,20,18.19,1
3,21,19.03,1
3,22,24.82,1
3,23,23.32,1
3,24,23.54,1
3,25,22.22,1
3,26,14.38,1
3,27,14.69,1
3,28,16.59,1
3,29,17.98,1
3,30,21.66,1
3,31,23.75,1
4,1,22.34,1
4,2,19.69,1
4,3,16.06,1
4,4,16.08,1
4,5,19.57,1
4,6,18.34,1
4,7,17.46,1
4,8,15.55,1
4,9,20.78,1
4,10,15.36,1
4,11,13.14,1
4,12,13.99,1
4,13,16.82,1
4,14,17.29,1
4,15,17.9,1
4,16,20.25,1
4,17,14.4,1
4,18,13.88,1
4,19,13.29,1
4,20,16.29,1
4,21,20.15,1
4,22,21.55,1
4,23,21.61,1
4,24,19.65,1
4,25,20.69,1
4,26,22.5,1
4,27,16.46,1
4,28,19.89,1
4,29,18.04,1
4,30,21.6,1
5,1,23.83,1
5,2,22.39,1
5,3,19.08,1
5,4,16.79,1
5,5,15.91,1
5,6,16.66,1
5,7,10.22,1
5,8,15.2,1
5,9,14.83,1
5,10,15.22,1
5,11,14.52,1
5,12,15.83,1
5,13,16.18,1
5,14,16.96,1
5,15,18.35,1
5,16,20.01,1
5,17,16.26,1
5,18,15.54,1
5,19,13.49,1
5,20,14.18,1
5,21,13.08,1
5,22,12.1,1
5,23,14.62,1
5,24,14.42,1
5,25,15.26,1
5,26,14.84,1
5,27,14.83,1
5,28,13.33,1
5,29,13.85,1
5,30,14.97,1
5,31,12.93,1
6,1,11.05,1
6,2,14.02,1
6,3,13.38,1
6,4,11.81,1
6,5,12.13,1
6,6,14.22,1
6,7,14.69,1
6,8,13.44,1
6,9,14.81,1
6,10,15.99,1
6,11,12.64,1
6,12,16.75,1
6,13,15.63,1
6,14,12.06,1
6,15,13.56,1
6,16,16.66,1
6,17,17.81,1
6,18,16.66,1
6,19,12.97,1
6,20,12.31,1
6,21,12.56,1
6,22,11.68,1
6,23,12.24,1
6,24,13.87,1
6,25,10.63,1
6,26,11.3,1
6,27,9.92,1
6,28,10.11,1
6,29,14.1,1
6,30,14.25,1
7,1,14.24,1
7,2,12.1,1
7,3,12.16,1
7,4,11.56,1
7,5,11.25,1
7,6,8.72,1
7,7,8.49,1
7,8,8.63,1
7,9,8.16,1
7,10,10.77,1
7,11,12.21,1
7,12,11.17,1
7,13,13.06,1
7,14,13.43,1
7,15,12.12,1
7,16,13.26,1
7,17,11.78,1
7,18,11.45,1
7,19,13.04,1
7,20,12.47,1
7,21,13.07,1
7,22,13.25,1
7,23,9.93,1
7,24,11.04,1
7,25,13.5,1
7,26,13.4,1
7,27,12.08,1
7,28,13.29,1
7,29,10.39,1
7,30,10.58,1
7,31,9.8,1
8,1,11.17,1
8,2,13.36,1
8,3,12.16,1
8,4,10.94,1
8,5,11.45,1
8,6,12.56,1
8,7,12.8,1
8,8,14.08,1
8,9,12.14,1
8,10,11.12,1
8,11,12.01,1
8,12,12.63,1
8,13,13.57,1
8,14,14.67,1
8,15,12.36,1
8,16,10.68,1
8,17,11.36,1
8,18,16.04,1
8,19,14.12,1
8,20,14.16,1
8,21,12.58,1
8,22,13.32,1
8,23,13.26,1
8,24,14.45,1
8,25,13.75,1
8,26,12.49,1
8,27,12.13,1
8,28,13.1,1
8,29,12.39,1
8,30,12.45,1
8,31,13.21,1
9,1,17.41,1
9,2,14.14,1
9,3,14.98,1
9,4,13.66,1
9,5,15.63,1
9,6,14.49,1
9,7,12.46,1
9,8,12.27,1
9,9,12.01,1
9,10,12.59,1
9,11,12.58,1
9,12,17.12,1
9,13,20.62,1
9,14,17.28,1
9,15,12.71,1
9,16,11.78,1
9,17,12.78,1
9,18,18.21,1
9,19,22.35,1
9,20,23.32,1
9,21,12.69,1
9,22,13.1,1
