month,day,avg_accumulated_precipitation,years_sampled
1,1,1.1,1
1,2,1.5,1
1,3,16.4,1
1,4,20.0,1
1,5,20.0,1
1,6,20.0,1
1,7,20.5,1
1,8,20.5,1
1,9,20.8,1
1,10,20.8,1
1,11,20.8,1
1,12,20.8,1
1,13,27.4,1
1,14,27.5,1
1,15,32.1,1
1,16,36.2,1
1,17,36.8,1
1,18,36.8,1
1,19,36.8,1
1,20,36.8,1
1,21,45.0,1
1,22,51.7,1
1,23,62.5,1
1,24,62.8,1
1,25,65.9,1
1,26,67.7,1
1,27,87.7,1
1,28,100.9,1
1,29,114.7,1
1,30,116.4,1
1,31,117.2,1
2,1,126.1,1
2,2,144.9,1
2,3,150.0,1
2,4,186.8,1
2,5,206.7,1
2,6,217.0,1
2,7,233.9,1
2,8,234.5,1
2,9,244.7,1
2,10,250.6,1
2,11,262.7,1
2,12,263.3,1
2,13,275.2,1
2,14,275.2,1
2,15,275.3,1
2,16,275.9,1
2,17,276.2,1
2,18,277.0,1
2,19,277.0,1
2,20,277.0,1
2,21,277.0,1
2,22,277.0,1
2,23,277.0,1
2,24,277.0,1
2,25,277.0,1
2,26,277.0,1
2,27,277.0,1
2,28,277.0,1
3,1,277.0,1
3,2,277.5,1
3,3,277.7,1
3,4,278.8,1
3,5,279.0,1
3,6,290.2,1
3,7,290.3,1
3,8,291.0,1
3,9,294.3,1
3,10,294.9,1
3,11,294.9,1
3,12,294.9,1
3,13,294.9,1
3,14,295.0,1
3,15,295.0,1
3,16,295.0,1
3,17,295.0,1
3,18,295.4,1
3,19,301.0,1
3,20,313.5,1
3,21,316.9,1
3,22,317.4,1
3,23,317.4,1
3,24,317.4,1
3,25,317.4,1
3,26,317.4,1
3,27,317.4,1
3,28,317.4,1
3,29,317.4,1
3,30,317.4,1
3,31,317.4,1
4,1,317.4,1
4,2,317.4,1
4,3,317.4,1
4,4,317.4,1
4,5,317.4,1
4,6,318.8,1
4,7,325.8,1
4,8,327.4,1
4,9,329.9,1
4,10,330.9,1
4,11,335.1,1
4,12,335.1,1
4,13,335.1,1
4,14,335.2,1
4,15,335.2,1
4,16,335.2,1
4,17,335.2,1
4,18,335.2,1
4,19,335.2,1
4,20,335.2,1
4,21,335.5,1
4,22,335.9,1
4,23,336.0,1
4,24,341.7,1
4,25,341.8,1
4,26,341.8,1
4,27,341.8,1
4,28,349.9,1
4,29,364.7,1
4,30,364.7,1
5,1,364.7,1
5,2,367.7,1
5,3,368.5,1
5,4,368.5,1
5,5,368.5,1
5,6,368.5,1
5,7,368.5,1
5,8,368.6,1
5,9,379.4,1
5,10,384.8,1
5,11,385.6,1
5,12,388.3,1
5,13,389.2,1
5,14,389.2,1
5,15,389.2,1
5,16,389.2,1
5,17,389.2,1
5,18,389.2,1
5,19,389.2,1
5,20,389.2,1
5,21,389.2,1
5,22,389.2,1
5,23,389.2,1
5,24,389.2,1
5,25,389.2,1
5,26,389.2,1
5,27,389.2,1
5,28,389.2,1
5,29,389.2,1
5,30,389.2,1
5,31,389.2,1
6,1,389.2,1
6,2,389.2,1
6,3,389.2,1
6,4,389.2,1
6,5,389.2,1
6,6,389.2,1
6,7,389.2,1
6,8,389.2,1
6,9,389.2,1
6,10,389.2,1
6,11,389.2,1
6,12,389.2,1
6,13,390.0,1
6,14,390.2,1
6,15,391.2,1
6,16,391.2,1
6,17,401.4,1
6,18,401.4,1
6,19,401.4,1
6,20,401.4,1
6,21,401.5,1
6,22,401.5,1
6,23,401.5,1
6,24,401.5,1
6,25,401.5,1
6,26,401.5,1
6,27,401.5,1
6,28,401.5,1
6,29,401.5,1
6,30,401.5,1
7,1,401.5,1
7,2,401.5,1
7,3,401.5,1
7,4,401.8,1
7,5,401.8,1
7,6,401.8,1
7,7,401.8,1
7,8,401.8,1
7,9,401.8,1
7,10,401.8,1
7,11,401.8,1
7,12,402.4,1
7,13,402.4,1
7,14,402.4,1
7,15,402.4,1
7,16,402.4,1
7,17,402.4,1
7,18,402.4,1
7,19,402.4,1
7,20,402.4,1
7,21,402.4,1
7,22,402.4,1
7,23,402.4,1
7,24,402.4,1
7,25,402.4,1
7,26,402.4,1
7,27,402.4,1
7,28,402.4,1
7,29,402.4,1
7,30,402.4,1
7,31,402.4,1
8,1,402.4,1
8,2,402.4,1
8,3,402.9,1
8,4,402.9,1
8,5,402.9,1
8,6,402.9,1
8,7,402.9,1
8,8,402.9,1
8,9,402.9,1
8,10,402.9,1
8,11,402.9,1
8,12,402.9,1
8,13,402.9,1
8,14,402.9,1
8,15,403.2,1
8,16,403.2,1
8,17,404.2,1
8,18,404.2,1
8,19,404.2,1
8,20,404.6,1
8,21,404.6,1
8,22,404.6,1
8,23,404.6,1
8,24,407.6,1
8,25,407.6,1
8,26,409.4,1
8,27,411.3,1
8,28,411.3,1
8,29,411.3,1
8,30,411.3,1
8,31,411.3,1
9,1,411.3,1
9,2,411.3,1
9,3,411.3,1
9,4,411.3,1
9,5,411.9,1
9,6,411.9,1
9,7,411.9,1
9,8,411.9,1
9,9,412.0,1
9,10,412.0,1
9,11,412.0,1
9,12,412.0,1
9,13,412.0,1
9,14,412.0,1
9,15,412.0,1
9,16,412.0,1
9,17,412.0,1
9,18,412.0,1
9,19,412.0,1
9,20,412.0,1
9,21,412.0,1
9,22,412.0,1
9,23,412.0,1
