month,day,avg_accumulated_precipitation,years_sampled
1,1,1.4,1
1,2,1.4,1
1,3,1.4,1
1,4,1.4,1
1,5,1.4,1
1,6,1.4,1
1,7,1.8,1
1,8,1.8,1
1,9,1.8,1
1,10,1.8,1
1,11,1.8,1
1,12,1.8,1
1,13,1.8,1
1,14,1.8,1
1,15,1.8,1
1,16,1.8,1
1,17,1.8,1
1,18,1.8,1
1,19,1.8,1
1,20,1.8,1
1,21,1.8,1
1,22,1.8,1
1,23,1.8,1
1,24,1.8,1
1,25,1.8,1
1,26,1.8,1
1,27,1.8,1
1,28,1.8,1
1,29,1.8,1
1,30,1.8,1
1,31,1.8,1
2,1,1.8,1
2,2,1.8,1
2,3,1.8,1
2,4,1.8,1
2,5,1.8,1
2,6,1.8,1
2,7,1.8,1
2,8,1.8,1
2,9,1.8,1
2,10,1.8,1
2,11,1.8,1
2,12,1.8,1
2,13,2.1,1
2,14,2.1,1
2,15,2.1,1
2,16,2.2,1
2,17,2.2,1
2,18,2.2,1
2,19,2.2,1
2,20,2.2,1
2,21,2.2,1
2,22,2.2,1
2,23,2.2,1
2,24,2.2,1
2,25,2.2,1
2,26,2.2,1
2,27,2.2,1
2,28,2.2,1
3,1,2.2,1
3,2,2.2,1
3,3,2.2,1
3,4,2.2,1
3,5,2.2,1
3,6,2.2,1
3,7,2.2,1
3,8,2.2,1
3,9,5.0,1
3,10,5.0,1
3,11,5.0,1
3,12,5.0,1
3,13,5.0,1
3,14,5.0,1
3,15,5.0,1
3,16,5.0,1
3,17,5.0,1
3,18,5.0,1
3,19,5.0,1
3,20,5.0,1
3,21,5.0,1
3,22,5.0,1
3,23,5.0,1
3,24,5.0,1
3,25,5.0,1
3,26,5.0,1
3,27,5.0,1
3,28,5.0,1
3,29,5.0,1
3,30,5.0,1
3,31,5.0,1
4,1,5.0,1
4,2,5.0,1
4,3,5.0,1
4,4,5.0,1
4,5,5.0,1
4,6,5.0,1
4,7,5.0,1
4,8,5.0,1
4,9,5.0,1
4,10,5.0,1
4,11,5.0,1
4,12,5.0,1
4,13,5.1,1
4,14,5.1,1
4,15,5.1,1
4,16,5.1,1
4,17,5.1,1
4,18,5.1,1
4,19,5.1,1
4,20,5.1,1
4,21,5.1,1
4,22,5.1,1
4,23,5.1,1
4,24,5.1,1
4,25,5.1,1
4,26,5.1,1
4,27,5.1,1
4,28,5.1,1
4,29,5.1,1
4,30,5.1,1
5,1,5.1,1
5,2,5.1,1
5,3,5.1,1
5,4,5.1,1
5,5,5.1,1
5,6,5.1,1
5,7,5.1,1
5,8,5.1,1
5,9,5.1,1
5,10,5.1,1
5,11,5.1,1
5,12,5.1,1
5,13,5.1,1
5,14,5.1,1
5,15,5.1,1
5,16,5.1,1
5,17,5.1,1
5,18,5.1,1
5,19,5.1,1
5,20,5.1,1
5,21,5.1,1
5,22,5.1,1
5,23,5.1,1
5,24,5.1,1
5,25,5.1,1
5,26,5.1,1
5,27,5.1,1
5,28,5.1,1
5,29,5.1,1
5,30,5.1,1
5,31,5.1,1
6,1,5.1,1
6,2,5.1,1
6,3,5.1,1
6,4,5.1,1
6,5,5.1,1
6,6,5.1,1
6,7,5.1,1
6,8,5.1,1
6,9,5.1,1
6,10,5.1,1
6,11,5.1,1
6,12,5.1,1
6,13,5.3,1
6,14,5.3,1
6,15,5.6,1
6,16,5.6,1
6,17,5.6,1
6,18,5.6,1
6,19,5.6,1
6,20,5.6,1
6,21,5.6,1
6,22,5.6,1
6,23,5.6,1
6,24,5.8,1
6,25,5.8,1
6,26,5.8,1
6,27,5.8,1
6,28,5.8,1
6,29,5.8,1
6,30,5.8,1
7,1,5.8,1
7,2,5.8,1
7,3,5.8,1
7,4,5.8,1
7,5,5.8,1
7,6,5.8,1
7,7,5.8,1
7,8,5.8,1
7,9,5.8,1
7,10,5.8,1
7,11,5.8,1
7,12,5.8,1
7,13,5.8,1
7,14,5.8,1
7,15,5.8,1
7,16,6.1,1
7,17,7.0,1
7,18,7.0,1
7,19,7.0,1
7,20,8.6,1
7,21,8.6,1
7,22,8.6,1
7,23,8.6,1
7,24,8.6,1
7,25,8.6,1
7,26,8.6,1
7,27,8.6,1
7,28,8.7,1
7,29,8.7,1
7,30,8.7,1
7,31,8.7,1
8,1,8.7,1
8,2,8.7,1
8,3,8.7,1
8,4,8.7,1
8,5,8.7,1
8,6,8.8,1
8,7,8.8,1
8,8,9.0,1
8,9,9.0,1
8,10,9.4,1
8,11,10.9,1
8,12,11.9,1
8,13,11.9,1
8,14,12.0,1
8,15,12.0,1
8,16,12.0,1
8,17,12.0,1
8,18,12.0,1
8,19,12.0,1
8,20,12.9,1
8,21,13.1,1
8,22,13.1,1
8,23,13.1,1
8,24,14.5,1
8,25,14.5,1
8,26,14.6,1
8,27,14.6,1
8,28,15.9,1
8,29,15.9,1
8,30,15.9,1
8,31,15.9,1
9,1,16.0,1
9,2,16.0,1
9,3,16.0,1
9,4,16.0,1
9,5,16.2,1
9,6,16.2,1
9,7,17.9,1
9,8,17.9,1
9,9,18.1,1
9,10,18.1,1
9,11,18.2,1
9,12,18.2,1
