month,day,avg_daytime_temperature,years_sampled
1,1,14.1,1
1,2,17.13,1
1,3,18.41,1
1,4,18.72,1
1,5,19.13,1
1,6,18.22,1
1,7,17.29,1
1,8,17.64,1
1,9,14.61,1
1,10,14.97,1
1,11,17.63,1
1,12,18.8,1
1,13,21.07,1
1,14,22.32,1
1,15,22.93,1
1,16,22.58,1
1,17,22.62,1
1,18,21.13,1
1,19,20.93,1
1,20,21.65,1
1,21,18.88,1
1,22,19.77,1
1,23,19.44,1
1,24,19.85,1
1,25,18.17,1
1,26,17.8,1
1,27,18.18,1
1,28,18.27,1
1,29,21.71,1
1,30,22.93,1
1,31,22.75,1
2,1,23.68,1
2,2,22.54,1
2,3,24.0,1
2,4,25.54,1
2,5,23.2,1
2,6,21.47,1
2,7,22.97,1
2,8,25.43,1
2,9,24.59,1
2,10,23.66,1
2,11,21.25,1
2,12,21.4,1
2,13,22.44,1
2,14,21.24,1
2,15,21.9,1
2,16,19.66,1
2,17,19.62,1
2,18,16.78,1
2,19,17.54,1
2,20,16.95,1
2,21,17.85,1
2,22,22.06,1
2,23,24.78,1
2,24,26.28,1
2,25,29.41,1
2,26,29.69,1
2,27,31.94,1
2,28,31.45,1
3,1,31.27,1
3,2,29.95,1
3,3,27.2,1
3,4,27.03,1
3,5,24.35,1
3,6,21.46,1
3,7,23.22,1
3,8,26.44,1
3,9,20.87,1
3,10,22.37,1
3,11,23.79,1
3,12,29.39,1
3,13,30.35,1
3,14,29.18,1
3,15,29.07,1
3,16,30.83,1
3,17,32.93,1
3,18,34.12,1
3,19,35.4,1
3,20,35.81,1
3,21,36.22,1
3,22,33.97,1
3,23,30.85,1
3,24,29.03,1
3,25,31.25,1
3,26,31.93,1
3,27,33.27,1
3,28,34.15,1
3,29,33.37,1
3,30,31.12,1
3,31,28.94,1
4,1,27.01,1
4,2,26.17,1
4,3,26.29,1
4,4,28.52,1
4,5,30.35,1
4,6,30.24,1
4,7,30.94,1
4,8,32.18,1
4,9,31.89,1
4,10,30.75,1
4,11,27.53,1
4,12,24.85,1
4,13,22.66,1
4,14,23.72,1
4,15,27.2,1
4,16,27.78,1
4,17,26.27,1
4,18,27.74,1
4,19,30.92,1
4,20,29.82,1
4,21,28.29,1
4,22,26.72,1
4,23,26.69,1
4,24,28.38,1
4,25,24.87,1
4,26,22.3,1
4,27,22.77,1
4,28,24.82,1
4,29,27.72,1
4,30,27.9,1
5,1,30.24,1
5,2,32.24,1
5,3,30.74,1
5,4,22.79,1
5,5,22.69,1
5,6,25.26,1
5,7,32.14,1
5,8,35.06,1
5,9,35.17,1
5,10,36.16,1
5,11,37.56,1
5,12,34.93,1
5,13,33.96,1
5,14,33.06,1
5,15,33.61,1
5,16,30.92,1
5,17,29.44,1
5,18,27.64,1
5,19,29.85,1
5,20,31.86,1
5,21,32.89,1
5,22,32.49,1
5,23,31.59,1
5,24,31.35,1
5,25,32.54,1
5,26,29.99,1
5,27,25.59,1
5,28,25.37,1
5,29,26.09,1
5,30,29.87,1
5,31,33.84,1
6,1,35.36,1
6,2,35.29,1
6,3,36.07,1
6,4,37.36,1
6,5,37.02,1
6,6,35.76,1
6,7,34.81,1
6,8,33.95,1
6,9,35.01,1
6,10,36.87,1
6,11,37.01,1
6,12,38.44,1
6,13,39.78,1
6,14,39.31,1
6,15,38.52,1
6,16,40.35,1
6,17,38.65,1
6,18,35.91,1
6,19,35.79,1
6,20,35.54,1
6,21,35.66,1
6,22,36.55,1
6,23,37.16,1
6,24,39.59,1
6,25,39.61,1
6,26,37.29,1
6,27,35.17,1
6,28,32.98,1
6,29,33.06,1
6,30,32.19,1
7,1,33.36,1
7,2,35.2,1
7,3,36.34,1
7,4,36.76,1
7,5,39.29,1
7,6,39.61,1
7,7,40.24,1
7,8,40.56,1
7,9,41.62,1
7,10,39.59,1
7,11,38.26,1
7,12,36.91,1
7,13,37.51,1
7,14,40.31,1
7,15,41.43,1
7,16,37.22,1
7,17,36.53,1
7,18,39.61,1
7,19,40.34,1
7,20,39.21,1
7,21,39.36,1
7,22,39.94,1
7,23,42.94,1
7,24,43.53,1
7,25,43.69,1
7,26,38.68,1
7,27,40.78,1
7,28,39.47,1
7,29,40.58,1
7,30,41.65,1
7,31,41.37,1
8,1,42.6,1
8,2,42.99,1
8,3,42.3,1
8,4,40.06,1
8,5,38.21,1
8,6,38.66,1
8,7,41.1,1
8,8,43.06,1
8,9,41.16,1
8,10,38.73,1
8,11,36.62,1
8,12,37.88,1
8,13,36.78,1
8,14,37.97,1
8,15,38.85,1
8,16,40.45,1
8,17,42.32,1
8,18,42.62,1
8,19,40.85,1
8,20,37.65,1
8,21,42.16,1
8,22,43.43,1
8,23,42.81,1
8,24,39.1,1
8,25,42.72,1
8,26,42.98,1
8,27,41.6,1
8,28,41.75,1
8,29,42.18,1
8,30,39.91,1
8,31,37.96,1
9,1,37.36,1
9,2,37.58,1
9,3,35.98,1
9,4,35.63,1
9,5,34.87,1
9,6,35.41,1
9,7,35.52,1
9,8,40.27,1
9,9,39.72,1
9,10,41.38,1
9,11,39.43,1
9,12,38.62,1
9,13,38.52,1
9,14,38.92,1
9,15,37.32,1
9,16,36.51,1
9,17,34.88,1
9,18,34.78,1
9,19,35.02,1
9,20,35.18,1
