month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.0,1
1,3,0.0,1
1,4,0.0,1
1,5,0.0,1
1,6,0.0,1
1,7,0.0,1
1,8,0.0,1
1,9,0.0,1
1,10,0.0,1
1,11,0.0,1
1,12,0.0,1
1,13,0.0,1
1,14,4.4,1
1,15,5.8,1
1,16,6.3,1
1,17,9.0,1
1,18,9.4,1
1,19,9.4,1
1,20,11.0,1
1,21,13.0,1
1,22,13.6,1
1,23,13.6,1
1,24,13.6,1
1,25,13.6,1
1,26,13.8,1
1,27,13.8,1
1,28,13.8,1
1,29,13.8,1
1,30,13.8,1
1,31,14.8,1
2,1,14.8,1
2,2,14.8,1
2,3,14.8,1
2,4,15.5,1
2,5,15.8,1
2,6,15.8,1
2,7,15.8,1
2,8,15.8,1
2,9,15.8,1
2,10,15.8,1
2,11,16.1,1
2,12,16.1,1
2,13,16.1,1
2,14,16.1,1
2,15,16.1,1
2,16,16.2,1
2,17,16.2,1
2,18,16.2,1
2,19,16.2,1
2,20,16.2,1
2,21,16.2,1
2,22,17.6,1
2,23,17.6,1
2,24,17.6,1
2,25,17.6,1
2,26,17.6,1
2,27,17.6,1
2,28,17.6,1
3,1,17.6,1
3,2,17.6,1
3,3,17.6,1
3,4,17.6,1
3,5,24.9,1
3,6,24.9,1
3,7,24.9,1
3,8,24.9,1
3,9,25.1,1
3,10,25.1,1
3,11,25.1,1
3,12,25.7,1
3,13,26.0,1
3,14,26.0,1
3,15,26.1,1
3,16,26.4,1
3,17,32.8,1
3,18,32.8,1
3,19,32.8,1
3,20,32.8,1
3,21,33.2,1
3,22,33.2,1
3,23,34.2,1
3,24,34.3,1
3,25,34.3,1
3,26,34.3,1
3,27,34.3,1
3,28,34.4,1
3,29,35.5,1
3,30,44.8,1
3,31,52.8,1
4,1,52.8,1
4,2,53.2,1
4,3,53.2,1
4,4,58.5,1
4,5,61.2,1
4,6,62.8,1
4,7,68.8,1
4,8,69.4,1
4,9,69.7,1
4,10,69.7,1
4,11,73.0,1
4,12,81.9,1
4,13,82.0,1
4,14,82.0,1
4,15,82.0,1
4,16,82.0,1
4,17,82.0,1
4,18,82.0,1
4,19,82.0,1
4,20,82.3,1
4,21,83.0,1
4,22,83.6,1
4,23,83.6,1
4,24,83.7,1
4,25,83.7,1
4,26,84.2,1
4,27,85.9,1
4,28,85.9,1
4,29,85.9,1
4,30,85.9,1
5,1,86.0,1
5,2,87.2,1
5,3,88.3,1
5,4,88.3,1
5,5,88.3,1
5,6,88.5,1
5,7,89.7,1
5,8,93.6,1
5,9,93.9,1
5,10,97.3,1
5,11,112.3,1
5,12,119.3,1
5,13,124.2,1
5,14,124.2,1
5,15,124.2,1
5,16,124.8,1
5,17,133.3,1
5,18,133.9,1
5,19,135.9,1
5,20,137.2,1
5,21,139.3,1
5,22,140.0,1
5,23,146.8,1
5,24,148.8,1
5,25,157.6,1
5,26,159.4,1
5,27,165.7,1
5,28,168.3,1
5,29,168.3,1
5,30,168.3,1
5,31,168.4,1
6,1,171.4,1
6,2,176.8,1
6,3,181.8,1
6,4,193.0,1
6,5,209.5,1
6,6,222.2,1
6,7,236.1,1
6,8,247.6,1
6,9,252.7,1
6,10,256.4,1
6,11,266.7,1
6,12,273.0,1
6,13,281.5,1
6,14,283.3,1
6,15,291.2,1
6,16,304.5,1
6,17,313.5,1
6,18,317.6,1
6,19,320.9,1
6,20,325.8,1
6,21,326.8,1
6,22,329.7,1
6,23,336.7,1
6,24,351.5,1
6,25,354.5,1
6,26,355.9,1
6,27,357.4,1
6,28,359.9,1
6,29,369.6,1
6,30,376.3,1
7,1,378.9,1
7,2,382.0,1
7,3,390.6,1
7,4,390.8,1
7,5,395.1,1
7,6,402.5,1
7,7,404.2,1
7,8,407.3,1
7,9,425.5,1
7,10,431.6,1
7,11,450.8,1
7,12,469.4,1
7,13,473.5,1
7,14,474.7,1
7,15,483.3,1
7,16,491.3,1
7,17,497.4,1
7,18,498.5,1
7,19,500.4,1
7,20,503.7,1
7,21,504.2,1
7,22,504.6,1
7,23,504.9,1
7,24,505.9,1
7,25,509.9,1
7,26,513.9,1
7,27,527.0,1
7,28,541.0,1
7,29,543.3,1
7,30,549.4,1
7,31,559.9,1
8,1,561.6,1
8,2,561.6,1
8,3,562.7,1
8,4,564.9,1
8,5,569.1,1
8,6,580.3,1
8,7,602.3,1
8,8,607.7,1
8,9,613.6,1
8,10,617.4,1
8,11,624.0,1
8,12,624.2,1
8,13,629.0,1
8,14,632.4,1
8,15,633.4,1
8,16,644.1,1
8,17,646.2,1
8,18,646.9,1
8,19,652.3,1
8,20,664.3,1
8,21,668.5,1
8,22,673.1,1
8,23,680.5,1
8,24,701.2,1
8,25,709.3,1
8,26,712.1,1
8,27,713.1,1
8,28,718.7,1
8,29,723.8,1
8,30,724.9,1
8,31,729.0,1
9,1,738.1,1
9,2,745.0,1
9,3,747.0,1
9,4,747.8,1
9,5,754.3,1
9,6,762.0,1
9,7,770.4,1
9,8,771.9,1
9,9,778.3,1
9,10,784.8,1
9,11,787.7,1
9,12,805.3,1
9,13,808.1,1
9,14,812.8,1
9,15,813.9,1
9,16,814.6,1
9,17,828.4,1
9,18,830.4,1
9,19,841.4,1
9,20,843.1,1
