month,day,avg_daytime_temperature,years_sampled
1,1,16.62,1
1,2,17.69,1
1,3,18.24,1
1,4,17.99,1
1,5,18.63,1
1,6,19.1,1
1,7,19.63,1
1,8,19.57,1
1,9,19.33,1
1,10,18.15,1
1,11,13.04,1
1,12,14.32,1
1,13,16.02,1
1,14,16.63,1
1,15,12.55,1
1,16,15.41,1
1,17,16.65,1
1,18,16.16,1
1,19,16.32,1
1,20,16.97,1
1,21,15.01,1
1,22,16.31,1
1,23,17.87,1
1,24,18.33,1
1,25,19.95,1
1,26,19.57,1
1,27,17.13,1
1,28,18.54,1
1,29,19.38,1
1,30,19.33,1
1,31,10.89,1
2,1,13.13,1
2,2,15.07,1
2,3,18.1,1
2,4,17.8,1
2,5,13.77,1
2,6,17.19,1
2,7,18.2,1
2,8,19.3,1
2,9,19.27,1
2,10,21.33,1
2,11,22.59,1
2,12,21.54,1
2,13,22.17,1
2,14,22.61,1
2,15,20.88,1
2,16,21.44,1
2,17,22.52,1
2,18,23.57,1
2,19,23.81,1
2,20,23.74,1
2,21,23.16,1
2,22,13.45,1
2,23,13.24,1
2,24,15.78,1
2,25,18.62,1
2,26,20.33,1
2,27,20.9,1
2,28,20.95,1
3,1,20.51,1
3,2,19.51,1
3,3,19.62,1
3,4,19.61,1
3,5,17.79,1
3,6,17.94,1
3,7,19.5,1
3,8,20.39,1
3,9,20.32,1
3,10,20.81,1
3,11,21.48,1
3,12,18.78,1
3,13,18.22,1
3,14,19.45,1
3,15,20.22,1
3,16,19.16,1
3,17,15.33,1
3,18,17.12,1
3,19,18.17,1
3,20,17.47,1
3,21,16.75,1
3,22,17.46,1
3,23,18.82,1
3,24,18.26,1
3,25,18.53,1
3,26,18.51,1
3,27,19.35,1
3,28,17.11,1
3,29,16.19,1
3,30,16.29,1
3,31,15.48,1
4,1,16.79,1
4,2,19.2,1
4,3,21.4,1
4,4,20.47,1
4,5,18.83,1
4,6,19.26,1
4,7,19.17,1
4,8,20.93,1
4,9,21.07,1
4,10,20.24,1
4,11,19.54,1
4,12,20.0,1
4,13,20.43,1
4,14,22.04,1
4,15,22.96,1
4,16,23.49,1
4,17,24.43,1
4,18,25.11,1
4,19,21.31,1
4,20,19.89,1
4,21,21.42,1
4,22,20.78,1
4,23,21.38,1
4,24,22.72,1
4,25,23.79,1
4,26,23.92,1
4,27,24.71,1
4,28,25.4,1
4,29,26.52,1
4,30,26.22,1
5,1,25.91,1
5,2,24.12,1
5,3,21.18,1
5,4,23.47,1
5,5,24.55,1
5,6,25.75,1
5,7,25.03,1
5,8,23.6,1
5,9,22.45,1
5,10,20.65,1
5,11,20.06,1
5,12,18.09,1
5,13,19.25,1
5,14,21.4,1
5,15,23.49,1
5,16,25.08,1
5,17,22.5,1
5,18,22.75,1
5,19,21.72,1
5,20,21.09,1
5,21,20.59,1
5,22,21.54,1
5,23,20.85,1
5,24,20.44,1
5,25,19.84,1
5,26,19.21,1
5,27,19.29,1
5,28,20.22,1
5,29,21.27,1
5,30,23.34,1
5,31,22.86,1
6,1,22.76,1
6,2,22.36,1
6,3,20.46,1
6,4,19.59,1
6,5,17.89,1
6,6,17.84,1
6,7,17.86,1
6,8,18.68,1
6,9,17.3,1
6,10,18.68,1
6,11,18.91,1
6,12,18.81,1
6,13,18.09,1
6,14,19.76,1
6,15,20.35,1
6,16,19.47,1
6,17,18.91,1
6,18,20.06,1
6,19,19.5,1
6,20,19.95,1
6,21,20.01,1
6,22,20.11,1
6,23,19.1,1
6,24,18.15,1
6,25,18.88,1
6,26,19.13,1
6,27,18.95,1
6,28,19.21,1
6,29,17.81,1
6,30,17.61,1
7,1,17.32,1
7,2,17.96,1
7,3,18.57,1
7,4,19.78,1
7,5,18.81,1
7,6,18.76,1
7,7,19.26,1
7,8,18.49,1
7,9,18.55,1
7,10,19.48,1
7,11,19.03,1
7,12,18.28,1
7,13,19.12,1
7,14,19.92,1
7,15,19.38,1
7,16,19.08,1
7,17,18.88,1
7,18,19.49,1
7,19,20.14,1
7,20,21.17,1
7,21,21.04,1
7,22,21.24,1
7,23,22.22,1
7,24,22.4,1
7,25,21.72,1
7,26,20.05,1
7,27,19.03,1
7,28,19.32,1
7,29,20.55,1
7,30,21.33,1
7,31,21.37,1
8,1,20.3,1
8,2,23.0,1
8,3,22.56,1
8,4,21.45,1
8,5,20.52,1
8,6,19.52,1
8,7,18.09,1
8,8,18.24,1
8,9,18.03,1
8,10,18.8,1
8,11,19.42,1
8,12,20.14,1
8,13,20.7,1
8,14,20.05,1
8,15,20.06,1
8,16,19.98,1
8,17,19.5,1
8,18,19.98,1
8,19,19.89,1
8,20,19.63,1
8,21,20.15,1
8,22,18.88,1
8,23,17.58,1
8,24,16.47,1
8,25,17.69,1
8,26,19.16,1
8,27,18.83,1
8,28,19.3,1
8,29,17.98,1
8,30,19.62,1
8,31,18.19,1
9,1,17.84,1
9,2,19.54,1
9,3,19.98,1
9,4,20.18,1
9,5,20.4,1
9,6,18.24,1
9,7,17.48,1
9,8,19.15,1
9,9,18.28,1
9,10,19.12,1
9,11,19.27,1
9,12,18.38,1
9,13,19.29,1
9,14,18.66,1
9,15,19.58,1
9,16,20.37,1
9,17,19.57,1
9,18,18.47,1
9,19,19.26,1
9,20,20.11,1
9,21,20.85,1
9,22,21.15,1
9,23,20.66,1
9,24,21.8,1
