month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.0,1
1,3,0.0,1
1,4,0.1,1
1,5,0.9,1
1,6,2.5,1
1,7,4.4,1
1,8,5.3,1
1,9,5.3,1
1,10,6.1,1
1,11,7.8,1
1,12,16.7,1
1,13,25.3,1
1,14,26.7,1
1,15,27.1,1
1,16,27.1,1
1,17,28.3,1
1,18,38.6,1
1,19,38.6,1
1,20,38.6,1
1,21,39.2,1
1,22,46.2,1
1,23,46.5,1
1,24,48.6,1
1,25,52.0,1
1,26,54.6,1
1,27,54.6,1
1,28,55.0,1
1,29,55.0,1
1,30,57.0,1
1,31,58.1,1
2,1,58.1,1
2,2,58.1,1
2,3,58.1,1
2,4,58.1,1
2,5,59.9,1
2,6,59.9,1
2,7,59.9,1
2,8,59.9,1
2,9,59.9,1
2,10,59.9,1
2,11,61.3,1
2,12,61.3,1
2,13,62.4,1
2,14,62.7,1
2,15,66.1,1
2,16,67.3,1
2,17,67.8,1
2,18,68.4,1
2,19,68.6,1
2,20,68.6,1
2,21,68.6,1
2,22,68.8,1
2,23,68.8,1
2,24,68.8,1
2,25,68.8,1
2,26,69.2,1
2,27,70.2,1
2,28,74.4,1
3,1,75.9,1
3,2,76.6,1
3,3,79.8,1
3,4,83.2,1
3,5,86.8,1
3,6,87.8,1
3,7,88.4,1
3,8,88.5,1
3,9,88.7,1
3,10,90.1,1
3,11,90.2,1
3,12,92.7,1
3,13,98.1,1
3,14,98.9,1
3,15,110.0,1
3,16,122.0,1
3,17,141.5,1
3,18,163.0,1
3,19,166.1,1
3,20,168.0,1
3,21,168.0,1
3,22,168.0,1
3,23,168.0,1
3,24,168.0,1
3,25,168.0,1
3,26,168.0,1
3,27,169.0,1
3,28,169.4,1
3,29,172.7,1
3,30,177.2,1
3,31,178.5,1
4,1,180.0,1
4,2,182.7,1
4,3,186.5,1
4,4,187.6,1
4,5,192.0,1
4,6,195.1,1
4,7,234.5,1
4,8,242.5,1
4,9,246.1,1
4,10,246.7,1
4,11,246.8,1
4,12,247.0,1
4,13,247.0,1
4,14,247.7,1
4,15,247.8,1
4,16,247.9,1
4,17,251.2,1
4,18,253.0,1
4,19,255.2,1
4,20,259.9,1
4,21,260.1,1
4,22,260.2,1
4,23,262.6,1
4,24,265.4,1
4,25,265.4,1
4,26,276.9,1
4,27,277.0,1
4,28,279.0,1
4,29,280.2,1
4,30,280.2,1
5,1,280.2,1
5,2,281.4,1
5,3,314.9,1
5,4,317.3,1
5,5,320.0,1
5,6,320.2,1
5,7,320.2,1
5,8,320.2,1
5,9,320.2,1
5,10,322.0,1
5,11,322.9,1
5,12,329.9,1
5,13,334.5,1
5,14,338.7,1
5,15,338.7,1
5,16,339.9,1
5,17,343.5,1
5,18,357.2,1
5,19,363.1,1
5,20,366.8,1
5,21,368.7,1
5,22,369.9,1
5,23,371.6,1
5,24,376.4,1
5,25,377.0,1
5,26,379.1,1
5,27,381.8,1
5,28,393.0,1
5,29,421.8,1
5,30,425.7,1
5,31,442.0,1
6,1,448.8,1
6,2,452.9,1
6,3,480.5,1
6,4,494.4,1
6,5,494.4,1
6,6,495.1,1
6,7,498.2,1
6,8,499.0,1
6,9,502.0,1
6,10,503.2,1
6,11,503.5,1
6,12,503.5,1
6,13,506.5,1
6,14,511.6,1
6,15,513.7,1
6,16,513.8,1
6,17,514.1,1
6,18,514.8,1
6,19,515.8,1
6,20,523.4,1
6,21,523.8,1
6,22,523.8,1
6,23,524.9,1
6,24,525.9,1
6,25,526.1,1
6,26,528.7,1
6,27,530.9,1
6,28,531.9,1
6,29,532.2,1
6,30,534.8,1
7,1,540.6,1
7,2,552.4,1
7,3,555.4,1
7,4,557.2,1
7,5,559.2,1
7,6,568.4,1
7,7,569.1,1
7,8,569.1,1
7,9,569.6,1
7,10,573.8,1
7,11,578.0,1
7,12,578.4,1
7,13,580.0,1
7,14,580.2,1
7,15,580.9,1
7,16,582.0,1
7,17,592.4,1
7,18,594.9,1
7,19,599.0,1
7,20,603.7,1
7,21,604.2,1
7,22,605.9,1
7,23,607.8,1
7,24,609.9,1
7,25,628.1,1
7,26,637.3,1
7,27,645.2,1
7,28,650.4,1
7,29,653.8,1
7,30,653.8,1
7,31,655.3,1
8,1,663.8,1
8,2,668.5,1
8,3,712.6,1
8,4,714.7,1
8,5,721.7,1
8,6,729.9,1
8,7,738.8,1
8,8,740.7,1
8,9,741.2,1
8,10,741.8,1
8,11,742.4,1
8,12,747.8,1
8,13,748.9,1
8,14,750.7,1
8,15,751.9,1
8,16,751.9,1
8,17,751.9,1
8,18,751.9,1
8,19,753.9,1
8,20,755.8,1
8,21,758.9,1
8,22,760.3,1
8,23,762.4,1
8,24,764.7,1
8,25,765.4,1
8,26,769.3,1
8,27,770.6,1
8,28,771.2,1
8,29,797.6,1
8,30,802.4,1
8,31,814.4,1
9,1,825.4,1
9,2,833.5,1
9,3,835.2,1
9,4,842.0,1
9,5,854.2,1
9,6,861.6,1
9,7,870.3,1
9,8,871.9,1
9,9,888.0,1
9,10,900.9,1
9,11,909.7,1
9,12,917.9,1
9,13,925.0,1
9,14,925.1,1
9,15,927.3,1
9,16,930.2,1
9,17,947.1,1
9,18,967.4,1
9,19,975.4,1
9,20,989.9,1
9,21,1010.3,1
9,22,1029.6,1
9,23,1051.3,1
9,24,1054.3,1
