month,day,avg_daytime_temperature,years_sampled
1,1,-15.13,1
1,2,-19.66,1
1,3,-15.28,1
1,4,-17.53,1
1,5,-16.1,1
1,6,-12.12,1
1,7,-4.58,1
1,8,-0.46,1
1,9,1.69,1
1,10,-2.1,1
1,11,-0.57,1
1,12,-6.66,1
1,13,-0.22,1
1,14,1.72,1
1,15,-7.21,1
1,16,-17.16,1
1,17,-9.96,1
1,18,-5.73,1
1,19,-6.7,1
1,20,-16.08,1
1,21,-9.66,1
1,22,-3.59,1
1,23,-13.18,1
1,24,-24.73,1
1,25,-22.33,1
1,26,-14.46,1
1,27,-16.33,1
1,28,-16.22,1
1,29,-15.53,1
1,30,-20.5,1
1,31,-16.0,1
2,1,-15.68,1
2,2,-13.82,1
2,3,-9.96,1
2,4,-8.42,1
2,5,-12.54,1
2,6,-15.83,1
2,7,-17.04,1
2,8,-19.61,1
2,9,-16.75,1
2,10,-11.02,1
2,11,-6.65,1
2,12,-8.28,1
2,13,-11.65,1
2,14,-4.57,1
2,15,-13.34,1
2,16,-6.78,1
2,17,-0.71,1
2,18,-6.4,1
2,19,-8.35,1
2,20,-7.59,1
2,21,-9.85,1
2,22,-7.86,1
2,23,-6.35,1
2,24,-14.23,1
2,25,-6.62,1
2,26,-7.65,1
2,27,-7.27,1
2,28,2.36,1
3,1,-12.16,1
3,2,-15.43,1
3,3,-6.61,1
3,4,0.58,1
3,5,-9.26,1
3,6,-5.89,1
3,7,2.59,1
3,8,4.29,1
3,9,10.36,1
3,10,7.43,1
3,11,-2.9,1
3,12,-3.92,1
3,13,-3.4,1
3,14,-1.81,1
3,15,-5.49,1
3,16,8.28,1
3,17,-8.18,1
3,18,-8.09,1
3,19,-1.57,1
3,20,-3.99,1
3,21,-0.7,1
3,22,-3.12,1
3,23,-3.8,1
3,24,-3.28,1
3,25,-3.63,1
3,26,0.42,1
3,27,-6.15,1
3,28,-4.76,1
3,29,1.42,1
3,30,9.07,1
3,31,0.81,1
4,1,1.93,1
4,2,2.99,1
4,3,8.25,1
4,4,2.45,1
4,5,5.52,1
4,6,0.77,1
4,7,-4.51,1
4,8,-0.06,1
4,9,8.54,1
4,10,6.91,1
4,11,4.53,1
4,12,4.18,1
4,13,10.23,1
4,14,5.71,1
4,15,6.72,1
4,16,10.28,1
4,17,13.02,1
4,18,15.85,1
4,19,2.88,1
4,20,0.47,1
4,21,3.44,1
4,22,9.02,1
4,23,8.42,1
4,24,6.0,1
4,25,8.37,1
4,26,11.62,1
4,27,14.99,1
4,28,16.49,1
4,29,14.19,1
4,30,8.69,1
5,1,6.81,1
5,2,6.23,1
5,3,7.27,1
5,4,11.39,1
5,5,16.79,1
5,6,5.91,1
5,7,7.78,1
5,8,7.95,1
5,9,11.34,1
5,10,11.53,1
5,11,8.63,1
5,12,8.21,1
5,13,7.76,1
5,14,9.72,1
5,15,13.87,1
5,16,16.73,1
5,17,18.01,1
5,18,13.43,1
5,19,23.09,1
5,20,19.33,1
5,21,10.23,1
5,22,14.29,1
5,23,16.72,1
5,24,11.05,1
5,25,14.79,1
5,26,20.53,1
5,27,18.77,1
5,28,15.45,1
5,29,12.65,1
5,30,12.67,1
5,31,13.28,1
6,1,15.09,1
6,2,18.83,1
6,3,21.84,1
6,4,22.57,1
6,5,22.57,1
6,6,19.26,1
6,7,16.93,1
6,8,20.16,1
6,9,22.02,1
6,10,22.82,1
6,11,23.97,1
6,12,25.44,1
6,13,22.22,1
6,14,17.93,1
6,15,17.22,1
6,16,17.95,1
6,17,19.21,1
6,18,17.44,1
6,19,16.6,1
6,20,17.83,1
6,21,18.43,1
6,22,19.51,1
6,23,20.73,1
6,24,19.74,1
6,25,20.96,1
6,26,18.62,1
6,27,21.38,1
6,28,22.62,1
6,29,23.93,1
6,30,24.67,1
7,1,26.37,1
7,2,26.85,1
7,3,26.67,1
7,4,25.19,1
7,5,25.09,1
7,6,25.14,1
7,7,25.31,1
7,8,26.09,1
7,9,22.14,1
7,10,22.59,1
7,11,22.06,1
7,12,23.72,1
7,13,24.45,1
7,14,26.48,1
7,15,24.17,1
7,16,21.18,1
7,17,20.89,1
7,18,18.13,1
7,19,18.66,1
7,20,20.65,1
7,21,22.33,1
7,22,18.13,1
7,23,18.57,1
7,24,21.05,1
7,25,23.29,1
7,26,24.37,1
7,27,23.86,1
7,28,21.58,1
7,29,21.78,1
7,30,21.18,1
7,31,22.27,1
8,1,23.25,1
8,2,21.69,1
8,3,20.47,1
8,4,22.39,1
8,5,23.67,1
8,6,24.2,1
8,7,24.84,1
8,8,23.18,1
8,9,23.31,1
8,10,22.45,1
8,11,21.91,1
8,12,19.99,1
8,13,20.29,1
8,14,19.97,1
8,15,18.9,1
8,16,19.05,1
8,17,21.77,1
8,18,21.23,1
8,19,19.42,1
8,20,19.82,1
8,21,19.75,1
8,22,20.79,1
8,23,20.23,1
8,24,18.05,1
8,25,19.22,1
8,26,20.9,1
8,27,21.25,1
8,28,18.74,1
8,29,18.43,1
8,30,19.11,1
8,31,18.88,1
9,1,20.34,1
9,2,20.34,1
9,3,21.72,1
9,4,20.24,1
9,5,18.01,1
9,6,17.72,1
9,7,20.84,1
9,8,18.78,1
9,9,17.01,1
9,10,18.92,1
9,11,14.19,1
9,12,17.56,1
9,13,20.12,1
9,14,14.83,1
9,15,13.75,1
9,16,19.56,1
9,17,17.01,1
9,18,16.2,1
9,19,11.46,1
9,20,13.97,1
