month,day,avg_accumulated_precipitation,years_sampled
1,1,0.9,1
1,2,0.9,1
1,3,0.9,1
1,4,0.9,1
1,5,0.9,1
1,6,0.9,1
1,7,0.9,1
1,8,0.9,1
1,9,0.9,1
1,10,0.9,1
1,11,0.9,1
1,12,0.9,1
1,13,0.9,1
1,14,0.9,1
1,15,0.9,1
1,16,0.9,1
1,17,0.9,1
1,18,0.9,1
1,19,0.9,1
1,20,0.9,1
1,21,0.9,1
1,22,0.9,1
1,23,0.9,1
1,24,0.9,1
1,25,0.9,1
1,26,0.9,1
1,27,1.3,1
1,28,1.3,1
1,29,1.3,1
1,30,1.3,1
1,31,1.3,1
2,1,1.3,1
2,2,1.3,1
2,3,1.3,1
2,4,1.3,1
2,5,1.3,1
2,6,1.3,1
2,7,1.3,1
2,8,1.3,1
2,9,1.3,1
2,10,1.3,1
2,11,1.3,1
2,12,1.3,1
2,13,1.3,1
2,14,1.3,1
2,15,1.3,1
2,16,1.3,1
2,17,1.3,1
2,18,1.3,1
2,19,1.3,1
2,20,1.3,1
2,21,1.3,1
2,22,1.3,1
2,23,1.3,1
2,24,1.3,1
2,25,1.3,1
2,26,1.3,1
2,27,1.3,1
2,28,1.3,1
3,1,1.3,1
3,2,1.3,1
3,3,1.3,1
3,4,1.3,1
3,5,1.3,1
3,6,1.3,1
3,7,1.3,1
3,8,1.3,1
3,9,1.3,1
3,10,1.3,1
3,11,1.3,1
3,12,1.3,1
3,13,1.3,1
3,14,1.3,1
3,15,1.3,1
3,16,1.3,1
3,17,1.3,1
3,18,1.3,1
3,19,1.3,1
3,20,1.3,1
3,21,1.3,1
3,22,1.3,1
3,23,1.3,1
3,24,1.3,1
3,25,1.3,1
3,26,1.3,1
3,27,1.3,1
3,28,1.3,1
3,29,1.5,1
3,30,1.5,1
3,31,1.5,1
4,1,1.5,1
4,2,1.5,1
4,3,1.5,1
4,4,1.5,1
4,5,1.5,1
4,6,1.5,1
4,7,1.5,1
4,8,1.5,1
4,9,4.7,1
4,10,4.7,1
4,11,4.7,1
4,12,4.7,1
4,13,4.7,1
4,14,4.7,1
4,15,4.7,1
4,16,4.7,1
4,17,4.7,1
4,18,4.7,1
4,19,4.7,1
4,20,4.7,1
4,21,4.7,1
4,22,4.7,1
4,23,4.7,1
4,24,4.7,1
4,25,4.7,1
4,26,4.7,1
4,27,4.7,1
4,28,4.7,1
4,29,4.7,1
4,30,4.7,1
5,1,4.7,1
5,2,4.7,1
5,3,4.7,1
5,4,4.7,1
5,5,4.7,1
5,6,4.7,1
5,7,4.7,1
5,8,4.7,1
5,9,4.7,1
5,10,4.7,1
5,11,4.7,1
5,12,4.7,1
5,13,4.7,1
5,14,4.7,1
5,15,4.7,1
5,16,4.7,1
5,17,4.7,1
5,18,4.7,1
5,19,4.7,1
5,20,4.8,1
5,21,4.8,1
5,22,6.7,1
5,23,7.9,1
5,24,10.9,1
5,25,13.1,1
5,26,14.1,1
5,27,14.4,1
5,28,14.4,1
5,29,15.6,1
5,30,16.5,1
5,31,21.3,1
6,1,21.6,1
6,2,22.8,1
6,3,25.1,1
6,4,25.7,1
6,5,29.1,1
6,6,31.2,1
6,7,33.3,1
6,8,37.8,1
6,9,43.9,1
6,10,53.6,1
6,11,55.2,1
6,12,56.3,1
6,13,57.5,1
6,14,60.3,1
6,15,62.6,1
6,16,63.5,1
6,17,64.2,1
6,18,64.7,1
6,19,64.7,1
6,20,64.7,1
6,21,65.2,1
6,22,77.6,1
6,23,129.2,1
6,24,158.2,1
6,25,164.9,1
6,26,170.7,1
6,27,171.5,1
6,28,183.0,1
6,29,209.4,1
6,30,266.9,1
7,1,353.5,1
7,2,409.2,1
7,3,461.0,1
7,4,539.1,1
7,5,676.0,1
7,6,807.8,1
7,7,863.2,1
7,8,889.1,1
7,9,893.1,1
7,10,896.3,1
7,11,903.9,1
7,12,911.5,1
7,13,912.4,1
7,14,913.7,1
7,15,929.6,1
7,16,938.3,1
7,17,954.7,1
7,18,970.9,1
7,19,1004.0,1
7,20,1056.9,1
7,21,1082.1,1
7,22,1153.1,1
7,23,1260.1,1
7,24,1306.1,1
7,25,1326.7,1
7,26,1358.8,1
7,27,1401.7,1
7,28,1410.9,1
7,29,1420.9,1
7,30,1430.7,1
7,31,1445.4,1
8,1,1454.4,1
8,2,1479.7,1
8,3,1498.4,1
8,4,1512.2,1
8,5,1527.3,1
8,6,1537.7,1
8,7,1544.9,1
8,8,1550.7,1
8,9,1556.5,1
8,10,1564.6,1
8,11,1595.2,1
8,12,1607.2,1
8,13,1619.8,1
8,14,1628.3,1
8,15,1641.8,1
8,16,1653.1,1
8,17,1664.5,1
8,18,1674.1,1
8,19,1679.1,1
8,20,1681.2,1
8,21,1691.1,1
8,22,1707.8,1
8,23,1714.1,1
8,24,1718.5,1
8,25,1725.8,1
8,26,1730.0,1
8,27,1737.6,1
8,28,1743.0,1
8,29,1747.6,1
8,30,1750.5,1
8,31,1755.1,1
9,1,1761.2,1
9,2,1775.0,1
9,3,1780.6,1
9,4,1789.7,1
9,5,1805.8,1
9,6,1811.5,1
9,7,1818.8,1
9,8,1825.7,1
9,9,1829.7,1
9,10,1832.5,1
9,11,1833.9,1
