month,day,avg_daytime_temperature,years_sampled
1,1,20.78,1
1,2,22.38,1
1,3,23.51,1
1,4,23.67,1
1,5,23.53,1
1,6,23.18,1
1,7,23.89,1
1,8,23.31,1
1,9,23.06,1
1,10,22.82,1
1,11,23.81,1
1,12,21.75,1
1,13,22.48,1
1,14,22.76,1
1,15,23.84,1
1,16,25.12,1
1,17,23.46,1
1,18,23.29,1
1,19,22.7,1
1,20,23.83,1
1,21,24.56,1
1,22,22.96,1
1,23,24.03,1
1,24,24.97,1
1,25,26.08,1
1,26,25.8,1
1,27,24.85,1
1,28,24.35,1
1,29,25.31,1
1,30,24.82,1
1,31,24.79,1
2,1,24.73,1
2,2,24.32,1
2,3,24.81,1
2,4,24.86,1
2,5,24.45,1
2,6,24.3,1
2,7,24.8,1
2,8,24.18,1
2,9,23.54,1
2,10,24.69,1
2,11,24.84,1
2,12,24.93,1
2,13,25.25,1
2,14,24.49,1
2,15,23.68,1
2,16,23.8,1
2,17,23.36,1
2,18,22.17,1
2,19,23.76,1
2,20,25.13,1
2,21,20.73,1
2,22,20.57,1
2,23,19.34,1
2,24,20.79,1
2,25,20.47,1
2,26,21.57,1
2,27,21.33,1
2,28,20.47,1
3,1,20.38,1
3,2,20.56,1
3,3,21.03,1
3,4,20.68,1
3,5,20.55,1
3,6,20.08,1
3,7,20.03,1
3,8,21.36,1
3,9,21.28,1
3,10,20.9,1
3,11,22.11,1
3,12,22.01,1
3,13,22.87,1
3,14,22.04,1
3,15,22.27,1
3,16,22.09,1
3,17,22.42,1
3,18,22.72,1
3,19,22.64,1
3,20,20.55,1
3,21,20.92,1
3,22,21.0,1
3,23,20.0,1
3,24,20.23,1
3,25,20.71,1
3,26,21.23,1
3,27,20.22,1
3,28,20.94,1
3,29,21.4,1
3,30,21.28,1
3,31,20.92,1
4,1,21.62,1
4,2,21.51,1
4,3,22.17,1
4,4,22.17,1
4,5,20.83,1
4,6,22.03,1
4,7,21.59,1
4,8,22.11,1
4,9,22.2,1
4,10,22.19,1
4,11,23.13,1
4,12,22.52,1
4,13,21.75,1
4,14,20.32,1
4,15,20.6,1
4,16,20.71,1
4,17,19.82,1
4,18,20.38,1
4,19,20.62,1
4,20,21.02,1
4,21,21.09,1
4,22,21.32,1
4,23,19.7,1
4,24,20.71,1
4,25,21.1,1
4,26,20.94,1
4,27,20.9,1
4,28,19.86,1
4,29,18.13,1
4,30,20.02,1
5,1,20.25,1
5,2,20.52,1
5,3,21.28,1
5,4,21.09,1
5,5,21.27,1
5,6,21.72,1
5,7,21.78,1
5,8,21.84,1
5,9,20.75,1
5,10,20.92,1
5,11,22.08,1
5,12,20.63,1
5,13,20.86,1
5,14,21.27,1
5,15,20.8,1
5,16,21.21,1
5,17,20.84,1
5,18,21.4,1
5,19,21.55,1
5,20,21.56,1
5,21,21.53,1
5,22,22.35,1
5,23,22.21,1
5,24,22.1,1
5,25,20.98,1
5,26,21.28,1
5,27,20.32,1
5,28,21.02,1
5,29,20.87,1
5,30,19.8,1
5,31,20.66,1
6,1,19.93,1
6,2,19.78,1
6,3,19.92,1
6,4,20.84,1
6,5,21.38,1
6,6,22.4,1
6,7,21.62,1
6,8,22.05,1
6,9,21.76,1
6,10,21.53,1
6,11,21.07,1
6,12,21.97,1
6,13,19.42,1
6,14,19.24,1
6,15,20.39,1
6,16,20.58,1
6,17,19.14,1
6,18,20.03,1
6,19,20.63,1
6,20,20.15,1
6,21,19.64,1
6,22,18.35,1
6,23,19.23,1
6,24,19.49,1
6,25,20.51,1
6,26,21.66,1
6,27,20.93,1
6,28,20.38,1
6,29,19.59,1
6,30,19.74,1
7,1,19.3,1
7,2,21.06,1
7,3,21.34,1
7,4,19.92,1
7,5,18.47,1
7,6,20.49,1
7,7,19.99,1
7,8,20.91,1
7,9,21.05,1
7,10,19.91,1
7,11,18.68,1
7,12,19.82,1
7,13,21.08,1
7,14,20.69,1
7,15,21.24,1
7,16,22.38,1
7,17,19.76,1
7,18,21.72,1
7,19,21.61,1
7,20,19.91,1
7,21,21.57,1
7,22,20.24,1
7,23,20.03,1
7,24,21.17,1
7,25,20.18,1
7,26,18.92,1
7,27,18.93,1
7,28,19.11,1
7,29,20.16,1
7,30,20.67,1
7,31,20.78,1
8,1,19.59,1
8,2,19.0,1
8,3,18.04,1
8,4,17.98,1
8,5,20.96,1
8,6,20.03,1
8,7,20.47,1
8,8,20.31,1
8,9,20.16,1
8,10,20.64,1
8,11,21.56,1
8,12,22.24,1
8,13,22.16,1
8,14,22.04,1
8,15,20.48,1
8,16,18.97,1
8,17,19.94,1
8,18,19.59,1
8,19,19.78,1
8,20,20.25,1
8,21,20.97,1
8,22,22.88,1
8,23,23.13,1
8,24,22.99,1
8,25,22.67,1
8,26,22.26,1
8,27,21.78,1
8,28,21.62,1
8,29,21.48,1
8,30,21.3,1
8,31,18.7,1
9,1,19.55,1
9,2,21.63,1
9,3,20.72,1
9,4,21.98,1
9,5,23.2,1
9,6,23.02,1
9,7,22.72,1
9,8,19.15,1
9,9,19.13,1
9,10,20.81,1
9,11,21.28,1
9,12,20.39,1
9,13,21.19,1
9,14,22.27,1
9,15,18.42,1
9,16,19.3,1
9,17,20.38,1
9,18,18.75,1
9,19,21.2,1
9,20,19.8,1
9,21,19.67,1
