month,day,avg_daytime_temperature,years_sampled
1,1,-4.63,1
1,2,-3.39,1
1,3,-2.53,1
1,4,-1.02,1
1,5,-1.19,1
1,6,2.22,1
1,7,7.54,1
1,8,7.66,1
1,9,6.89,1
1,10,5.39,1
1,11,6.72,1
1,12,2.66,1
1,13,4.41,1
1,14,7.69,1
1,15,2.82,1
1,16,-1.49,1
1,17,1.24,1
1,18,-0.47,1
1,19,-4.03,1
1,20,-8.82,1
1,21,-6.06,1
1,22,4.3,1
1,23,1.01,1
1,24,-9.46,1
1,25,-10.75,1
1,26,-5.52,1
1,27,-9.61,1
1,28,-9.12,1
1,29,-10.56,1
1,30,-11.64,1
1,31,-11.13,1
2,1,-9.96,1
2,2,-4.1,1
2,3,-4.9,1
2,4,-2.93,1
2,5,-6.17,1
2,6,-5.46,1
2,7,-12.14,1
2,8,-13.39,1
2,9,-8.45,1
2,10,-3.98,1
2,11,1.92,1
2,12,-0.75,1
2,13,-2.65,1
2,14,0.84,1
2,15,0.14,1
2,16,0.32,1
2,17,3.78,1
2,18,2.4,1
2,19,2.75,1
2,20,2.88,1
2,21,6.14,1
2,22,1.46,1
2,23,0.03,1
2,24,-3.76,1
2,25,0.7,1
2,26,2.65,1
2,27,-2.43,1
2,28,-0.45,1
3,1,1.6,1
3,2,-4.51,1
3,3,0.35,1
3,4,5.18,1
3,5,4.27,1
3,6,4.58,1
3,7,5.98,1
3,8,15.86,1
3,9,15.14,1
3,10,18.11,1
3,11,17.65,1
3,12,5.97,1
3,13,3.55,1
3,14,8.5,1
3,15,4.27,1
3,16,14.1,1
3,17,2.94,1
3,18,-0.34,1
3,19,3.29,1
3,20,8.72,1
3,21,11.68,1
3,22,12.59,1
3,23,5.32,1
3,24,5.1,1
3,25,7.08,1
3,26,17.36,1
3,27,10.4,1
3,28,3.35,1
3,29,7.88,1
3,30,16.12,1
3,31,22.92,1
4,1,22.98,1
4,2,7.84,1
4,3,13.57,1
4,4,17.67,1
4,5,13.16,1
4,6,9.68,1
4,7,9.45,1
4,8,4.98,1
4,9,6.82,1
4,10,11.86,1
4,11,14.7,1
4,12,10.45,1
4,13,21.49,1
4,14,26.8,1
4,15,28.32,1
4,16,28.49,1
4,17,24.08,1
4,18,15.88,1
4,19,9.22,1
4,20,8.49,1
4,21,7.45,1
4,22,10.62,1
4,23,18.15,1
4,24,16.83,1
4,25,7.84,1
4,26,10.52,1
4,27,14.44,1
4,28,14.01,1
4,29,13.44,1
4,30,12.91,1
5,1,13.15,1
5,2,13.18,1
5,3,11.39,1
5,4,18.6,1
5,5,24.69,1
5,6,20.09,1
5,7,15.03,1
5,8,15.29,1
5,9,15.1,1
5,10,18.46,1
5,11,14.37,1
5,12,14.8,1
5,13,19.12,1
5,14,16.25,1
5,15,16.55,1
5,16,23.14,1
5,17,27.8,1
5,18,28.18,1
5,19,31.71,1
5,20,29.44,1
5,21,15.85,1
5,22,16.55,1
5,23,11.86,1
5,24,13.25,1
5,25,18.76,1
5,26,22.17,1
5,27,24.14,1
5,28,22.38,1
5,29,22.31,1
5,30,15.38,1
5,31,20.61,1
6,1,19.61,1
6,2,21.42,1
6,3,25.01,1
6,4,26.27,1
6,5,28.78,1
6,6,28.95,1
6,7,25.96,1
6,8,21.46,1
6,9,22.92,1
6,10,26.29,1
6,11,30.05,1
6,12,29.05,1
6,13,28.62,1
6,14,28.98,1
6,15,22.35,1
6,16,21.32,1
6,17,22.63,1
6,18,27.77,1
6,19,26.18,1
6,20,25.83,1
6,21,26.24,1
6,22,22.8,1
6,23,21.23,1
6,24,24.67,1
6,25,25.39,1
6,26,24.71,1
6,27,23.49,1
6,28,24.75,1
6,29,27.6,1
6,30,30.05,1
7,1,30.77,1
7,2,35.67,1
7,3,35.5,1
7,4,32.59,1
7,5,25.91,1
7,6,20.67,1
7,7,20.89,1
7,8,25.01,1
7,9,25.46,1
7,10,27.09,1
7,11,25.37,1
7,12,26.13,1
7,13,26.61,1
7,14,30.26,1
7,15,32.13,1
7,16,29.21,1
7,17,27.92,1
7,18,24.12,1
7,19,24.69,1
7,20,24.77,1
7,21,24.61,1
7,22,27.15,1
7,23,24.09,1
7,24,24.39,1
7,25,24.13,1
7,26,25.29,1
7,27,25.63,1
7,28,23.63,1
7,29,24.15,1
7,30,23.18,1
7,31,25.47,1
8,1,26.65,1
8,2,26.29,1
8,3,25.63,1
8,4,25.0,1
8,5,25.31,1
8,6,29.39,1
8,7,29.36,1
8,8,27.54,1
8,9,30.58,1
8,10,28.46,1
8,11,27.41,1
8,12,28.95,1
8,13,26.91,1
8,14,26.83,1
8,15,25.71,1
8,16,24.46,1
8,17,25.16,1
8,18,26.76,1
8,19,27.09,1
8,20,25.75,1
8,21,22.9,1
8,22,22.85,1
8,23,24.59,1
8,24,23.63,1
8,25,22.87,1
8,26,23.55,1
8,27,24.75,1
8,28,25.87,1
8,29,23.27,1
8,30,25.32,1
8,31,23.64,1
9,1,24.7,1
9,2,20.85,1
9,3,26.52,1
9,4,26.96,1
9,5,23.92,1
9,6,21.92,1
9,7,23.0,1
9,8,23.96,1
9,9,26.8,1
9,10,27.84,1
9,11,24.38,1
9,12,22.85,1
9,13,24.22,1
