month,day,avg_daytime_temperature,years_sampled
1,1,10.04,1
1,2,10.53,1
1,3,9.67,1
1,4,10.1,1
1,5,8.83,1
1,6,8.72,1
1,7,7.12,1
1,8,8.09,1
1,9,12.7,1
1,10,10.81,1
1,11,11.18,1
1,12,10.02,1
1,13,13.23,1
1,14,12.46,1
1,15,12.76,1
1,16,13.24,1
1,17,12.48,1
1,18,13.93,1
1,19,12.62,1
1,20,13.05,1
1,21,9.83,1
1,22,8.69,1
1,23,9.81,1
1,24,10.72,1
1,25,8.95,1
1,26,9.92,1
1,27,7.4,1
1,28,9.27,1
1,29,9.93,1
1,30,10.23,1
1,31,10.69,1
2,1,10.88,1
2,2,9.44,1
2,3,10.66,1
2,4,10.57,1
2,5,10.46,1
2,6,12.61,1
2,7,11.01,1
2,8,10.11,1
2,9,12.32,1
2,10,11.41,1
2,11,15.05,1
2,12,14.94,1
2,13,12.43,1
2,14,12.17,1
2,15,12.37,1
2,16,13.77,1
2,17,13.75,1
2,18,11.42,1
2,19,13.4,1
2,20,15.33,1
2,21,13.85,1
2,22,12.91,1
2,23,13.35,1
2,24,13.11,1
2,25,13.84,1
2,26,14.07,1
2,27,13.22,1
2,28,13.18,1
3,1,13.44,1
3,2,13.55,1
3,3,14.61,1
3,4,15.74,1
3,5,17.19,1
3,6,16.68,1
3,7,15.35,1
3,8,14.53,1
3,9,14.81,1
3,10,12.51,1
3,11,13.11,1
3,12,13.58,1
3,13,13.82,1
3,14,10.8,1
3,15,14.08,1
3,16,14.99,1
3,17,15.74,1
3,18,11.87,1
3,19,14.2,1
3,20,13.22,1
3,21,12.53,1
3,22,9.52,1
3,23,12.41,1
3,24,14.51,1
3,25,16.45,1
3,26,13.53,1
3,27,12.67,1
3,28,14.23,1
3,29,15.84,1
3,30,16.18,1
3,31,15.24,1
4,1,14.02,1
4,2,15.3,1
4,3,18.02,1
4,4,18.92,1
4,5,17.04,1
4,6,15.55,1
4,7,15.5,1
4,8,16.27,1
4,9,16.65,1
4,10,16.49,1
4,11,16.6,1
4,12,19.12,1
4,13,18.95,1
4,14,17.67,1
4,15,19.1,1
4,16,20.54,1
4,17,21.47,1
4,18,21.24,1
4,19,19.02,1
4,20,17.9,1
4,21,18.29,1
4,22,16.55,1
4,23,17.26,1
4,24,18.54,1
4,25,17.09,1
4,26,17.4,1
4,27,17.51,1
4,28,17.95,1
4,29,19.99,1
4,30,19.7,1
5,1,18.38,1
5,2,19.04,1
5,3,17.89,1
5,4,17.97,1
5,5,16.8,1
5,6,17.97,1
5,7,17.17,1
5,8,18.96,1
5,9,19.61,1
5,10,18.68,1
5,11,20.33,1
5,12,23.34,1
5,13,19.14,1
5,14,19.42,1
5,15,18.19,1
5,16,18.21,1
5,17,18.49,1
5,18,17.61,1
5,19,18.34,1
5,20,19.75,1
5,21,22.94,1
5,22,23.35,1
5,23,24.36,1
5,24,26.16,1
5,25,27.95,1
5,26,27.69,1
5,27,26.57,1
5,28,24.53,1
5,29,25.87,1
5,30,25.82,1
5,31,24.4,1
6,1,24.0,1
6,2,23.86,1
6,3,23.68,1
6,4,21.63,1
6,5,21.23,1
6,6,21.3,1
6,7,21.51,1
6,8,23.21,1
6,9,23.44,1
6,10,27.42,1
6,11,23.91,1
6,12,24.64,1
6,13,24.59,1
6,14,21.88,1
6,15,23.04,1
6,16,24.64,1
6,17,25.81,1
6,18,26.06,1
6,19,28.16,1
6,20,28.91,1
6,21,29.99,1
6,22,31.13,1
6,23,30.93,1
6,24,29.77,1
6,25,30.84,1
6,26,30.69,1
6,27,31.19,1
6,28,31.15,1
6,29,30.99,1
6,30,29.98,1
7,1,29.66,1
7,2,29.57,1
7,3,29.87,1
7,4,29.74,1
7,5,29.15,1
7,6,28.52,1
7,7,27.74,1
7,8,27.02,1
7,9,29.08,1
7,10,29.13,1
7,11,28.66,1
7,12,29.18,1
7,13,30.23,1
7,14,29.21,1
7,15,29.01,1
7,16,28.63,1
7,17,29.16,1
7,18,30.14,1
7,19,29.03,1
7,20,29.23,1
7,21,29.31,1
7,22,28.97,1
7,23,28.3,1
7,24,28.89,1
7,25,28.21,1
7,26,27.43,1
7,27,28.43,1
7,28,29.39,1
7,29,31.17,1
7,30,31.41,1
7,31,30.61,1
8,1,29.68,1
8,2,29.54,1
8,3,30.6,1
8,4,29.32,1
8,5,30.19,1
8,6,29.83,1
8,7,30.11,1
8,8,30.73,1
8,9,31.54,1
8,10,30.64,1
8,11,30.11,1
8,12,32.38,1
8,13,32.55,1
8,14,32.71,1
8,15,31.29,1
8,16,30.14,1
8,17,28.4,1
8,18,29.58,1
8,19,29.34,1
8,20,26.6,1
8,21,25.94,1
8,22,25.24,1
8,23,25.61,1
8,24,27.37,1
8,25,26.29,1
8,26,25.92,1
8,27,27.95,1
8,28,25.71,1
8,29,27.53,1
8,30,25.98,1
8,31,26.52,1
9,1,26.38,1
9,2,26.45,1
9,3,27.56,1
9,4,27.54,1
9,5,26.8,1
9,6,28.28,1
9,7,30.15,1
9,8,27.82,1
9,9,27.65,1
9,10,23.76,1
9,11,23.86,1
9,12,25.23,1
9,13,25.56,1
9,14,25.92,1
9,15,26.55,1
9,16,25.59,1
9,17,24.77,1
9,18,24.42,1
9,19,24.65,1
