month,day,avg_daytime_temperature,years_sampled
1,1,-1.62,1
1,2,-5.8,1
1,3,-7.18,1
1,4,-6.97,1
1,5,-8.63,1
1,6,-7.87,1
1,7,-9.62,1
1,8,-12.13,1
1,9,-5.68,1
1,10,-13.35,1
1,11,-16.7,1
1,12,-11.37,1
1,13,-3.27,1
1,14,0.63,1
1,15,-4.45,1
1,16,2.67,1
1,17,0.2,1
1,18,0.84,1
1,19,-0.24,1
1,20,-3.05,1
1,21,-2.08,1
1,22,-2.42,1
1,23,-4.34,1
1,24,-4.74,1
1,25,-5.1,1
1,26,-11.02,1
1,27,-7.19,1
1,28,-7.49,1
1,29,-11.02,1
1,30,-6.66,1
1,31,-5.62,1
2,1,-5.75,1
2,2,-7.21,1
2,3,-6.42,1
2,4,-7.35,1
2,5,-8.48,1
2,6,-10.35,1
2,7,-5.95,1
2,8,-7.42,1
2,9,-6.51,1
2,10,-10.92,1
2,11,-5.54,1
2,12,-8.27,1
2,13,-7.44,1
2,14,-13.16,1
2,15,-10.09,1
2,16,-5.7,1
2,17,-6.25,1
2,18,-9.15,1
2,19,-11.0,1
2,20,-2.8,1
2,21,1.22,1
2,22,-6.01,1
2,23,-1.53,1
2,24,-3.44,1
2,25,-1.93,1
2,26,1.47,1
2,27,3.0,1
2,28,0.38,1
3,1,2.64,1
3,2,0.99,1
3,3,5.79,1
3,4,5.07,1
3,5,3.06,1
3,6,2.43,1
3,7,4.15,1
3,8,4.2,1
3,9,1.33,1
3,10,0.66,1
3,11,2.93,1
3,12,3.5,1
3,13,4.12,1
3,14,4.01,1
3,15,2.32,1
3,16,2.25,1
3,17,2.88,1
3,18,5.52,1
3,19,7.62,1
3,20,6.95,1
3,21,4.5,1
3,22,3.8,1
3,23,6.63,1
3,24,6.3,1
3,25,4.69,1
3,26,7.98,1
3,27,4.18,1
3,28,4.35,1
3,29,4.34,1
3,30,3.72,1
3,31,7.78,1
4,1,8.79,1
4,2,3.36,1
4,3,3.19,1
4,4,6.16,1
4,5,4.28,1
4,6,8.88,1
4,7,8.3,1
4,8,7.56,1
4,9,8.61,1
4,10,5.48,1
4,11,6.91,1
4,12,4.89,1
4,13,7.57,1
4,14,8.09,1
4,15,9.06,1
4,16,9.63,1
4,17,10.07,1
4,18,8.95,1
4,19,6.37,1
4,20,8.64,1
4,21,11.89,1
4,22,11.58,1
4,23,12.33,1
4,24,12.58,1
4,25,8.2,1
4,26,6.97,1
4,27,7.62,1
4,28,8.44,1
4,29,11.44,1
4,30,14.46,1
5,1,13.74,1
5,2,13.09,1
5,3,10.17,1
5,4,11.19,1
5,5,7.64,1
5,6,7.86,1
5,7,9.41,1
5,8,10.61,1
5,9,11.63,1
5,10,7.39,1
5,11,7.77,1
5,12,10.01,1
5,13,9.51,1
5,14,5.55,1
5,15,8.05,1
5,16,8.43,1
5,17,10.1,1
5,18,12.32,1
5,19,14.32,1
5,20,14.7,1
5,21,13.08,1
5,22,15.6,1
5,23,15.32,1
5,24,17.03,1
5,25,16.75,1
5,26,15.85,1
5,27,14.73,1
5,28,13.42,1
5,29,15.65,1
5,30,16.89,1
5,31,17.47,1
6,1,13.52,1
6,2,14.88,1
6,3,17.6,1
6,4,14.21,1
6,5,14.19,1
6,6,15.02,1
6,7,15.81,1
6,8,15.35,1
6,9,13.66,1
6,10,13.41,1
6,11,13.85,1
6,12,12.71,1
6,13,13.29,1
6,14,14.47,1
6,15,15.02,1
6,16,15.71,1
6,17,15.24,1
6,18,17.75,1
6,19,17.44,1
6,20,19.63,1
6,21,18.27,1
6,22,17.37,1
6,23,17.44,1
6,24,20.19,1
6,25,21.59,1
6,26,20.88,1
6,27,22.88,1
6,28,23.14,1
6,29,21.58,1
6,30,18.84,1
7,1,18.79,1
7,2,15.38,1
7,3,17.89,1
7,4,18.32,1
7,5,17.68,1
7,6,15.58,1
7,7,14.87,1
7,8,19.78,1
7,9,20.13,1
7,10,24.46,1
7,11,22.53,1
7,12,20.63,1
7,13,22.43,1
7,14,24.23,1
7,15,25.58,1
7,16,26.19,1
7,17,23.94,1
7,18,13.36,1
7,19,13.43,1
7,20,17.79,1
7,21,19.75,1
7,22,18.98,1
7,23,17.34,1
7,24,19.16,1
7,25,15.93,1
7,26,16.9,1
7,27,17.32,1
7,28,18.53,1
7,29,19.21,1
7,30,20.08,1
7,31,17.44,1
8,1,16.58,1
8,2,17.92,1
8,3,17.69,1
8,4,18.08,1
8,5,16.22,1
8,6,17.4,1
8,7,16.28,1
8,8,17.49,1
8,9,16.96,1
8,10,17.18,1
8,11,17.19,1
8,12,16.76,1
8,13,18.79,1
8,14,19.86,1
8,15,19.96,1
8,16,19.06,1
8,17,15.04,1
8,18,15.44,1
8,19,15.4,1
8,20,15.45,1
8,21,16.1,1
8,22,14.47,1
8,23,17.81,1
8,24,16.91,1
8,25,18.47,1
8,26,19.43,1
8,27,19.33,1
8,28,15.96,1
8,29,16.43,1
8,30,17.14,1
8,31,17.07,1
9,1,16.03,1
9,2,16.39,1
9,3,14.89,1
9,4,12.69,1
9,5,13.79,1
9,6,15.39,1
9,7,15.72,1
9,8,15.15,1
9,9,13.71,1
9,10,13.44,1
9,11,11.95,1
9,12,13.23,1
9,13,14.27,1
9,14,12.48,1
