month,day,avg_accumulated_precipitation,years_sampled
1,1,0.8,1
1,2,0.8,1
1,3,2.7,1
1,4,4.6,1
1,5,5.0,1
1,6,5.0,1
1,7,6.1,1
1,8,6.8,1
1,9,7.9,1
1,10,8.5,1
1,11,8.6,1
1,12,9.0,1
1,13,15.6,1
1,14,19.5,1
1,15,23.9,1
1,16,26.3,1
1,17,27.8,1
1,18,30.9,1
1,19,30.9,1
1,20,31.1,1
1,21,31.2,1
1,22,31.2,1
1,23,32.6,1
1,24,34.6,1
1,25,37.1,1
1,26,37.7,1
1,27,38.1,1
1,28,39.4,1
1,29,39.4,1
1,30,39.4,1
1,31,39.6,1
2,1,40.1,1
2,2,40.6,1
2,3,40.6,1
2,4,43.0,1
2,5,44.2,1
2,6,46.7,1
2,7,46.7,1
2,8,46.8,1
2,9,47.4,1
2,10,48.3,1
2,11,48.8,1
2,12,49.4,1
2,13,51.1,1
2,14,54.3,1
2,15,55.9,1
2,16,57.3,1
2,17,60.0,1
2,18,61.4,1
2,19,68.1,1
2,20,71.8,1
2,21,75.6,1
2,22,76.6,1
2,23,77.2,1
2,24,77.2,1
2,25,77.7,1
2,26,81.0,1
2,27,82.5,1
2,28,84.4,1
3,1,84.8,1
3,2,84.8,1
3,3,85.0,1
3,4,87.3,1
3,5,87.7,1
3,6,88.5,1
3,7,92.5,1
3,8,98.9,1
3,9,99.1,1
3,10,101.4,1
3,11,104.1,1
3,12,106.8,1
3,13,110.0,1
3,14,110.1,1
3,15,112.9,1
3,16,112.9,1
3,17,113.3,1
3,18,114.4,1
3,19,114.6,1
3,20,121.4,1
3,21,122.0,1
3,22,123.0,1
3,23,123.3,1
3,24,128.3,1
3,25,130.0,1
3,26,133.9,1
3,27,133.9,1
3,28,135.4,1
3,29,136.8,1
3,30,140.7,1
3,31,144.4,1
4,1,146.2,1
4,2,149.5,1
4,3,151.2,1
4,4,152.3,1
4,5,154.0,1
4,6,156.9,1
4,7,160.3,1
4,8,161.3,1
4,9,161.8,1
4,10,164.1,1
4,11,164.3,1
4,12,164.7,1
4,13,165.5,1
4,14,165.5,1
4,15,167.3,1
4,16,167.6,1
4,17,167.6,1
4,18,169.4,1
4,19,169.5,1
4,20,171.2,1
4,21,172.8,1
4,22,175.7,1
4,23,176.4,1
4,24,176.4,1
4,25,177.7,1
4,26,178.4,1
4,27,178.8,1
4,28,181.4,1
4,29,187.6,1
4,30,198.7,1
5,1,217.7,1
5,2,245.3,1
5,3,252.0,1
5,4,255.7,1
5,5,264.7,1
5,6,270.0,1
5,7,276.5,1
5,8,277.3,1
5,9,278.8,1
5,10,279.8,1
5,11,289.6,1
5,12,296.4,1
5,13,297.8,1
5,14,301.4,1
5,15,303.0,1
5,16,304.4,1
5,17,311.3,1
5,18,319.8,1
5,19,321.1,1
5,20,322.1,1
5,21,326.9,1
5,22,330.0,1
5,23,332.6,1
5,24,334.5,1
5,25,351.7,1
5,26,354.8,1
5,27,357.4,1
5,28,381.3,1
5,29,399.6,1
5,30,402.8,1
5,31,403.7,1
6,1,404.8,1
6,2,406.2,1
6,3,414.2,1
6,4,416.5,1
6,5,423.7,1
6,6,455.3,1
6,7,482.0,1
6,8,488.4,1
6,9,489.1,1
6,10,489.3,1
6,11,495.0,1
6,12,497.5,1
6,13,507.6,1
6,14,521.0,1
6,15,533.7,1
6,16,544.1,1
6,17,558.3,1
6,18,564.1,1
6,19,568.8,1
6,20,591.2,1
6,21,595.8,1
6,22,603.2,1
6,23,607.1,1
6,24,610.5,1
6,25,615.4,1
6,26,622.0,1
6,27,622.2,1
6,28,626.2,1
6,29,628.5,1
6,30,630.4,1
7,1,632.5,1
7,2,644.2,1
7,3,653.4,1
7,4,705.8,1
7,5,707.8,1
7,6,709.8,1
7,7,712.4,1
7,8,718.5,1
7,9,725.0,1
7,10,727.7,1
7,11,737.4,1
7,12,746.7,1
7,13,751.9,1
7,14,755.0,1
7,15,758.0,1
7,16,759.0,1
7,17,759.9,1
7,18,761.4,1
7,19,787.5,1
7,20,806.0,1
7,21,812.1,1
7,22,830.8,1
7,23,915.5,1
7,24,919.6,1
7,25,922.2,1
7,26,924.3,1
7,27,927.3,1
7,28,929.8,1
7,29,931.6,1
7,30,933.4,1
7,31,934.8,1
8,1,938.5,1
8,2,949.9,1
8,3,954.1,1
8,4,961.8,1
8,5,982.8,1
8,6,986.2,1
8,7,987.5,1
8,8,988.8,1
8,9,993.0,1
8,10,996.5,1
8,11,997.9,1
8,12,1006.0,1
8,13,1009.9,1
8,14,1024.6,1
8,15,1065.7,1
8,16,1096.8,1
8,17,1110.2,1
8,18,1117.7,1
8,19,1127.7,1
8,20,1130.3,1
8,21,1134.8,1
8,22,1153.2,1
8,23,1157.6,1
8,24,1161.2,1
8,25,1173.1,1
8,26,1182.1,1
8,27,1190.5,1
8,28,1203.2,1
8,29,1212.7,1
8,30,1222.6,1
8,31,1228.1,1
9,1,1229.7,1
9,2,1235.5,1
9,3,1249.9,1
9,4,1257.7,1
9,5,1274.7,1
9,6,1292.7,1
9,7,1297.2,1
9,8,1300.5,1
9,9,1317.5,1
9,10,1330.0,1
9,11,1343.2,1
9,12,1346.8,1
9,13,1359.3,1
9,14,1363.7,1
9,15,1369.3,1
9,16,1373.5,1
9,17,1377.3,1
9,18,1383.8,1
9,19,1402.7,1
9,20,1412.8,1
9,21,1413.8,1
9,22,1414.2,1
9,23,1421.4,1
