month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,2.5,1
1,3,2.6,1
1,4,2.6,1
1,5,6.2,1
1,6,6.2,1
1,7,10.2,1
1,8,19.1,1
1,9,24.1,1
1,10,24.9,1
1,11,24.9,1
1,12,31.3,1
1,13,34.4,1
1,14,35.4,1
1,15,36.2,1
1,16,37.2,1
1,17,37.6,1
1,18,37.6,1
1,19,37.6,1
1,20,37.9,1
1,21,44.9,1
1,22,47.9,1
1,23,51.2,1
1,24,51.6,1
1,25,54.3,1
1,26,54.4,1
1,27,67.3,1
1,28,67.3,1
1,29,67.3,1
1,30,70.8,1
1,31,70.8,1
2,1,73.7,1
2,2,76.1,1
2,3,84.2,1
2,4,84.2,1
2,5,89.5,1
2,6,93.5,1
2,7,93.5,1
2,8,95.2,1
2,9,95.9,1
2,10,113.2,1
2,11,125.9,1
2,12,132.8,1
2,13,142.4,1
2,14,148.1,1
2,15,153.1,1
2,16,156.7,1
2,17,157.1,1
2,18,176.1,1
2,19,181.2,1
2,20,181.4,1
2,21,181.6,1
2,22,188.0,1
2,23,188.0,1
2,24,188.5,1
2,25,188.5,1
2,26,188.5,1
2,27,191.9,1
2,28,192.0,1
3,1,192.0,1
3,2,192.0,1
3,3,192.0,1
3,4,192.0,1
3,5,192.0,1
3,6,192.0,1
3,7,192.0,1
3,8,192.0,1
3,9,192.4,1
3,10,197.5,1
3,11,208.1,1
3,12,208.1,1
3,13,224.2,1
3,14,231.6,1
3,15,231.6,1
3,16,231.6,1
3,17,231.6,1
3,18,231.6,1
3,19,231.6,1
3,20,231.6,1
3,21,231.6,1
3,22,231.6,1
3,23,231.6,1
3,24,231.6,1
3,25,236.5,1
3,26,238.3,1
3,27,238.5,1
3,28,248.0,1
3,29,248.0,1
3,30,248.2,1
3,31,248.8,1
4,1,251.7,1
4,2,252.9,1
4,3,253.5,1
4,4,255.0,1
4,5,255.6,1
4,6,255.6,1
4,7,255.6,1
4,8,255.6,1
4,9,258.6,1
4,10,258.6,1
4,11,263.8,1
4,12,264.0,1
4,13,270.4,1
4,14,270.4,1
4,15,270.4,1
4,16,270.4,1
4,17,270.4,1
4,18,271.2,1
4,19,271.2,1
4,20,271.2,1
4,21,271.2,1
4,22,271.2,1
4,23,271.2,1
4,24,271.2,1
4,25,271.2,1
4,26,271.2,1
4,27,271.2,1
4,28,271.4,1
4,29,271.4,1
4,30,271.4,1
5,1,272.5,1
5,2,273.4,1
5,3,282.5,1
5,4,287.8,1
5,5,306.5,1
5,6,315.0,1
5,7,315.2,1
5,8,315.2,1
5,9,316.9,1
5,10,341.5,1
5,11,347.4,1
5,12,347.6,1
5,13,352.2,1
5,14,356.3,1
5,15,359.0,1
5,16,359.6,1
5,17,369.1,1
5,18,371.8,1
5,19,376.3,1
5,20,379.1,1
5,21,379.1,1
5,22,379.1,1
5,23,379.1,1
5,24,379.1,1
5,25,379.1,1
5,26,379.1,1
5,27,379.1,1
5,28,379.2,1
5,29,379.2,1
5,30,379.7,1
5,31,381.3,1
6,1,381.3,1
6,2,396.0,1
6,3,397.5,1
6,4,403.8,1
6,5,404.2,1
6,6,406.1,1
6,7,406.1,1
6,8,409.6,1
6,9,410.4,1
6,10,415.6,1
6,11,415.6,1
6,12,416.0,1
6,13,416.0,1
6,14,416.0,1
6,15,417.6,1
6,16,417.7,1
6,17,417.7,1
6,18,421.9,1
6,19,422.7,1
6,20,423.8,1
6,21,424.2,1
6,22,424.4,1
6,23,424.9,1
6,24,425.0,1
6,25,425.0,1
6,26,425.8,1
6,27,427.8,1
6,28,429.7,1
6,29,430.4,1
6,30,430.5,1
7,1,430.5,1
7,2,430.5,1
7,3,430.5,1
7,4,430.5,1
7,5,430.5,1
7,6,430.5,1
7,7,430.5,1
7,8,430.5,1
7,9,430.5,1
7,10,430.7,1
7,11,430.7,1
7,12,430.7,1
7,13,430.9,1
7,14,431.4,1
7,15,431.4,1
7,16,444.0,1
7,17,447.7,1
7,18,448.5,1
7,19,448.5,1
7,20,448.5,1
7,21,448.5,1
7,22,448.5,1
7,23,448.5,1
7,24,448.5,1
7,25,448.5,1
7,26,448.9,1
7,27,448.9,1
7,28,448.9,1
7,29,448.9,1
7,30,452.4,1
7,31,452.4,1
8,1,452.7,1
8,2,452.7,1
8,3,454.0,1
8,4,454.7,1
8,5,454.7,1
8,6,454.7,1
8,7,454.7,1
8,8,454.7,1
8,9,454.7,1
8,10,454.7,1
8,11,454.7,1
8,12,454.7,1
8,13,454.7,1
8,14,454.7,1
8,15,454.8,1
8,16,456.4,1
8,17,456.4,1
8,18,456.7,1
8,19,462.8,1
8,20,463.2,1
8,21,465.5,1
8,22,465.6,1
8,23,465.6,1
8,24,465.6,1
8,25,467.9,1
8,26,469.7,1
8,27,495.8,1
8,28,503.8,1
8,29,506.8,1
8,30,507.8,1
8,31,508.9,1
9,1,508.9,1
9,2,508.9,1
9,3,508.9,1
9,4,508.9,1
9,5,508.9,1
9,6,508.9,1
9,7,508.9,1
9,8,510.3,1
9,9,510.8,1
9,10,510.8,1
9,11,510.8,1
9,12,510.8,1
9,13,513.7,1
9,14,513.7,1
9,15,513.7,1
9,16,514.0,1
9,17,514.0,1
9,18,514.0,1
9,19,514.0,1
9,20,514.4,1
9,21,514.4,1
