month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.0,1
1,3,0.0,1
1,4,0.0,1
1,5,0.0,1
1,6,0.0,1
1,7,0.0,1
1,8,0.0,1
1,9,0.0,1
1,10,0.0,1
1,11,0.0,1
1,12,0.0,1
1,13,0.0,1
1,14,0.0,1
1,15,0.0,1
1,16,0.0,1
1,17,0.1,1
1,18,0.1,1
1,19,0.1,1
1,20,0.1,1
1,21,0.1,1
1,22,0.1,1
1,23,0.4,1
1,24,0.4,1
1,25,1.2,1
1,26,1.8,1
1,27,1.8,1
1,28,1.8,1
1,29,1.8,1
1,30,1.8,1
1,31,1.8,1
2,1,1.8,1
2,2,1.8,1
2,3,1.8,1
2,4,1.8,1
2,5,1.8,1
2,6,1.8,1
2,7,1.8,1
2,8,1.8,1
2,9,1.8,1
2,10,6.8,1
2,11,6.8,1
2,12,6.8,1
2,13,6.8,1
2,14,6.8,1
2,15,7.5,1
2,16,7.5,1
2,17,7.5,1
2,18,7.5,1
2,19,7.5,1
2,20,7.5,1
2,21,7.5,1
2,22,7.5,1
2,23,7.5,1
2,24,7.5,1
2,25,7.5,1
2,26,10.6,1
2,27,10.6,1
2,28,10.6,1
3,1,10.6,1
3,2,10.6,1
3,3,10.6,1
3,4,10.6,1
3,5,10.6,1
3,6,10.6,1
3,7,10.6,1
3,8,10.6,1
3,9,10.6,1
3,10,10.7,1
3,11,10.7,1
3,12,10.7,1
3,13,10.7,1
3,14,10.7,1
3,15,10.7,1
3,16,10.7,1
3,17,10.7,1
3,18,10.7,1
3,19,10.7,1
3,20,10.7,1
3,21,10.7,1
3,22,10.7,1
3,23,10.7,1
3,24,10.7,1
3,25,10.7,1
3,26,10.9,1
3,27,62.2,1
3,28,77.9,1
3,29,80.4,1
3,30,83.3,1
3,31,83.7,1
4,1,83.7,1
4,2,83.7,1
4,3,83.7,1
4,4,83.7,1
4,5,83.8,1
4,6,87.3,1
4,7,87.3,1
4,8,87.3,1
4,9,87.3,1
4,10,87.3,1
4,11,87.3,1
4,12,87.3,1
4,13,87.3,1
4,14,87.3,1
4,15,91.9,1
4,16,91.9,1
4,17,94.5,1
4,18,97.0,1
4,19,97.0,1
4,20,99.8,1
4,21,100.9,1
4,22,100.9,1
4,23,102.9,1
4,24,104.3,1
4,25,104.3,1
4,26,104.3,1
4,27,126.4,1
4,28,126.4,1
4,29,126.4,1
4,30,127.3,1
5,1,128.8,1
5,2,128.8,1
5,3,128.8,1
5,4,128.8,1
5,5,128.8,1
5,6,128.8,1
5,7,128.8,1
5,8,128.8,1
5,9,128.8,1
5,10,128.8,1
5,11,128.8,1
5,12,128.8,1
5,13,128.8,1
5,14,131.9,1
5,15,133.2,1
5,16,133.3,1
5,17,133.3,1
5,18,133.3,1
5,19,133.3,1
5,20,133.3,1
5,21,133.9,1
5,22,133.9,1
5,23,133.9,1
5,24,133.9,1
5,25,133.9,1
5,26,133.9,1
5,27,136.9,1
5,28,142.7,1
5,29,143.7,1
5,30,147.7,1
5,31,159.3,1
6,1,169.0,1
6,2,172.6,1
6,3,172.6,1
6,4,172.6,1
6,5,172.6,1
6,6,172.6,1
6,7,174.3,1
6,8,187.8,1
6,9,190.7,1
6,10,191.5,1
6,11,204.5,1
6,12,206.6,1
6,13,206.6,1
6,14,218.9,1
6,15,223.6,1
6,16,223.6,1
6,17,223.6,1
6,18,223.6,1
6,19,223.6,1
6,20,223.6,1
6,21,223.8,1
6,22,230.0,1
6,23,230.0,1
6,24,230.0,1
6,25,230.0,1
6,26,262.9,1
6,27,284.4,1
6,28,291.9,1
6,29,299.8,1
6,30,313.7,1
7,1,321.0,1
7,2,321.4,1
7,3,321.4,1
7,4,321.4,1
7,5,332.9,1
7,6,339.0,1
7,7,339.0,1
7,8,339.0,1
7,9,340.9,1
7,10,341.7,1
7,11,341.7,1
7,12,341.7,1
7,13,341.7,1
7,14,341.7,1
7,15,341.7,1
7,16,366.6,1
7,17,384.9,1
7,18,389.6,1
7,19,392.3,1
7,20,393.3,1
7,21,394.6,1
7,22,394.6,1
7,23,394.6,1
7,24,394.6,1
7,25,394.6,1
7,26,398.9,1
7,27,399.2,1
7,28,399.2,1
7,29,399.2,1
7,30,399.2,1
7,31,400.3,1
8,1,404.4,1
8,2,404.4,1
8,3,406.3,1
8,4,417.6,1
8,5,417.8,1
8,6,417.9,1
8,7,427.3,1
8,8,443.4,1
8,9,445.5,1
8,10,469.6,1
8,11,469.9,1
8,12,469.9,1
8,13,469.9,1
8,14,469.9,1
8,15,469.9,1
8,16,469.9,1
8,17,475.5,1
8,18,475.5,1
8,19,476.0,1
8,20,476.2,1
8,21,476.2,1
8,22,485.8,1
8,23,487.7,1
8,24,487.7,1
8,25,488.0,1
8,26,510.3,1
8,27,513.6,1
8,28,513.6,1
8,29,513.6,1
8,30,513.6,1
8,31,515.5,1
9,1,515.5,1
9,2,518.9,1
9,3,521.5,1
9,4,523.2,1
9,5,535.4,1
9,6,536.2,1
9,7,536.2,1
9,8,536.2,1
9,9,536.2,1
9,10,536.2,1
9,11,536.2,1
9,12,539.1,1
9,13,539.1,1
9,14,539.2,1
9,15,539.2,1
9,16,539.6,1
9,17,539.6,1
9,18,542.4,1
9,19,545.7,1
9,20,547.3,1
9,21,547.3,1
9,22,547.3,1
9,23,547.8,1
9,24,547.8,1
