month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.0,1
1,3,0.0,1
1,4,0.0,1
1,5,0.3,1
1,6,0.3,1
1,7,0.3,1
1,8,0.4,1
1,9,0.4,1
1,10,0.4,1
1,11,0.4,1
1,12,0.4,1
1,13,0.4,1
1,14,0.4,1
1,15,1.0,1
1,16,1.0,1
1,17,1.1,1
1,18,26.4,1
1,19,32.1,1
1,20,33.4,1
1,21,33.4,1
1,22,37.5,1
1,23,42.2,1
1,24,42.2,1
1,25,42.3,1
1,26,42.3,1
1,27,44.8,1
1,28,44.8,1
1,29,45.6,1
1,30,45.8,1
1,31,45.8,1
2,1,46.2,1
2,2,46.2,1
2,3,46.2,1
2,4,46.2,1
2,5,46.2,1
2,6,54.1,1
2,7,54.1,1
2,8,54.1,1
2,9,54.3,1
2,10,64.8,1
2,11,64.8,1
2,12,64.8,1
2,13,64.8,1
2,14,64.8,1
2,15,64.8,1
2,16,64.8,1
2,17,64.8,1
2,18,65.9,1
2,19,65.9,1
2,20,65.9,1
2,21,65.9,1
2,22,67.2,1
2,23,75.9,1
2,24,80.1,1
2,25,96.6,1
2,26,111.3,1
2,27,112.1,1
2,28,115.9,1
3,1,116.1,1
3,2,116.2,1
3,3,128.5,1
3,4,132.5,1
3,5,135.1,1
3,6,152.8,1
3,7,158.9,1
3,8,165.2,1
3,9,184.3,1
3,10,186.1,1
3,11,186.3,1
3,12,187.7,1
3,13,189.1,1
3,14,189.5,1
3,15,194.3,1
3,16,194.3,1
3,17,194.3,1
3,18,195.6,1
3,19,222.8,1
3,20,226.6,1
3,21,231.3,1
3,22,238.9,1
3,23,244.5,1
3,24,245.7,1
3,25,245.7,1
3,26,265.9,1
3,27,273.4,1
3,28,294.3,1
3,29,310.4,1
3,30,315.0,1
3,31,326.2,1
4,1,326.9,1
4,2,341.5,1
4,3,342.5,1
4,4,342.9,1
4,5,344.4,1
4,6,364.2,1
4,7,371.1,1
4,8,384.6,1
4,9,394.8,1
4,10,395.4,1
4,11,395.4,1
4,12,397.3,1
4,13,404.7,1
4,14,405.7,1
4,15,411.8,1
4,16,412.3,1
4,17,414.1,1
4,18,414.3,1
4,19,414.3,1
4,20,414.3,1
4,21,414.7,1
4,22,416.2,1
4,23,416.2,1
4,24,416.2,1
4,25,416.4,1
4,26,417.9,1
4,27,437.0,1
4,28,449.6,1
4,29,451.1,1
4,30,454.3,1
5,1,454.9,1
5,2,455.2,1
5,3,455.2,1
5,4,455.2,1
5,5,455.4,1
5,6,456.1,1
5,7,456.1,1
5,8,457.6,1
5,9,464.4,1
5,10,473.0,1
5,11,475.7,1
5,12,478.0,1
5,13,478.3,1
5,14,478.7,1
5,15,483.0,1
5,16,498.1,1
5,17,498.5,1
5,18,498.5,1
5,19,498.6,1
5,20,498.6,1
5,21,499.3,1
5,22,502.7,1
5,23,507.9,1
5,24,516.0,1
5,25,519.5,1
5,26,521.0,1
5,27,522.0,1
5,28,524.7,1
5,29,525.6,1
5,30,529.1,1
5,31,529.3,1
6,1,530.7,1
6,2,537.4,1
6,3,543.8,1
6,4,551.1,1
6,5,557.5,1
6,6,560.6,1
6,7,562.3,1
6,8,567.9,1
6,9,573.5,1
6,10,575.3,1
6,11,575.3,1
6,12,576.9,1
6,13,576.9,1
6,14,577.5,1
6,15,583.6,1
6,16,587.1,1
6,17,587.1,1
6,18,587.3,1
6,19,588.9,1
6,20,589.2,1
6,21,589.8,1
6,22,593.8,1
6,23,594.0,1
6,24,594.5,1
6,25,605.8,1
6,26,612.6,1
6,27,627.1,1
6,28,631.2,1
6,29,635.0,1
6,30,642.3,1
7,1,655.2,1
7,2,660.0,1
7,3,660.9,1
7,4,660.9,1
7,5,660.9,1
7,6,662.2,1
7,7,682.8,1
7,8,685.0,1
7,9,690.2,1
7,10,697.6,1
7,11,698.4,1
7,12,702.5,1
7,13,721.7,1
7,14,726.6,1
7,15,729.9,1
7,16,732.2,1
7,17,733.9,1
7,18,738.3,1
7,19,741.3,1
7,20,744.7,1
7,21,749.5,1
7,22,759.9,1
7,23,761.0,1
7,24,763.0,1
7,25,763.0,1
7,26,763.0,1
7,27,763.4,1
7,28,764.7,1
7,29,764.7,1
7,30,764.7,1
7,31,764.7,1
8,1,764.7,1
8,2,764.7,1
8,3,764.7,1
8,4,765.0,1
8,5,768.1,1
8,6,787.8,1
8,7,809.4,1
8,8,812.4,1
8,9,812.4,1
8,10,814.3,1
8,11,815.6,1
8,12,829.1,1
8,13,829.6,1
8,14,829.6,1
8,15,829.6,1
8,16,829.6,1
8,17,829.6,1
8,18,829.6,1
8,19,829.7,1
8,20,830.1,1
8,21,832.1,1
8,22,847.2,1
8,23,848.6,1
8,24,863.9,1
8,25,864.2,1
8,26,864.2,1
8,27,864.3,1
8,28,864.3,1
8,29,864.3,1
8,30,864.6,1
8,31,866.6,1
9,1,866.6,1
9,2,869.4,1
9,3,874.4,1
9,4,876.0,1
9,5,876.0,1
9,6,876.0,1
9,7,876.0,1
9,8,876.0,1
9,9,880.9,1
9,10,891.3,1
9,11,896.5,1
