month,day,avg_daytime_temperature,years_sampled
1,1,30.95,1
1,2,30.91,1
1,3,29.27,1
1,4,25.96,1
1,5,24.32,1
1,6,25.78,1
1,7,26.95,1
1,8,29.97,1
1,9,30.75,1
1,10,31.19,1
1,11,31.95,1
1,12,33.15,1
1,13,29.98,1
1,14,30.32,1
1,15,30.78,1
1,16,30.1,1
1,17,30.54,1
1,18,30.77,1
1,19,29.29,1
1,20,24.24,1
1,21,22.98,1
1,22,22.68,1
1,23,22.1,1
1,24,24.69,1
1,25,25.59,1
1,26,26.87,1
1,27,27.39,1
1,28,28.54,1
1,29,29.12,1
1,30,27.21,1
1,31,27.92,1
2,1,31.35,1
2,2,28.82,1
2,3,28.62,1
2,4,28.46,1
2,5,27.15,1
2,6,27.12,1
2,7,27.11,1
2,8,26.58,1
2,9,24.53,1
2,10,26.8,1
2,11,29.54,1
2,12,30.25,1
2,13,30.1,1
2,14,28.86,1
2,15,28.17,1
2,16,29.15,1
2,17,31.1,1
2,18,30.53,1
2,19,28.88,1
2,20,27.91,1
2,21,27.65,1
2,22,27.18,1
2,23,27.52,1
2,24,27.65,1
2,25,28.62,1
2,26,27.4,1
2,27,25.58,1
2,28,25.38,1
3,1,24.9,1
3,2,24.92,1
3,3,25.55,1
3,4,26.54,1
3,5,27.05,1
3,6,28.16,1
3,7,29.62,1
3,8,29.2,1
3,9,25.79,1
3,10,24.52,1
3,11,23.21,1
3,12,24.42,1
3,13,25.85,1
3,14,25.9,1
3,15,26.1,1
3,16,27.45,1
3,17,27.03,1
3,18,26.53,1
3,19,26.21,1
3,20,25.67,1
3,21,26.18,1
3,22,26.83,1
3,23,26.78,1
3,24,28.04,1
3,25,29.9,1
3,26,28.41,1
3,27,27.49,1
3,28,27.07,1
3,29,26.82,1
3,30,26.65,1
3,31,24.81,1
4,1,25.73,1
4,2,28.69,1
4,3,29.3,1
4,4,28.5,1
4,5,27.69,1
4,6,26.7,1
4,7,28.29,1
4,8,32.07,1
4,9,28.88,1
4,10,24.85,1
4,11,24.49,1
4,12,25.11,1
4,13,25.8,1
4,14,25.35,1
4,15,24.73,1
4,16,25.09,1
4,17,27.15,1
4,18,27.61,1
4,19,25.57,1
4,20,25.13,1
4,21,25.17,1
4,22,25.52,1
4,23,25.55,1
4,24,25.87,1
4,25,28.55,1
4,26,29.35,1
4,27,28.75,1
4,28,26.55,1
4,29,28.2,1
4,30,26.97,1
5,1,25.51,1
5,2,27.97,1
5,3,23.63,1
5,4,24.34,1
5,5,25.67,1
5,6,25.81,1
5,7,27.04,1
5,8,29.0,1
5,9,30.39,1
5,10,23.62,1
5,11,20.88,1
5,12,21.72,1
5,13,23.76,1
5,14,24.12,1
5,15,24.25,1
5,16,25.33,1
5,17,26.67,1
5,18,25.03,1
5,19,23.36,1
5,20,22.28,1
5,21,20.81,1
5,22,20.84,1
5,23,23.31,1
5,24,23.47,1
5,25,22.63,1
5,26,23.91,1
5,27,24.25,1
5,28,22.76,1
5,29,21.91,1
5,30,23.56,1
5,31,22.55,1
6,1,22.59,1
6,2,20.52,1
6,3,21.95,1
6,4,21.26,1
6,5,20.51,1
6,6,21.08,1
6,7,21.53,1
6,8,21.79,1
6,9,23.97,1
6,10,22.45,1
6,11,21.05,1
6,12,23.11,1
6,13,25.31,1
6,14,23.06,1
6,15,21.87,1
6,16,20.11,1
6,17,20.02,1
6,18,20.84,1
6,19,21.37,1
6,20,23.2,1
6,21,21.44,1
6,22,22.96,1
6,23,24.67,1
6,24,21.02,1
6,25,19.38,1
6,26,20.9,1
6,27,22.12,1
6,28,23.47,1
6,29,24.95,1
6,30,22.95,1
7,1,26.18,1
7,2,25.06,1
7,3,23.82,1
7,4,21.31,1
7,5,20.18,1
7,6,20.94,1
7,7,22.7,1
7,8,19.79,1
7,9,20.75,1
7,10,22.38,1
7,11,22.35,1
7,12,24.55,1
7,13,19.84,1
7,14,19.18,1
7,15,21.25,1
7,16,21.27,1
7,17,22.09,1
7,18,23.84,1
7,19,25.14,1
7,20,25.53,1
7,21,26.58,1
7,22,26.86,1
7,23,22.87,1
7,24,21.19,1
7,25,21.46,1
7,26,21.75,1
7,27,22.91,1
7,28,24.76,1
7,29,28.29,1
7,30,22.83,1
7,31,22.12,1
8,1,23.74,1
8,2,25.57,1
8,3,23.01,1
8,4,24.01,1
8,5,27.15,1
8,6,29.06,1
8,7,27.32,1
8,8,25.08,1
8,9,26.05,1
8,10,21.24,1
8,11,19.77,1
8,12,21.91,1
8,13,24.59,1
8,14,23.62,1
8,15,21.67,1
8,16,23.55,1
8,17,25.13,1
8,18,25.18,1
8,19,25.86,1
8,20,23.65,1
8,21,27.01,1
8,22,21.31,1
8,23,21.35,1
8,24,20.03,1
8,25,20.66,1
8,26,22.36,1
8,27,20.91,1
8,28,24.76,1
8,29,30.24,1
8,30,25.69,1
8,31,24.2,1
9,1,23.94,1
9,2,22.18,1
9,3,23.79,1
9,4,26.17,1
9,5,22.87,1
9,6,18.91,1
9,7,17.32,1
9,8,20.5,1
9,9,21.99,1
9,10,23.93,1
9,11,23.24,1
9,12,23.99,1
9,13,21.08,1
9,14,20.92,1
9,15,20.9,1
