month,day,avg_daytime_temperature,years_sampled
1,1,7.0,1
1,2,11.71,1
1,3,14.31,1
1,4,12.7,1
1,5,13.07,1
1,6,10.68,1
1,7,6.06,1
1,8,4.57,1
1,9,13.83,1
1,10,7.56,1
1,11,7.12,1
1,12,6.32,1
1,13,12.17,1
1,14,13.3,1
1,15,13.65,1
1,16,9.94,1
1,17,10.5,1
1,18,11.59,1
1,19,11.95,1
1,20,12.38,1
1,21,9.22,1
1,22,10.1,1
1,23,11.35,1
1,24,12.86,1
1,25,10.21,1
1,26,9.37,1
1,27,9.15,1
1,28,12.49,1
1,29,11.8,1
1,30,10.94,1
1,31,12.02,1
2,1,10.51,1
2,2,9.28,1
2,3,13.9,1
2,4,12.9,1
2,5,12.53,1
2,6,15.36,1
2,7,13.02,1
2,8,12.28,1
2,9,12.11,1
2,10,12.68,1
2,11,13.36,1
2,12,12.07,1
2,13,13.27,1
2,14,12.48,1
2,15,13.4,1
2,16,13.35,1
2,17,13.48,1
2,18,12.12,1
2,19,14.03,1
2,20,11.75,1
2,21,10.45,1
2,22,12.12,1
2,23,12.56,1
2,24,14.71,1
2,25,15.08,1
2,26,14.46,1
2,27,12.6,1
2,28,13.54,1
3,1,13.1,1
3,2,13.69,1
3,3,14.87,1
3,4,14.05,1
3,5,15.58,1
3,6,14.35,1
3,7,14.3,1
3,8,15.69,1
3,9,13.89,1
3,10,14.98,1
3,11,14.54,1
3,12,13.68,1
3,13,13.57,1
3,14,13.22,1
3,15,16.38,1
3,16,15.98,1
3,17,15.39,1
3,18,12.33,1
3,19,14.86,1
3,20,14.29,1
3,21,13.12,1
3,22,11.67,1
3,23,12.34,1
3,24,13.58,1
3,25,13.71,1
3,26,9.38,1
3,27,10.28,1
3,28,12.85,1
3,29,12.7,1
3,30,13.19,1
3,31,11.62,1
4,1,12.16,1
4,2,12.95,1
4,3,17.06,1
4,4,18.04,1
4,5,18.13,1
4,6,19.62,1
4,7,18.4,1
4,8,18.95,1
4,9,18.56,1
4,10,18.85,1
4,11,19.01,1
4,12,20.52,1
4,13,19.26,1
4,14,18.51,1
4,15,18.15,1
4,16,19.39,1
4,17,20.81,1
4,18,21.7,1
4,19,21.05,1
4,20,21.2,1
4,21,20.65,1
4,22,17.13,1
4,23,16.72,1
4,24,17.0,1
4,25,19.29,1
4,26,19.36,1
4,27,19.79,1
4,28,20.66,1
4,29,20.71,1
4,30,18.72,1
5,1,17.79,1
5,2,17.99,1
5,3,18.96,1
5,4,18.97,1
5,5,17.86,1
5,6,19.29,1
5,7,20.31,1
5,8,18.85,1
5,9,20.91,1
5,10,19.73,1
5,11,20.46,1
5,12,20.71,1
5,13,17.19,1
5,14,18.2,1
5,15,17.2,1
5,16,15.92,1
5,17,17.24,1
5,18,17.99,1
5,19,19.45,1
5,20,21.09,1
5,21,23.22,1
5,22,24.69,1
5,23,24.79,1
5,24,25.4,1
5,25,26.48,1
5,26,27.54,1
5,27,28.33,1
5,28,28.67,1
5,29,25.49,1
5,30,26.04,1
5,31,26.48,1
6,1,25.69,1
6,2,25.4,1
6,3,23.41,1
6,4,24.16,1
6,5,23.46,1
6,6,25.19,1
6,7,26.02,1
6,8,27.4,1
6,9,26.69,1
6,10,26.56,1
6,11,24.69,1
6,12,26.43,1
6,13,27.68,1
6,14,27.63,1
6,15,26.77,1
6,16,27.1,1
6,17,29.01,1
6,18,30.25,1
6,19,31.21,1
6,20,31.63,1
6,21,32.57,1
6,22,30.99,1
6,23,30.64,1
6,24,29.31,1
6,25,30.81,1
6,26,30.56,1
6,27,31.97,1
6,28,32.92,1
6,29,32.87,1
6,30,32.49,1
7,1,31.67,1
7,2,26.79,1
7,3,28.35,1
7,4,29.21,1
7,5,28.97,1
7,6,30.18,1
7,7,29.63,1
7,8,29.34,1
7,9,29.71,1
7,10,31.02,1
7,11,31.65,1
7,12,30.99,1
7,13,31.24,1
7,14,32.39,1
7,15,32.02,1
7,16,33.18,1
7,17,33.57,1
7,18,33.61,1
7,19,32.76,1
7,20,33.37,1
7,21,32.9,1
7,22,31.53,1
7,23,30.01,1
7,24,30.21,1
7,25,28.57,1
7,26,29.99,1
7,27,29.54,1
7,28,31.5,1
7,29,33.36,1
7,30,34.66,1
7,31,34.04,1
8,1,34.19,1
8,2,32.47,1
8,3,32.47,1
8,4,33.12,1
8,5,33.39,1
8,6,33.05,1
8,7,33.69,1
8,8,32.96,1
8,9,33.04,1
8,10,34.2,1
8,11,34.28,1
8,12,33.76,1
8,13,33.55,1
8,14,32.6,1
8,15,32.01,1
8,16,31.89,1
8,17,28.36,1
8,18,29.01,1
8,19,30.77,1
8,20,31.39,1
8,21,27.25,1
8,22,28.83,1
8,23,29.02,1
8,24,29.48,1
8,25,27.35,1
8,26,29.28,1
8,27,30.95,1
8,28,32.55,1
8,29,31.23,1
8,30,30.65,1
8,31,31.19,1
9,1,31.27,1
9,2,30.2,1
9,3,30.65,1
9,4,30.79,1
9,5,30.6,1
9,6,29.69,1
9,7,31.15,1
9,8,30.03,1
9,9,29.72,1
9,10,24.7,1
9,11,25.75,1
9,12,25.28,1
9,13,24.78,1
9,14,24.77,1
9,15,25.84,1
9,16,25.81,1
9,17,26.65,1
9,18,25.11,1
9,19,24.27,1
9,20,25.12,1
