month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,22.1,1
1,3,28.1,1
1,4,64.8,1
1,5,80.8,1
1,6,103.4,1
1,7,103.4,1
1,8,103.4,1
1,9,111.2,1
1,10,128.7,1
1,11,128.7,1
1,12,128.7,1
1,13,128.7,1
1,14,128.7,1
1,15,128.7,1
1,16,128.7,1
1,17,128.7,1
1,18,128.7,1
1,19,129.8,1
1,20,129.8,1
1,21,129.8,1
1,22,129.8,1
1,23,132.0,1
1,24,152.9,1
1,25,179.3,1
1,26,180.7,1
1,27,180.7,1
1,28,219.1,1
1,29,223.7,1
1,30,227.5,1
1,31,227.7,1
2,1,227.7,1
2,2,227.7,1
2,3,240.2,1
2,4,270.1,1
2,5,275.5,1
2,6,291.4,1
2,7,301.4,1
2,8,303.1,1
2,9,303.3,1
2,10,304.0,1
2,11,307.9,1
2,12,332.6,1
2,13,332.7,1
2,14,354.4,1
2,15,354.5,1
2,16,363.3,1
2,17,366.8,1
2,18,367.2,1
2,19,390.0,1
2,20,391.9,1
2,21,391.9,1
2,22,391.9,1
2,23,392.1,1
2,24,392.3,1
2,25,392.3,1
2,26,392.3,1
2,27,392.6,1
2,28,392.6,1
3,1,392.6,1
3,2,392.6,1
3,3,392.6,1
3,4,392.8,1
3,5,392.8,1
3,6,392.8,1
3,7,394.3,1
3,8,397.9,1
3,9,398.8,1
3,10,399.6,1
3,11,401.7,1
3,12,413.3,1
3,13,415.4,1
3,14,416.1,1
3,15,416.3,1
3,16,416.3,1
3,17,416.3,1
3,18,416.7,1
3,19,416.7,1
3,20,416.7,1
3,21,416.8,1
3,22,421.6,1
3,23,422.3,1
3,24,422.3,1
3,25,422.3,1
3,26,435.3,1
3,27,435.4,1
3,28,435.4,1
3,29,435.4,1
3,30,437.5,1
3,31,437.8,1
4,1,438.2,1
4,2,439.9,1
4,3,440.9,1
4,4,440.9,1
4,5,440.9,1
4,6,440.9,1
4,7,440.9,1
4,8,440.9,1
4,9,440.9,1
4,10,440.9,1
4,11,440.9,1
4,12,440.9,1
4,13,447.6,1
4,14,450.1,1
4,15,450.3,1
4,16,450.6,1
4,17,450.6,1
4,18,450.6,1
4,19,450.6,1
4,20,450.7,1
4,21,450.7,1
4,22,455.0,1
4,23,455.0,1
4,24,455.0,1
4,25,455.0,1
4,26,455.0,1
4,27,455.0,1
4,28,455.0,1
4,29,455.4,1
4,30,477.8,1
5,1,477.8,1
5,2,477.8,1
5,3,477.8,1
5,4,478.0,1
5,5,485.1,1
5,6,487.8,1
5,7,490.2,1
5,8,490.6,1
5,9,490.6,1
5,10,496.3,1
5,11,497.0,1
5,12,497.1,1
5,13,513.2,1
5,14,513.9,1
5,15,523.4,1
5,16,530.5,1
5,17,530.6,1
5,18,530.6,1
5,19,530.9,1
5,20,530.9,1
5,21,531.2,1
5,22,531.2,1
5,23,531.2,1
5,24,531.2,1
5,25,531.2,1
5,26,531.2,1
5,27,531.2,1
5,28,531.3,1
5,29,531.6,1
5,30,531.6,1
5,31,531.6,1
6,1,531.6,1
6,2,538.8,1
6,3,549.0,1
6,4,549.0,1
6,5,549.4,1
6,6,549.4,1
6,7,549.4,1
6,8,549.4,1
6,9,549.4,1
6,10,549.4,1
6,11,549.4,1
6,12,549.4,1
6,13,549.4,1
6,14,549.4,1
6,15,549.4,1
6,16,549.4,1
6,17,551.4,1
6,18,551.6,1
6,19,552.3,1
6,20,552.3,1
6,21,552.3,1
6,22,553.7,1
6,23,554.5,1
6,24,555.7,1
6,25,555.7,1
6,26,557.2,1
6,27,558.1,1
6,28,558.1,1
6,29,558.3,1
6,30,558.6,1
7,1,558.6,1
7,2,566.9,1
7,3,568.1,1
7,4,568.1,1
7,5,568.1,1
7,6,568.1,1
7,7,568.5,1
7,8,568.5,1
7,9,569.4,1
7,10,569.4,1
7,11,569.4,1
7,12,569.4,1
7,13,569.4,1
7,14,569.4,1
7,15,569.4,1
7,16,569.4,1
7,17,569.4,1
7,18,569.4,1
7,19,569.4,1
7,20,569.4,1
7,21,569.4,1
7,22,569.9,1
7,23,570.6,1
7,24,570.6,1
7,25,570.6,1
7,26,572.4,1
7,27,572.8,1
7,28,572.8,1
7,29,572.8,1
7,30,572.8,1
7,31,572.8,1
8,1,572.8,1
8,2,575.0,1
8,3,575.1,1
8,4,575.1,1
8,5,575.1,1
8,6,575.2,1
8,7,575.5,1
8,8,576.2,1
8,9,576.7,1
8,10,576.9,1
8,11,576.9,1
8,12,577.0,1
8,13,577.0,1
8,14,577.0,1
8,15,577.0,1
8,16,577.0,1
8,17,580.6,1
8,18,581.9,1
8,19,582.5,1
8,20,582.6,1
8,21,594.3,1
8,22,596.2,1
8,23,596.2,1
8,24,596.3,1
8,25,619.9,1
8,26,619.9,1
8,27,619.9,1
8,28,619.9,1
8,29,619.9,1
8,30,619.9,1
8,31,619.9,1
9,1,619.9,1
9,2,619.9,1
9,3,619.9,1
9,4,619.9,1
9,5,619.9,1
9,6,619.9,1
9,7,620.1,1
9,8,620.1,1
9,9,620.1,1
9,10,635.9,1
9,11,638.9,1
9,12,638.9,1
9,13,638.9,1
9,14,638.9,1
9,15,638.9,1
9,16,638.9,1
9,17,641.3,1
9,18,647.3,1
9,19,658.3,1
9,20,658.3,1
