month,day,avg_daytime_temperature,years_sampled
1,1,17.74,1
1,2,18.08,1
1,3,17.42,1
1,4,16.3,1
1,5,15.78,1
1,6,15.15,1
1,7,14.86,1
1,8,15.3,1
1,9,13.46,1
1,10,15.93,1
1,11,16.78,1
1,12,16.18,1
1,13,17.55,1
1,14,18.7,1
1,15,19.95,1
1,16,18.85,1
1,17,20.09,1
1,18,19.47,1
1,19,17.7,1
1,20,16.35,1
1,21,15.15,1
1,22,15.51,1
1,23,15.83,1
1,24,15.37,1
1,25,14.56,1
1,26,17.23,1
1,27,16.11,1
1,28,16.51,1
1,29,19.51,1
1,30,21.16,1
1,31,21.65,1
2,1,19.32,1
2,2,17.07,1
2,3,18.91,1
2,4,22.61,1
2,5,19.84,1
2,6,17.33,1
2,7,17.01,1
2,8,21.01,1
2,9,19.64,1
2,10,16.75,1
2,11,15.23,1
2,12,15.95,1
2,13,16.64,1
2,14,15.99,1
2,15,16.05,1
2,16,14.45,1
2,17,14.46,1
2,18,13.45,1
2,19,13.03,1
2,20,13.62,1
2,21,14.78,1
2,22,16.56,1
2,23,18.45,1
2,24,19.87,1
2,25,19.65,1
2,26,21.11,1
2,27,25.55,1
2,28,23.45,1
3,1,22.82,1
3,2,17.88,1
3,3,17.06,1
3,4,16.35,1
3,5,17.47,1
3,6,19.35,1
3,7,21.7,1
3,8,25.1,1
3,9,16.8,1
3,10,17.52,1
3,11,18.91,1
3,12,24.26,1
3,13,25.54,1
3,14,19.58,1
3,15,17.86,1
3,16,21.58,1
3,17,24.62,1
3,18,23.02,1
3,19,23.15,1
3,20,23.84,1
3,21,21.33,1
3,22,19.3,1
3,23,19.13,1
3,24,19.37,1
3,25,19.7,1
3,26,20.12,1
3,27,20.14,1
3,28,21.15,1
3,29,22.04,1
3,30,19.72,1
3,31,19.34,1
4,1,19.35,1
4,2,18.14,1
4,3,19.94,1
4,4,23.34,1
4,5,21.37,1
4,6,20.27,1
4,7,19.11,1
4,8,19.67,1
4,9,19.52,1
4,10,19.78,1
4,11,19.47,1
4,12,18.28,1
4,13,16.88,1
4,14,18.21,1
4,15,18.45,1
4,16,18.14,1
4,17,19.17,1
4,18,19.94,1
4,19,19.66,1
4,20,19.15,1
4,21,18.99,1
4,22,18.32,1
4,23,18.78,1
4,24,18.29,1
4,25,17.17,1
4,26,17.27,1
4,27,17.85,1
4,28,18.31,1
4,29,18.41,1
4,30,17.95,1
5,1,18.9,1
5,2,19.2,1
5,3,18.16,1
5,4,18.08,1
5,5,16.44,1
5,6,18.49,1
5,7,18.51,1
5,8,19.09,1
5,9,18.66,1
5,10,18.76,1
5,11,19.44,1
5,12,18.08,1
5,13,19.01,1
5,14,18.56,1
5,15,18.33,1
5,16,18.29,1
5,17,17.49,1
5,18,18.26,1
5,19,20.69,1
5,20,22.01,1
5,21,20.01,1
5,22,18.73,1
5,23,18.82,1
5,24,18.48,1
5,25,18.44,1
5,26,18.01,1
5,27,17.66,1
5,28,17.8,1
5,29,18.61,1
5,30,19.49,1
5,31,19.61,1
6,1,18.98,1
6,2,18.56,1
6,3,19.48,1
6,4,18.86,1
6,5,18.94,1
6,6,19.41,1
6,7,19.4,1
6,8,19.64,1
6,9,20.11,1
6,10,20.74,1
6,11,21.11,1
6,12,23.26,1
6,13,22.36,1
6,14,21.7,1
6,15,21.52,1
6,16,20.96,1
6,17,19.94,1
6,18,19.23,1
6,19,19.89,1
6,20,19.47,1
6,21,19.59,1
6,22,20.06,1
6,23,20.14,1
6,24,20.15,1
6,25,20.03,1
6,26,19.81,1
6,27,19.77,1
6,28,18.85,1
6,29,19.6,1
6,30,19.66,1
7,1,20.07,1
7,2,20.23,1
7,3,20.99,1
7,4,22.55,1
7,5,21.7,1
7,6,21.91,1
7,7,21.46,1
7,8,21.06,1
7,9,20.54,1
7,10,20.65,1
7,11,21.11,1
7,12,21.93,1
7,13,22.77,1
7,14,24.58,1
7,15,24.28,1
7,16,23.41,1
7,17,23.1,1
7,18,23.62,1
7,19,24.07,1
7,20,24.53,1
7,21,25.05,1
7,22,24.46,1
7,23,23.71,1
7,24,23.1,1
7,25,23.06,1
7,26,24.09,1
7,27,23.89,1
7,28,23.17,1
7,29,23.03,1
7,30,23.12,1
7,31,23.87,1
8,1,24.68,1
8,2,23.82,1
8,3,24.0,1
8,4,22.6,1
8,5,23.33,1
8,6,24.75,1
8,7,24.08,1
8,8,25.29,1
8,9,25.05,1
8,10,24.95,1
8,11,24.93,1
8,12,24.2,1
8,13,23.13,1
8,14,23.49,1
8,15,23.81,1
8,16,24.01,1
8,17,24.59,1
8,18,24.43,1
8,19,24.64,1
8,20,24.42,1
8,21,25.2,1
8,22,25.88,1
8,23,26.82,1
8,24,25.83,1
8,25,26.11,1
8,26,26.62,1
8,27,26.46,1
8,28,27.37,1
8,29,27.78,1
8,30,24.76,1
8,31,24.05,1
9,1,23.59,1
9,2,22.5,1
9,3,22.09,1
9,4,22.37,1
9,5,25.26,1
9,6,26.95,1
9,7,30.01,1
9,8,30.92,1
9,9,31.07,1
9,10,27.62,1
9,11,26.11,1
9,12,24.56,1
9,13,23.81,1
9,14,22.94,1
9,15,23.19,1
