month,day,avg_accumulated_precipitation,years_sampled
1,1,24.7,1
1,2,27.0,1
1,3,29.9,1
1,4,37.8,1
1,5,46.1,1
1,6,46.1,1
1,7,50.7,1
1,8,50.7,1
1,9,50.7,1
1,10,50.7,1
1,11,50.7,1
1,12,50.7,1
1,13,50.7,1
1,14,50.7,1
1,15,50.7,1
1,16,50.7,1
1,17,50.7,1
1,18,50.7,1
1,19,50.7,1
1,20,50.7,1
1,21,50.7,1
1,22,63.2,1
1,23,63.3,1
1,24,64.7,1
1,25,64.7,1
1,26,64.7,1
1,27,64.7,1
1,28,64.7,1
1,29,64.7,1
1,30,64.7,1
1,31,64.7,1
2,1,64.7,1
2,2,64.7,1
2,3,64.7,1
2,4,64.7,1
2,5,64.7,1
2,6,64.7,1
2,7,64.7,1
2,8,64.7,1
2,9,64.7,1
2,10,65.2,1
2,11,69.5,1
2,12,69.5,1
2,13,69.5,1
2,14,69.5,1
2,15,69.5,1
2,16,91.5,1
2,17,106.1,1
2,18,112.5,1
2,19,121.1,1
2,20,121.2,1
2,21,121.2,1
2,22,121.2,1
2,23,121.2,1
2,24,121.2,1
2,25,121.2,1
2,26,121.2,1
2,27,121.2,1
2,28,121.2,1
3,1,121.2,1
3,2,121.2,1
3,3,121.2,1
3,4,121.2,1
3,5,121.2,1
3,6,121.2,1
3,7,121.2,1
3,8,121.2,1
3,9,121.7,1
3,10,121.8,1
3,11,121.8,1
3,12,121.8,1
3,13,121.8,1
3,14,121.8,1
3,15,121.8,1
3,16,121.8,1
3,17,121.8,1
3,18,121.8,1
3,19,121.8,1
3,20,121.8,1
3,21,121.8,1
3,22,121.8,1
3,23,121.8,1
3,24,121.8,1
3,25,121.8,1
3,26,121.8,1
3,27,121.8,1
3,28,121.8,1
3,29,121.8,1
3,30,121.8,1
3,31,122.6,1
4,1,123.9,1
4,2,124.2,1
4,3,124.2,1
4,4,124.2,1
4,5,124.2,1
4,6,124.2,1
4,7,124.2,1
4,8,124.2,1
4,9,124.2,1
4,10,124.2,1
4,11,124.5,1
4,12,127.9,1
4,13,130.5,1
4,14,130.5,1
4,15,130.5,1
4,16,130.5,1
4,17,130.5,1
4,18,130.5,1
4,19,130.5,1
4,20,130.5,1
4,21,130.6,1
4,22,130.9,1
4,23,130.9,1
4,24,130.9,1
4,25,133.0,1
4,26,134.1,1
4,27,134.1,1
4,28,134.1,1
4,29,134.1,1
4,30,136.2,1
5,1,136.2,1
5,2,136.2,1
5,3,136.5,1
5,4,136.8,1
5,5,140.0,1
5,6,140.0,1
5,7,140.0,1
5,8,140.0,1
5,9,140.0,1
5,10,140.0,1
5,11,140.0,1
5,12,140.5,1
5,13,140.5,1
5,14,140.5,1
5,15,140.7,1
5,16,141.0,1
5,17,142.3,1
5,18,142.5,1
5,19,142.5,1
5,20,142.5,1
5,21,142.5,1
5,22,142.5,1
5,23,142.5,1
5,24,142.5,1
5,25,142.6,1
5,26,143.0,1
5,27,143.2,1
5,28,143.2,1
5,29,144.2,1
5,30,144.2,1
5,31,144.2,1
6,1,144.2,1
6,2,144.2,1
6,3,144.2,1
6,4,144.2,1
6,5,144.2,1
6,6,144.2,1
6,7,144.2,1
6,8,144.2,1
6,9,144.2,1
6,10,144.2,1
6,11,144.2,1
6,12,144.2,1
6,13,144.2,1
6,14,144.2,1
6,15,144.2,1
6,16,144.2,1
6,17,144.2,1
6,18,144.2,1
6,19,144.2,1
6,20,144.2,1
6,21,144.2,1
6,22,144.2,1
6,23,144.2,1
6,24,144.4,1
6,25,144.4,1
6,26,144.4,1
6,27,144.7,1
6,28,144.8,1
6,29,145.0,1
6,30,145.0,1
7,1,145.0,1
7,2,145.0,1
7,3,145.0,1
7,4,145.0,1
7,5,145.0,1
7,6,145.0,1
7,7,145.0,1
7,8,145.0,1
7,9,145.0,1
7,10,145.0,1
7,11,145.0,1
7,12,145.3,1
7,13,145.3,1
7,14,145.3,1
7,15,145.3,1
7,16,146.0,1
7,17,146.0,1
7,18,146.0,1
7,19,146.0,1
7,20,146.0,1
7,21,146.0,1
7,22,146.0,1
7,23,146.0,1
7,24,146.0,1
7,25,146.0,1
7,26,146.0,1
7,27,146.0,1
7,28,146.0,1
7,29,146.0,1
7,30,146.0,1
7,31,146.0,1
8,1,146.0,1
8,2,146.0,1
8,3,146.0,1
8,4,146.0,1
8,5,146.0,1
8,6,146.0,1
8,7,155.4,1
8,8,155.4,1
8,9,155.4,1
8,10,155.4,1
8,11,155.4,1
8,12,155.4,1
8,13,155.4,1
8,14,156.1,1
8,15,156.1,1
8,16,156.1,1
8,17,156.1,1
8,18,156.1,1
8,19,156.1,1
8,20,156.1,1
8,21,156.1,1
8,22,156.1,1
8,23,156.1,1
8,24,156.1,1
8,25,156.1,1
8,26,156.1,1
8,27,156.1,1
8,28,156.1,1
8,29,156.1,1
8,30,156.1,1
8,31,156.1,1
9,1,156.1,1
9,2,156.1,1
9,3,156.1,1
9,4,156.1,1
9,5,156.3,1
9,6,158.8,1
9,7,160.5,1
9,8,160.8,1
9,9,161.0,1
9,10,161.0,1
9,11,161.0,1
9,12,161.0,1
9,13,161.0,1
9,14,161.0,1
9,15,161.0,1
9,16,161.0,1
9,17,161.1,1
9,18,161.1,1
9,19,161.1,1
9,20,161.1,1
9,21,162.2,1
9,22,162.6,1
9,23,162.6,1
9,24,162.6,1
9,25,162.6,1
