month,day,avg_daytime_temperature,years_sampled
1,1,13.13,1
1,2,14.48,1
1,3,14.76,1
1,4,11.91,1
1,5,12.31,1
1,6,13.53,1
1,7,12.88,1
1,8,11.11,1
1,9,10.46,1
1,10,10.56,1
1,11,11.87,1
1,12,10.86,1
1,13,12.36,1
1,14,12.54,1
1,15,13.85,1
1,16,15.23,1
1,17,13.47,1
1,18,13.55,1
1,19,12.07,1
1,20,11.64,1
1,21,11.05,1
1,22,11.73,1
1,23,11.81,1
1,24,13.14,1
1,25,9.22,1
1,26,11.25,1
1,27,11.95,1
1,28,14.58,1
1,29,13.48,1
1,30,12.41,1
1,31,12.47,1
2,1,12.45,1
2,2,11.92,1
2,3,14.53,1
2,4,15.08,1
2,5,15.57,1
2,6,15.84,1
2,7,14.24,1
2,8,14.09,1
2,9,15.01,1
2,10,12.73,1
2,11,13.15,1
2,12,13.87,1
2,13,13.05,1
2,14,12.04,1
2,15,13.03,1
2,16,10.33,1
2,17,9.78,1
2,18,9.0,1
2,19,9.45,1
2,20,8.98,1
2,21,11.93,1
2,22,14.37,1
2,23,14.01,1
2,24,16.75,1
2,25,15.91,1
2,26,16.77,1
2,27,19.89,1
2,28,18.08,1
3,1,14.97,1
3,2,14.99,1
3,3,14.71,1
3,4,15.07,1
3,5,15.3,1
3,6,18.78,1
3,7,21.58,1
3,8,17.84,1
3,9,15.99,1
3,10,15.41,1
3,11,17.2,1
3,12,17.11,1
3,13,16.3,1
3,14,17.83,1
3,15,17.97,1
3,16,22.34,1
3,17,25.4,1
3,18,23.59,1
3,19,23.59,1
3,20,24.3,1
3,21,20.19,1
3,22,15.92,1
3,23,18.8,1
3,24,19.78,1
3,25,18.04,1
3,26,18.3,1
3,27,21.57,1
3,28,16.98,1
3,29,21.02,1
3,30,17.58,1
3,31,16.56,1
4,1,14.41,1
4,2,14.82,1
4,3,17.7,1
4,4,22.35,1
4,5,21.21,1
4,6,13.91,1
4,7,13.94,1
4,8,16.23,1
4,9,16.15,1
4,10,15.12,1
4,11,13.96,1
4,12,12.13,1
4,13,13.68,1
4,14,13.26,1
4,15,14.27,1
4,16,16.62,1
4,17,17.11,1
4,18,17.49,1
4,19,16.28,1
4,20,14.86,1
4,21,13.61,1
4,22,14.79,1
4,23,15.23,1
4,24,14.05,1
4,25,13.05,1
4,26,13.95,1
4,27,14.15,1
4,28,15.89,1
4,29,16.4,1
4,30,15.72,1
5,1,14.69,1
5,2,13.86,1
5,3,15.03,1
5,4,14.92,1
5,5,14.14,1
5,6,15.53,1
5,7,14.64,1
5,8,14.82,1
5,9,16.18,1
5,10,15.24,1
5,11,15.52,1
5,12,13.45,1
5,13,15.88,1
5,14,16.02,1
5,15,17.61,1
5,16,16.99,1
5,17,18.77,1
5,18,23.59,1
5,19,20.61,1
5,20,15.53,1
5,21,14.52,1
5,22,14.02,1
5,23,15.39,1
5,24,15.06,1
5,25,14.08,1
5,26,14.71,1
5,27,14.81,1
5,28,15.45,1
5,29,13.75,1
5,30,15.22,1
5,31,16.24,1
6,1,15.59,1
6,2,14.48,1
6,3,18.09,1
6,4,17.05,1
6,5,18.41,1
6,6,15.9,1
6,7,15.45,1
6,8,14.84,1
6,9,17.13,1
6,10,20.15,1
6,11,20.27,1
6,12,17.25,1
6,13,17.07,1
6,14,16.86,1
6,15,16.19,1
6,16,15.99,1
6,17,17.02,1
6,18,17.01,1
6,19,17.33,1
6,20,17.15,1
6,21,15.08,1
6,22,14.23,1
6,23,14.65,1
6,24,14.69,1
6,25,15.15,1
6,26,15.65,1
6,27,15.85,1
6,28,17.85,1
6,29,16.32,1
6,30,15.16,1
7,1,15.35,1
7,2,15.41,1
7,3,15.59,1
7,4,14.93,1
7,5,15.54,1
7,6,15.13,1
7,7,13.64,1
7,8,13.99,1
7,9,14.57,1
7,10,14.26,1
7,11,14.47,1
7,12,16.61,1
7,13,18.15,1
7,14,19.23,1
7,15,17.91,1
7,16,16.74,1
7,17,14.36,1
7,18,15.06,1
7,19,14.55,1
7,20,17.16,1
7,21,21.86,1
7,22,18.86,1
7,23,16.64,1
7,24,16.67,1
7,25,17.89,1
7,26,16.27,1
7,27,16.57,1
7,28,18.47,1
7,29,17.78,1
7,30,16.54,1
7,31,17.74,1
8,1,18.91,1
8,2,18.67,1
8,3,17.88,1
8,4,17.53,1
8,5,17.07,1
8,6,16.93,1
8,7,15.61,1
8,8,15.44,1
8,9,16.88,1
8,10,17.05,1
8,11,16.98,1
8,12,17.28,1
8,13,17.04,1
8,14,16.99,1
8,15,16.43,1
8,16,16.38,1
8,17,17.09,1
8,18,16.25,1
8,19,16.56,1
8,20,16.06,1
8,21,17.1,1
8,22,18.58,1
8,23,17.33,1
8,24,16.95,1
8,25,17.55,1
8,26,18.73,1
8,27,19.16,1
8,28,16.4,1
8,29,16.45,1
8,30,16.34,1
8,31,16.18,1
9,1,18.64,1
9,2,18.61,1
9,3,19.27,1
9,4,17.52,1
9,5,17.61,1
9,6,17.67,1
9,7,20.82,1
9,8,21.44,1
9,9,26.93,1
9,10,21.11,1
9,11,17.39,1
9,12,17.73,1
9,13,18.65,1
