month,day,avg_accumulated_precipitation,years_sampled
1,1,13.3,1
1,2,23.4,1
1,3,27.2,1
1,4,48.8,1
1,5,69.9,1
1,6,72.5,1
1,7,72.6,1
1,8,72.6,1
1,9,72.6,1
1,10,72.6,1
1,11,72.6,1
1,12,72.6,1
1,13,72.6,1
1,14,72.6,1
1,15,72.6,1
1,16,72.6,1
1,17,72.6,1
1,18,72.6,1
1,19,72.6,1
1,20,72.6,1
1,21,72.6,1
1,22,72.6,1
1,23,72.6,1
1,24,72.6,1
1,25,72.6,1
1,26,72.6,1
1,27,72.8,1
1,28,74.3,1
1,29,74.3,1
1,30,74.3,1
1,31,74.3,1
2,1,74.3,1
2,2,74.3,1
2,3,74.3,1
2,4,74.3,1
2,5,74.3,1
2,6,74.3,1
2,7,74.3,1
2,8,74.3,1
2,9,74.3,1
2,10,88.0,1
2,11,95.2,1
2,12,95.3,1
2,13,95.3,1
2,14,95.6,1
2,15,115.7,1
2,16,145.9,1
2,17,163.1,1
2,18,168.3,1
2,19,181.2,1
2,20,181.2,1
2,21,181.2,1
2,22,181.2,1
2,23,181.4,1
2,24,185.0,1
2,25,186.2,1
2,26,186.2,1
2,27,186.2,1
2,28,186.2,1
3,1,186.3,1
3,2,188.8,1
3,3,188.8,1
3,4,189.1,1
3,5,189.1,1
3,6,189.1,1
3,7,189.1,1
3,8,189.1,1
3,9,189.1,1
3,10,189.1,1
3,11,189.1,1
3,12,189.1,1
3,13,189.1,1
3,14,189.1,1
3,15,189.1,1
3,16,189.1,1
3,17,189.1,1
3,18,189.1,1
3,19,189.1,1
3,20,189.1,1
3,21,189.1,1
3,22,189.1,1
3,23,189.1,1
3,24,189.1,1
3,25,189.1,1
3,26,189.1,1
3,27,189.1,1
3,28,189.1,1
3,29,189.1,1
3,30,189.1,1
3,31,195.6,1
4,1,200.6,1
4,2,203.4,1
4,3,203.4,1
4,4,203.4,1
4,5,203.4,1
4,6,203.4,1
4,7,203.4,1
4,8,204.8,1
4,9,204.8,1
4,10,218.5,1
4,11,234.8,1
4,12,247.0,1
4,13,251.3,1
4,14,251.3,1
4,15,251.3,1
4,16,251.3,1
4,17,251.3,1
4,18,251.3,1
4,19,251.3,1
4,20,294.3,1
4,21,303.8,1
4,22,312.6,1
4,23,312.6,1
4,24,312.6,1
4,25,312.8,1
4,26,313.2,1
4,27,313.3,1
4,28,313.3,1
4,29,313.3,1
4,30,313.3,1
5,1,313.3,1
5,2,313.3,1
5,3,313.4,1
5,4,316.4,1
5,5,323.9,1
5,6,323.9,1
5,7,323.9,1
5,8,323.9,1
5,9,323.9,1
5,10,323.9,1
5,11,323.9,1
5,12,323.9,1
5,13,323.9,1
5,14,323.9,1
5,15,323.9,1
5,16,323.9,1
5,17,323.9,1
5,18,323.9,1
5,19,323.9,1
5,20,323.9,1
5,21,323.9,1
5,22,323.9,1
5,23,323.9,1
5,24,323.9,1
5,25,324.1,1
5,26,324.3,1
5,27,324.3,1
5,28,334.2,1
5,29,334.5,1
5,30,334.5,1
5,31,334.5,1
6,1,334.5,1
6,2,334.5,1
6,3,334.5,1
6,4,334.5,1
6,5,334.5,1
6,6,334.5,1
6,7,334.5,1
6,8,334.8,1
6,9,335.0,1
6,10,335.0,1
6,11,335.0,1
6,12,335.0,1
6,13,335.0,1
6,14,335.0,1
6,15,335.0,1
6,16,335.0,1
6,17,335.0,1
6,18,335.0,1
6,19,335.3,1
6,20,335.3,1
6,21,335.3,1
6,22,335.3,1
6,23,335.3,1
6,24,335.3,1
6,25,335.3,1
6,26,335.3,1
6,27,335.5,1
6,28,335.5,1
6,29,335.5,1
6,30,335.5,1
7,1,335.5,1
7,2,335.5,1
7,3,335.5,1
7,4,335.5,1
7,5,335.5,1
7,6,335.5,1
7,7,335.5,1
7,8,335.5,1
7,9,335.5,1
7,10,335.5,1
7,11,335.5,1
7,12,336.3,1
7,13,336.4,1
7,14,336.4,1
7,15,336.4,1
7,16,336.4,1
7,17,336.4,1
7,18,336.4,1
7,19,336.4,1
7,20,337.1,1
7,21,340.1,1
7,22,340.7,1
7,23,340.7,1
7,24,340.7,1
7,25,340.7,1
7,26,340.7,1
7,27,340.7,1
7,28,340.7,1
7,29,340.7,1
7,30,340.7,1
7,31,340.7,1
8,1,340.7,1
8,2,340.7,1
8,3,340.7,1
8,4,340.7,1
8,5,340.7,1
8,6,340.7,1
8,7,340.7,1
8,8,340.7,1
8,9,340.7,1
8,10,340.7,1
8,11,340.7,1
8,12,340.7,1
8,13,340.8,1
8,14,341.9,1
8,15,341.9,1
8,16,341.9,1
8,17,341.9,1
8,18,341.9,1
8,19,341.9,1
8,20,341.9,1
8,21,341.9,1
8,22,341.9,1
8,23,341.9,1
8,24,341.9,1
8,25,341.9,1
8,26,341.9,1
8,27,341.9,1
8,28,342.0,1
8,29,342.0,1
8,30,342.0,1
8,31,342.0,1
9,1,342.4,1
9,2,343.1,1
9,3,346.7,1
9,4,346.7,1
9,5,346.7,1
9,6,346.7,1
9,7,346.7,1
9,8,346.7,1
9,9,346.7,1
9,10,346.7,1
9,11,346.7,1
9,12,346.7,1
9,13,346.7,1
9,14,346.7,1
9,15,346.7,1
9,16,346.7,1
9,17,348.7,1
9,18,348.7,1
9,19,348.7,1
9,20,348.7,1
9,21,348.7,1
9,22,348.7,1
9,23,348.7,1
9,24,348.7,1
9,25,348.7,1
9,26,348.7,1
