month,day,avg_daytime_temperature,years_sampled
1,1,26.7,1
1,2,23.95,1
1,3,22.4,1
1,4,20.46,1
1,5,18.97,1
1,6,23.1,1
1,7,24.81,1
1,8,21.19,1
1,9,26.76,1
1,10,26.9,1
1,11,26.91,1
1,12,25.52,1
1,13,26.97,1
1,14,23.47,1
1,15,23.85,1
1,16,27.06,1
1,17,28.2,1
1,18,28.21,1
1,19,25.93,1
1,20,24.46,1
1,21,22.81,1
1,22,25.34,1
1,23,26.04,1
1,24,24.55,1
1,25,21.77,1
1,26,22.44,1
1,27,24.96,1
1,28,28.02,1
1,29,27.45,1
1,30,25.87,1
1,31,22.68,1
2,1,24.24,1
2,2,24.53,1
2,3,24.54,1
2,4,24.41,1
2,5,24.99,1
2,6,27.65,1
2,7,28.37,1
2,8,24.82,1
2,9,24.81,1
2,10,24.77,1
2,11,25.15,1
2,12,26.31,1
2,13,27.95,1
2,14,24.64,1
2,15,25.52,1
2,16,26.77,1
2,17,27.08,1
2,18,26.5,1
2,19,27.28,1
2,20,24.37,1
2,21,25.96,1
2,22,26.9,1
2,23,26.65,1
2,24,27.41,1
2,25,26.13,1
2,26,25.78,1
2,27,25.22,1
2,28,26.54,1
3,1,25.74,1
3,2,23.45,1
3,3,24.58,1
3,4,26.45,1
3,5,25.35,1
3,6,26.17,1
3,7,21.75,1
3,8,22.54,1
3,9,25.08,1
3,10,26.32,1
3,11,24.41,1
3,12,25.54,1
3,13,23.79,1
3,14,22.68,1
3,15,22.43,1
3,16,22.21,1
3,17,23.08,1
3,18,24.66,1
3,19,21.12,1
3,20,16.05,1
3,21,17.06,1
3,22,13.26,1
3,23,17.74,1
3,24,20.5,1
3,25,21.17,1
3,26,21.36,1
3,27,21.54,1
3,28,19.79,1
3,29,22.73,1
3,30,22.89,1
3,31,22.79,1
4,1,22.35,1
4,2,22.07,1
4,3,23.08,1
4,4,24.97,1
4,5,20.52,1
4,6,19.47,1
4,7,22.48,1
4,8,21.36,1
4,9,20.58,1
4,10,16.95,1
4,11,19.44,1
4,12,20.33,1
4,13,21.01,1
4,14,14.82,1
4,15,23.16,1
4,16,21.55,1
4,17,20.8,1
4,18,19.63,1
4,19,20.85,1
4,20,11.86,1
4,21,17.91,1
4,22,17.58,1
4,23,18.48,1
4,24,16.95,1
4,25,17.26,1
4,26,17.28,1
4,27,17.81,1
4,28,19.64,1
4,29,20.61,1
4,30,19.25,1
5,1,15.17,1
5,2,21.14,1
5,3,20.31,1
5,4,18.91,1
5,5,19.89,1
5,6,14.88,1
5,7,12.66,1
5,8,12.76,1
5,9,13.76,1
5,10,18.79,1
5,11,18.62,1
5,12,13.2,1
5,13,14.79,1
5,14,18.11,1
5,15,15.58,1
5,16,14.05,1
5,17,15.26,1
5,18,17.13,1
5,19,15.72,1
5,20,12.08,1
5,21,9.81,1
5,22,10.45,1
5,23,8.15,1
5,24,10.29,1
5,25,15.86,1
5,26,19.7,1
5,27,14.02,1
5,28,14.17,1
5,29,17.28,1
5,30,19.4,1
5,31,11.55,1
6,1,12.41,1
6,2,16.46,1
6,3,15.1,1
6,4,18.77,1
6,5,12.66,1
6,6,11.92,1
6,7,14.07,1
6,8,15.25,1
6,9,10.52,1
6,10,9.38,1
6,11,12.87,1
6,12,14.37,1
6,13,13.82,1
6,14,15.78,1
6,15,15.7,1
6,16,15.92,1
6,17,10.53,1
6,18,13.45,1
6,19,13.65,1
6,20,11.34,1
6,21,9.23,1
6,22,8.85,1
6,23,9.55,1
6,24,11.14,1
6,25,13.98,1
6,26,12.46,1
6,27,11.55,1
6,28,11.44,1
6,29,13.03,1
6,30,11.44,1
7,1,8.26,1
7,2,8.46,1
7,3,8.74,1
7,4,9.13,1
7,5,9.51,1
7,6,15.29,1
7,7,18.07,1
7,8,13.98,1
7,9,16.44,1
7,10,14.85,1
7,11,16.14,1
7,12,18.11,1
7,13,16.21,1
7,14,12.78,1
7,15,13.34,1
7,16,12.2,1
7,17,11.37,1
7,18,11.11,1
7,19,10.0,1
7,20,9.88,1
7,21,9.76,1
7,22,11.24,1
7,23,12.14,1
7,24,14.98,1
7,25,13.53,1
7,26,17.5,1
7,27,13.72,1
7,28,12.31,1
7,29,14.68,1
7,30,15.48,1
7,31,10.87,1
8,1,10.3,1
8,2,10.87,1
8,3,15.4,1
8,4,13.81,1
8,5,15.48,1
8,6,11.9,1
8,7,9.25,1
8,8,8.58,1
8,9,8.52,1
8,10,9.01,1
8,11,8.85,1
8,12,12.98,1
8,13,16.11,1
8,14,14.44,1
8,15,10.94,1
8,16,11.33,1
8,17,12.64,1
8,18,14.86,1
8,19,14.85,1
8,20,14.4,1
8,21,17.95,1
8,22,20.17,1
8,23,17.07,1
8,24,13.66,1
8,25,17.73,1
8,26,11.74,1
8,27,12.4,1
8,28,13.59,1
8,29,14.67,1
8,30,14.55,1
8,31,15.85,1
9,1,17.31,1
9,2,17.37,1
9,3,15.25,1
9,4,14.92,1
9,5,16.55,1
9,6,16.98,1
9,7,14.34,1
9,8,13.98,1
9,9,14.92,1
9,10,14.65,1
9,11,13.18,1
9,12,14.92,1
9,13,17.99,1
9,14,19.88,1
9,15,22.08,1
9,16,21.09,1
9,17,22.08,1
9,18,22.22,1
9,19,17.77,1
9,20,15.66,1
9,21,16.11,1
9,22,20.42,1
9,23,19.02,1
9,24,17.41,1
9,25,17.03,1
9,26,20.38,1
