month,day,avg_accumulated_precipitation,years_sampled
1,1,1.2,1
1,2,8.4,1
1,3,20.9,1
1,4,32.5,1
1,5,35.9,1
1,6,48.6,1
1,7,51.3,1
1,8,59.0,1
1,9,59.3,1
1,10,67.2,1
1,11,96.4,1
1,12,112.9,1
1,13,112.9,1
1,14,113.1,1
1,15,113.1,1
1,16,113.1,1
1,17,113.1,1
1,18,113.1,1
1,19,113.1,1
1,20,113.1,1
1,21,113.1,1
1,22,113.1,1
1,23,113.1,1
1,24,113.1,1
1,25,113.1,1
1,26,113.1,1
1,27,113.9,1
1,28,120.9,1
1,29,132.8,1
1,30,137.9,1
1,31,140.2,1
2,1,147.2,1
2,2,164.3,1
2,3,164.3,1
2,4,164.3,1
2,5,164.3,1
2,6,164.3,1
2,7,182.9,1
2,8,182.9,1
2,9,184.0,1
2,10,184.0,1
2,11,184.0,1
2,12,184.0,1
2,13,193.7,1
2,14,193.7,1
2,15,193.7,1
2,16,194.1,1
2,17,196.0,1
2,18,204.2,1
2,19,205.1,1
2,20,205.1,1
2,21,208.4,1
2,22,218.9,1
2,23,229.4,1
2,24,229.4,1
2,25,229.4,1
2,26,229.4,1
2,27,230.7,1
2,28,230.7,1
3,1,230.7,1
3,2,230.7,1
3,3,237.8,1
3,4,258.8,1
3,5,259.2,1
3,6,265.3,1
3,7,265.4,1
3,8,268.7,1
3,9,271.3,1
3,10,272.4,1
3,11,291.7,1
3,12,298.8,1
3,13,319.6,1
3,14,320.7,1
3,15,322.4,1
3,16,326.8,1
3,17,349.1,1
3,18,365.7,1
3,19,382.1,1
3,20,391.4,1
3,21,391.4,1
3,22,391.4,1
3,23,391.4,1
3,24,417.2,1
3,25,420.9,1
3,26,420.9,1
3,27,420.9,1
3,28,420.9,1
3,29,426.4,1
3,30,426.5,1
3,31,426.8,1
4,1,445.6,1
4,2,446.7,1
4,3,446.7,1
4,4,446.7,1
4,5,446.7,1
4,6,446.7,1
4,7,446.7,1
4,8,446.7,1
4,9,446.7,1
4,10,446.9,1
4,11,451.9,1
4,12,452.0,1
4,13,455.7,1
4,14,473.7,1
4,15,487.3,1
4,16,487.9,1
4,17,487.9,1
4,18,487.9,1
4,19,487.9,1
4,20,487.9,1
4,21,489.4,1
4,22,502.1,1
4,23,502.1,1
4,24,502.1,1
4,25,502.1,1
4,26,502.1,1
4,27,502.6,1
4,28,503.5,1
4,29,503.5,1
4,30,503.5,1
5,1,503.5,1
5,2,503.6,1
5,3,503.6,1
5,4,503.6,1
5,5,503.7,1
5,6,503.9,1
5,7,503.9,1
5,8,503.9,1
5,9,503.9,1
5,10,503.9,1
5,11,503.9,1
5,12,504.0,1
5,13,510.3,1
5,14,516.5,1
5,15,518.4,1
5,16,524.0,1
5,17,524.0,1
5,18,524.0,1
5,19,524.0,1
5,20,524.1,1
5,21,524.1,1
5,22,524.1,1
5,23,524.1,1
5,24,524.1,1
5,25,528.0,1
5,26,530.3,1
5,27,530.3,1
5,28,530.3,1
5,29,538.4,1
5,30,538.4,1
5,31,538.4,1
6,1,538.4,1
6,2,538.4,1
6,3,538.4,1
6,4,538.5,1
6,5,539.3,1
6,6,543.0,1
6,7,543.0,1
6,8,554.1,1
6,9,565.3,1
6,10,565.4,1
6,11,565.4,1
6,12,565.4,1
6,13,565.4,1
6,14,565.4,1
6,15,565.4,1
6,16,565.4,1
6,17,565.4,1
6,18,565.4,1
6,19,565.4,1
6,20,565.5,1
6,21,565.5,1
6,22,565.5,1
6,23,565.5,1
6,24,565.5,1
6,25,566.6,1
6,26,567.9,1
6,27,568.9,1
6,28,569.1,1
6,29,569.1,1
6,30,569.1,1
7,1,569.1,1
7,2,572.2,1
7,3,572.8,1
7,4,572.8,1
7,5,572.8,1
7,6,572.8,1
7,7,572.8,1
7,8,572.8,1
7,9,572.8,1
7,10,572.8,1
7,11,572.9,1
7,12,573.4,1
7,13,573.4,1
7,14,573.4,1
7,15,573.4,1
7,16,578.3,1
7,17,578.6,1
7,18,578.6,1
7,19,578.6,1
7,20,578.6,1
7,21,578.6,1
7,22,578.6,1
7,23,581.1,1
7,24,581.1,1
7,25,581.1,1
7,26,586.1,1
7,27,586.1,1
7,28,586.1,1
7,29,586.1,1
7,30,586.1,1
7,31,586.1,1
8,1,587.0,1
8,2,587.3,1
8,3,587.3,1
8,4,587.3,1
8,5,587.3,1
8,6,587.3,1
8,7,587.3,1
8,8,587.3,1
8,9,587.3,1
8,10,587.3,1
8,11,587.3,1
8,12,587.3,1
8,13,587.3,1
8,14,587.3,1
8,15,587.5,1
8,16,587.5,1
8,17,587.5,1
8,18,587.5,1
8,19,587.5,1
8,20,587.5,1
8,21,587.5,1
8,22,587.9,1
8,23,588.0,1
8,24,588.0,1
8,25,588.0,1
8,26,588.0,1
8,27,588.0,1
8,28,588.0,1
8,29,595.8,1
8,30,596.0,1
8,31,596.0,1
9,1,596.1,1
9,2,600.2,1
9,3,604.1,1
9,4,604.2,1
9,5,604.3,1
9,6,604.3,1
9,7,604.7,1
9,8,604.7,1
9,9,604.7,1
9,10,604.7,1
9,11,604.8,1
9,12,607.0,1
9,13,623.3,1
9,14,623.3,1
9,15,623.6,1
9,16,623.6,1
