month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.0,1
1,3,0.0,1
1,4,0.0,1
1,5,0.0,1
1,6,0.0,1
1,7,0.0,1
1,8,0.0,1
1,9,0.1,1
1,10,7.2,1
1,11,7.2,1
1,12,10.3,1
1,13,10.5,1
1,14,10.7,1
1,15,10.7,1
1,16,10.7,1
1,17,10.7,1
1,18,11.5,1
1,19,13.9,1
1,20,13.9,1
1,21,13.9,1
1,22,13.9,1
1,23,14.7,1
1,24,14.7,1
1,25,14.7,1
1,26,14.7,1
1,27,14.7,1
1,28,14.7,1
1,29,14.7,1
1,30,14.7,1
1,31,14.7,1
2,1,14.8,1
2,2,16.1,1
2,3,16.1,1
2,4,16.1,1
2,5,16.1,1
2,6,16.1,1
2,7,16.1,1
2,8,16.1,1
2,9,16.1,1
2,10,16.7,1
2,11,16.7,1
2,12,16.7,1
2,13,16.7,1
2,14,16.7,1
2,15,16.7,1
2,16,16.7,1
2,17,16.7,1
2,18,16.7,1
2,19,16.7,1
2,20,16.7,1
2,21,16.7,1
2,22,16.8,1
2,23,16.8,1
2,24,18.1,1
2,25,18.1,1
2,26,18.1,1
2,27,18.1,1
2,28,18.1,1
3,1,18.6,1
3,2,30.6,1
3,3,32.0,1
3,4,32.0,1
3,5,43.8,1
3,6,44.7,1
3,7,44.7,1
3,8,44.7,1
3,9,44.8,1
3,10,44.8,1
3,11,44.8,1
3,12,44.8,1
3,13,44.8,1
3,14,44.8,1
3,15,45.2,1
3,16,45.2,1
3,17,45.2,1
3,18,50.8,1
3,19,50.8,1
3,20,50.8,1
3,21,50.8,1
3,22,50.8,1
3,23,50.8,1
3,24,50.8,1
3,25,50.8,1
3,26,50.8,1
3,27,50.8,1
3,28,50.8,1
3,29,50.8,1
3,30,52.1,1
3,31,59.6,1
4,1,59.7,1
4,2,59.7,1
4,3,59.7,1
4,4,61.7,1
4,5,65.8,1
4,6,69.4,1
4,7,69.4,1
4,8,69.4,1
4,9,98.9,1
4,10,105.7,1
4,11,105.7,1
4,12,105.7,1
4,13,105.7,1
4,14,105.7,1
4,15,105.7,1
4,16,105.7,1
4,17,105.7,1
4,18,105.7,1
4,19,105.7,1
4,20,108.1,1
4,21,108.1,1
4,22,108.1,1
4,23,108.1,1
4,24,108.1,1
4,25,108.1,1
4,26,108.1,1
4,27,112.1,1
4,28,112.6,1
4,29,112.6,1
4,30,112.6,1
5,1,112.6,1
5,2,113.7,1
5,3,125.2,1
5,4,125.9,1
5,5,125.9,1
5,6,125.9,1
5,7,130.1,1
5,8,130.1,1
5,9,130.1,1
5,10,130.1,1
5,11,138.2,1
5,12,139.4,1
5,13,139.4,1
5,14,139.4,1
5,15,139.4,1
5,16,139.4,1
5,17,139.4,1
5,18,139.4,1
5,19,139.7,1
5,20,188.7,1
5,21,207.3,1
5,22,207.3,1
5,23,207.6,1
5,24,207.6,1
5,25,207.6,1
5,26,211.0,1
5,27,222.7,1
5,28,224.7,1
5,29,224.7,1
5,30,224.7,1
5,31,224.7,1
6,1,224.7,1
6,2,224.7,1
6,3,224.9,1
6,4,243.0,1
6,5,243.9,1
6,6,243.9,1
6,7,246.0,1
6,8,246.8,1
6,9,246.8,1
6,10,250.5,1
6,11,251.2,1
6,12,251.3,1
6,13,251.3,1
6,14,252.9,1
6,15,253.3,1
6,16,253.8,1
6,17,255.3,1
6,18,256.8,1
6,19,265.8,1
6,20,322.1,1
6,21,322.3,1
6,22,324.7,1
6,23,325.3,1
6,24,325.3,1
6,25,326.0,1
6,26,326.3,1
6,27,326.3,1
6,28,327.8,1
6,29,330.2,1
6,30,331.2,1
7,1,334.0,1
7,2,343.9,1
7,3,347.5,1
7,4,348.0,1
7,5,371.1,1
7,6,390.6,1
7,7,399.0,1
7,8,421.8,1
7,9,437.2,1
7,10,472.8,1
7,11,472.9,1
7,12,473.3,1
7,13,476.4,1
7,14,522.0,1
7,15,530.5,1
7,16,530.7,1
7,17,538.6,1
7,18,596.8,1
7,19,597.8,1
7,20,622.0,1
7,21,647.1,1
7,22,658.6,1
7,23,709.4,1
7,24,711.5,1
7,25,715.1,1
7,26,724.7,1
7,27,731.5,1
7,28,734.9,1
7,29,735.2,1
7,30,735.6,1
7,31,737.0,1
8,1,739.2,1
8,2,739.2,1
8,3,739.3,1
8,4,742.0,1
8,5,747.7,1
8,6,747.7,1
8,7,748.3,1
8,8,761.0,1
8,9,761.2,1
8,10,763.6,1
8,11,763.6,1
8,12,763.6,1
8,13,764.5,1
8,14,768.4,1
8,15,782.6,1
8,16,790.2,1
8,17,801.9,1
8,18,802.8,1
8,19,803.5,1
8,20,810.2,1
8,21,839.2,1
8,22,884.7,1
8,23,893.9,1
8,24,894.4,1
8,25,904.1,1
8,26,904.4,1
8,27,908.2,1
8,28,916.9,1
8,29,919.0,1
8,30,921.2,1
8,31,973.9,1
9,1,1003.1,1
9,2,1003.4,1
9,3,1003.6,1
9,4,1003.6,1
9,5,1003.6,1
9,6,1003.6,1
9,7,1003.6,1
9,8,1003.6,1
9,9,1003.6,1
9,10,1003.6,1
9,11,1003.6,1
9,12,1003.6,1
9,13,1003.8,1
9,14,1004.2,1
9,15,1004.2,1
9,16,1004.2,1
9,17,1004.2,1
9,18,1004.2,1
9,19,1004.2,1
9,20,1004.2,1
9,21,1004.2,1
