month,day,avg_accumulated_precipitation,years_sampled
1,1,3.1,1
1,2,4.5,1
1,3,5.8,1
1,4,6.0,1
1,5,9.2,1
1,6,9.8,1
1,7,25.2,1
1,8,27.9,1
1,9,29.0,1
1,10,31.0,1
1,11,31.2,1
1,12,31.3,1
1,13,36.6,1
1,14,39.8,1
1,15,40.2,1
1,16,46.4,1
1,17,48.7,1
1,18,49.3,1
1,19,50.2,1
1,20,53.2,1
1,21,53.7,1
1,22,54.1,1
1,23,54.3,1
1,24,54.6,1
1,25,55.8,1
1,26,56.1,1
1,27,56.1,1
1,28,60.5,1
1,29,63.6,1
1,30,68.2,1
1,31,68.4,1
2,1,70.0,1
2,2,70.0,1
2,3,70.0,1
2,4,71.4,1
2,5,72.5,1
2,6,72.7,1
2,7,77.9,1
2,8,77.9,1
2,9,77.9,1
2,10,81.8,1
2,11,83.5,1
2,12,84.0,1
2,13,87.9,1
2,14,91.7,1
2,15,92.8,1
2,16,105.6,1
2,17,152.1,1
2,18,162.5,1
2,19,191.0,1
2,20,191.7,1
2,21,194.1,1
2,22,195.7,1
2,23,197.6,1
2,24,202.4,1
2,25,206.5,1
2,26,213.8,1
2,27,229.1,1
2,28,230.3,1
3,1,231.9,1
3,2,238.2,1
3,3,244.8,1
3,4,251.0,1
3,5,253.3,1
3,6,254.4,1
3,7,254.6,1
3,8,256.4,1
3,9,256.9,1
3,10,256.9,1
3,11,257.0,1
3,12,261.5,1
3,13,261.9,1
3,14,262.7,1
3,15,267.1,1
3,16,267.6,1
3,17,269.4,1
3,18,270.8,1
3,19,271.5,1
3,20,271.5,1
3,21,271.6,1
3,22,271.6,1
3,23,273.2,1
3,24,273.9,1
3,25,276.4,1
3,26,281.8,1
3,27,286.0,1
3,28,286.4,1
3,29,288.4,1
3,30,291.6,1
3,31,293.0,1
4,1,293.7,1
4,2,295.3,1
4,3,295.5,1
4,4,301.3,1
4,5,302.5,1
4,6,303.1,1
4,7,312.5,1
4,8,322.2,1
4,9,328.1,1
4,10,330.0,1
4,11,336.0,1
4,12,338.5,1
4,13,339.1,1
4,14,340.3,1
4,15,344.8,1
4,16,345.8,1
4,17,346.5,1
4,18,346.7,1
4,19,352.9,1
4,20,353.8,1
4,21,389.7,1
4,22,400.7,1
4,23,409.9,1
4,24,411.1,1
4,25,413.5,1
4,26,420.3,1
4,27,431.5,1
4,28,433.9,1
4,29,435.9,1
4,30,437.0,1
5,1,438.3,1
5,2,438.9,1
5,3,452.1,1
5,4,469.4,1
5,5,481.8,1
5,6,488.6,1
5,7,491.5,1
5,8,517.7,1
5,9,524.7,1
5,10,526.6,1
5,11,526.9,1
5,12,532.8,1
5,13,538.3,1
5,14,539.5,1
5,15,576.3,1
5,16,606.8,1
5,17,607.8,1
5,18,623.7,1
5,19,626.5,1
5,20,629.4,1
5,21,637.2,1
5,22,637.9,1
5,23,640.1,1
5,24,645.9,1
5,25,650.7,1
5,26,651.7,1
5,27,652.3,1
5,28,656.4,1
5,29,671.4,1
5,30,677.0,1
5,31,679.2,1
6,1,680.7,1
6,2,681.2,1
6,3,684.9,1
6,4,686.2,1
6,5,689.0,1
6,6,689.5,1
6,7,697.3,1
6,8,702.4,1
6,9,706.5,1
6,10,712.2,1
6,11,725.1,1
6,12,738.6,1
6,13,739.8,1
6,14,742.0,1
6,15,745.9,1
6,16,747.3,1
6,17,749.6,1
6,18,749.9,1
6,19,754.2,1
6,20,756.3,1
6,21,763.4,1
6,22,776.6,1
6,23,777.8,1
6,24,796.7,1
6,25,797.2,1
6,26,798.5,1
6,27,798.9,1
6,28,800.4,1
6,29,803.9,1
6,30,809.1,1
7,1,809.9,1
7,2,811.8,1
7,3,813.8,1
7,4,814.2,1
7,5,818.0,1
7,6,823.9,1
7,7,825.4,1
7,8,833.4,1
7,9,838.1,1
7,10,839.4,1
7,11,845.8,1
7,12,847.1,1
7,13,848.6,1
7,14,850.2,1
7,15,851.6,1
7,16,854.0,1
7,17,855.6,1
7,18,858.1,1
7,19,858.1,1
7,20,859.7,1
7,21,860.5,1
7,22,864.1,1
7,23,870.0,1
7,24,872.8,1
7,25,881.9,1
7,26,889.5,1
7,27,889.8,1
7,28,891.9,1
7,29,892.9,1
7,30,894.9,1
7,31,895.9,1
8,1,898.3,1
8,2,898.5,1
8,3,898.9,1
8,4,900.7,1
8,5,900.9,1
8,6,906.4,1
8,7,909.2,1
8,8,909.7,1
8,9,909.7,1
8,10,909.7,1
8,11,910.1,1
8,12,910.1,1
8,13,910.6,1
8,14,910.9,1
8,15,913.1,1
8,16,916.6,1
8,17,917.0,1
8,18,917.6,1
8,19,919.9,1
8,20,921.4,1
8,21,921.8,1
8,22,921.9,1
8,23,921.9,1
8,24,922.0,1
8,25,922.4,1
8,26,924.0,1
8,27,925.5,1
8,28,926.1,1
8,29,926.4,1
8,30,926.5,1
8,31,932.9,1
9,1,933.9,1
9,2,934.4,1
9,3,934.5,1
9,4,935.1,1
9,5,935.2,1
9,6,935.4,1
9,7,937.4,1
9,8,937.4,1
9,9,938.1,1
9,10,946.5,1
9,11,975.0,1
9,12,981.5,1
9,13,982.0,1
9,14,983.7,1
9,15,984.2,1
9,16,984.2,1
9,17,984.9,1
9,18,986.4,1
9,19,993.1,1
9,20,1002.6,1
9,21,1006.3,1
9,22,1023.5,1
9,23,1028.3,1
9,24,1030.0,1
