month,day,avg_daytime_temperature,years_sampled
1,1,0.6,1
1,2,-0.53,1
1,3,-1.97,1
1,4,-5.53,1
1,5,-8.74,1
1,6,-1.66,1
1,7,-7.36,1
1,8,-0.33,1
1,9,-3.09,1
1,10,-5.7,1
1,11,-3.99,1
1,12,-5.33,1
1,13,-1.83,1
1,14,0.64,1
1,15,1.51,1
1,16,2.21,1
1,17,2.1,1
1,18,1.47,1
1,19,0.33,1
1,20,-0.56,1
1,21,-0.03,1
1,22,-2.59,1
1,23,-3.01,1
1,24,-2.53,1
1,25,-3.79,1
1,26,-4.81,1
1,27,-5.56,1
1,28,-5.74,1
1,29,-4.26,1
1,30,-4.82,1
1,31,-4.08,1
2,1,-5.82,1
2,2,-7.39,1
2,3,-9.81,1
2,4,-5.6,1
2,5,-5.39,1
2,6,-9.47,1
2,7,-6.23,1
2,8,-5.23,1
2,9,-7.58,1
2,10,-8.4,1
2,11,-4.62,1
2,12,-6.31,1
2,13,-7.43,1
2,14,-12.76,1
2,15,-10.29,1
2,16,-6.14,1
2,17,-3.43,1
2,18,-5.58,1
2,19,-9.13,1
2,20,-4.82,1
2,21,0.09,1
2,22,-3.67,1
2,23,0.4,1
2,24,-0.42,1
2,25,-4.71,1
2,26,2.68,1
2,27,5.85,1
2,28,3.15,1
3,1,4.14,1
3,2,2.35,1
3,3,6.95,1
3,4,4.65,1
3,5,4.45,1
3,6,6.25,1
3,7,2.83,1
3,8,5.78,1
3,9,6.53,1
3,10,7.12,1
3,11,5.25,1
3,12,7.55,1
3,13,6.7,1
3,14,4.0,1
3,15,2.4,1
3,16,4.73,1
3,17,4.96,1
3,18,6.41,1
3,19,8.17,1
3,20,6.17,1
3,21,8.54,1
3,22,7.3,1
3,23,5.99,1
3,24,5.25,1
3,25,6.39,1
3,26,5.15,1
3,27,6.94,1
3,28,4.63,1
3,29,5.55,1
3,30,5.21,1
3,31,6.42,1
4,1,8.45,1
4,2,8.47,1
4,3,2.35,1
4,4,3.18,1
4,5,5.34,1
4,6,5.89,1
4,7,5.36,1
4,8,6.35,1
4,9,3.8,1
4,10,5.21,1
4,11,5.71,1
4,12,7.4,1
4,13,8.34,1
4,14,8.23,1
4,15,8.97,1
4,16,9.93,1
4,17,10.47,1
4,18,9.78,1
4,19,7.18,1
4,20,8.31,1
4,21,10.47,1
4,22,9.93,1
4,23,10.13,1
4,24,10.81,1
4,25,7.32,1
4,26,6.83,1
4,27,6.63,1
4,28,6.3,1
4,29,8.94,1
4,30,14.37,1
5,1,17.11,1
5,2,18.74,1
5,3,7.56,1
5,4,10.63,1
5,5,9.22,1
5,6,8.91,1
5,7,10.24,1
5,8,11.14,1
5,9,11.07,1
5,10,11.42,1
5,11,11.85,1
5,12,7.58,1
5,13,7.44,1
5,14,9.79,1
5,15,11.65,1
5,16,11.19,1
5,17,12.11,1
5,18,13.3,1
5,19,11.5,1
5,20,15.52,1
5,21,14.59,1
5,22,17.0,1
5,23,19.54,1
5,24,18.64,1
5,25,16.48,1
5,26,16.09,1
5,27,12.67,1
5,28,13.38,1
5,29,15.47,1
5,30,16.98,1
5,31,18.29,1
6,1,16.38,1
6,2,17.46,1
6,3,18.36,1
6,4,16.92,1
6,5,15.98,1
6,6,15.77,1
6,7,17.29,1
6,8,18.43,1
6,9,16.9,1
6,10,14.63,1
6,11,15.09,1
6,12,15.84,1
6,13,15.71,1
6,14,11.95,1
6,15,13.46,1
6,16,12.89,1
6,17,17.44,1
6,18,17.03,1
6,19,19.83,1
6,20,22.12,1
6,21,21.38,1
6,22,17.63,1
6,23,18.3,1
6,24,19.36,1
6,25,20.28,1
6,26,21.22,1
6,27,23.44,1
6,28,24.36,1
6,29,23.35,1
6,30,20.56,1
7,1,20.22,1
7,2,18.76,1
7,3,16.22,1
7,4,17.61,1
7,5,16.27,1
7,6,14.58,1
7,7,15.05,1
7,8,14.41,1
7,9,17.27,1
7,10,18.08,1
7,11,20.53,1
7,12,17.47,1
7,13,19.23,1
7,14,20.63,1
7,15,23.89,1
7,16,24.17,1
7,17,24.78,1
7,18,19.01,1
7,19,14.91,1
7,20,15.65,1
7,21,17.94,1
7,22,15.56,1
7,23,16.34,1
7,24,18.9,1
7,25,17.61,1
7,26,17.89,1
7,27,16.68,1
7,28,18.56,1
7,29,19.79,1
7,30,23.41,1
7,31,20.79,1
8,1,18.34,1
8,2,17.96,1
8,3,18.11,1
8,4,19.71,1
8,5,20.89,1
8,6,20.79,1
8,7,18.52,1
8,8,19.16,1
8,9,20.09,1
8,10,19.01,1
8,11,16.68,1
8,12,17.41,1
8,13,21.43,1
8,14,21.81,1
8,15,23.63,1
8,16,18.43,1
8,17,18.09,1
8,18,16.91,1
8,19,17.63,1
8,20,17.06,1
8,21,16.79,1
8,22,15.82,1
8,23,17.45,1
8,24,17.13,1
8,25,17.48,1
8,26,17.18,1
8,27,18.09,1
8,28,18.67,1
8,29,16.36,1
8,30,17.92,1
8,31,17.79,1
9,1,16.7,1
9,2,17.39,1
9,3,15.86,1
9,4,14.23,1
9,5,14.44,1
9,6,15.57,1
9,7,15.3,1
9,8,17.25,1
9,9,16.39,1
9,10,12.26,1
9,11,13.65,1
9,12,16.28,1
9,13,15.12,1
9,14,14.3,1
9,15,15.15,1
9,16,16.74,1
