month,day,avg_daytime_temperature,years_sampled
1,1,18.91,1
1,2,20.07,1
1,3,22.1,1
1,4,23.83,1
1,5,22.24,1
1,6,23.47,1
1,7,26.55,1
1,8,28.55,1
1,9,27.67,1
1,10,36.05,1
1,11,20.61,1
1,12,19.73,1
1,13,23.2,1
1,14,23.22,1
1,15,23.63,1
1,16,22.86,1
1,17,20.65,1
1,18,20.72,1
1,19,21.21,1
1,20,21.5,1
1,21,21.19,1
1,22,20.89,1
1,23,20.56,1
1,24,23.36,1
1,25,29.28,1
1,26,23.46,1
1,27,23.57,1
1,28,24.64,1
1,29,25.44,1
1,30,25.72,1
1,31,27.22,1
2,1,25.51,1
2,2,19.22,1
2,3,21.05,1
2,4,24.18,1
2,5,29.18,1
2,6,26.29,1
2,7,27.47,1
2,8,23.05,1
2,9,23.55,1
2,10,24.34,1
2,11,26.37,1
2,12,22.21,1
2,13,20.88,1
2,14,21.64,1
2,15,20.1,1
2,16,21.87,1
2,17,23.52,1
2,18,28.65,1
2,19,25.02,1
2,20,25.3,1
2,21,28.3,1
2,22,28.68,1
2,23,25.48,1
2,24,26.01,1
2,25,25.34,1
2,26,22.69,1
2,27,22.12,1
2,28,23.2,1
3,1,23.46,1
3,2,24.19,1
3,3,23.58,1
3,4,25.56,1
3,5,25.18,1
3,6,25.22,1
3,7,25.1,1
3,8,21.66,1
3,9,22.15,1
3,10,22.98,1
3,11,24.48,1
3,12,22.63,1
3,13,19.75,1
3,14,20.77,1
3,15,22.05,1
3,16,23.21,1
3,17,24.61,1
3,18,21.72,1
3,19,22.09,1
3,20,22.81,1
3,21,22.55,1
3,22,23.33,1
3,23,22.82,1
3,24,23.64,1
3,25,23.82,1
3,26,24.54,1
3,27,14.65,1
3,28,18.35,1
3,29,19.75,1
3,30,20.66,1
3,31,20.79,1
4,1,22.17,1
4,2,22.75,1
4,3,21.87,1
4,4,19.32,1
4,5,19.59,1
4,6,18.45,1
4,7,22.85,1
4,8,22.9,1
4,9,24.27,1
4,10,26.0,1
4,11,22.18,1
4,12,17.73,1
4,13,19.22,1
4,14,19.55,1
4,15,20.21,1
4,16,21.99,1
4,17,22.46,1
4,18,16.53,1
4,19,17.08,1
4,20,17.85,1
4,21,17.88,1
4,22,18.89,1
4,23,19.25,1
4,24,20.05,1
4,25,20.19,1
4,26,19.67,1
4,27,19.2,1
4,28,19.42,1
4,29,19.51,1
4,30,20.39,1
5,1,19.88,1
5,2,21.06,1
5,3,21.83,1
5,4,19.52,1
5,5,18.66,1
5,6,17.8,1
5,7,15.06,1
5,8,16.23,1
5,9,17.56,1
5,10,17.59,1
5,11,19.63,1
5,12,18.67,1
5,13,17.61,1
5,14,18.64,1
5,15,18.06,1
5,16,17.93,1
5,17,18.69,1
5,18,18.19,1
5,19,18.25,1
5,20,15.68,1
5,21,15.78,1
5,22,16.9,1
5,23,17.72,1
5,24,17.95,1
5,25,17.89,1
5,26,18.37,1
5,27,18.74,1
5,28,18.86,1
5,29,18.01,1
5,30,15.63,1
5,31,15.66,1
6,1,13.64,1
6,2,14.62,1
6,3,17.72,1
6,4,15.75,1
6,5,15.18,1
6,6,13.51,1
6,7,13.75,1
6,8,14.1,1
6,9,15.39,1
6,10,18.35,1
6,11,17.29,1
6,12,17.65,1
6,13,17.51,1
6,14,17.44,1
6,15,17.57,1
6,16,16.94,1
6,17,16.17,1
6,18,18.25,1
6,19,18.83,1
6,20,16.89,1
6,21,14.15,1
6,22,14.17,1
6,23,13.51,1
6,24,13.84,1
6,25,14.49,1
6,26,13.99,1
6,27,14.4,1
6,28,14.67,1
6,29,14.88,1
6,30,15.61,1
7,1,18.8,1
7,2,19.26,1
7,3,16.06,1
7,4,14.67,1
7,5,13.03,1
7,6,14.61,1
7,7,14.56,1
7,8,14.39,1
7,9,14.4,1
7,10,12.58,1
7,11,12.54,1
7,12,13.95,1
7,13,14.94,1
7,14,15.25,1
7,15,13.6,1
7,16,14.41,1
7,17,14.74,1
7,18,15.97,1
7,19,15.94,1
7,20,14.6,1
7,21,14.03,1
7,22,13.66,1
7,23,14.93,1
7,24,12.08,1
7,25,13.33,1
7,26,13.93,1
7,27,13.88,1
7,28,15.18,1
7,29,15.27,1
7,30,12.18,1
7,31,12.57,1
8,1,13.01,1
8,2,14.25,1
8,3,16.22,1
8,4,13.06,1
8,5,12.49,1
8,6,12.53,1
8,7,12.73,1
8,8,13.35,1
8,9,14.32,1
8,10,13.58,1
8,11,16.74,1
8,12,15.35,1
8,13,15.67,1
8,14,15.07,1
8,15,14.7,1
8,16,15.73,1
8,17,14.85,1
8,18,15.13,1
8,19,15.4,1
8,20,17.13,1
8,21,18.42,1
8,22,16.97,1
8,23,16.0,1
8,24,17.95,1
8,25,18.02,1
8,26,16.75,1
8,27,15.53,1
8,28,14.82,1
8,29,15.36,1
8,30,15.47,1
8,31,16.5,1
9,1,18.75,1
9,2,23.76,1
9,3,24.36,1
9,4,19.09,1
9,5,25.71,1
9,6,19.15,1
9,7,18.48,1
9,8,16.01,1
9,9,15.32,1
9,10,14.68,1
9,11,16.23,1
9,12,16.6,1
9,13,18.08,1
9,14,21.02,1
9,15,19.23,1
9,16,13.9,1
9,17,14.62,1
9,18,17.69,1
9,19,23.16,1
9,20,24.72,1
