month,day,avg_accumulated_precipitation,years_sampled
1,1,3.0,1
1,2,3.5,1
1,3,4.0,1
1,4,17.0,1
1,5,19.7,1
1,6,21.0,1
1,7,21.0,1
1,8,21.0,1
1,9,21.0,1
1,10,21.0,1
1,11,33.5,1
1,12,40.1,1
1,13,40.4,1
1,14,41.0,1
1,15,55.6,1
1,16,62.5,1
1,17,123.6,1
1,18,143.3,1
1,19,150.7,1
1,20,152.1,1
1,21,152.7,1
1,22,152.9,1
1,23,152.9,1
1,24,152.9,1
1,25,152.9,1
1,26,153.1,1
1,27,153.1,1
1,28,153.1,1
1,29,153.1,1
1,30,153.1,1
1,31,153.1,1
2,1,155.8,1
2,2,157.3,1
2,3,160.5,1
2,4,160.5,1
2,5,160.5,1
2,6,160.5,1
2,7,160.5,1
2,8,165.9,1
2,9,174.6,1
2,10,174.6,1
2,11,174.6,1
2,12,177.8,1
2,13,178.0,1
2,14,181.9,1
2,15,190.1,1
2,16,193.5,1
2,17,193.5,1
2,18,193.9,1
2,19,194.7,1
2,20,194.8,1
2,21,195.9,1
2,22,201.8,1
2,23,202.4,1
2,24,202.4,1
2,25,203.0,1
2,26,217.7,1
2,27,230.5,1
2,28,232.4,1
3,1,234.1,1
3,2,238.5,1
3,3,239.2,1
3,4,239.5,1
3,5,245.2,1
3,6,245.4,1
3,7,253.4,1
3,8,277.8,1
3,9,287.4,1
3,10,295.7,1
3,11,295.7,1
3,12,295.9,1
3,13,300.5,1
3,14,300.5,1
3,15,300.5,1
3,16,300.5,1
3,17,304.9,1
3,18,319.5,1
3,19,332.4,1
3,20,336.5,1
3,21,348.3,1
3,22,348.5,1
3,23,351.7,1
3,24,352.5,1
3,25,352.7,1
3,26,366.6,1
3,27,378.6,1
3,28,378.6,1
3,29,378.6,1
3,30,378.8,1
3,31,378.8,1
4,1,378.8,1
4,2,378.8,1
4,3,379.7,1
4,4,386.0,1
4,5,389.8,1
4,6,391.7,1
4,7,391.7,1
4,8,391.7,1
4,9,391.7,1
4,10,391.7,1
4,11,392.0,1
4,12,392.0,1
4,13,392.0,1
4,14,392.0,1
4,15,392.0,1
4,16,392.0,1
4,17,394.9,1
4,18,394.9,1
4,19,394.9,1
4,20,394.9,1
4,21,399.5,1
4,22,400.5,1
4,23,400.5,1
4,24,400.7,1
4,25,400.7,1
4,26,400.7,1
4,27,400.7,1
4,28,400.7,1
4,29,400.7,1
4,30,400.8,1
5,1,401.2,1
5,2,402.4,1
5,3,402.4,1
5,4,406.8,1
5,5,407.3,1
5,6,407.3,1
5,7,407.4,1
5,8,407.4,1
5,9,407.4,1
5,10,407.4,1
5,11,408.7,1
5,12,414.0,1
5,13,425.0,1
5,14,427.1,1
5,15,428.9,1
5,16,431.0,1
5,17,432.1,1
5,18,446.4,1
5,19,454.4,1
5,20,454.4,1
5,21,456.7,1
5,22,461.8,1
5,23,466.6,1
5,24,469.1,1
5,25,474.7,1
5,26,491.1,1
5,27,497.0,1
5,28,518.4,1
5,29,533.2,1
5,30,533.2,1
5,31,533.2,1
6,1,533.2,1
6,2,539.9,1
6,3,539.9,1
6,4,540.0,1
6,5,541.7,1
6,6,541.7,1
6,7,541.7,1
6,8,541.8,1
6,9,543.3,1
6,10,543.3,1
6,11,545.6,1
6,12,546.0,1
6,13,546.0,1
6,14,549.1,1
6,15,550.8,1
6,16,550.8,1
6,17,550.8,1
6,18,550.8,1
6,19,550.8,1
6,20,550.8,1
6,21,550.8,1
6,22,550.8,1
6,23,550.8,1
6,24,551.6,1
6,25,566.1,1
6,26,570.3,1
6,27,574.1,1
6,28,582.3,1
6,29,583.5,1
6,30,584.1,1
7,1,584.1,1
7,2,586.6,1
7,3,586.6,1
7,4,586.6,1
7,5,589.9,1
7,6,596.3,1
7,7,600.2,1
7,8,602.7,1
7,9,608.3,1
7,10,609.4,1
7,11,609.4,1
7,12,609.4,1
7,13,609.4,1
7,14,609.4,1
7,15,609.4,1
7,16,616.0,1
7,17,623.5,1
7,18,624.8,1
7,19,625.1,1
7,20,625.1,1
7,21,625.1,1
7,22,625.1,1
7,23,625.1,1
7,24,625.1,1
7,25,625.1,1
7,26,625.1,1
7,27,625.1,1
7,28,625.1,1
7,29,625.1,1
7,30,625.1,1
7,31,625.1,1
8,1,630.8,1
8,2,630.8,1
8,3,631.6,1
8,4,631.6,1
8,5,631.6,1
8,6,631.6,1
8,7,631.6,1
8,8,631.6,1
8,9,638.2,1
8,10,643.8,1
8,11,643.8,1
8,12,644.2,1
8,13,644.2,1
8,14,644.2,1
8,15,645.7,1
8,16,648.9,1
8,17,655.1,1
8,18,655.5,1
8,19,656.0,1
8,20,656.4,1
8,21,659.2,1
8,22,659.2,1
8,23,659.9,1
8,24,659.9,1
8,25,671.4,1
8,26,676.4,1
8,27,678.2,1
8,28,678.2,1
8,29,678.4,1
8,30,678.4,1
8,31,678.4,1
9,1,678.4,1
9,2,678.6,1
9,3,679.0,1
9,4,679.0,1
9,5,679.3,1
9,6,679.3,1
9,7,680.6,1
9,8,681.0,1
9,9,681.6,1
9,10,681.6,1
9,11,681.6,1
9,12,681.6,1
9,13,681.6,1
9,14,681.6,1
9,15,681.9,1
9,16,682.0,1
9,17,682.0,1
9,18,682.0,1
9,19,682.0,1
9,20,682.0,1
9,21,683.3,1
9,22,695.1,1
9,23,699.4,1
9,24,699.5,1
9,25,699.5,1
9,26,699.9,1
