month,day,avg_daytime_temperature,years_sampled
1,1,15.85,1
1,2,11.3,1
1,3,14.45,1
1,4,18.91,1
1,5,16.9,1
1,6,13.93,1
1,7,12.47,1
1,8,13.85,1
1,9,14.49,1
1,10,16.26,1
1,11,15.17,1
1,12,16.15,1
1,13,17.51,1
1,14,19.65,1
1,15,19.94,1
1,16,19.45,1
1,17,20.0,1
1,18,19.99,1
1,19,19.28,1
1,20,14.82,1
1,21,12.33,1
1,22,12.18,1
1,23,15.71,1
1,24,16.78,1
1,25,20.02,1
1,26,19.25,1
1,27,16.83,1
1,28,15.71,1
1,29,18.97,1
1,30,20.53,1
1,31,17.21,1
2,1,15.17,1
2,2,15.36,1
2,3,17.08,1
2,4,21.25,1
2,5,21.39,1
2,6,20.63,1
2,7,14.65,1
2,8,10.05,1
2,9,14.65,1
2,10,18.84,1
2,11,17.15,1
2,12,19.07,1
2,13,22.49,1
2,14,23.23,1
2,15,24.91,1
2,16,20.03,1
2,17,16.23,1
2,18,15.52,1
2,19,18.67,1
2,20,19.0,1
2,21,21.87,1
2,22,23.37,1
2,23,24.48,1
2,24,22.59,1
2,25,18.74,1
2,26,24.49,1
2,27,21.75,1
2,28,19.97,1
3,1,23.89,1
3,2,24.05,1
3,3,16.32,1
3,4,17.48,1
3,5,20.76,1
3,6,17.27,1
3,7,16.18,1
3,8,18.58,1
3,9,15.99,1
3,10,13.52,1
3,11,17.04,1
3,12,16.97,1
3,13,16.02,1
3,14,18.86,1
3,15,21.7,1
3,16,22.93,1
3,17,22.28,1
3,18,23.72,1
3,19,19.72,1
3,20,20.78,1
3,21,19.68,1
3,22,23.36,1
3,23,23.79,1
3,24,23.0,1
3,25,21.92,1
3,26,22.9,1
3,27,21.55,1
3,28,21.65,1
3,29,21.58,1
3,30,24.46,1
3,31,25.92,1
4,1,20.19,1
4,2,22.32,1
4,3,22.52,1
4,4,22.22,1
4,5,24.77,1
4,6,25.16,1
4,7,21.62,1
4,8,23.82,1
4,9,26.67,1
4,10,27.36,1
4,11,27.28,1
4,12,27.55,1
4,13,27.92,1
4,14,27.98,1
4,15,27.27,1
4,16,25.92,1
4,17,25.57,1
4,18,25.0,1
4,19,24.88,1
4,20,26.28,1
4,21,26.01,1
4,22,27.4,1
4,23,26.15,1
4,24,20.81,1
4,25,20.77,1
4,26,24.09,1
4,27,25.33,1
4,28,26.57,1
4,29,26.41,1
4,30,20.18,1
5,1,21.86,1
5,2,26.16,1
5,3,26.71,1
5,4,21.58,1
5,5,20.56,1
5,6,24.27,1
5,7,26.77,1
5,8,24.13,1
5,9,21.07,1
5,10,25.7,1
5,11,25.74,1
5,12,26.59,1
5,13,25.67,1
5,14,23.02,1
5,15,25.15,1
5,16,26.37,1
5,17,26.38,1
5,18,27.61,1
5,19,27.38,1
5,20,28.83,1
5,21,29.6,1
5,22,28.77,1
5,23,30.81,1
5,24,29.94,1
5,25,30.65,1
5,26,32.08,1
5,27,33.18,1
5,28,32.96,1
5,29,27.34,1
5,30,27.58,1
5,31,26.9,1
6,1,26.54,1
6,2,30.6,1
6,3,31.69,1
6,4,30.06,1
6,5,26.45,1
6,6,26.75,1
6,7,28.82,1
6,8,27.17,1
6,9,25.05,1
6,10,23.78,1
6,11,23.87,1
6,12,25.12,1
6,13,27.61,1
6,14,26.12,1
6,15,27.68,1
6,16,27.77,1
6,17,28.18,1
6,18,29.87,1
6,19,30.77,1
6,20,30.35,1
6,21,31.17,1
6,22,30.93,1
6,23,31.29,1
6,24,31.22,1
6,25,27.38,1
6,26,26.78,1
6,27,26.75,1
6,28,28.69,1
6,29,31.1,1
6,30,31.1,1
7,1,31.19,1
7,2,31.41,1
7,3,31.15,1
7,4,31.34,1
7,5,31.52,1
7,6,30.82,1
7,7,30.75,1
7,8,31.27,1
7,9,30.84,1
7,10,28.8,1
7,11,25.56,1
7,12,30.25,1
7,13,29.11,1
7,14,31.08,1
7,15,31.22,1
7,16,30.79,1
7,17,30.92,1
7,18,30.64,1
7,19,30.4,1
7,20,29.77,1
7,21,30.08,1
7,22,30.75,1
7,23,30.17,1
7,24,30.83,1
7,25,31.52,1
7,26,31.02,1
7,27,29.88,1
7,28,31.27,1
7,29,31.97,1
7,30,30.88,1
7,31,31.98,1
8,1,32.13,1
8,2,32.68,1
8,3,32.73,1
8,4,32.48,1
8,5,32.62,1
8,6,31.12,1
8,7,29.58,1
8,8,26.05,1
8,9,24.76,1
8,10,29.5,1
8,11,30.35,1
8,12,30.21,1
8,13,30.93,1
8,14,30.74,1
8,15,29.31,1
8,16,29.92,1
8,17,30.94,1
8,18,30.37,1
8,19,28.28,1
8,20,28.26,1
8,21,28.54,1
8,22,28.98,1
8,23,28.62,1
8,24,26.2,1
8,25,27.36,1
8,26,28.08,1
8,27,30.77,1
8,28,31.15,1
8,29,30.31,1
8,30,31.02,1
8,31,29.76,1
9,1,28.38,1
9,2,29.56,1
9,3,26.68,1
9,4,26.76,1
9,5,27.78,1
9,6,25.0,1
9,7,27.78,1
9,8,27.08,1
9,9,26.25,1
9,10,27.04,1
9,11,26.64,1
