month,day,avg_accumulated_precipitation,years_sampled
1,1,1.9,1
1,2,3.9,1
1,3,3.9,1
1,4,3.9,1
1,5,5.4,1
1,6,5.4,1
1,7,5.4,1
1,8,5.5,1
1,9,5.5,1
1,10,5.5,1
1,11,5.5,1
1,12,6.3,1
1,13,6.3,1
1,14,6.3,1
1,15,6.3,1
1,16,7.2,1
1,17,7.4,1
1,18,7.4,1
1,19,11.0,1
1,20,13.1,1
1,21,15.4,1
1,22,20.0,1
1,23,23.0,1
1,24,34.8,1
1,25,34.8,1
1,26,35.2,1
1,27,40.0,1
1,28,41.1,1
1,29,41.1,1
1,30,42.6,1
1,31,46.7,1
2,1,53.0,1
2,2,56.0,1
2,3,56.0,1
2,4,56.0,1
2,5,56.4,1
2,6,57.2,1
2,7,59.8,1
2,8,61.5,1
2,9,61.5,1
2,10,61.5,1
2,11,62.7,1
2,12,62.9,1
2,13,62.9,1
2,14,62.9,1
2,15,62.9,1
2,16,63.6,1
2,17,66.3,1
2,18,68.8,1
2,19,69.0,1
2,20,69.7,1
2,21,69.7,1
2,22,69.7,1
2,23,69.7,1
2,24,73.3,1
2,25,74.1,1
2,26,74.1,1
2,27,86.6,1
2,28,92.9,1
3,1,96.4,1
3,2,123.9,1
3,3,128.1,1
3,4,134.0,1
3,5,140.5,1
3,6,143.2,1
3,7,143.2,1
3,8,143.5,1
3,9,146.1,1
3,10,155.5,1
3,11,155.5,1
3,12,155.5,1
3,13,155.5,1
3,14,155.5,1
3,15,155.5,1
3,16,155.5,1
3,17,155.5,1
3,18,155.5,1
3,19,155.7,1
3,20,155.7,1
3,21,155.7,1
3,22,155.7,1
3,23,157.5,1
3,24,157.5,1
3,25,157.5,1
3,26,157.7,1
3,27,162.8,1
3,28,162.9,1
3,29,164.0,1
3,30,165.1,1
3,31,165.2,1
4,1,167.4,1
4,2,168.3,1
4,3,216.5,1
4,4,237.8,1
4,5,243.5,1
4,6,266.7,1
4,7,278.2,1
4,8,283.7,1
4,9,283.8,1
4,10,283.9,1
4,11,284.9,1
4,12,284.9,1
4,13,285.6,1
4,14,286.4,1
4,15,298.8,1
4,16,314.5,1
4,17,328.7,1
4,18,351.0,1
4,19,351.0,1
4,20,351.0,1
4,21,351.0,1
4,22,351.7,1
4,23,375.4,1
4,24,404.3,1
4,25,410.0,1
4,26,410.0,1
4,27,410.0,1
4,28,410.0,1
4,29,412.1,1
4,30,417.8,1
5,1,417.8,1
5,2,417.8,1
5,3,455.0,1
5,4,466.0,1
5,5,494.6,1
5,6,501.2,1
5,7,502.5,1
5,8,504.9,1
5,9,506.9,1
5,10,514.6,1
5,11,515.4,1
5,12,515.7,1
5,13,556.8,1
5,14,596.6,1
5,15,602.6,1
5,16,602.6,1
5,17,602.6,1
5,18,602.6,1
5,19,603.4,1
5,20,603.4,1
5,21,606.6,1
5,22,618.1,1
5,23,618.1,1
5,24,618.1,1
5,25,618.1,1
5,26,618.1,1
5,27,618.1,1
5,28,618.4,1
5,29,628.6,1
5,30,628.6,1
5,31,628.6,1
6,1,630.1,1
6,2,630.4,1
6,3,631.2,1
6,4,646.3,1
6,5,666.9,1
6,6,668.5,1
6,7,678.2,1
6,8,712.7,1
6,9,746.8,1
6,10,763.3,1
6,11,774.9,1
6,12,793.5,1
6,13,795.9,1
6,14,807.7,1
6,15,810.6,1
6,16,817.4,1
6,17,825.4,1
6,18,829.9,1
6,19,831.0,1
6,20,831.0,1
6,21,831.0,1
6,22,831.0,1
6,23,831.0,1
6,24,831.4,1
6,25,872.5,1
6,26,937.4,1
6,27,960.9,1
6,28,968.7,1
6,29,970.7,1
6,30,971.6,1
7,1,973.8,1
7,2,974.1,1
7,3,975.4,1
7,4,977.6,1
7,5,983.0,1
7,6,984.4,1
7,7,987.1,1
7,8,987.1,1
7,9,987.1,1
7,10,1006.1,1
7,11,1111.6,1
7,12,1112.8,1
7,13,1132.0,1
7,14,1133.4,1
7,15,1137.4,1
7,16,1145.7,1
7,17,1146.8,1
7,18,1150.6,1
7,19,1161.0,1
7,20,1173.3,1
7,21,1179.4,1
7,22,1184.8,1
7,23,1187.1,1
7,24,1187.3,1
7,25,1187.3,1
7,26,1187.3,1
7,27,1191.2,1
7,28,1191.5,1
7,29,1191.6,1
7,30,1191.8,1
7,31,1192.2,1
8,1,1193.8,1
8,2,1193.9,1
8,3,1193.9,1
8,4,1193.9,1
8,5,1194.4,1
8,6,1198.1,1
8,7,1212.1,1
8,8,1270.4,1
8,9,1350.7,1
8,10,1362.3,1
8,11,1364.8,1
8,12,1370.0,1
8,13,1373.4,1
8,14,1380.5,1
8,15,1387.5,1
8,16,1393.3,1
8,17,1393.9,1
8,18,1394.4,1
8,19,1407.9,1
8,20,1425.2,1
8,21,1440.9,1
8,22,1453.5,1
8,23,1454.9,1
8,24,1467.5,1
8,25,1478.2,1
8,26,1483.4,1
8,27,1483.7,1
8,28,1485.0,1
8,29,1498.5,1
8,30,1499.1,1
8,31,1499.2,1
9,1,1513.2,1
9,2,1513.3,1
9,3,1542.5,1
9,4,1563.8,1
9,5,1571.5,1
9,6,1597.5,1
9,7,1597.8,1
9,8,1601.1,1
9,9,1603.8,1
9,10,1605.0,1
9,11,1609.3,1
9,12,1611.9,1
9,13,1612.4,1
9,14,1614.5,1
