month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.4,1
1,3,5.1,1
1,4,5.1,1
1,5,5.1,1
1,6,5.1,1
1,7,5.1,1
1,8,5.1,1
1,9,5.1,1
1,10,9.0,1
1,11,9.0,1
1,12,9.0,1
1,13,13.3,1
1,14,13.3,1
1,15,13.7,1
1,16,13.7,1
1,17,13.7,1
1,18,13.7,1
1,19,14.7,1
1,20,21.3,1
1,21,21.7,1
1,22,21.7,1
1,23,23.7,1
1,24,23.7,1
1,25,23.7,1
1,26,23.7,1
1,27,23.7,1
1,28,23.9,1
1,29,25.4,1
1,30,25.4,1
1,31,25.4,1
2,1,25.4,1
2,2,25.4,1
2,3,32.8,1
2,4,41.0,1
2,5,41.4,1
2,6,41.4,1
2,7,45.8,1
2,8,60.3,1
2,9,66.5,1
2,10,70.8,1
2,11,71.4,1
2,12,72.0,1
2,13,72.0,1
2,14,72.0,1
2,15,74.0,1
2,16,74.0,1
2,17,74.0,1
2,18,74.0,1
2,19,74.0,1
2,20,74.0,1
2,21,74.0,1
2,22,74.0,1
2,23,74.0,1
2,24,75.7,1
2,25,75.9,1
2,26,75.9,1
2,27,75.9,1
2,28,76.3,1
3,1,76.3,1
3,2,76.3,1
3,3,76.3,1
3,4,76.3,1
3,5,76.3,1
3,6,76.3,1
3,7,76.3,1
3,8,79.6,1
3,9,82.6,1
3,10,82.8,1
3,11,82.8,1
3,12,82.9,1
3,13,91.0,1
3,14,91.0,1
3,15,92.0,1
3,16,123.3,1
3,17,129.6,1
3,18,129.9,1
3,19,129.9,1
3,20,130.5,1
3,21,130.8,1
3,22,130.8,1
3,23,131.1,1
3,24,138.4,1
3,25,153.2,1
3,26,156.2,1
3,27,174.8,1
3,28,187.5,1
3,29,187.5,1
3,30,188.6,1
3,31,191.1,1
4,1,191.1,1
4,2,191.1,1
4,3,191.1,1
4,4,201.3,1
4,5,201.3,1
4,6,201.3,1
4,7,201.6,1
4,8,201.8,1
4,9,201.8,1
4,10,201.8,1
4,11,201.8,1
4,12,204.1,1
4,13,207.8,1
4,14,207.8,1
4,15,207.8,1
4,16,207.8,1
4,17,207.8,1
4,18,207.8,1
4,19,209.6,1
4,20,220.9,1
4,21,221.7,1
4,22,221.7,1
4,23,221.7,1
4,24,221.7,1
4,25,221.7,1
4,26,221.8,1
4,27,224.3,1
4,28,224.5,1
4,29,225.0,1
4,30,225.0,1
5,1,225.0,1
5,2,225.0,1
5,3,225.0,1
5,4,225.0,1
5,5,226.1,1
5,6,226.1,1
5,7,226.1,1
5,8,226.1,1
5,9,226.1,1
5,10,226.1,1
5,11,226.1,1
5,12,227.3,1
5,13,227.3,1
5,14,227.3,1
5,15,227.3,1
5,16,234.8,1
5,17,235.7,1
5,18,237.1,1
5,19,238.6,1
5,20,239.8,1
5,21,240.4,1
5,22,240.5,1
5,23,240.5,1
5,24,240.5,1
5,25,240.5,1
5,26,240.5,1
5,27,240.5,1
5,28,240.5,1
5,29,241.3,1
5,30,241.3,1
5,31,241.3,1
6,1,241.3,1
6,2,241.3,1
6,3,241.3,1
6,4,241.3,1
6,5,241.3,1
6,6,241.3,1
6,7,241.3,1
6,8,241.3,1
6,9,241.3,1
6,10,241.3,1
6,11,241.3,1
6,12,241.3,1
6,13,241.3,1
6,14,241.3,1
6,15,241.3,1
6,16,241.3,1
6,17,241.3,1
6,18,241.3,1
6,19,241.3,1
6,20,241.3,1
6,21,241.3,1
6,22,241.3,1
6,23,241.3,1
6,24,241.3,1
6,25,241.3,1
6,26,241.3,1
6,27,241.3,1
6,28,241.3,1
6,29,241.3,1
6,30,241.3,1
7,1,241.3,1
7,2,241.3,1
7,3,241.3,1
7,4,241.3,1
7,5,241.3,1
7,6,241.3,1
7,7,241.3,1
7,8,241.3,1
7,9,241.3,1
7,10,241.3,1
7,11,241.3,1
7,12,241.3,1
7,13,241.3,1
7,14,241.3,1
7,15,241.3,1
7,16,241.3,1
7,17,241.3,1
7,18,241.3,1
7,19,241.3,1
7,20,241.3,1
7,21,241.3,1
7,22,241.3,1
7,23,241.3,1
7,24,241.3,1
7,25,241.3,1
7,26,241.3,1
7,27,241.3,1
7,28,241.3,1
7,29,241.3,1
7,30,241.3,1
7,31,241.3,1
8,1,241.3,1
8,2,241.3,1
8,3,241.3,1
8,4,241.3,1
8,5,241.3,1
8,6,241.3,1
8,7,241.3,1
8,8,241.3,1
8,9,241.3,1
8,10,241.3,1
8,11,241.3,1
8,12,241.3,1
8,13,241.3,1
8,14,241.3,1
8,15,241.3,1
8,16,241.3,1
8,17,241.3,1
8,18,241.3,1
8,19,241.3,1
8,20,241.3,1
8,21,241.3,1
8,22,241.5,1
8,23,241.5,1
8,24,241.5,1
8,25,241.5,1
8,26,241.5,1
8,27,241.5,1
8,28,241.5,1
8,29,241.5,1
8,30,241.5,1
8,31,241.5,1
9,1,241.5,1
9,2,241.5,1
9,3,241.5,1
9,4,241.5,1
9,5,241.5,1
9,6,241.5,1
9,7,241.5,1
9,8,241.9,1
9,9,242.0,1
9,10,242.0,1
9,11,242.0,1
9,12,242.0,1
9,13,242.0,1
9,14,242.0,1
